HCH_012_247_000001	劉綎李應祥陳璘鄧子龍馬孔英劉綎，字省吾，都督顯子。
HCH_012_247_000002	勇敢有父風，用蔭為指揮使。
HCH_012_247_000003	萬歷初，從顯討九絲蠻。
HCH_012_247_000004	先登，擒其酋阿大。
HCH_012_247_000005	以功遷雲南迤東守備，改南京小教場坐營。
HCH_012_247_000006	十年冬，緬甸犯永昌、騰越，巡撫劉世曾請濟師。
HCH_012_247_000007	明年春，擢綎遊擊將軍，署騰沖守備事。
HCH_012_247_000008	緬甸去雲南遠，自其酋莽瑞體以兵服諸番，勢遂強，數擾邊境。
HCH_012_247_000009	江西人嶽鳳者，商隴川，驍桀多智，為宣撫多士寧記室，士寧妻以妹。
HCH_012_247_000010	鳳誘士寧往見瑞體，潛與子曩烏鴆殺之，並殺其妻子，奪金牌印符，受瑞體偽命，代士寧為宣撫。
HCH_012_247_000011	瑞體死，子應裏嗣。
HCH_012_247_000012	鳳結耿馬賊罕虔、南甸土舍刀落參、芒市土舍放正堂，與應裏從父猛別、弟阿瓦等，各率象兵數十萬攻雷弄、盞達、幹崖、南甸、木邦、老姚、思甸諸處，殺掠無算。
HCH_012_247_000013	窺騰越、永昌、大理、蒙化、景東、鎮沅、元江。
HCH_012_247_000014	已，陷順寧，破盞達，又令曩烏引緬兵突猛淋。
HCH_012_247_000015	指揮吳繼勛等戰死。
HCH_012_247_000016	鄧川土官知州何鈺，鳳僚婿也，使使招之，鳳縶獻應裏。
HCH_012_247_000017	當是時，車裏、八百、孟養、木邦、孟艮、孟密、蠻莫皆以兵助賊，賊勢益盛。
HCH_012_247_000018	黔國公沐昌祚聞警，移駐洱海，巡撫劉世曾亦移楚雄。
HCH_012_247_000019	大征漢土軍數萬，令參政趙睿壁蒙化，副使胡心得壁騰沖，陸通霄壁趙州，僉事楊際熙壁永昌，與監軍副使傅寵、姜忻督參將胡大賓等分道進擊。
HCH_012_247_000020	大小十餘戰，積級千六百有奇，猛別、落參皆殪。
HCH_012_247_000021	參將鄧子龍擊斬罕虔於姚關。
HCH_012_247_000022	應裏趣鳳東寇姚關，北據灣甸、芒市。
HCH_012_247_000023	會綎至軍，軍大振。
HCH_012_247_000024	鳳懼，乃令妻子及部曲來降，綎責令獻金牌印符及蠻莫、孟密地。
HCH_012_247_000025	乃以送鳳妻子還隴川為名，分兵趨沙木籠山，據其險，而己馳入隴川境。
HCH_012_247_000026	鳳度四面皆兵，遂詣軍門降。
HCH_012_247_000027	綎復率兵進緬，緬將先遁，留少兵隴川。
HCH_012_247_000028	綎攻之，鳳子曩烏亦降。
HCH_012_247_000029	綎乃攜鳳父子往攻蠻莫，乘勝掩擊。
HCH_012_247_000030	賊窘，縛緬人及象馬來獻，蠻莫平。
HCH_012_247_000031	遂招撫孟養賊，賊將乘象走，追獲之。
HCH_012_247_000032	復移師圍孟璉，生擒其魁。
HCH_012_247_000033	雲南平，獻俘於朝。
HCH_012_247_000034	帝為告謝郊廟，受百官賀。
HCH_012_247_000035	大學士申時行以下，悉進官蔭子。
HCH_012_247_000036	綎亦進副總兵，予世蔭。
HCH_012_247_000037	乃改孟密安撫司為宣撫，增設安撫二，曰蠻莫，曰耿馬，長官司二，曰孟璉，曰孟養；千戶所二，一居姚關，一居猛淋。
HCH_012_247_000038	皆名之曰「鎮安」。
HCH_012_247_000039	命綎以副總兵署臨元參將，移鎮蠻莫。
HCH_012_247_000040	初，鳳降本以計誘，而巡撫世曾稱陣擒，遂行獻俘禮，敘功及閣部。
HCH_012_247_000041	未幾，緬人復大舉寇孟密。
HCH_012_247_000042	孟密兵戰敗，賊遂圍五章。
HCH_012_247_000043	把總高國春率五百人援，破賊數萬，連摧六營，為西南戰功第一，進官，世蔭副千戶。
HCH_012_247_000044	綎亦優敘。
HCH_012_247_000045	蠻莫設安撫，以土官思順有功，特授之。
HCH_012_247_000046	綎納其重賄，又縱部將謝世祿等淫虐，思順大怨。
HCH_012_247_000047	綎，將家子。
HCH_012_247_000048	父顯部曲多健兒，綎擁以自雄。
HCH_012_247_000049	征緬之役，勒兵金沙江，築將臺於王驥故址，威名甚盛。
HCH_012_247_000050	然性貪，禦下無法。
HCH_012_247_000051	兵還至騰沖，甲而噪，焚民居。
HCH_012_247_000052	綎在蠻莫，聞之馳至，犒以金錢，始定。
HCH_012_247_000053	思順恐禍及，叛歸莽酋。
HCH_012_247_000054	詔革綎任，以遊擊候調。
HCH_012_247_000055	無何，羅雄變起。
HCH_012_247_000056	羅雄者，曲靖屬州也，者氏世為知州。
HCH_012_247_000057	嘉靖時，者浚嗣職，殺營長而奪其妻，生子繼榮。
HCH_012_247_000058	浚年老無他子，繼榮得襲職，遂弒浚。
HCH_012_247_000059	妖僧王道、張道以繼榮有異相，奉為主。
HCH_012_247_000060	用符術練丁甲，煽聚徒黨，獨外弟隆有義不從。
HCH_012_247_000061	十三年冬，繼榮分黨四剽，廣西師宗、陸涼諸府州咸被患。
HCH_012_247_000062	巡撫劉世曾檄調漢土軍，屬監司程正誼、鄭璧等分禦之。
HCH_012_247_000063	會綎解官至沾益，世曾喜，令與裨將劉紹桂、萬鏊分道討。
HCH_012_247_000064	綎直搗繼榮寨，拔之，獲其妻妾數人，繼榮逸去。
HCH_012_247_000065	綎連克三砦，斬王道、張道，追亡至阿拜江。
HCH_012_247_000066	隆有義部卒斬繼榮首以獻，賊盡平。
HCH_012_247_000067	時首功止五十餘級，而撫降者萬餘人，論者稱其不妄殺。
HCH_012_247_000068	初，綎破繼榮，有論其私財物者，功不錄。
HCH_012_247_000069	世曾為辨誣，乃賜白金。
HCH_012_247_000070	尋用為廣西參將，移四川。
HCH_012_247_000071	二十年召授五軍三營參將。
HCH_012_247_000072	會朝鮮用師，綎請率川兵五千赴援，詔以副總兵從征。
HCH_012_247_000073	至則倭已棄王京遁，綎趨尚州烏嶺。
HCH_012_247_000074	嶺亙七十里，峭壁通一線，倭拒險。
HCH_012_247_000075	別將查大受、祖承訓等間道逾槐山，出烏嶺後。
HCH_012_247_000076	倭大驚，遂移駐釜山浦。
HCH_012_247_000077	綎及承訓等進屯大邱、忠州，以金羅水兵布釜山海口，朝鮮略定。
HCH_012_247_000078	未幾，倭遣小西飛納款，遂犯咸安、晉州，逼全羅。
HCH_012_247_000079	提督李如松急遣李平胡、查大受屯南原，祖承訓、李寧屯咸陽，綎屯陜川，扼之。
HCH_012_247_000080	倭果分犯，請將並有斬獲。
HCH_012_247_000081	倭乃從釜山移西生浦，送王子歸朝鮮。
HCH_012_247_000082	帝命撤如松大軍還，止留綎及遊擊吳惟忠合七千六百人，分扼要口。
HCH_012_247_000083	總督顧養謙力主盡撤，綎、惟忠亦先後還。
HCH_012_247_000084	屬播酋楊應龍作亂，擢綎四川總兵官。
HCH_012_247_000085	綎戍朝鮮二年，勞甚，覬勘功優敘，乃賄御史宋興祖。
HCH_012_247_000086	興祖以聞，法當褫。
HCH_012_247_000087	部議綎功多，請盡革雲南所加功級，以副總兵鎮四川。
HCH_012_247_000088	尋以應龍輸款，而青海寇數擾邊，特設臨洮總兵官，移綎任之。
HCH_012_247_000089	二十四年三月，火落赤、真相、昆都魯、歹成、他卜囊等掠番窺內地。
HCH_012_247_000090	綎部將周國柱等擊之莽剌川腦，斬首百三十有奇，獲馬牛雜畜二萬計。
