HCH_012_250_000001	孫承宗，字稚繩，高陽人。
HCH_012_250_000002	貌奇偉，須髯戟張。
HCH_012_250_000003	與人言，聲殷牆壁。
HCH_012_250_000004	始為縣學生，授經邊郡。
HCH_012_250_000005	往來飛狐、拒馬間，直走白登，又從紇干、清波故道南下。
HCH_012_250_000006	喜從材官老兵究問險要厄塞，用是曉暢邊事。
HCH_012_250_000007	萬曆三十二年，登進士第二人，授編修，進中允。
HCH_012_250_000008	「梃擊」變起，大學士吳道南以諮承宗。
HCH_012_250_000009	對曰：「事關東宮，不可不問；事連貴妃，不可深問。龐保、劉成而下，不可不問也；龐保、劉成而上，不可深問也。」
HCH_012_250_000010	道南如其言，具揭上之，事遂定。
HCH_012_250_000011	出典應天鄉試，發策著其語。
HCH_012_250_000012	攖黨人忌，將以大計出諸外，學士劉一燝保持，乃得免。
HCH_012_250_000013	歷諭德、洗馬。
HCH_012_250_000014	熹宗即位，以左庶子充日講官。
HCH_012_250_000015	帝每聽承宗講，輒曰「心開」，故眷注特殷。
HCH_012_250_000016	天啟元年進少詹事。
HCH_012_250_000017	時沈、遼相繼失，舉朝洶洶。
HCH_012_250_000018	御史方震孺請罷兵部尚書崔景榮，以承宗代。
HCH_012_250_000019	廷臣亦皆以承宗知兵，遂推為兵部添設侍郎，主東事。
HCH_012_250_000020	帝不欲承宗離講筵，疏再上不許。
HCH_012_250_000021	二年擢禮部右侍郎，協理詹事府。
HCH_012_250_000022	未幾，大清兵逼廣寧，王化貞棄城走，熊廷弼與俱入關。
HCH_012_250_000023	兵部尚書張鶴鳴懼罪，出行邊。
HCH_012_250_000024	帝亦急東事，遂拜承宗兵部尚書兼東閣大學士，入直辦事。
HCH_012_250_000025	越數日，命以閣臣掌部務。
