HCH_012_289_000001	從古忠臣義士，為國捐生，節炳一時，名垂百世，歷代以來，備極表章，尚已。
HCH_012_289_000002	明太祖創業江左，首褒余闕、福壽，以作忠義之氣。
HCH_012_289_000003	至從龍將士，或功未就而身亡，若豫章、康郎山兩廟及溪籠山功臣廟所祀諸人，爵贈公侯，血食俎豆，侑享太廟，恤錄子孫，所以褒厲精忠，激揚義烈，意至遠也。
HCH_012_289_000004	建文之變，群臣不憚膏鼎鑊，赤姻族，以抗成祖之威棱，雖《表忠》一錄出自傳疑，亦足以知人心天性之不泯矣。
HCH_012_289_000005	仁宣以降，重熙累洽，垂二百餘載，中間如交阯之征，土木之變，宸濠之叛，以暨神、熹兩朝，邊陲多故，沈身殉難者，未易更仆數。
HCH_012_289_000006	而司勛褒恤之典，悉從優厚。
HCH_012_289_000007	或所司失奏，後人得自陳請。
HCH_012_289_000008	故節烈之績，鹹得顯暴於時。
HCH_012_289_000009	迨莊烈之朝，運丁陽九，時則內外諸臣，或隕首封疆，或致命闕下，蹈死如歸者尤眾。
HCH_012_289_000010	今就有明一代死義死事之臣，博采旁搜，匯次如左。
HCH_012_289_000011	同死者，各因事附見。
HCH_012_289_000012	其事實繁多及國家興亡所系，或連屬他傳，本末始著，與夫直諫死忠，疏草傳誦人口，概具前帙。
HCH_012_289_000013	至若抒忠勝國，抗命興朝，稽諸前史，例得並書。
HCH_012_289_000014	我太祖、太宗忠厚開基，扶植名教，獎張銓之守義，釋張春而加禮，洪量同天地，大義懸日月，國史所載，煥若丹青。
HCH_012_289_000015	諸臣之遂誌成仁，斯為無忝，故備列焉。
HCH_012_289_000016	花雲王愷孫炎牟魯王綱王祎熊鼎易紹宗琴彭皇甫斌張瑛王禎萬琛周憲楊忠吳景霍恩孫燧許逵黃宏宋以方花雲，懷遠人。
HCH_012_289_000017	貌偉而黑，驍勇絕倫。
HCH_012_289_000018	至正十三年癸巳，杖劍謁太祖於臨濠。
HCH_012_289_000019	奇其才，俾將兵略地，所至輒克。
HCH_012_289_000020	破懷遠，擒其帥。
HCH_012_289_000021	攻全椒，拔之。
HCH_012_289_000022	襲繆家寨，群寇散走。
HCH_012_289_000023	太祖將取滁州，率數騎前行，雲從。
HCH_012_289_000024	猝遇賊數千，雲舉鈹翼太祖，拔劍躍馬沖陣而進。
HCH_012_289_000025	賊驚曰：「此黑將軍勇甚，不可當其鋒。」
HCH_012_289_000026	兵至，遂克滁州。
HCH_012_289_000027	甲午從取和州，獲卒三百，以功授管勾。
HCH_012_289_000028	乙未，太祖渡江，雲先濟。
HCH_012_289_000029	既克太平，以忠勇宿衛左右。
HCH_012_289_000030	從下集慶，獲卒三千，擢總管。
HCH_012_289_000031	徇鎮江、丹陽、丹徒、金壇，皆克之。
HCH_012_289_000032	過馬馱沙，劇盜數百遮道索戰。
HCH_012_289_000033	雲且行且鬥三日夜，皆擒殺之，授前部先鋒。
HCH_012_289_000034	從拔常州，守牛塘營。
HCH_012_289_000035	太祖立行樞密院於太平，擢雲院判。
HCH_012_289_000036	丁酉克常熟，獲卒萬餘。
HCH_012_289_000037	命趨寧國，兵陷山澤中八日，群盜相結梗道。
HCH_012_289_000038	雲操矛鼓噪出入，斬首千百計，身不中一矢。
HCH_012_289_000039	還駐太平。
HCH_012_289_000040	庚子閏五月，陳友諒以舟師來寇。
HCH_012_289_000041	雲與元帥朱文遜、知府許瑗、院判王鼎結陣迎戰，文遜戰死。
HCH_012_289_000042	賊攻三日不得入，以巨舟乘漲，緣舟尾攀堞而上。
HCH_012_289_000043	城陷，賊縛雲。
HCH_012_289_000044	雲奮身大呼，縛盡裂，起奪守者刀，殺五六人，罵曰：「賊非吾主敵，盍趣降！」
HCH_012_289_000045	賊怒，碎其首，縛諸檣叢射之，罵賊不少變，至死聲猶壯，年三十有九。
HCH_012_289_000046	瑗、鼎亦抗罵死。
HCH_012_289_000047	太祖即吳王位，追封雲東丘郡侯，瑗高陽郡侯，鼎太原郡侯，立忠臣祠，並祀之。
HCH_012_289_000048	方戰急，雲妻郜祭家廟，挈三歲兒，泣語家人曰：「城破，吾夫必死，吾義不獨存，然不可使花氏無後，若等善撫之。」
HCH_012_289_000049	雲被執，郜赴水死。
HCH_012_289_000050	侍兒孫瘞畢，抱兒行，被掠至九江。
HCH_012_289_000051	孫夜投漁家，脫簪珥屬養之。
HCH_012_289_000052	及漢兵敗，孫復竊兒走渡江，遇僨軍奪舟棄江中，浮斷木入葦洲，采蓮實哺兒，七日不死。
HCH_012_289_000053	夜半，有老父雷老挈之行，逾年達太祖所。
HCH_012_289_000054	孫抱兒拜泣，太祖亦泣，置兒膝上，曰：「將種也。」
HCH_012_289_000055	賜雷老衣，忽不見。
HCH_012_289_000056	賜兒名煒，累官水軍衛指揮僉事。
HCH_012_289_000057	其五世孫為遼復州衛指揮，請於世宗，贈郜貞烈夫人，孫安人，立祠致祭。
HCH_012_289_000058	文遜者，太祖養子也。
HCH_012_289_000059	嘗與元帥秦友諒攻克無為州。
HCH_012_289_000060	瑗，字栗夫，樂平人。
HCH_012_289_000061	元末，兩舉鄉第一。
HCH_012_289_000062	太祖駐婺州，瑗謁曰：「足下欲定天下，非延攬英雄，難以成功。」
HCH_012_289_000063	太祖喜，置幕中，參軍事。
HCH_012_289_000064	已，命守太平。
HCH_012_289_000065	鼎，儀征人。
HCH_012_289_000066	初為趙忠養子。
HCH_012_289_000067	忠為總管，克太平，授行樞密院判，鎮池州。
HCH_012_289_000068	趙普勝來寇，忠陣歿。
HCH_012_289_000069	鼎嗣職，復故姓，駐太平。
HCH_012_289_000070	至是，三人皆死之。
HCH_012_289_000071	時有劉齊者，以江西行省參政守吉安。
HCH_012_289_000072	守將李明道開門納友諒兵，殺參政曾萬中、陳海，執齊及知府宋叔華，脅之降，皆不屈。
HCH_012_289_000073	又破臨安，執同知趙天麟，亦不屈，並送友諒所。
HCH_012_289_000074	友諒方攻洪都，殺三人徇城下。
HCH_012_289_000075	及陷無為州，執知州董曾，曾抗罵不屈，沈之江。
HCH_012_289_000076	王愷，字用和，當塗人。
HCH_012_289_000077	通經史，為元府吏。
HCH_012_289_000078	太祖拔太平，召為掾。
HCH_012_289_000079	從下京口，撫定新附民。
HCH_012_289_000080	及建中書省，用為都事。
HCH_012_289_000081	杭州苗軍數萬降，待命嚴州境。
HCH_012_289_000082	愷馳諭之，偕其帥至。
HCH_012_289_000083	太祖克衢州，命總制軍民事。
HCH_012_289_000084	愷增城浚濠，置遊擊軍，籍丁壯，得萬餘人。
HCH_012_289_000085	常遇春屯兵金華，部將擾民，愷械而撻諸市。
HCH_012_289_000086	遇春讓愷，愷曰：「民者國之本，撻一部將而民安，將軍所樂聞也。」
HCH_012_289_000087	乃謝愷。
HCH_012_289_000088	時饑疫相仍，愷出倉粟，修惠濟局，全活無算。
HCH_012_289_000089	學校毀，與孔子家廟之在衢者，並新之。
HCH_012_289_000090	設博士弟子員，士翕然悅服。
HCH_012_289_000091	開化馬宣、江山楊明並為亂，先後討擒之。
HCH_012_289_000092	遷左司郎中，佐胡大海治省事。
HCH_012_289_000093	苗軍作亂，害大海。
HCH_012_289_000094	其帥多德愷，欲擁之而西。
HCH_012_289_000095	愷正色曰：「吾守士，議當死，寧從賊邪！」
HCH_012_289_000096	遂並其子行殺之。
HCH_012_289_000097	年四十六。
HCH_012_289_000098	愷善謀斷，嘗白事，未聽，卻立戶外，抵暮不去。
HCH_012_289_000099	太祖出，怪問之，愷諫如初，卒從其議。
HCH_012_289_000100	後贈奉直大夫、飛騎尉，追封當塗縣男。
HCH_012_289_000101	孫炎，字伯融，句容人。
HCH_012_289_000102	面鐵色，跛一足。
HCH_012_289_000103	談辨風生，雅負經濟。
HCH_012_289_000104	與丁復、夏煜遊，有詩名。
HCH_012_289_000105	太祖下集慶，召見，請招賢豪成大業。
HCH_012_289_000106	時方建行中書省，用為首掾。
HCH_012_289_000107	從征浙東，授池州同知，進華陽知府，擢行省都事。
HCH_012_289_000108	克處州，授總制。
HCH_012_289_000109	太祖命招劉基、章溢、葉琛等，基不出。
HCH_012_289_000110	炎使再往，基遺以寶劍。
HCH_012_289_000111	炎作詩，以為劍當獻天子，斬不順命者，人臣不敢私，封還之。
HCH_012_289_000112	遺基書數千言，基始就見，送之建康。
HCH_012_289_000113	時城外皆賊，城守無一兵。
HCH_012_289_000114	苗軍作亂，殺院判耿再成，執炎及知府王道同、元帥朱文剛，幽空室，脅降，不屈。
HCH_012_289_000115	賊帥賀仁德燖雁鬥酒啖炎，炎且飲且罵。
HCH_012_289_000116	賊怒，拔刀叱解衣，炎曰：「此紫綺裘，主上所賜，吾當服以死。」
HCH_012_289_000117	遂與道同、文剛皆見害，時年四十。
HCH_012_289_000118	追贈丹陽縣男，建像再成祠。
HCH_012_289_000119	道同，由中書省宣使在處州，贈太原郡侯。
HCH_012_289_000120	文剛，太祖養子，小字柴舍。
HCH_012_289_000121	變起，欲與再成聚兵殺賊，不及，遂被難。
HCH_012_289_000122	贈鎮國將軍，附祭功臣廟。
HCH_012_289_000123	牟魯，烏程人，為莒州同知。
HCH_012_289_000124	洪武三年秋，青州民孫古樸為亂，襲州城，執魯欲降之。
HCH_012_289_000125	魯曰：「國家混一海字，民皆樂業。若等悔過自新，可轉禍為福。不然，官軍旦夕至，無遺種矣。我守土臣，義唯一死。」
HCH_012_289_000126	賊不敢害，擁至城南。
HCH_012_289_000127	魯大罵，遂殺之。
HCH_012_289_000128	賊破，詔恤其家。
HCH_012_289_000129	又有白謙、裴源、朱顯忠、王均諒、王名善、黃裏、顧師勝、陳敬、吳得、井孚之屬。
HCH_012_289_000130	謙，婺源知州。
HCH_012_289_000131	信州盜蕭明來寇，謙力不能禦，懷印出北門，赴水死。
HCH_012_289_000132	源，肇慶府經歷。
HCH_012_289_000133	以公事赴新興，遇山賊陳勇卿，被執，勒令跪。
HCH_012_289_000134	源大罵曰：「我命官，乃跪賊邪！」
HCH_012_289_000135	遂被殺。
HCH_012_289_000136	洪武三年贈官二等。
HCH_012_289_000137	顯忠，如臯人。
HCH_012_289_000138	為張士誠將，來降。
HCH_012_289_000139	以指揮僉事從鄧愈下河州，抵吐番。
HCH_012_289_000140	從傅友德克文州，遂留守之。
HCH_012_289_000141	洪武四年，蜀將丁世珍召番數萬來攻。
HCH_012_289_000142	食盡無援，或勸走避，顯忠叱不聽。
HCH_012_289_000143	攻益急，裹創力戰，城破，為亂兵所殺。
HCH_012_289_000144	均諒時為千戶，被執不屈，磔死。
HCH_012_289_000145	事聞，贈恤有差。
HCH_012_289_000146	名善，義烏人，高州通判。
HCH_012_289_000147	有海寇何均善曾被戮，洪武四年，其黨羅子仁率眾潛入城，執名善，不屈死。
HCH_012_289_000148	裏，雲內州同知。
