HCH_012_332_000001	撒馬兒罕，即漢罽賓地，隋曰漕國，唐復名罽賓，皆通中國。
HCH_012_332_000002	元太祖蕩平西域，盡以諸王、駙馬為之君長，易前代國名以蒙古語，始有撒馬兒罕之名。
HCH_012_332_000003	去嘉峪關九千六百里。
HCH_012_332_000004	元末為之王者，駙馬帖木兒也。
HCH_012_332_000005	洪武中，太祖欲通西域，屢遣使招諭，而遐方君長未有至者。
HCH_012_332_000006	二十年九月，帖木兒首遣回回滿剌哈非思等來朝，貢馬十五，駝二。
HCH_012_332_000007	詔宴其使，賜白金十有八錠。
HCH_012_332_000008	自是頻歲貢馬駝。
HCH_012_332_000009	二十五年兼貢絨六匹，青梭幅九匹，紅綠撒哈剌各二匹及鑌鐵刀劍、甲胄諸物。
HCH_012_332_000010	而其國中回回又自驅馬抵涼州互市。
HCH_012_332_000011	帝不許，令赴京鬻之。
HCH_012_332_000012	元時回回遍天下，及是居甘肅者尚多，詔守臣悉遣之，於是歸撒馬兒罕者千二百餘人。
HCH_012_332_000013	二十七年八月，帖木兒貢馬二百。
HCH_012_332_000014	其表曰：「恭惟大明大皇帝受天明命，統一四海，仁德洪布，恩養庶類，萬國欣仰。咸知上天欲平治天下，特命皇帝出膺運數，為億兆之主。光明廣大，昭若天鏡，無有遠近，咸照臨之。臣帖木兒僻在萬里之外，恭聞聖德寬大，超越萬古。自古所無之福，皇帝皆有之。所未服之國，皇帝皆服之。遠方絕域，昏昧之地，皆清明之。老者無不安樂，少者無不長遂，善者無不蒙福，惡者無不知懼。今又特蒙施恩遠國，凡商賈之來中國者，使觀覽都邑、城池，富貴雄壯，如出昏暗之中，忽睹天日，何幸如之！又承敕書恩撫勞問，使站驛相通，道路無壅，遠國之人咸得其濟。欽仰聖心，如照世之杯，使臣心中豁然光明。臣國中部落，聞茲德音，歡舞感戴。臣無以報恩，惟仰天祝頌聖壽福祿，如天地永永無極。」
HCH_012_332_000015	照世杯者，其國舊傳有杯光明洞徹，照之可知世事，故云。
HCH_012_332_000016	帝得表，嘉其有文。
HCH_012_332_000017	明年命給事中傅安等齎璽書、幣帛報之。
HCH_012_332_000018	其貢馬，一歲再至，以千計，幷賜賓鈔償之。
HCH_012_332_000019	成祖踐阼，遣使敕諭其國。
HCH_012_332_000020	永樂三年，傅安等尚未還，而朝廷聞帖木兒假道別失八里率兵東，敕甘肅總兵官宋晟儆備。
HCH_012_332_000021	五年六月，安等還。
HCH_012_332_000022	初，安至其國被留，朝貢亦絕。
HCH_012_332_000023	尋令人導安遍歷諸國數萬里，以誇其國廣大。
HCH_012_332_000024	至是帖木兒死，其孫哈里嗣，乃遣使臣虎歹達等送安還，貢方物。
HCH_012_332_000025	帝厚賚其使，遣指揮白阿兒忻台等往祭故王，而賜新王及部落銀幣。
HCH_012_332_000026	其頭目沙里奴兒丁等亦貢駝馬。
HCH_012_332_000027	命安等賜其王綵幣，與貢使偕行。
HCH_012_332_000028	七年，安等還，王遣使隨入貢。
HCH_012_332_000029	自後，或比年，或間一歲，或三歲，輒入貢。
HCH_012_332_000030	十三年遣使隨李達、陳誠等入貢。
HCH_012_332_000031	暨辭歸，命誠及中官魯安偕往，賜其頭目兀魯伯等白銀、彩幣。
HCH_012_332_000032	其國復遣使隨誠等入貢。
HCH_012_332_000033	十八年復命誠及中官郭敬齎敕及彩幣報之。
HCH_012_332_000034	宣德五年秋、冬，頭目兀魯伯米兒咱等遣使再入貢。
HCH_012_332_000035	七年遣中官李貴等齎文綺、羅錦賜其國。
HCH_012_332_000036	正統四年貢良馬，色玄，蹄額皆白。
HCH_012_332_000037	帝愛之，命圖其像，賜名瑞駂，賞賚有加。
HCH_012_332_000038	十年十月書諭其王兀魯伯曲烈乾曰：「王遠處西陲，恪修職貢，良足嘉尚。使回，特賜王及王妻子彩幣表裏，示朕優待之意。」
HCH_012_332_000039	別敕賜金玉器、龍首杖、細馬鞍及諸色織金文綺，官其使臣為指揮僉事。
HCH_012_332_000040	景泰七年貢馬駝、玉石。
HCH_012_332_000041	禮官言：「舊制給賞太重。今正、副使應給一等、二等賞物者，如舊時。三等人給綵緞四表裏，絹三匹，織金紵絲衣一襲。其隨行鎮撫、舍人以下，遞減有差。所進阿魯骨馬每匹彩緞四表裏、絹八匹，駝三表裏、絹十匹，達達馬不分等第，每匹紵絲一匹、絹八匹、折鈔絹一匹，中等馬如之，下等者亦遞減有差。」
HCH_012_332_000042	制可。
HCH_012_332_000043	又言：「所貢玉石，堪用者止二十四塊，六十八斤，餘五千九百餘斤不適於用，宜令自鬻。而彼堅欲進獻，請每五斤賜絹一匹。」
HCH_012_332_000044	亦可之。
