HCH_015_017_000001	昔三皇乘祇車出谷口，夏氏以奚仲爲車正，殷有瑞車，山車垂句是也。
HCH_015_017_000002	《周禮》匠人爲輿，以象天地。
HCH_015_017_000003	漢武天漢四年，朝諸侯甘泉宮，定輿服制，班于天下。
HCH_015_017_000004	光武建武十三年，得公孫述葆車，輿輦始具。
HCH_015_017_000005	蔡邕創立此志，馬彪勒成漢典，晉摯虞治禮，亦議五輅制度。
HCH_015_017_000006	江左之始，車服多闕，但有金戎，省充庭之儀。
HCH_015_017_000007	太興中，太子臨學，無高蓋車，元帝詔乘安車。
HCH_015_017_000008	元、明時，屬車唯九乘。
HCH_015_017_000009	永和中，石虎死後，舊工人奔叛歸國，稍造車輿。
HCH_015_017_000010	太元中，苻堅敗後，又得偽車輦，於是屬車增爲十二乘。
HCH_015_017_000011	義熙中，宋武平關、洛，得姚興偽車輦。
HCH_015_017_000012	宋大明改脩輦輅，妙盡時華，始備偽氐，復設充庭之制。
HCH_015_017_000013	永明中，更增藻飾，盛於前矣。
HCH_015_017_000014	案《周禮》以檢《漢志》，名器不同，晉、宋改革，稍與世異，今記時事而已。
HCH_015_017_000015	玉輅，漢金根也。
HCH_015_017_000016	漆畫輪，金塗縱容後路受福輠。
HCH_015_017_000017	兩廂上望板前優遊，通緣金塗鏤鍱，碧絞罽，鑿鏤金薄帖。
HCH_015_017_000018	兩廂外織成衣，兩廂裏上施金塗鏤面釘，瑇瑁帖。
HCH_015_017_000019	望板廂上金薄帖，金博山，登仙紐，松精。
HCH_015_017_000020	優遊上和鸞鳥立花趺銜鈴，銀帶瑇瑁筒瓦，金塗鏤鍱，刀格，織成手匡金花鈿錦衣。
HCH_015_017_000021	優遊下，隱膝，裏施金塗鏤面釘，織成文。
HCH_015_017_000022	優遊橫前，施瑇瑁帖，金塗花釘。
HCH_015_017_000023	優遊前，金塗倒龍，後梢鑿銀瑇瑁龜甲，金塗花沓。
HCH_015_017_000024	望板，金塗受福望龍諸校飾。
HCH_015_017_000025	抗及諸末，皆螭龍首。
HCH_015_017_000026	龍汗板，在車前，銀帶花獸，金塗受福，緣裏邊，鏤鍱瑇瑁織成衣。
HCH_015_017_000027	裏，金塗鏤面花釘。
HCH_015_017_000028	外，金塗博山、辟邪虎、鳳皇銜花諸校飾。
HCH_015_017_000029	斗蓋，金塗鏤鍱，二十八爪支子花，黃錦斗衣，復碧絹染布緣油頂，絳系絡，織成顏芚赭舌孔雀毛復錦，綠絞隨陰，懸珠蚌佩，金塗鈴，雲朱結，仙人綬，雜色真孔雀毦。
HCH_015_017_000030	一轅，漆畫車衡，銀花帶，衡上金塗博山，四和鸞鳥立花趺銜鈴，所謂「鸞鳥立衡」也。
HCH_015_017_000031	又龍首銜軛，叉髦插翟尾，上下花沓，絳綠系的，望繩八枚。
HCH_015_017_000032	旂十二旒，畫升龍，竿首金塗龍銜火燄幡，真毦。
HCH_015_017_000033	棨戟，織成衣，金塗沓駐及受福，金塗鴈鏤鍱。
HCH_015_017_000034	漆案立牀，在車中，錦復黃絞，爲案立衣。
HCH_015_017_000035	錦復黃絞鄣泥。
HCH_015_017_000036	八幅，長九尺，緣紅錦芚帶，織成花芚的。
HCH_015_017_000037	五輅，江左相承駕四馬，左右騑爲六。
