HCH_015_020_000001	六宮位號，漢、魏以來，因襲增置，世不同矣。
HCH_015_020_000002	建元元年，有司奏置貴嬪、夫人、貴人為三夫人，脩華、脩儀、脩容、淑妃、淑媛、淑儀、婕妤、容華、充華為九嬪，美人、中才人、才人為散職。
HCH_015_020_000003	永明元年，有司奏貴妃、淑妃竝加金章紫綬，佩于窴玉。
HCH_015_020_000004	淑妃舊擬九棘，以淑為溫恭之稱，妃為亞后之名，進同貴妃，以比三司。
HCH_015_020_000005	夫人之號，不殊蕃國。
HCH_015_020_000006	降淑媛以比九卿。
HCH_015_020_000007	七年，復置昭容，位在九嬪。
HCH_015_020_000008	建元三年，太子宮置三內職，良娣比開國侯，保林比五等侯，才人比駙馬都尉。
HCH_015_020_000009	宣孝陳皇后諱道止，臨淮東陽人，魏司徒陳矯後。
HCH_015_020_000010	父肇之，郡孝廉。
HCH_015_020_000011	后少家貧，勤織作，家人矜其勞，或止之，后終不改。
HCH_015_020_000012	嫁于宣帝，庶生衡陽元王道度、始安貞王道生，后生太祖。
HCH_015_020_000013	太祖年二歲，乳人乏乳，后夢人以兩甌麻粥與之，覺而乳大出，異而說之。
HCH_015_020_000014	宣帝從任在外，后常留家治事教子孫。
HCH_015_020_000015	有相者謂后曰：「夫人有貴子而不見也。」
HCH_015_020_000016	后歎曰：「我三兒誰當應之。」
HCH_015_020_000017	呼太祖小字曰：「正應是汝耳。」
HCH_015_020_000018	宣帝殂後，后親自執勤，婢使有過誤，恕不問也。
HCH_015_020_000019	太祖雖從官，而家業本貧，為建康令時，高宗等冬月猶無縑纊，而奉膳甚厚，后每撤去兼肉，曰：「於我過足矣。」
HCH_015_020_000020	殂于縣舍，年七十三。
HCH_015_020_000021	昇明三年，追贈竟陵公國太夫人，蜜印，畫青綬，祠以太牢。
HCH_015_020_000022	建元元年，追尊孝皇后。
HCH_015_020_000023	贈外祖父肇之金紫光祿大夫，諡曰敬侯。
HCH_015_020_000024	后母胡氏為永昌縣靖君。
HCH_015_020_000025	高昭劉皇后諱智容，廣陵人也。
HCH_015_020_000026	祖玄之，父壽之，竝員外郎。
HCH_015_020_000027	后母桓氏夢吞玉勝生后，時有紫光滿室，以告壽之，壽之曰：「恨非是男。」
HCH_015_020_000028	桓曰：「雖女，亦足興家矣。」
HCH_015_020_000029	后每寢臥，家人常見上如有雲氣焉。
