HCH_015_042_000001	王晏字士彥，琅邪臨沂人也。
HCH_015_042_000002	祖弘之，通直常侍。
HCH_015_042_000003	父普曜，祕書監。
HCH_015_042_000004	晏，宋大明末起家臨賀王國常侍，員外郎，巴陵王征北板參軍，安成王撫軍板刑獄，隨府轉車騎。
HCH_015_042_000005	晉熙王燮爲郢州，晏爲安西主簿。
HCH_015_042_000006	世祖爲長史，與晏相遇。
HCH_015_042_000007	府轉鎮西，板晏記室諮議。
HCH_015_042_000008	沈攸之事難，鎮西職僚皆隨世祖鎮盆城，上時權勢雖重，而衆情猶有疑惑，晏便專心奉事，軍旅書翰皆委焉。
HCH_015_042_000009	性甚便僻，漸見親侍。
HCH_015_042_000010	乃留爲上征虜撫軍府板諮議，領記室。
HCH_015_042_000011	從還都，遷領軍司馬，中軍從事中郎。
HCH_015_042_000012	常在上府，參議機密。
HCH_015_042_000013	建元初，轉太子中庶子。
HCH_015_042_000014	世祖在東宮，專斷朝事，多不聞啓，晏慮及罪，稱疾自疏。
HCH_015_042_000015	尋領射聲校尉，不拜。
HCH_015_042_000016	世祖卽位，轉長兼侍中，意任如舊。
HCH_015_042_000017	永明元年，領步兵校尉，遷侍中祭酒，校尉如故。
HCH_015_042_000018	遭母喪，起爲輔國將軍、司徒左長史。
HCH_015_042_000019	晏父普曜藉晏勢宦，多歷通官。
HCH_015_042_000020	晏尋遷左衞將軍，加給事中。
HCH_015_042_000021	未拜，而普曜卒，居喪有稱。
HCH_015_042_000022	起冠軍將軍、司徒左長史、濟陽太守，未拜，遷衞尉，將軍如故。
HCH_015_042_000023	四年，轉太子詹事，加散騎常侍。
HCH_015_042_000024	六年，轉丹陽尹，常侍如故。
HCH_015_042_000025	晏位任親重，朝夕進見，言論朝事，自豫章王嶷、尚書令王儉皆降意以接之，而晏每以疏漏被上呵責，連稱疾久之。
HCH_015_042_000026	上以晏須祿養，七年，轉爲江州刺史，晏固辭不願出外，見許，留爲吏部尚書，領太子右衞率。
HCH_015_042_000027	終以舊恩見寵。
HCH_015_042_000028	時尚書令王儉雖貴而疏，晏旣領選，權行臺閣，與儉頗不平。
HCH_015_042_000029	儉卒，禮官議諡，上欲依王導諡爲「文獻」，晏啓上曰：「導乃得此諡，但宋以來，不加素族。」
HCH_015_042_000030	出謂親人曰：「平頭憲事已行矣。」
HCH_015_042_000031	八年，改領右衞將軍，陳疾自解。
HCH_015_042_000032	上欲以高宗代晏領選，手敕問之。
HCH_015_042_000033	晏啓曰：「鸞清幹有餘，然不諳百氏，恐不可居此職。」
HCH_015_042_000034	上乃止。
HCH_015_042_000035	明年，遷侍中，領太子詹事，本州中正，又以疾辭。
HCH_015_042_000036	十年，改授散騎常侍、金紫光祿大夫，給親信二十人，中正如故。
HCH_015_042_000037	十一年，遷右僕射，領太孫右衞率。
HCH_015_042_000038	世祖崩，遺旨以尚書事付晏及徐孝嗣，令久於其職。
HCH_015_042_000039	鬱林卽位，轉左僕射，中正如故。
HCH_015_042_000040	隆昌元年，加侍中。
HCH_015_042_000041	高宗謀廢立，晏便響應推奉。
HCH_015_042_000042	延興元年，轉尚書令，加後將軍，侍中、中正如故。
HCH_015_042_000043	封曲江縣侯，邑千戶。
HCH_015_042_000044	給鼓吹一部，甲仗五十人入殿。
HCH_015_042_000045	高宗與晏宴於東府，語及時事，晏扺掌曰：「公常言晏怯，今定何如？」
HCH_015_042_000046	建武元年，進號驃騎大將軍，給班劔二十人，侍中、令、中正如故。
HCH_015_042_000047	又加兵百人，領太子少傅，進爵爲公，增邑爲二千戶。
HCH_015_042_000048	以虜動，給兵千人。
HCH_015_042_000049	晏爲人篤於親舊，爲世祖所稱。
HCH_015_042_000050	至是自謂佐命惟新，言論常非薄世祖故事，衆始怪之。
HCH_015_042_000051	高宗雖以事際須晏，而心相疑斥，料簡世祖中詔，得與晏手敕三百餘紙，皆是論國家事，以此愈猜薄之。
HCH_015_042_000052	初卽位，始安王遙光便勸誅晏，帝曰：「晏於我有勳，且未有罪。」
HCH_015_042_000053	遙光曰：「晏尚不能爲武帝，安能爲陛下。」
HCH_015_042_000054	帝默然變色。
HCH_015_042_000055	時帝常遣心腹左右陳世範等出塗巷採聽異言，由是以晏爲事。
HCH_015_042_000056	晏輕淺無防慮，望開府，數呼相工自視，云當大貴。
HCH_015_042_000057	與賔客語，好屏人清間，上聞之，疑晏欲反，遂有誅晏之意。
HCH_015_042_000058	傖人鮮于文粲與晏子德元往來，密探朝旨，告晏有異志。
HCH_015_042_000059	世範等又啓上云：「晏謀因四年南郊，與世祖故舊主帥於道中竊發。」
HCH_015_042_000060	會虎犯郊壇，帝愈懼。
HCH_015_042_000061	未郊一日，敕停行。
HCH_015_042_000062	元會畢，乃召晏於華林省誅之。
HCH_015_042_000063	下詔曰：「晏閭閻凡伍，少無持操，階緣人乏，班齒官途。世祖在蕃，搜揚擢用，弃略疵瑕，遂升要重。而輕跳險銳，在貴彌著，猜忌反覆，觸情多端。故以兩宮所弗容，十手所共指。旣內愧于心，外懼憲牘，掩迹陳痾，多歷年載。頻授蕃任，輙辭請不行，事似謙虛，情實詭伏。隆昌以來，運集艱難，匡贊之功，頗有心力。迺爵冠通侯，位登元輔，綢繆恩寄，朝莫均焉。谿壑可盈，無厭將及。視天畫地，遂懷異圖。廣求卜相，取信巫覡。論薦黨附，徧滿臺府。令大息德元淵藪亡命，同惡相濟，劔客成羣。弟詡凶愚，遠相脣齒，信驛往來，密通要契。去歲之初，奉朝請鮮于文粲備告姦謀。朕以信必由中，義無與貳，推誠委任，覬能悛改。而長惡易流，構扇彌大，與北中郎司馬蕭毅、臺隊主劉明達等剋期竊發。以河東王鉉識用微弱，可爲其主，得志之日，當守以虛器。明達諸辭列，炳然具存。昔漢后以反脣致討，魏臣以虯鬚爲戮，況無君之心旣彰，陵上之迹斯著，此而可容，誰寘刑辟。竝可收付廷尉，肅明國典。」
HCH_015_042_000064	晏未敗數日，於北山廟答賽，夜還，晏旣醉，部伍人亦飲酒，羽儀錯亂，前後十餘里中，不復相禁制，識者云「此勢不復久也」。
HCH_015_042_000065	晏子德元，有意尚。
HCH_015_042_000066	至車騎長史。
HCH_015_042_000067	德元初名湛，世祖謂晏曰：「劉湛、江湛，竝不善終，此非佳名也。」
HCH_015_042_000068	晏乃改之。
HCH_015_042_000069	至是與弟晉安王友德和俱被誅。
HCH_015_042_000070	晏弟詡，永明中爲少府卿。
HCH_015_042_000071	六年，敕位未登黃門郎，不得畜女妓。
HCH_015_042_000072	詡與射聲校尉陰玄智坐畜妓免官，禁錮十年。
HCH_015_042_000073	敕特原詡禁錮。
HCH_015_042_000074	後出爲輔國將軍、始興內史。
HCH_015_042_000075	廣州刺史劉纘爲奴所殺，詡率郡兵討之。
HCH_015_042_000076	延興元年，授詡持節廣州刺史。
HCH_015_042_000077	詡亦篤舊。
HCH_015_042_000078	晏誅，上又遣南中郎司馬蕭季敞襲詡殺之。
HCH_015_042_000079	蕭諶字彥孚，南蘭陵蘭陵人也。
HCH_015_042_000080	祖道清，員外郎。
HCH_015_042_000081	父仙伯，桂陽國參軍。
HCH_015_042_000082	諶初爲州從事，晉熙國侍郎，左常侍。
HCH_015_042_000083	諶於太祖爲絕服族子，元徽末，世祖在郢州，欲知京邑消息，太祖遣諶就世祖宣傳謀計，留爲腹心。
HCH_015_042_000084	昇明中，爲世祖中軍刑獄參軍，東莞太守。
