HCH_015_058_000001	蠻，種類繁多，言語不一，咸依山谷，布荊、湘、雍、郢、司等五州界。
HCH_015_058_000002	宋世封西陽蠻梅蟲生為高山侯，田治生為威山侯，梅加羊為扞山侯。
HCH_015_058_000003	太祖即位，有司奏蠻封應在解例，參議以：「戎夷疏爵，理章列代；酋豪世襲，事炳前葉。今宸曆改物，舊冊枃降，而梅生等保落奉政，事須繩總，恩命升贊，有異常品。謂宜存名以訓殊俗。」
HCH_015_058_000004	詔：「特留。」
HCH_015_058_000005	以治生為輔國將軍、虎賁中郎，轉建寧郡太守，將軍、侯如故。
HCH_015_058_000006	建元二年，虜侵豫、司，蠻中傳虜已近，又聞官盡發民丁，南襄城蠻秦遠以郡縣無備，寇潼陽，縣令焦文度戰死。
HCH_015_058_000007	司州蠻引虜攻平昌戍，戍主苟元賓擊破之。
HCH_015_058_000008	秦遠又出破臨沮百方砦，殺略百餘人。
HCH_015_058_000009	北上黃蠻文勉德寇汶陽，太守戴元孫孤城力弱，慮不自保，棄戍歸江陵。
HCH_015_058_000010	荊州刺史豫章王遣中兵參軍劉伾緒領千人討勉德，至當陽，勉德請降，收其部落，使戍汶陽所治城子，令保持商旅，付其清通，遠遂逃竄。
HCH_015_058_000011	汶陽本臨沮西界，二百里中，水陸迂狹，魚貫而行，有數處不通騎，而水白田甚肥腴。
HCH_015_058_000012	桓溫時，割以為郡。
HCH_015_058_000013	西北接梁州新城，東北接南襄城，南接巴、巫二邊，竝山蠻凶盛，據險為寇賊。
HCH_015_058_000014	宋泰始以來，巴建蠻向宗頭反，刺史沈攸之斷其鹽米，連討不剋。
HCH_015_058_000015	晉〔太〕興三年，建平夷王向弘、向瓂等詣臺求拜除，尚書郎張亮議：「夷貊不可假以軍號。」
HCH_015_058_000016	元帝詔特以弘為折衝將軍、當平鄉侯，竝親晉王，賜以朝服。
HCH_015_058_000017	宗頭其後也。
HCH_015_058_000018	太祖置巴州以威靜之。
HCH_015_058_000019	其武陵酉溪蠻田思飄寇抄，內史王文和討之，引軍深入，蠻自後斷其糧。
HCH_015_058_000020	豫章王遣中兵參軍莊明五百人將湘州鎮兵合千人救之，思飄與文和拒戰，中弩矢死，蠻眾以城降。
HCH_015_058_000021	永明初，向宗頭與黔陽蠻田豆渠等五千人為寇，巴東太守王圖南遣府司馬劉僧壽等斬山開道，攻其砦，宗頭夜燒砦退走。
HCH_015_058_000022	三年，湘川蠻陳雙、李答寇掠郡縣，刺史呂安國討之不克。
HCH_015_058_000023	四年，刺史柳世隆督眾征討，乃平。
HCH_015_058_000024	五年，雍、司州蠻與虜通，助荒人桓天生為亂。
HCH_015_058_000025	六年，除督護北遂安左郡太守田駟路為試守北遂安左郡太守，前寧朔將軍田驢王〔為試守宜人左郡太守，田何代〕為試守新平左郡太守，皆郢州蠻也。
HCH_015_058_000026	九年，安隆內史王僧旭發民丁，遣寬城戍主萬民和助八百丁村蠻伐千二百丁村蠻，為蠻所敗，民和被傷，失馬及器仗，有司奏免官。
HCH_015_058_000027	西陽蠻田益宗，沈攸之時，以功勞得將領，遂為臨川王防閤，叛投虜，虜以為東豫州刺史。
HCH_015_058_000028	建武三年，虜遣益宗攻司州龍城戍，為戍主朱僧起所破。
HCH_015_058_000029	蠻俗衣布徒跣，或椎髻，或翦髮。
HCH_015_058_000030	兵器以金銀為飾，虎皮衣楯，便弩射，皆暴悍好寇賊焉。
HCH_015_058_000031	東夷高麗國，西與魏虜接界。
HCH_015_058_000032	宋末，高麗王樂浪公高璉為使持節、散騎常侍、都督營平二州諸軍事、車騎大將軍、開府儀同三司。
HCH_015_058_000033	太祖建元元年，進號驃騎大將軍。
HCH_015_058_000034	三年，遣使貢獻，乘舶汎海，使驛常通，亦使魏虜，然彊盛不受制。
HCH_015_058_000035	虜置諸國使邸，齊使第一，高麗次之。
HCH_015_058_000036	永明七年，平南參軍顏幼明、冗從僕射劉思斅使虜。
HCH_015_058_000037	虜元會，與高麗使相次。
HCH_015_058_000038	幼明謂偽主客郎裴叔令曰：「我等銜命上華，來造卿國。所為抗敵，在乎一魏。自餘外夷，理不得望我鑣塵。況東夷小貊，臣屬朝廷，今日乃敢與我躡踵。」
HCH_015_058_000039	思斅謂偽南部尚書李思沖曰：「我聖朝處魏使，未嘗與小國列，卿亦應知。」
HCH_015_058_000040	思沖曰：「實如此。但主副不得升殿耳。此閒坐起甚高，足以相報。」
HCH_015_058_000041	思斅曰：「李道固昔使，正以衣冠致隔耳。魏國必纓冕而至，豈容見黜。」
HCH_015_058_000042	幼明又謂虜主曰：「二國相亞，唯齊與魏。邊境小狄，敢躡臣蹤。」
HCH_015_058_000043	高麗俗服窮袴，冠折風一梁，謂之幘。
HCH_015_058_000044	知讀五經。
HCH_015_058_000045	使人在京師，中書郎王融戯之曰：「服之不衷，身之災也。頭上定是何物？」
HCH_015_058_000046	答曰：「此即古弁之遺像也。」
HCH_015_058_000047	高璉年百餘歲卒。
HCH_015_058_000048	隆昌元年，以高麗王樂浪公高雲為使持節、散騎常侍、都督營平二州諸軍事、征東大將軍、高麗王、樂浪公。
HCH_015_058_000049	建武三年，報功勞勤，實存名烈。
HCH_015_058_000050	假行寧朔將軍臣姐瑾等四人，振竭忠効，攘除國難，志勇果毅，等威名將，可謂扞城，固蕃社稷，論功料勤，宜在甄顯。
HCH_015_058_000051	今依例輒假行職。
HCH_015_058_000052	伏願恩愍，聽除所假。
HCH_015_058_000053	寧朔將軍、面中王姐瑾，歷贊時務，武功竝列，今假行冠軍將軍、都將軍、都漢王。
HCH_015_058_000054	建威將軍、八中侯餘古，弱冠輔佐，忠効夙著，今假行寧朔將軍、阿錯王。
HCH_015_058_000055	建威將軍餘歷，忠款有素，文武列顯，今假行龍驤將軍、邁盧王。
HCH_015_058_000056	廣武將軍餘固，忠効時務，光宣國政，今假行建威將軍、弗斯侯。
HCH_015_058_000057	牟大又表曰：「臣所遣行建威將軍、廣陽太守、兼長史臣高達，行建威將軍、朝鮮太守、兼司馬臣楊茂，行宣威將軍、兼參軍臣會邁等三人，志行清亮，忠款夙著。往泰始中，比使宋朝，今任臣使，冒涉波險，尋其至効，宜在進爵，謹依先例，各假行職。且玄澤靈休，萬里所企，況親趾天庭，乃不蒙賴。伏願天監特愍除正。達邊効夙著，勤勞公務，今假行龍驤將軍、帶方太守。茂志行清壹，公務不廢，今假行建威將軍、廣陵太守。〔邁〕執志周密，屢致勤効，今假行廣武將軍、清河太守。」
HCH_015_058_000058	詔可，竝賜軍號，除太守。
HCH_015_058_000059	為使持節、都督百濟諸軍事、鎮東大將軍。
HCH_015_058_000060	使兼謁者僕射孫副策命大襲亡祖父牟都為百濟王。
HCH_015_058_000061	曰：「於戲！惟爾世襲忠懃，誠著遐表，滄路肅澄，要貢無替。式循彝典，用纂顯命。往欽哉！其敬膺休業，可不慎歟！制詔行都督百濟諸軍事、鎮東大將軍百濟王牟大今以大襲祖父牟都為百濟王，即位章綬等玉銅虎竹符四。〔王〕其拜受，不亦休乎！」
HCH_015_058_000062	是歲，魏虜又發騎數十萬攻百濟，入其界，牟大遣將沙法名、贊首流、解禮昆、木干那率眾襲擊虜軍，大破之。
HCH_015_058_000063	建武二年，牟大遣使上表曰：「臣自昔受封，世被朝榮，忝荷節鉞，剋攘列辟。往姐瑾等竝蒙光除，臣庶咸泰。去庚午年，獫狁弗悛，舉兵深逼。臣遣沙法名等領軍逆討，宵襲霆擊，匈梨張惶，崩若海蕩。乘奔追斬，僵尸丹野。由是摧其銳氣，鯨暴韜凶。今邦宇謐靜，實名等之略，尋其功勳，宜在褒顯。今假沙法名行征虜將軍、邁羅王，贊首流為行安國將軍、辟中王，解禮昆為行武威將軍、弗中侯，木干那前有軍功，又拔臺舫，為行廣威將軍、面中侯。伏願天恩特愍聽除。」
HCH_015_058_000064	又表曰：「臣所遣行龍驤將軍、樂浪太守兼長史臣慕遺，行建武將軍、城陽太守兼司馬臣王茂，兼參軍、行振武將軍、朝鮮太守臣張塞，行揚武將軍陳明，在官忘私，唯公是務，見危授命，蹈難弗顧。今任臣使，冒涉波險，盡其至誠。實宜進爵，各假行署。伏願聖朝特賜除正。」
HCH_015_058_000065	詔可，竝賜軍號。
HCH_015_058_000066	加羅國，三韓種也。
HCH_015_058_000067	建元元年，國王荷知使來獻。
HCH_015_058_000068	詔曰：「量廣始登，〉遠夷洽化。加羅王荷知款關海外，奉贄東遐。可授輔國將軍、本國王。」
HCH_015_058_000069	倭國，在帶方東南大海島中，漢末以來，立女王。
HCH_015_058_000070	土俗已見前史。
HCH_015_058_000071	建元元年，進新除使持節、都督倭新羅任那加羅秦韓〔慕韓〕六國諸軍事、安東大將軍、倭王武號為鎮東大將軍。
HCH_015_058_000072	南夷林邑國，在交州南，海行三千里，北連九德，秦時故林邑縣也。
HCH_015_058_000073	漢末稱王。
HCH_015_058_000074	晉太康五年，始貢獻。
HCH_015_058_000075	宋永初元年，林邑王范楊邁初產，母夢人以金席藉之，光色奇麗。
HCH_015_058_000076	中國謂紫磨金，夷人謂之「楊邁」，故以為名。
HCH_015_058_000077	楊邁死，子咄立，慕其父，復改名楊邁。
HCH_015_058_000078	林邑有金山，金汁流出於浦。
HCH_015_058_000079	事尼乾道，鑄金銀人像，大十圍。
HCH_015_058_000080	元嘉二十二年，交州刺史檀和之伐林邑，楊邁欲輸金萬斤，銀十萬斤，銅三十萬斤，還日南地。
HCH_015_058_000081	大臣䓯僧達諫，不聽。
HCH_015_058_000082	和之進兵破其北界犬戎區栗城，獲金寶無笇，毀其金人，得黃金數萬斤，餘物稱是。
HCH_015_058_000083	和之後病死，見胡神為祟。
HCH_015_058_000084	孝建二年，始以林邑長史范龍跋為揚武將軍。
HCH_015_058_000085	楊邁子孫相傳為王，未有位號。
HCH_015_058_000086	夷人范當根純攻奪其國，篡立為王。
HCH_015_058_000087	永明九年，遣使貢獻金簟等物。
HCH_015_058_000088	詔曰：「林邑〔雖〕介在遐外，世服王化。當根純乃誠款到，率其僚職，遠績克宣，良有可嘉。宜沾爵號，以弘休澤。可持節、都督緣海諸軍事、安南將軍、林邑王。」
HCH_015_058_000089	范楊邁子孫范諸農率種人攻當根純，復得本國。
HCH_015_058_000090	十年，以諸農為持節、都督緣海諸軍事、安南將軍、林邑王。
HCH_015_058_000091	建武二年，進號鎮南將軍。
HCH_015_058_000092	永泰元年，諸農入朝，海中遭風溺死，以其子文款為假節、都督緣海軍事、安南將軍、林邑王。
HCH_015_058_000093	晉建興中，日南夷帥范稚奴文數商賈，見上國制度，教林邑王范逸起城池樓殿。
HCH_015_058_000094	王服天冠如佛冠，身被香纓絡。
HCH_015_058_000095	國人凶悍，習山川，善鬬。
HCH_015_058_000096	吹海蠡為角。
HCH_015_058_000097	人皆裸露。
HCH_015_058_000098	四時暄暖，無霜雪。
HCH_015_058_000099	貴女賤男，謂師君為婆羅門。
HCH_015_058_000100	羣從相姻通，婦先遣娉求婿。
HCH_015_058_000101	女嫁者，迦藍衣橫幅合縫如井闌，首戴花寶。
HCH_015_058_000102	婆羅門牽婿與婦握手相付，呪願吉利。
HCH_015_058_000103	居喪剪髮，謂之孝。
HCH_015_058_000104	燔尸中野以為葬。
HCH_015_058_000105	遠界有靈鷲鳥，知人將死，集其家食死人肉盡，飛去，乃取骨燒灰投海中水葬。
HCH_015_058_000106	人色以黑為美，南方諸國皆然。
HCH_015_058_000107	區栗城建八尺表，日影度南八寸。
HCH_015_058_000108	自林邑西南三千餘里，至扶南。
HCH_015_058_000109	扶南國，在日南之南大海西〔灣〕中，廣袤三千餘里，有大江水西流入海。
HCH_015_058_000110	其先有女人為王，名柳葉。
HCH_015_058_000111	又有激國人混填，夢神賜弓一張，教乘舶入海。
HCH_015_058_000112	混填晨起於神廟樹下得弓，即乘舶向扶南。
HCH_015_058_000113	柳葉見舶，率眾欲禦之。
HCH_015_058_000114	混填舉弓遙射，貫船一面通中人。
HCH_015_058_000115	柳葉怖，遂降。
HCH_015_058_000116	混填娶以為妻。
HCH_015_058_000117	惡其裸露形體，乃疊布貫其首。
HCH_015_058_000118	遂治其國。
HCH_015_058_000119	子孫相傳。
HCH_015_058_000120	至王槃況死，國人立其大將范師蔓。
HCH_015_058_000121	蔓病，姊子旃〔篡〕立，殺蔓子金生。
HCH_015_058_000122	十餘年，蔓少子長襲殺旃，以刃鑱旃腹曰：「汝昔殺我兄，今為父兄報汝。」
HCH_015_058_000123	旃大將范尋又殺長，國人立以為王，是吳、晉時也。
HCH_015_058_000124	晉、宋世通職貢。
HCH_015_058_000125	宋末，扶南王姓僑陳如，名闍耶跋摩，遣商貨至廣州。
HCH_015_058_000126	天竺道人那伽仙附載欲歸國，遭風至林邑，掠其財物皆盡。
HCH_015_058_000127	那伽仙閒道得達扶南，具說中國有聖主受命。
HCH_015_058_000128	永明二年，闍耶跋摩遣天竺道人釋那伽仙上表稱扶南國王臣僑陳如闍耶跋摩叩頭啟曰：「天化撫育，感動靈祇，四氣調適。伏願聖主尊體起居康〔豫〕，皇太子萬福，六宮清休，諸王妃主內外朝臣普同和睦，隣境士庶萬國歸心，五穀豐熟，災害不生，土清民泰，一切安穩。臣及人民，國土豐樂，四氣調和，道俗濟濟，竝蒙陛下光化所被，咸荷安泰。」
