NER OUTPUT VALIDATION REPORT
Generated at: 2026-07-17T01:04:56
Scan root   : C:\Users\NguyenToan\OneDrive\Documents\dataset\NLP_corpus_project
Log file    : C:\Users\NguyenToan\OneDrive\Documents\dataset\NLP_corpus_project\check_ner_report.log
TSV files   : 795
====================================================================================================

COMPLETE UNITS
====================================================================================================
[OK] HCH_009\HCH_009_001 | sentences=410
[OK] HCH_009\HCH_009_002 | sentences=516
[OK] HCH_009\HCH_009_003 | sentences=464
[OK] HCH_009\HCH_009_004 | sentences=432
[OK] HCH_009\HCH_009_005 | sentences=604
[OK] HCH_009\HCH_009_006 | sentences=673
[OK] HCH_009\HCH_009_007 | sentences=378
[OK] HCH_009\HCH_009_008 | sentences=451
[OK] HCH_009\HCH_009_009 | sentences=456
[OK] HCH_009\HCH_009_010 | sentences=389
[OK] HCH_009\HCH_009_011 | sentences=417
[OK] HCH_009\HCH_009_012 | sentences=479
[OK] HCH_009\HCH_009_013 | sentences=211
[OK] HCH_009\HCH_009_014 | sentences=561
[OK] HCH_009\HCH_009_015 | sentences=496
[OK] HCH_009\HCH_009_016 | sentences=463
[OK] HCH_009\HCH_009_017 | sentences=377
[OK] HCH_009\HCH_009_018 | sentences=217
[OK] HCH_009\HCH_009_019 | sentences=207
[OK] HCH_009\HCH_009_020 | sentences=490
[OK] HCH_009\HCH_009_021 | sentences=208
[OK] HCH_009\HCH_009_022 | sentences=452
[OK] HCH_009\HCH_009_023 | sentences=322
[OK] HCH_009\HCH_009_024 | sentences=728
[OK] HCH_009\HCH_009_025 | sentences=782
[OK] HCH_009\HCH_009_026 | sentences=731
[OK] HCH_009\HCH_009_027 | sentences=214
[OK] HCH_009\HCH_009_028 | sentences=349
[OK] HCH_009\HCH_009_029 | sentences=255
[OK] HCH_009\HCH_009_030 | sentences=508
[OK] HCH_009\HCH_009_031 | sentences=362
[OK] HCH_009\HCH_009_032 | sentences=167
[OK] HCH_009\HCH_009_033 | sentences=244
[OK] HCH_009\HCH_009_034 | sentences=222
[OK] HCH_009\HCH_009_035 | sentences=127
[OK] HCH_009\HCH_009_036 | sentences=336
[OK] HCH_009\HCH_009_037 | sentences=347
[OK] HCH_009\HCH_009_038 | sentences=304
[OK] HCH_009\HCH_009_039 | sentences=258
[OK] HCH_009\HCH_009_040 | sentences=517
[OK] HCH_009\HCH_009_041 | sentences=514
[OK] HCH_009\HCH_009_042 | sentences=362
[OK] HCH_009\HCH_009_043 | sentences=278
[OK] HCH_009\HCH_009_044 | sentences=246
[OK] HCH_009\HCH_009_045 | sentences=169
[OK] HCH_009\HCH_009_046 | sentences=209
[OK] HCH_009\HCH_009_047 | sentences=258
[OK] HCH_009\HCH_009_048 | sentences=240
[OK] HCH_009\HCH_009_049 | sentences=233
[OK] HCH_009\HCH_009_050 | sentences=175
[OK] HCH_009\HCH_009_051 | sentences=310
[OK] HCH_009\HCH_009_052 | sentences=210
[OK] HCH_009\HCH_009_053 | sentences=268
[OK] HCH_009\HCH_009_054 | sentences=236
[OK] HCH_009\HCH_009_055 | sentences=616
[OK] HCH_009\HCH_009_056 | sentences=922
[OK] HCH_009\HCH_009_057 | sentences=797
[OK] HCH_009\HCH_009_058 | sentences=305
[OK] HCH_009\HCH_009_059 | sentences=39
[OK] HCH_009\HCH_009_060 | sentences=16
[OK] HCH_009\HCH_009_063 | sentences=412
[OK] HCH_009\HCH_009_064 | sentences=353
[OK] HCH_009\HCH_009_065 | sentences=335
[OK] HCH_009\HCH_009_066 | sentences=298
[OK] HCH_009\HCH_009_067 | sentences=291
[OK] HCH_009\HCH_009_068 | sentences=183
[OK] HCH_009\HCH_009_069 | sentences=143
[OK] HCH_009\HCH_009_070 | sentences=303
[OK] HCH_009\HCH_009_071 | sentences=281
[OK] HCH_009\HCH_009_072 | sentences=363
[OK] HCH_009\HCH_009_073 | sentences=389
[OK] HCH_009\HCH_009_074 | sentences=446
[OK] HCH_009\HCH_009_075 | sentences=287
[OK] HCH_009\HCH_009_076 | sentences=392
[OK] HCH_009\HCH_009_077 | sentences=291
[OK] HCH_009\HCH_009_078 | sentences=205
[OK] HCH_009\HCH_009_079 | sentences=287
[OK] HCH_009\HCH_009_080 | sentences=325
[OK] HCH_009\HCH_009_081 | sentences=318
[OK] HCH_009\HCH_009_082 | sentences=482
[OK] HCH_009\HCH_009_083 | sentences=354
[OK] HCH_009\HCH_009_084 | sentences=381
[OK] HCH_009\HCH_009_085 | sentences=271
[OK] HCH_009\HCH_009_086 | sentences=321
[OK] HCH_009\HCH_009_087 | sentences=320
[OK] HCH_009\HCH_009_088 | sentences=405
[OK] HCH_009\HCH_009_089 | sentences=325
[OK] HCH_009\HCH_009_090 | sentences=298
[OK] HCH_009\HCH_009_091 | sentences=371
[OK] HCH_009\HCH_009_092 | sentences=410
[OK] HCH_009\HCH_009_093 | sentences=433
[OK] HCH_009\HCH_009_094 | sentences=305
[OK] HCH_009\HCH_009_095 | sentences=397
[OK] HCH_009\HCH_009_096 | sentences=296
[OK] HCH_009\HCH_009_097 | sentences=335
[OK] HCH_009\HCH_009_098 | sentences=299
[OK] HCH_009\HCH_009_099 | sentences=285
[OK] HCH_009\HCH_009_100 | sentences=348
[OK] HCH_009\HCH_009_101 | sentences=330
[OK] HCH_009\HCH_009_102 | sentences=362
[OK] HCH_009\HCH_009_103 | sentences=383
[OK] HCH_009\HCH_009_104 | sentences=337
[OK] HCH_009\HCH_009_105 | sentences=321
[OK] HCH_009\HCH_009_106 | sentences=345
[OK] HCH_009\HCH_009_107 | sentences=201
[OK] HCH_009\HCH_009_108 | sentences=255
[OK] HCH_009\HCH_009_109 | sentences=280
[OK] HCH_009\HCH_009_110 | sentences=267
[OK] HCH_009\HCH_009_111 | sentences=331
[OK] HCH_009\HCH_009_112 | sentences=216
[OK] HCH_009\HCH_009_113 | sentences=335
[OK] HCH_009\HCH_009_114 | sentences=265
[OK] HCH_009\HCH_009_115 | sentences=194
[OK] HCH_009\HCH_009_116 | sentences=299
[OK] HCH_009\HCH_009_117 | sentences=229
[OK] HCH_009\HCH_009_118 | sentences=331
