HCH_009_025_000001	南京路，國初曰汴京，貞元元年更號南京。
HCH_009_025_000002	府三，領節鎮三，防禦八，刺史郡八，縣一百五。
HCH_009_025_000003	都城門十四，曰開陽，曰宣仁，曰安利，曰平化。
HCH_009_025_000004	曰通遠，曰宜照，曰利川，曰崇德，曰迎秋，曰廣澤，曰順義，曰迎朔，曰順常，曰廣智。
HCH_009_025_000005	宮城門，南外門曰南薰，南薰北新城門曰豐宜，橋曰龍津橋，北門曰丹鳳，其門三。
HCH_009_025_000006	丹鳳北曰舟橋，橋少北曰文武樓，遵禦路而北橫街也。
HCH_009_025_000007	東曰太廟，西曰郊社，正北曰承天門，其門五，雙闕前引，東曰登聞檢院，西曰登聞鼓院。
HCH_009_025_000008	檢院東曰左掖門，門南曰待漏院。
HCH_009_025_000009	鼓院西曰右掖門，門南曰都堂。
HCH_009_025_000010	直承天門北曰大慶門，門東曰日精門，又東曰左升平門。
HCH_009_025_000011	大慶門西曰月華門，又西曰右升平門。
HCH_009_025_000012	正殿曰大慶殿，前有龍墀，又南有丹墀，又南曰沙墀，東廡曰嘉福樓，西廡曰嘉瑞樓。
HCH_009_025_000013	大慶後曰德儀殿。
HCH_009_025_000014	殿東曰左升龍門，西曰右升龍門。
HCH_009_025_000015	正門曰隆德，內有隆德殿，有蕭牆，有丹墀。
HCH_009_025_000016	隆德殿左曰東上閣門，右曰西上閣門，皆南向。
HCH_009_025_000017	鼓樓在東，鐘樓在西。
HCH_009_025_000018	隆德之次曰仁安門、仁安殿，東則內侍局，又東曰近侍局，又東則嚴祗門，宮中則稱曰撒合門，少南曰東樓，則授除樓也。
HCH_009_025_000019	西曰西樓。
HCH_009_025_000020	仁安之次曰純和殿，正寢也。
HCH_009_025_000021	純和西曰雪香亭，亭北則後妃位也，有樓，樓西曰瓊香亭，亭西曰涼位，有樓，樓北少西曰玉清殿。
HCH_009_025_000022	純和之次曰福寧殿，殿后曰苑門，內曰仁智殿，有二太湖石，左曰敷錫神運萬歲峰，右曰玉京獨秀太平岩，殿曰山莊，其西南曰翠微閣。
HCH_009_025_000023	苑門東曰仙韶院，院北曰翠峰，峰之洞曰大滌湧翠，東連長生殿，又東曰湧金殿，又東曰蓬萊殿。
HCH_009_025_000024	長生西曰浮玉殿，又西曰瀛洲殿。
HCH_009_025_000025	長生殿南曰閱武殿，又南曰內藏庫。
HCH_009_025_000026	嚴祗門東曰尚食局，又東曰宣徽院，院北曰禦藥院，又北右藏庫，東則左藏庫。
HCH_009_025_000027	宣徽院東曰點檢司，司北曰秘書監，又北曰學士院，又北曰諫院，又北曰武器署。
HCH_009_025_000028	點檢司南曰儀鸞局，又南曰尚輦局。
HCH_009_025_000029	宣徽院南曰拱衛司，又南曰尚衣局。
HCH_009_025_000030	其南為繁禧門，又南安泰門，門與左升龍門相直。
HCH_009_025_000031	東則壽聖宮，兩宮太后位也，本明俊殿，試進士之所。
HCH_009_025_000032	宮北曰徽音院，又北燕壽殿，殿垣後少西曰振肅衛司，東曰中衛尉司。
HCH_009_025_000033	儀鸞局東曰小東華門，更漏在焉。
HCH_009_025_000034	中衛尉司東曰祗肅門，少東南曰將軍司。
HCH_009_025_000035	徽音、壽聖東曰太后苑，苑殿曰慶春，與燕壽殿並。
HCH_009_025_000036	小東華與正東華門對。
HCH_009_025_000037	東華門內正北尚廄局，其西北曰臨武殿。
HCH_009_025_000038	左掖門北，尚食局南曰宮苑司。
HCH_009_025_000039	其西北尚醖局、湯藥局。
HCH_009_025_000040	侍儀司少西曰府寶局、器物局，又西則撒合門也。
HCH_009_025_000041	嘉瑞樓西曰三廟，正殿曰德昌，東曰文昭，西曰光興。
HCH_009_025_000042	德昌後，宣宗廟也。
HCH_009_025_000043	宮西門曰西華，與東華相直，北門曰安貞。
HCH_009_025_000044	開封府，上。
HCH_009_025_000045	留守司留守帶本府尹，兼本路兵馬都總管。
HCH_009_025_000046	天德二年罷行台尚書省，置轉運司、提刑司。
HCH_009_025_000047	天德二年置統軍司。
HCH_009_025_000048	有藥市四，榷場。
HCH_009_025_000049	產蜜蠟、香茶、心紅、硃紅、地龍、黃柏。
HCH_009_025_000050	天德四年，戶二十三萬五千八百九十。
HCH_009_025_000051	泰和末，戶百七十四萬六千二百一十。
HCH_009_025_000052	縣十五、鎮十五：開封東附郭。
HCH_009_025_000053	有古通津、臨蔡關、汴河。
HCH_009_025_000054	鎮一延嘉。
HCH_009_025_000055	祥符西附郭。
HCH_009_025_000056	有岳台、浚水、沙台、崇台、夷門山、蔡河、金水河、廣濟河、寒泉河。
HCH_009_025_000057	鎮三陳橋、八角、郭橋。
HCH_009_025_000058	陽武有沙池、黑陽山。
HCH_009_025_000059	黃河、汴河、白溝河。
HCH_009_025_000060	通許宋名咸平，大定二十九年以與咸平府重，更。
HCH_009_025_000061	有牛首城、裘亭。
HCH_009_025_000062	泰康有魯溝、蔡河、渦河、鎮一崔橋。
HCH_009_025_000063	中牟有汴河、鄭河、中牟台。
HCH_009_025_000064	鎮四圃田、陽武、萬勝、白沙鎮。
HCH_009_025_000065	杞宋雍丘縣，杞國也，正隆後更今名。
HCH_009_025_000066	鎮一圉城。
HCH_009_025_000067	鄢陵有洧水、潩水、太丘城。
HCH_009_025_000068	鎮一馬欄橋。
HCH_009_025_000069	尉氏有惠民河、長明溝。
HCH_009_025_000070	鎮二硃家曲、宋樓。
HCH_009_025_000071	扶溝有祁耶山、洧水、白亭。
HCH_009_025_000072	鎮二建雄、義店。
HCH_009_025_000073	舊有赤倉鎮。
HCH_009_025_000074	陳留有皇柏山、狼丘、汴河。
HCH_009_025_000075	延津貞祐三年七月升為延州。
HCH_009_025_000076	有土山、黃河。
HCH_009_025_000077	洧川貞祐二年置惠民倉，興定二年四月以尉氏縣之宋樓鎮升。
HCH_009_025_000078	睢州，下，刺史。
HCH_009_025_000079	宋拱州保慶軍，國初猶稱拱州，天德三年更。
HCH_009_025_000080	戶四萬六千三百六十。
HCH_009_025_000081	縣三、鎮一：襄邑古襄牛地。
HCH_009_025_000082	有汴河、睢水、渙水、承匡城。
HCH_009_025_000083	鎮一重華。
HCH_009_025_000084	考城宋隸東京，正隆前隸曹州，後來屬。
HCH_009_025_000085	有葵丘、黃河、黃陵岡，元光二年改為通安堡。
HCH_009_025_000086	柘城古株林，首止地在焉。
HCH_009_025_000087	有渙水、泡水、泓水。
HCH_009_025_000088	歸德府，散，中，宣武軍。
HCH_009_025_000089	故宋州，宋南京應天府河南郡歸德軍，國初置宣武軍。
HCH_009_025_000090	戶七萬六千百八十九。
HCH_009_025_000091	縣六、鎮四：睢陽宋名宋城，承安五年更名。
HCH_009_025_000092	有鷹鷺池、汴水、睢水、渙水。
HCH_009_025_000093	鎮一葛驛。
HCH_009_025_000094	寧陵大定二十二年徙于汴河堤南古城。
HCH_009_025_000095	有汴水、睢水、渙水。
HCH_009_025_000096	下邑有汴水、黃水。
HCH_009_025_000097	鎮一會亭。
HCH_009_025_000098	虞城有孟諸藪。
HCH_009_025_000099	谷熟有汴水、谷水。
HCH_009_025_000100	鎮二營城、洛場。
HCH_009_025_000101	又有舊高辛鎮。
HCH_009_025_000102	楚丘國初隸曹州，海陵後來屬，興定元年以限河不便，改隸單州。
HCH_009_025_000103	有景山、京岡。
HCH_009_025_000104	單州，中，刺史。
HCH_009_025_000105	宋碭郡，貞祐四年二月升為防禦，興定五年二月置招撫司，以安集河北遺黎。
HCH_009_025_000106	戶六萬五千五百四十五。
HCH_009_025_000107	縣四：單父有棲霞山、泡溝。
HCH_009_025_000108	成武有堂溝。
HCH_009_025_000109	魚台有泗水，涓溝、五丈溝。
HCH_009_025_000110	碭山興定元年以限河不便，改隸歸德府。
HCH_009_025_000111	有芒碭山、古汴渠、午溝。
HCH_009_025_000112	壽州，下，刺史。
HCH_009_025_000113	宋隸壽春府，貞元元年來屬，泰和六年六月升為防禦。
HCH_009_025_000114	戶八千六百七十七。
HCH_009_025_000115	縣二、鎮一：下蔡有硤石山、潁水、淮水。
HCH_009_025_000116	蒙城宋隸亳州，國初來屬。
HCH_009_025_000117	有狼山、渦水。
HCH_009_025_000118	鎮一蒙館。
HCH_009_025_000119	陝州，下、防禦。
HCH_009_025_000120	宋陝郡保平軍節度，皇統二年降為防禦，貞祐二年七月升為節鎮。
HCH_009_025_000121	戶四萬一千一十。
HCH_009_025_000122	縣四、鎮七：陝倚。
HCH_009_025_000123	有虢山、峴頭山、三崤山、底柱山、黃河、橐水。
HCH_009_025_000124	鎮一石壕。
HCH_009_025_000125	靈寶有誇父山、黃河、稠桑澤、古函谷關。
HCH_009_025_000126	鎮二乾壕、關東。
HCH_009_025_000127	湖城有荊山、鑄鼎原、鳳林泉、鼎湖。
HCH_009_025_000128	鎮二三門、集津。
HCH_009_025_000129	閿鄉有太華山、黃河、玉澗水、潼關、太谷關。
HCH_009_025_000130	鎮二張店、故鎮。
HCH_009_025_000131	舊又曹張鎮，恐誤。
HCH_009_025_000132	鄧州，武勝軍節度使。
HCH_009_025_000133	宋南陽郡，嘗置榷場。
HCH_009_025_000134	戶二萬四千九百八十九。
HCH_009_025_000135	縣三、鎮六：穰城倚。
HCH_009_025_000136	有五壟山、覆釜山、湍水、朝水。
HCH_009_025_000137	鎮四順陽、新野、穰東、板橋。
HCH_009_025_000138	南陽有豫山、百重山、豐山、梅溪水、白水、清泠水。
HCH_009_025_000139	鎮一張村。
HCH_009_025_000140	內鄉有高前山、熊耳山、黃水、菊水、淅水、富水。
HCH_009_025_000141	鎮一峽口。
HCH_009_025_000142	唐州，中，刺史。
HCH_009_025_000143	宋准安郡，嘗置榷場。
HCH_009_025_000144	戶一萬一千三十一。
HCH_009_025_000145	縣四、鎮四：泌陽倚。
HCH_009_025_000146	有泌水、醴水。
HCH_009_025_000147	鎮一胡陽。
HCH_009_025_000148	比陽大明湖、中陽山、比水。
HCH_009_025_000149	鎮一羊棚。
HCH_009_025_000150	湖陽貞祐元年廢。
HCH_009_025_000151	鎮一羅渠。
HCH_009_025_000152	桐柏大定十年始置正官，興定五年六月廢。
HCH_009_025_000153	有桐柏山、淮水、柘河。
HCH_009_025_000154	鎮一許封。
HCH_009_025_000155	大定二十八年命規措界壕于唐、鄧間。
HCH_009_025_000156	裕州，本方城縣，泰和八年正月升置，以方城縣為倚郭，割汝州葉縣、許州舞是隸焉。
HCH_009_025_000157	戶八千三百。
HCH_009_025_000158	縣三、鎮四：方城倚。
HCH_009_025_000159	有方城山、衡山、堵水。
HCH_009_025_000160	鎮一青台。
HCH_009_025_000161	葉隸汝州，泰和八年來屬。
HCH_009_025_000162	有方城山、石塘河、澧水。
HCH_009_025_000163	鎮一臨墳。
HCH_009_025_000164	舞陽本隸許州，泰和八年來屬。
HCH_009_025_000165	有伏牛山、馬鞍山、舞水、汝水、渫水、𣹑水。
HCH_009_025_000166	鎮二吳城、北舞。
HCH_009_025_000167	河南府，散、中。
HCH_009_025_000168	宋西京河南雒陽郡。
HCH_009_025_000169	初置德昌軍，興定元年八月升為中京，府曰金昌。
HCH_009_025_000170	戶五萬五千六百三十五。
HCH_009_025_000171	縣九、《正隆郡志》有壽安縣，紀錄皆無。
HCH_009_025_000172	鎮四：洛陽倚。
HCH_009_025_000173	有北邙山，正隆六年更名太平山，稱舊名者以違制論。
HCH_009_025_000174	有伊、洛、璟、澗、金水，銅駝街、金粟山，金穀。
HCH_009_025_000175	鎮一龍門。
HCH_009_025_000176	澠池有天壇山、廣陽山、黃河、澠河。
HCH_009_025_000177	登封有太室山、箕山、陽城山、少室山，宣宗置禦寨其上。
HCH_009_025_000178	舊有潁陽鎮，後廢。
HCH_009_025_000179	孟津貞祐三年七月升為陶州，十二月複為縣。
HCH_009_025_000180	鎮一長泉。
HCH_009_025_000181	舊有河清鎮，後廢。
HCH_009_025_000182	芝田宋名永安，貞元元年更。
HCH_009_025_000183	有轘轅山、青龍山。
HCH_009_025_000184	新安有闕門山、長石山、金水、谷水、陂水。
HCH_009_025_000185	偃師有北邙山、緱氏山、半石山、景山、黃河、洛水。
HCH_009_025_000186	鎮一緱氏。
HCH_009_025_000187	宜陽有錦屏山、鹿蹄山、憩鶴山、女幾山、洛水，昌水，少水。
HCH_009_025_000188	鞏有侯山、九山、黃河、洛水。
HCH_009_025_000189	鎮一洛口。
HCH_009_025_000190	嵩州，中，刺史。
HCH_009_025_000191	舊名順州，天德三年更。
HCH_009_025_000192	戶二萬六千六百四十九。
HCH_009_025_000193	縣四、鎮四：伊陽宋隸河南府。
HCH_009_025_000194	有三塗山、陸渾山、鼓鐘山，伊水、淯陽水。
HCH_009_025_000195	鎮一鳴皋。
HCH_009_025_000196	舊有伊闕鎮，後廢。
HCH_009_025_000197	永甯宋隸河南府，正隆六年以前寄治於府，後即鎮為縣。
HCH_009_025_000198	有三肴山、熊耳山、嶕嶢山、天柱山、黃河、杜陽水。
HCH_009_025_000199	鎮一府店。
HCH_009_025_000200	福昌宋隸河南府。
HCH_009_025_000201	有女幾山、金門山。
HCH_009_025_000202	鎮二韓城、三鄉。
HCH_009_025_000203	長水宋隸河南府。
HCH_009_025_000204	有壇山、松陽山、洛水、松陽水。
HCH_009_025_000205	汝州，上，刺史。
HCH_009_025_000206	宋臨汝郡陸海軍度使，國初為刺郡，貞祐三年八月升為防禦。
HCH_009_025_000207	戶三萬五千二百五十四。
HCH_009_025_000208	縣四、鎮三：梁有霍陽山、崆峒山、紫邏山、汝水、廣潤河。
HCH_009_025_000209	正隆六年，敕環汝州百五十裏內州縣商賈，赴溫湯置市。
HCH_009_025_000210	郟城宋隸許州。
HCH_009_025_000211	有汝水、扈澗河。
HCH_009_025_000212	鎮一黃道。
HCH_009_025_000213	魯山有堯山、𣹑水、鴉河。
