HCH_009_029_000001	齋戒：祭前三日質明，有司設三獻以下行事官位於尚書省。
HCH_009_029_000002	初獻南面，監祭禦史位於西，東向，監禮博士位於東，西向，俱北上。
HCH_009_029_000003	司徒亞、終獻位於南，北向。
HCH_009_029_000004	次光祿卿、太常卿，次第一等分獻官、司天監，次第二等分獻官、光祿丞、郊社令、大樂令、良醖令、廩犧令、司尊彝，次內濆內外分獻官、太祝官、奉禮郎、協律郎、諸執事官，就位，立定。
HCH_009_029_000005	次禮直官引初獻就位，初獻讀誓曰：「今年五月幾日夏至，祭皇地祇于方丘，所有攝官，各揚其職。其或不敬，國有常刑。」
HCH_009_029_000006	讀畢，禮直官贊：「七品以下官先退。」
HCH_009_029_000007	餘官對拜，訖，退。
HCH_009_029_000008	散齋二日，宿於正寢，治理如故。
HCH_009_029_000009	齋禁並如郊祀。
HCH_009_029_000010	守濆門兵衛與大樂工人，俱清齋一宿。
HCH_009_029_000011	行禮官前期習儀於祠所。
HCH_009_029_000012	陳設：祭前三日，所司設三獻官以下行事執事官次於外壝東門之外，道南，北向，西上，隨地之宜。
HCH_009_029_000013	又設饌幕於內濆東門之外，道北南向。
HCH_009_029_000014	祭前二日，所司設兵衛，各服其服，守衛濆門，每門二人。
HCH_009_029_000015	大樂令帥其屬，設登歌之樂於壇上，如郊祀。
HCH_009_029_000016	郊社令帥其屬，掃除壇之上下，為瘞坎在內濆外之壬地。
HCH_009_029_000017	祭前一日，司天監、郊社令各服其服，帥其屬，升設皇地祇神座於壇上北方，南向，席以槁秸。
HCH_009_029_000018	又設配位神座於東方，西向，席以蒲越。
HCH_009_029_000019	又設神州地祇神座於壇之第一等東南方，席以槁秸。
HCH_009_029_000020	又設五神、五官、嶽鎮海瀆二十九座於第二等階之間，各依方位。
HCH_009_029_000021	又設昆侖、山大川澤二十一座於內濆之內，又設丘陵墳衍原隰三十座於內濆外，席皆以莞。
HCH_009_029_000022	又設神位版，各於座首。
HCH_009_029_000023	子陛之西，水神玄冥、北嶽、北鎮、北海、北瀆於壇之第二等，北山、北林、北川、北澤、於內濆內，北丘、北陵、北墳、北衍、北原、北隰於內濆外，皆各為一列，以東為上。
HCH_009_029_000024	卯陛之北，木神勾芒，東嶽、長白山、東鎮、東海、東瀆於壇之第二等，東山、東林、東川、東澤於內濆內，東丘、東陵、東墳、東衍、東原、東隰於內濆外，皆各為一列，以南為上。
HCH_009_029_000025	午陛之東，神州地祇於壇之第一等，火神祝融，南嶽、南鎮、南海、南瀆於壇之第二等，南山、南林、南川、南澤於內濆內，南丘、南陵、南墳、南衍、南原、南隰於內濆外，皆各為一列，以西為上。
HCH_009_029_000026	午陛之西，土神後土、中嶽、中鎮於壇之第二等，中山、中林、中川、中澤於內濆內，中丘、中陵、中墳、中衍、中原、中隰於內濆外，皆各為一列，以南為上。
HCH_009_029_000027	酉陛之南，金神蓐收、西嶽、西鎮、西海、西瀆於壇之第二等，昆侖、西山、西林、西川、凱撒於內濆內，西丘、西陵、西墳、西衍、西原、西隰於內壝外，皆各為一列，以北為上。
HCH_009_029_000028	其皇地祇、及配位、神州地祇之座，並禮神之玉，設訖，俟告潔畢權徹，祭日早重設。
HCH_009_029_000029	其第二等下神座，設定不收。
HCH_009_029_000030	奉禮郎、禮直官又設三獻官位於卯陛之東稍北，西向。
HCH_009_029_000031	司徒位於卯陛之東，道南，西向。
HCH_009_029_000032	太常卿、光祿卿位次之。
HCH_009_029_000033	第一等分獻官、司天監位於其東，光祿丞、郊社令、太官令、廩犧令位又在其東，每等異位重行，俱西向北上。
HCH_009_029_000034	又設太祝、奉禮郎及諸執事位於內壝東門外道南，每等異位重行，俱西向北上。
HCH_009_029_000035	設監祭禦史二位，一於壇下午陛之西南，一於子陛之西北，俱東向。
HCH_009_029_000036	設監禮博士二位，一於壇下午陛之東南，一於子陛之東北，俱西向。
HCH_009_029_000037	奉禮郎位於壇之東南，西向。
HCH_009_029_000038	協律郎位於樂虡西北，東向。
HCH_009_029_000039	大樂令位於樂虡之間，西向。
HCH_009_029_000040	司尊彝位於酌尊所，俱北向。
HCH_009_029_000041	設望瘞位坎之南，北向。
HCH_009_029_000042	又設牲榜位於內濆東門之外，西向。
HCH_009_029_000043	太祝、祝史各位於牲後，俱西向。
HCH_009_029_000044	設省饌位於牲西，太常卿、光祿卿、太官令位於牲北，南向，西上。
HCH_009_029_000045	監祭、監禮位在太常卿之西稍卻，西上。
HCH_009_029_000046	廩犧令位於牲西南，北向。
HCH_009_029_000047	又陳禮饌於內壝東門之外，道北，南向。
HCH_009_029_000048	設省饌位於禮饌之南。
HCH_009_029_000049	太常卿、光祿卿、太官令位在東，西向，監祭、監禮位在西，東向，俱北上。
HCH_009_029_000050	設祝版於神位之右。
HCH_009_029_000051	司尊及奉禮郎帥其屬，設玉幣篚於酌尊所，次及籩豆之位。
HCH_009_029_000052	正、配位各左有十一籩、右有十一豆，俱為三行。
HCH_009_029_000053	登三，在籩豆間。
HCH_009_029_000054	鉶三，在登前。
HCH_009_029_000055	簠一、簋一，各在鉶前。
HCH_009_029_000056	又設尊罍之位，皇地祇太尊二、著尊二、犧尊二、山罍二，在壇上東南隅。
HCH_009_029_000057	配位著尊二，犧尊二、象尊二、山罍二，在正位酒尊之東，俱北向西上，皆有坫，加勺、冪，為酌尊所。
HCH_009_029_000058	又設皇地祇位象尊二、壺尊二、山罍四，在壇下午陛之西，北向西上。
HCH_009_029_000059	配位犧尊二、壺尊二、山罍四，在酉陛之北，東向北上，皆有坫，加冪，設而不酌。
HCH_009_029_000060	神州地祇位左八籩、右八豆，登一在籩豆間，簠一、簋一在登前，爵坫一，在神座前。
HCH_009_029_000061	又設第二等諸神位每位籩二、豆二、簠一、簋一、俎一、爵坫一。
HCH_009_029_000062	內濆之內外諸神每位籩一、豆一、簠一、簋一、俎一、爵坫一。
HCH_009_029_000063	陳列皆與上同。
HCH_009_029_000064	又設神州地祇太尊二、著尊二，皆有坫。
HCH_009_029_000065	第二等諸神每方山尊二，內濆內每方蜃尊二，內濆外每方概尊二，皆加勺、冪。
HCH_009_029_000066	又設正、配位籩一、豆一、簠一、簋一、俎三、及毛血豆一、並神州地祇位俎一，各於饌冪內。
HCH_009_029_000067	又設二洗於壇下卯陛之東，北向，盥洗在東，爵洗在西，並有罍加勺。
HCH_009_029_000068	篚在洗西，南肆，實以巾。
HCH_009_029_000069	爵洗之篚實以匏爵，加坫。
HCH_009_029_000070	又設第一等分獻官盥洗爵洗位，第二等以下分獻官盥洗位，各于其方道之左，罍在洗左，篚在洗右，俱內向。
HCH_009_029_000071	執罍篚者各於其後。
HCH_009_029_000072	祭日醜前五刻，司天監、郊社令帥其屬，升設皇地祇及配位神座於壇上，設神州地祇座於第一等。
HCH_009_029_000073	又設玉幣，皇地祇玉以黃琮，神州地祇玉以兩圭有邸，皆置於匣。
HCH_009_029_000074	正、配位幣並以黃色，神州地祇幣以玄色，五神、五官、嶽鎮海瀆之幣各從其方色，皆陳於篚。
HCH_009_029_000075	太祝取瘞玉加于幣，於禮神之玉各置於神座前。
HCH_009_029_000076	光祿卿帥其屬，入實正、配位籩豆。
HCH_009_029_000077	籩三行以右為上，豆三行以左為上，其實並如郊祀。
HCH_009_029_000078	登實以大羹，鉶實以和羹。
HCH_009_029_000079	又設從祭第一等神州地祇之饌。
HCH_009_029_000080	籩三行以右為上，豆三行以左為上，其實並如郊祀。
HCH_009_029_000081	登實以大羹，簠實以稷，簋實以黍。
HCH_009_029_000082	第二等每位，左二籩，栗在前，鹿脯次之。
HCH_009_029_000083	右二豆，菁菹在前，鹿臡次之。
HCH_009_029_000084	簠實以稷，簋實以黍。
HCH_009_029_000085	俎，一羊、一豕。
HCH_009_029_000086	內濆內外每位，左籩一，鹿脯。
HCH_009_029_000087	右豆一，鹿臡。
HCH_009_029_000088	簠稷，簋黍，俎以羊。
HCH_009_029_000089	良醖令帥其屬，入實酒尊。
HCH_009_029_000090	皇地祇太尊為上，實以泛齊。
HCH_009_029_000091	著尊次之，實以醴齊。
HCH_009_029_000092	犧尊次之，實以盎齊。
HCH_009_029_000093	象尊次之，實以醍齊。
HCH_009_029_000094	壺尊次之，實以沈齊。
HCH_009_029_000095	山罍為下，實以三酒。
HCH_009_029_000096	配位，著尊為上，實以泛齊。
HCH_009_029_000097	犧尊次之，實以醴齊。
HCH_009_029_000098	象奠次之，實以盎齊。
HCH_009_029_000099	壺尊次之，實以醍齊，山罍為下，實以三酒。
HCH_009_029_000100	皆左實明水，右實玄酒，皆尚醖代。
HCH_009_029_000101	次實從祭第一等神州地祇酒尊，太尊為上，實以泛齊。
HCH_009_029_000102	著尊次之，實以醴齊。
HCH_009_029_000103	第二等，山尊實以醍齊。
HCH_009_029_000104	內濆內，蜃尊實以泛齊。
HCH_009_029_000105	內濆外，概尊實以三酒。
HCH_009_029_000106	以上尊皆左以明水，右以玄酒，皆尚醖代之。
