HCH_009_040_000001	禘祫親饗。
HCH_009_040_000002	皇帝入門。
HCH_009_040_000003	宮縣無射宮《昌甯之曲》：惟時升平，禮儀肇興。
HCH_009_040_000004	鳴鑾至止，穆穆造庭。
HCH_009_040_000005	百辟卿士，恪謹迎承。
HCH_009_040_000006	恭款祖考，神宇攸寧。
HCH_009_040_000007	皇帝升殿，登歌夾鐘宮《昌甯之曲》：笙鏞既陳，罍樽在戶。
HCH_009_040_000008	升降有容，惟規惟矩。
HCH_009_040_000009	恭敬明神，上儀交舉。
HCH_009_040_000010	永言保之，承天之祜。
HCH_009_040_000011	皇帝盥洗，宮縣無射宮《昌甯之曲》：惟水之功，潔淨精微。
HCH_009_040_000012	洗爵奠斝，於德有輝。
HCH_009_040_000013	皇皇穆穆，宗廟之威。
HCH_009_040_000014	宜其感格，福祉交歸。
HCH_009_040_000015	皇帝降階，宮縣無射宮《昌甯之曲》：于皇神宮，象天清明。
HCH_009_040_000016	有來肅肅，相維公卿。
HCH_009_040_000017	禮儀卒度，君子攸甯。
HCH_009_040_000018	孔時孔惠，綏我思成。
HCH_009_040_000019	迎神，宮縣《來甯之曲》：八音克諧，百禮具舉。
HCH_009_040_000020	明德維清，至誠永慕。
HCH_009_040_000021	神之格思，雲軿風馭。
HCH_009_040_000022	來止來臨，千祀燕處。
HCH_009_040_000023	司徒引俎，宮縣無射宮《豐甯之曲》：維牲維犧，齊明致祠。
HCH_009_040_000024	我將我享，吉蠲奉之。
HCH_009_040_000025	博碩肥腯，神嗜為宜。
HCH_009_040_000026	千秋歆此，永綏黔黎。
HCH_009_040_000027	始祖酌獻，宮縣無射宮《大元之曲》：惟酒既清，惟肴既馨。
HCH_009_040_000028	苾芬孝祀，在廟之庭。
HCH_009_040_000029	羞于皇祖，來燕來寧。
HCH_009_040_000030	象功昭德，先祖是聽。
HCH_009_040_000031	德皇帝，《大熙之曲》：萬方欣戴，鴻業創基。
HCH_009_040_000032	瑤源垂裕，綿瓞重熙。
HCH_009_040_000033	式崇毖祀，爰考成規。
HCH_009_040_000034	籩豆有楚，益臻皇儀。
HCH_009_040_000035	安皇帝，《大安之曲》：爰圖造邦，載德其昌。
HCH_009_040_000036	皇儀允穆，誕集嘉祥。
HCH_009_040_000037	明誠昭格，積厚流光。
HCH_009_040_000038	祇嚴清廟，鐘石琅琅。
HCH_009_040_000039	獻祖，《大昭之曲》：惟聖興邦，經始之初。
HCH_009_040_000040	鳩民化俗，還定攸居。
HCH_009_040_000041	迪德純儉，志規遠圖。
HCH_009_040_000042	時哉顯祀，精誠有孚。
HCH_009_040_000043	昭祖，《大成之曲》：天啟璿源，貽慶定基。
HCH_009_040_000044	率義為勇，施德為威。
HCH_009_040_000045	耀武拓境，功烈巍巍。
HCH_009_040_000046	永昌皇祚，均福黔黎。
HCH_009_040_000047	景祖，《大昌之曲》：丕顯鴻烈，基緒降昌。
HCH_009_040_000048	聖期誕集，邦宇斯張。
HCH_009_040_000049	尊嚴廟祏，昭格休祥。
HCH_009_040_000050	煌煌縟典，億載彌光。
HCH_009_040_000051	世祖，《大武之曲》：桓桓伐功，天監其明。
HCH_009_040_000052	惟威震疊，惟德綏寧。
HCH_009_040_000053	神策無遺，鴻圖以興。
HCH_009_040_000054	會孫孝祀，遹昭厥成。
HCH_009_040_000055	肅宗，《大明之曲》：于皇神人，武烈文謨。
HCH_009_040_000056	左右世祖，懷柔掃除。
HCH_009_040_000057	威震遐邇，化漸蟲魚。
HCH_009_040_000058	垂光綿永，成帝之孚。
HCH_009_040_000059	穆宗，《大章之曲》：烝哉文祖，欽聖弘淵。
HCH_009_040_000060	慈愛忠信，典策昭然。
HCH_009_040_000061	歆此明祀，繁祉綿綿。
HCH_009_040_000062	時純熙矣，流慶萬年。
HCH_009_040_000063	康宗，《大康之曲》：惟明惟聽，曄曄神功。
HCH_009_040_000064	儀刑世業，昭格上穹。
HCH_009_040_000065	持盈孝孫，薦芳斯豐。
HCH_009_040_000066	錫我祉福，皇化益隆。
HCH_009_040_000067	太祖，《大定之曲》：功超殷周，德配唐虞。
HCH_009_040_000068	天人協應，平統寰區。
HCH_009_040_000069	開祥垂裕，肇基永圖。
HCH_009_040_000070	明明天子，敬承典謨。
HCH_009_040_000071	太宗，《大惠之曲》：巍巍德鴻，無為端扆。
HCH_009_040_000072	祚承神功，究馴俗美。
HCH_009_040_000073	清宮緝熙，孝毖時祀。
HCH_009_040_000074	欽奠羞誠，犧樽嘉旨。
HCH_009_040_000075	熙宗《大同之曲》：昭顯令德，神基丕承。
HCH_009_040_000076	對越在天，享用躋升。
HCH_009_040_000077	于穆清廟，來燕來寧。
HCH_009_040_000078	神其醉止，惟欽克誠。
HCH_009_040_000079	睿宗，《大和之曲》：皇祖開基，周武殷湯。
HCH_009_040_000080	猗歟聖考，嗣德彌光。
HCH_009_040_000081	啟佑洪緒，長髮其祥。
HCH_009_040_000082	嚴恭廟享，萬世烝嘗。
HCH_009_040_000083	世宗，《大鈞之曲》：神之來思，甫登於堂。
HCH_009_040_000084	稞圭有瓚，秬鬯芬芳。
HCH_009_040_000085	巍巍先功，啟祐無疆。
HCH_009_040_000086	萬年肆祀，孝心不忘。
HCH_009_040_000087	顯宗，《大寧之曲》：于皇神宮，有嚴惟清。
HCH_009_040_000088	吉蠲孝祀，惟神之寧。
HCH_009_040_000089	對越在天，綏我思誠。
HCH_009_040_000090	敷祐億年，邦家之慶。
HCH_009_040_000091	章宗，《大隆之典》：兩紀踐阼，萬方甯康。
HCH_009_040_000092	文經天地，武服遐荒。
HCH_009_040_000093	禮備制定，德隆業昌。
HCH_009_040_000094	居歆典祀，億載無疆。
HCH_009_040_000095	宣宗，《大慶之曲》：猗歟聖皇，三代之英。
HCH_009_040_000096	功光先後，德被群生。
HCH_009_040_000097	牲粢惟馨，鼓鐘其鏗。
HCH_009_040_000098	神兮來思，歆於克誠。
HCH_009_040_000099	文舞退，武舞進，宮縣無射宮《肅甯之曲》：明明先皇，神武維揚。
HCH_009_040_000100	開基垂統，萬世無疆。
HCH_009_040_000101	干戚象功，威儀有光。
HCH_009_040_000102	神保是饗，昭哉降康。
HCH_009_040_000103	亞終獻，無射宮《肅甯之曲》：涓辰之休，昭祀惟恭。
HCH_009_040_000104	威儀陟降，惟禮是從。
HCH_009_040_000105	籩豆靜嘉，于論鼓鐘。
HCH_009_040_000106	惟皇受祉，監斯德容。
HCH_009_040_000107	皇帝飲福，登歌夾鐘宮《福甯之曲》：犧牲充潔，粢盛馨香。
HCH_009_040_000108	來格來享，精神用彰。
HCH_009_040_000109	飲此純禧，簡簡穰穰。
HCH_009_040_000110	文明天子，萬壽無疆。
HCH_009_040_000111	徹豆，登歌夾鐘宮《豐甯之曲》：孝祀肅睦，明德以薦。
HCH_009_040_000112	樂奏九成，禮終三獻。
HCH_009_040_000113	百辟卿士，進徹以時。
HCH_009_040_000114	小大稽首，神保聿歸。
HCH_009_040_000115	送神，宮縣黃鐘宮《來甯之曲》：潔茲牛羊，清茲酒醴。
HCH_009_040_000116	三獻攸終，神既燕喜。
HCH_009_040_000117	神之去兮，載錫繁祉。
HCH_009_040_000118	萬壽無疆，永保禋祀。
HCH_009_040_000119	郊祀前，朝享太廟樂歌。
