HCH_009_042_000001	世宗大定三年，袷享，用黃麾仗三千人。
HCH_009_042_000002	分四節：第一節，無縣令、府牧，即用黃麾前三部，次前部鼓吹，次金吾牙門旗，次駕頭，次引駕龍墀隊，次天王、十二辰等旗。
HCH_009_042_000003	第二節，黃麾第四、第五部，次君王萬歲日月旗，次禦馬，內增控馬司圉、挾馬司圉各一十六人，次日月合璧、五星連珠等旗，次八寶，內增執黑杖傳喝一十八人在香案前，次七寶輦。
HCH_009_042_000004	第三節，黃麾後第一、第二部，次玉輅，次栲栳隊，次導駕門仗官。
HCH_009_042_000005	第四節，黃麾後第三、第四、第五部，次金輅，次牙門旗，次後部鼓吹。
HCH_009_042_000006	大定六年九月，西京還都，用黃麾仗二千五百四十二人攝官在內，騎七百六十二匹。
HCH_009_042_000007	分四節：第一節，攝官五十四人，執擎三百二人，樂工一百七十人。
HCH_009_042_000008	第二節，攝官三十二人，執擎三百七十六人。
HCH_009_042_000009	第三節，仗內攝官四十四人，導駕官四十二人。
HCH_009_042_000010	門仗官一百人，玉輅青馬八、駕士一百四十人，護駕栲隊五百人，執擎二百四十二人。
HCH_009_042_000011	第四節，攝官五十人，金輅赤馬八、駕士九十四人，控鶴二十二人，樂工八十四人，執擎二百九十人。
HCH_009_042_000012	是歲，上還自西京，有司備儀仗，皇太子乘綴輅，上疑其非禮，以問禮官，無能知者，上怒，皆責降之。
HCH_009_042_000013	明年，將冊皇太子，宰臣奏當備儀仗告廟，上曰：「前朕受尊號謁謝，但令朕用宋真宗故事，朝服乘馬，於禮甚輕，今皇太子乃用備禮何耶？」
HCH_009_042_000014	丞相良弼謝，上徐曰：「此文臣因循，不加意爾。」
HCH_009_042_000015	先是，凡行幸皆役民執仗，是後詔以軍士易之。
HCH_009_042_000016	大定十一年，將有事於南郊，朝享太廟，右丞石琚奏其禮，上曰：「前朝漢人祭天，惟務整肅儀仗，此自奉耳，非敬天也。朕謂祭天在誠，不在儀仗之盛也，其減半用之。」
HCH_009_042_000017	於是，遂增損黃麾仗為大駕鹵簿，凡用七千人攝官在內，分八節。
HCH_009_042_000018	第一節。
HCH_009_042_000019	第一引，七十人，縣令。
HCH_009_042_000020	第二引，二百六十四人，府牧。
HCH_009_042_000021	第三引，二百二十九人，御史大夫，名色與府牧同，頗損其數，而增行止旗一。
HCH_009_042_000022	第二節。
HCH_009_042_000023	金吾皁纛旗一十二人，硃雀隊三十四人，指南、記裏鼓車皆五十二人，鸞旗車一十八人。
HCH_009_042_000024	前部鼓吹一百二十九人。
HCH_009_042_000025	清遊隊七十二人：內白澤旗二，旗五人，綠具裝冠、綠皮甲勒皮、錦臂鞲、橫刀，引夾加弓矢，綠皮馬甲、包尾全。
HCH_009_042_000026	折沖都尉二人，黑平巾幘、紫繡辟邪袍、革帶、銀褐大口袴、錦螣蛇、橫刀、弓矢。
HCH_009_042_000027	弩六、弓矢二十四，槊三十。
HCH_009_042_000028	並錦帽、青繡寶相花衫、革帶、銀褐大口袴。
HCH_009_042_000029	佽飛隊四十八人：內果毅都尉二，黑平巾幘、紫繡飛麟袍、革帶、銀褐大口袴、錦螣蛇，佩橫刀、弓矢。
HCH_009_042_000030	虞候佽飛三十人，鐵甲、兜牟、橫刀、弓矢、黑馬甲全。
HCH_009_042_000031	鐵甲佽飛一十六人。
HCH_009_042_000032	服、執如上。
HCH_009_042_000033	前部馬隊，第一隊六十四人，第二、第三隊皆六十人，第四、第五隊皆五十八人。
HCH_009_042_000034	殳叉仗五十四人：內帥兵官二人，黑平巾幘、緋寶相花衫、革帶、銀褐大口袴，執儀刀。
HCH_009_042_000035	殳二十六，叉二十六。
HCH_009_042_000036	五色寶相花衫、抹額、抹帶、行縢、鞋襪。
HCH_009_042_000037	行止旗一。
HCH_009_042_000038	緋繡寶相花衫、抹額、銀褐抹帶、大口袴。
HCH_009_042_000039	第三節。
HCH_009_042_000040	前部鼓吹第二，三百六十九人。
HCH_009_042_000041	前步甲隊，第一至第五隊皆四十二人。
HCH_009_042_000042	衙門旗二十人。
HCH_009_042_000043	黃麾前第一部一百五十人，第二部一百二十人。
HCH_009_042_000044	殳叉仗五十八人。
HCH_009_042_000045	行止旗一。
HCH_009_042_000046	第四節。
HCH_009_042_000047	黃麾幡三人，六軍儀仗二百二十六人，禦馬三十三人，黃麾前第三至第五部皆一百二十人，青龍白虎隊五十二人，殳叉仗五十六人，行止旗一。
HCH_009_042_000048	第五節。
HCH_009_042_000049	八寶二百三十二人，平頭輦三十人，七寶輦四十二人。
HCH_009_042_000050	班劍、儀刀隊二百人：內將軍二人，折沖都尉二人，平巾幘、緋辟邪袍、革帶、銀褐大口袴、錦螣蛇，執儀刀。
HCH_009_042_000051	班劍、儀刀各九十八。
HCH_009_042_000052	並平巾幘、緋繡寶相花衫、革帶、銀褐大口袴、錦螣蛇、執儀刀。
HCH_009_042_000053	驍衛翊衛隊六十人：內供奉郎將二員，黑平巾幘、緋繡寶瑞馬袍、革帶、銀褐大口袴，執儀刀。
HCH_009_042_000054	鳳旗二，旗五人，服、執如前。
HCH_009_042_000055	弩、弓矢、槊皆一十六。
HCH_009_042_000056	服如班劍，橫刀。
HCH_009_042_000057	夾轂隊，第一隊九十二人：內折沖都尉二人，平巾幘、緋繡飛麟袍、革帶、銀褐大口袴，執儀刀。
HCH_009_042_000058	寶符旗二，旗五人，硃鍪甲刀盾八十。
HCH_009_042_000059	硃甲、錦臂鞲、行縢、鞋襪。
HCH_009_042_000060	第二隊八十二人：內果毅都尉二人，白澤袍。
HCH_009_042_000061	飛黃旗二，旗五人，銀褐鍪甲刀盾七十。
HCH_009_042_000062	第三隊八十二人：內果毅都尉二人，赤豹袍。
HCH_009_042_000063	吉利旗二，旗五人，皁鍪甲刀盾七十。
HCH_009_042_000064	殳叉仗五十六人。
HCH_009_042_000065	行止旗一。
HCH_009_042_000066	第六節。
HCH_009_042_000067	馬步門旗隊一百人，駕頭一十五人，廣武官、茶酒班執從物者二十三人。
HCH_009_042_000068	禦龍直四十人。
HCH_009_042_000069	紅錦團襖、鍍金束帶，內人員二皁帽，三十八人真珠頭巾。
HCH_009_042_000070	玉輅一百五十一人。
HCH_009_042_000071	栲栳隊五百人：內金槍隊一百二十六人，分左右，人員十八、並鐵甲、皁帽、紅錦背子，執小旗，馬甲，紅錦包尾。
HCH_009_042_000072	長行一百八人，鐵甲、兜牟、紅錦背子、錦臂鞲，甲馬、紅錦包尾，執金槍。
HCH_009_042_000073	銀槍隊一百二十六人，人員十八、長行一百八人，服並如上，銀槍。
HCH_009_042_000074	弓箭直步隊一百二十四人，人員四、鐵甲、皁帽、紅錦團花戰袍、弓矢，執銀骨朵，馬甲全。
HCH_009_042_000075	長行一百二十人，鐵笠、紅錦團花戰袍、鐵甲、弓矢、骨朵。
HCH_009_042_000076	骨朵直步隊一百二十四人，人員四、長行一百二十人。
HCH_009_042_000077	服甲同上，無弓矢。
HCH_009_042_000078	金吾牙門旗二十人，黃麾後第一部一百五十人，第二部一百二十人，殳叉仗五十二人，行止旗一。
HCH_009_042_000079	第七節。
HCH_009_042_000080	扇筤二十五人，金輅九十四人。
HCH_009_042_000081	大安輦一百八十一人：內尚輦奉禦二人，殿中少監二人，奉職官二人，並公服。
HCH_009_042_000082	令史四人，書令史四人，七人烏介幘、緋四䙆素衫、銀褐抹帶、大口袴、皁靴，一人長腳襆頭、紫羅公服、角帶皁靴。
HCH_009_042_000083	掌輦四人，武弁、黃繡寶相花衫、銀褐抹帶、大口袴。
HCH_009_042_000084	人員十二，皁帽、紅錦團襖、銅束帶，內指揮使一人執銀骨朵。
HCH_009_042_000085	舁士一百五十一人。
HCH_009_042_000086	服同掌輦。
HCH_009_042_000087	禦馬三十三人。
HCH_009_042_000088	持鈒隊三十九人。
HCH_009_042_000089	後部鼓吹一百六十人。
HCH_009_042_000090	黃麾後第三至第五部皆一百二十人。
HCH_009_042_000091	後步甲隊第一至第二隊皆四十二人。
HCH_009_042_000092	殳叉五十六人。
HCH_009_042_000093	行止旗一。
HCH_009_042_000094	第八節。
HCH_009_042_000095	後部鼓吹第二，一百四十人。
HCH_009_042_000096	象輅、革車、木輅皆五十人，進賢車二十六人，豹尾車一十八人，屬車八十人。
HCH_009_042_000097	玄武隊六十一人。
HCH_009_042_000098	後步甲隊第三至第五隊皆四十二人。
HCH_009_042_000099	金吾牙門旗二十人。
HCH_009_042_000100	後部馬隊第一隊七十六人，第二隊六十四人，第三隊六十人。
HCH_009_042_000101	殳叉仗六十人。
HCH_009_042_000102	行止旗一。
HCH_009_042_000103	後分行旗、止旗為二。
HCH_009_042_000104	以上名數與黃麾同者不重述。
HCH_009_042_000105	章宗明昌五年六月，尚書省奏：「大定六年，世宗自西京還都，采宋省方還京之儀，用黃麾仗二千人、及金玉輅、栲栳隊甲騎五百人、導駕官四十二員，自後遂不復用。今車駕幸景明宮，還都之日宜依用之。」
HCH_009_042_000106	制可。
HCH_009_042_000107	承安元年，省臣奏：「南郊大禮，大駕鹵簿當用人二萬一千二百一十八、馬八千一百九十八。世宗親行郊祀，仗用七千人。今擬大定制外量添甲卒三百，栲栳隊、執楇人二百四十八，通七千五百四十八人，仍分八節。」
HCH_009_042_000108	從之。
HCH_009_042_000109	泰和六年，上欲親行祫享，命有司計其役費，尚書省奏：「當用仗三千五百人，錢一萬余貫，馬八百六十五匹。舊例，馬皆借取於民，親軍、班祗皆自備從事。今軍旅方興，官馬以備緩急，不可借用，民亦不可重擾，宜令有司攝事。」
HCH_009_042_000110	上詔再議之。
HCH_009_042_000111	八年四月，禘於太廟，依元年例，用黃麾仗三千人，屯門仗五百人。
HCH_009_042_000112	用唐、宋制，共二千八百四十人。
HCH_009_042_000113	清旅隊三十人，清遊旗一，執一人、引二人、夾二人。
HCH_009_042_000114	並平巾幘、緋裲襠、大口袴、佩弓矢、橫刀、執槊、弩、騎。
HCH_009_042_000115	次金吾衛折沖都尉一人，平巾幘、紫槊襠、大口袴、錦螣蛇、弓矢、橫刀。
HCH_009_042_000116	皞槊二人，平巾幘、緋衫、大口褲，夾折沖。
HCH_009_042_000117	領四十騎：二十人執槊、四人弩、十六人橫刀。
HCH_009_042_000118	並平巾幘、緋裲襠、大口袴、橫刀、弓矢。
HCH_009_042_000119	次虞候佽飛二十八人。
HCH_009_042_000120	並平巾幘、緋裲襠、大口袴、弓矢、橫刀，騎夾道，分左右均布至黃麾仗。
HCH_009_042_000121	次內僕令一人，丞一人，依本品服，分左右。
HCH_009_042_000122	各書令史二人。
HCH_009_042_000123	平巾幘、緋衫、大口褲，騎從。
HCH_009_042_000124	次黃麾一，執一人，夾二人。
HCH_009_042_000125	武弁、硃衣、革帶，正道騎。
HCH_009_042_000126	次左右廂黃麾仗，廂各三行，行百人，從內第一行，短戟、五色氅，執者並黃地白花綦襖、帽、行縢、鞋、襪。
HCH_009_042_000127	次外第二行，戈、五色氅，執人並赤地黃花綦襖、帽、行縢鞋、襪。
HCH_009_042_000128	次外第三行，儀鍠、五色幡。
HCH_009_042_000129	並青地赤花綦襖、帽、鞋、行縢、鞋、襪。
HCH_009_042_000130	次左右領軍衛、左右威衛、左右武衛、左右驍衛、左右衛等，衛各三行，行二十人，分前、後。
HCH_009_042_000131	衛各主帥六人，唯左右領軍衛各三人，並平巾幘、緋裲襠、大口袴，領軍衛前後獅子文袍、帽、余衛豹文袍、帽，各執鍮石裝長刀，騎領，分前、後。
HCH_009_042_000132	每衛各果毅都尉一人檢校。
HCH_009_042_000133	被繡袍，以上各一名步從。
HCH_009_042_000134	左右領軍衛有絳引幡，引前、掩後各三。
HCH_009_042_000135	執者六人，並平巾幘、緋衫、大口袴。
HCH_009_042_000136	次內謁者監四人，給事二人，內常侍二人，內侍少監二人。
HCH_009_042_000137	並騎，分左右。
HCH_009_042_000138	以上各有內給使一人，步從。
HCH_009_042_000139	次內給使百二十人。
HCH_009_042_000140	皆宮人，並平巾幘、緋衫、大口袴，分左右，在車後。
HCH_009_042_000141	次偏扇、團扇、方扇各二十四。
HCH_009_042_000142	分左右，以宮人執之，皆服間彩大袖裙襦、彩衣、革帶、履。
HCH_009_042_000143	次香蹬一，執擎內給使四人。
HCH_009_042_000144	平巾幘、緋裲襠、大口袴，在重翟車前。
HCH_009_042_000145	次重翟車，馬四，駕士二十四人。
HCH_009_042_000146	平巾幘、青衫、大口褲、鞋襪。
HCH_009_042_000147	次行障二，坐障二。
HCH_009_042_000148	分左右夾車，宮人執之。
HCH_009_042_000149	服同執扇。
HCH_009_042_000150	次內寺伯二人，領寺人六。
HCH_009_042_000151	分左右，平巾幘、緋裲襠、大口袴、執禦刀，並騎，夾重翟車。
HCH_009_042_000152	次腰輿一，輿士八人，團雉扇二。
HCH_009_042_000153	夾輿。
HCH_009_042_000154	次大傘四，次大雉扇八。
HCH_009_042_000155	分左右，橫行為二重。
HCH_009_042_000156	次錦華蓋二。
HCH_009_042_000157	單行，正道。
HCH_009_042_000158	次小雉扇、硃團扇各十二。
HCH_009_042_000159	並橫行，分左右。
HCH_009_042_000160	次錦曲蓋二十四。
HCH_009_042_000161	橫行，為二重。
HCH_009_042_000162	次錦六柱八扇。
HCH_009_042_000163	分左右。
HCH_009_042_000164	自腰輿以下並內給使執之，服同前。
HCH_009_042_000165	次宮人車。
HCH_009_042_000166	次絳麾二。
HCH_009_042_000167	分左右，執各一人，武弁、硃衣、革帶、鞋襪。
HCH_009_042_000168	次後黃麾一，執一人，夾二人。
HCH_009_042_000169	並騎，武弁、硃衣、革帶，正道。
HCH_009_042_000170	次供奉宮人。
HCH_009_042_000171	在黃麾後。
HCH_009_042_000172	次厭翟車，馬四，駕士二十四人。
HCH_009_042_000173	次翟車、安車皆四馬，駕士各二十四人。
HCH_009_042_000174	次四望車、金根車，皆駕牛三，駕士各十二人。
HCH_009_042_000175	服同前。
HCH_009_042_000176	次左右廂牙門各二，每門執二人，夾四人。
HCH_009_042_000177	並赤綦襖、黃袍、帽。
HCH_009_042_000178	第一門在前黃麾前，第二門在後黃麾後。
HCH_009_042_000179	次左右領軍衛，每廂各一百五十人，執殳，並赤地黃花綦襖、帽、行縢、鞋襪。
HCH_009_042_000180	前與黃麾仗齊，後盡鹵簿。
HCH_009_042_000181	廂各主帥四人，檢校。
HCH_009_042_000182	平巾幘、緋衫、大口袴、被黃袍帽，執鍮石長刀，騎。
HCH_009_042_000183	其服豹文者二在內，服獅文者二，一引前，一護後。
HCH_009_042_000184	次左右領軍衛、折沖都尉各一人，檢校殳仗。
HCH_009_042_000185	以上各一人騎從。
HCH_009_042_000186	次後殳仗內正道置牙門一，每門監門校尉二人，皆平巾幘、緋裲襠、大口袴，執銀裝長刀，騎。
HCH_009_042_000187	每廂各巡檢校尉一人、往來檢校。
HCH_009_042_000188	服仗同前。
HCH_009_042_000189	前後部鼓吹，金鉦、掆鼓、大鼓、長鳴、中鳴、鐃吹、羽葆、鼓吹、橫吹、節鼓、禦馬並減大駕之半。
HCH_009_042_000190	是歲，重翟等六車改用圓方輅輦，及行障、坐障、錦六柱、宮人等車，其制度人數並見《輿服志》。
HCH_009_042_000191	天德二年，海陵立後，皇后乘龍飾肩輿，有司設二步障於殿之西階，設扇左右各十，傘一，此蓋殿庭導引之儀也。
HCH_009_042_000192	又設皇太后導從六十人，傘子不在數內，並服簇四盤雕團花紅錦襖、金花襆頭、塗金銀束帶。
HCH_009_042_000193	永壽、永甯宮導駕各三十人，傘子各二人，此亦常行之儀也。
HCH_009_042_000194	受冊寶謝廟，凡大禮、大朝會則用之。
HCH_009_042_000195	有司奏當用唐、宋儀禮，詔止用千人。
HCH_009_042_000196	中道。
HCH_009_042_000197	清遊隊二十四人：折沖都尉一人，白澤旗一，五人，弩四、弓六、槊八。
HCH_009_042_000198	並騎。
HCH_009_042_000199	清道直蕩隊一十八人：折沖都尉二人，皞槊四，弓矢十二。
HCH_009_042_000200	並騎。
HCH_009_042_000201	誕馬四，控攏八人。
HCH_009_042_000202	正直旗隊三十三人：果毅都尉一人，重輪旗一、馴犀旗二、野馬旗一，馴象旗二，旗各五人，副竿二。
HCH_009_042_000203	並騎。
HCH_009_042_000204	細引隊一十四人：果毅都尉二人，弓矢六，槊六。
HCH_009_042_000205	槊與弓矢相間，並騎。
HCH_009_042_000206	前部鼓吹九十八人：並騎。
HCH_009_042_000207	府史二人，金鉦、掆鼓各二，大鼓十二，長鳴八，鐃鼓二，簫六，笳六、帥兵官二、節鼓二、小鼓十二、中鳴八、桃皮篳篥四、歌四、拱辰管六、篳篥六、大橫吹十二、羽葆鼓二、帥兵官二。
HCH_009_042_000208	傘扇八：梅紅傘二，大雉扇四，中雉扇二。
HCH_009_042_000209	小輿一十八人。
HCH_009_042_000210	導引官一十二人：中允二人，諭德二人、庶子二人、詹事二人、太師一人、太傅一人、太保一人，少師一人在金輅後。
HCH_009_042_000211	並騎。
HCH_009_042_000212	親勳翊衛圍子隊七十四人：郎將二人。
HCH_009_042_000213	儀刀七十二。
HCH_009_042_000214	並騎。
HCH_009_042_000215	金輅七十人。
HCH_009_042_000216	三衛隊一十八人。
HCH_009_042_000217	執儀刀。
