HCH_009_059_000001	古者太史掌敘邦國之世次，辨其姓氏，別其昭穆，尚失。
HCH_009_059_000002	金人初起完毅十二部，其後皆以部為氏，史臣記錄有稱「宗室」者，有稱完顏者。
HCH_009_059_000003	稱完顏者。
HCH_009_059_000004	稱完顏者亦有二焉，有同姓完顏，蓋疏族，若石土門、迪古乃是也；有異姓完顏，蓋部人，若歡都是也。
HCH_009_059_000005	大定以前稱「宗室」，明昌以後避睿宗諱稱「內族」，其實一而已，書名不書氏，其制如此。
HCH_009_059_000006	宣宗詔宗室皆稱完顏，不復識別焉。
HCH_009_059_000007	大定、泰和之間，袒免以上親皆有屬籍，以敘授官，大功以上，薨卒輟朝，親親之道行焉。
HCH_009_059_000008	貞祐以後，譜牒散失，大概僅存，不可殫悉，今掇其可次第者著於篇。
HCH_009_059_000009	其上無所系、下無所承者，不能盡錄也。
HCH_009_059_000010	右始祖子，與德帝凡二人。
HCH_009_059_000011	右德帝子，與安帝凡三人。
HCH_009_059_000012	右安帝子，與獻祖凡五人。
HCH_009_059_000013	婆盧火稱安帝五代孫，不稱誰子，不可以世，置之卷末。
HCH_009_059_000014	右獻祖子，與昭祖凡七人。
HCH_009_059_000015	右昭祖子，與景祖凡六人。
HCH_009_059_000016	什古稱昭祖曾孫，崇成稱昭祖玄孫，不稱誰子，不可以世，置之卷末。
HCH_009_059_000017	右景祖子，與世祖、肅宗、穆宗凡九人。
HCH_009_059_000018	冶訶、魯補稱係出景祖，不稱誰子，不可以世，置之卷末。
HCH_009_059_000019	右世祖子，與康宗、太祖、太宗凡十一人。
HCH_009_059_000020	右肅宗子二人。
HCH_009_059_000021	右穆宗子五人。
HCH_009_059_000022	胡八魯稱穆宗孫，不稱誰子，不可以世，置之卷末。
HCH_009_059_000023	右康宗子三人。
HCH_009_059_000024	史載常春、胡里剌、胡剌、鶻魯、茶扎、怕八、訛出皆稱謀良虎孫，不稱誰子，不可以世。
HCH_009_059_000025	右太祖子，與景宣、睿宗凡十六人。
HCH_009_059_000026	遼王宗幹子與海陵五人。
HCH_009_059_000027	右太宗子十四人。
HCH_009_059_000028	史載北京留守卞、平陽尹稟皆太宗孫，不稱誰子，不可以世。
HCH_009_059_000029	右景宣子，與熈宗，凡三人。
HCH_009_059_000030	右熈宗子二人。
HCH_009_059_000031	右海陵子四人。
HCH_009_059_000032	右睿宗子，與世宗凡二人。
HCH_009_059_000033	右世宗子，與顯宗、衞紹王凡十人。
HCH_009_059_000034	右顯宗子，與章宗、宣宗凡七人。
HCH_009_059_000035	右章宗子，凡六人。
HCH_009_059_000036	右紹王子，史稱六子，可以名見者四人。
HCH_009_059_000037	右宣宗子，與末帝凡四人。
HCH_009_059_000038	他書載守純子三人，可以名見者二人。
HCH_009_059_000039	右諸宗室可譜者凡十一族，雖稱系出某帝，而不能世次，不譜於各帝之下，所以慎也。
