HCH_009_115_000001	完顏奴申，字正甫，素蘭之弟也。
HCH_009_115_000002	登策論進士第，仕曆清要。
HCH_009_115_000003	正大三年八月，由翰林直學士充益政院說書官。
HCH_009_115_000004	五年，轉吏部侍郎。
HCH_009_115_000005	監察御史烏古論石魯剌劾近侍張文壽、仁壽、李麟之受敵帥饋遺，詔奴申鞫問，得其奸狀，上曲赦其罪，皆斥去，朝論快之。
HCH_009_115_000006	九月，改侍講學士，以御史大夫奉使大元。
HCH_009_115_000007	至龍駒河，朝見太宗皇帝。
HCH_009_115_000008	十二月，還。
HCH_009_115_000009	明年六月，遷吏部尚書，複往。
HCH_009_115_000010	八年春，還。
HCH_009_115_000011	朝廷以勞拜參知政事。
HCH_009_115_000012	天興元年春，大兵駐鄭州海灘寺，遣使招哀宗降。
HCH_009_115_000013	複以奴申往乞和。
HCH_009_115_000014	不許，攻汴益急。
HCH_009_115_000015	汴受圍數月，倉庫匱乏，召武仙等入援不至，哀宗懼，以曹王訛可出質，請罷攻。
HCH_009_115_000016	冬十月，哀宗議親出捍禦，以奴申參知政事、兼樞密副使，完顏習捏阿不樞密副使、兼知開封府、權參知政事，總諸軍留守京師。
HCH_009_115_000017	又以翰林學士承旨烏古孫卜吉提控諸王府，同判大睦親府事兼都點檢內族合周管宮掖事，左副點檢完顏阿撒、右副點檢溫敦阿裏副之，戶部尚書完顏珠顆兼裏城四面都總領，御史大夫裴滿阿虎帶兼鎮撫軍民都彈壓，諫議大夫近侍局使行省左右司郎中烏古孫奴申兼知宮省事。
HCH_009_115_000018	又以把撒合為外城東面元帥，術甲咬住南面元帥，崔立西面元帥，孛術魯買奴北面元帥。
HCH_009_115_000019	乙酉，除拜定，以京城付之。
HCH_009_115_000020	又以戶部侍郎刁璧為安撫副使，總招撫司，規運京外糧斛。
HCH_009_115_000021	設講議所，受陳言文字，以大理卿納合德輝、戶部尚書仲平、中京副留守愛失等總其事。
HCH_009_115_000022	十二月辛丑，上出京，服絳紗袍，乘馬導從如常儀。
HCH_009_115_000023	留守官及京城父老從至城外奉辭，有詔撫諭，仍以鞭揖之。
HCH_009_115_000024	速不泬聞上已出，復會兵圍汴。
HCH_009_115_000025	初，上以東面元帥李辛跋扈出怨言，罷為兵部侍郎，將出，密喻奴申等羈縶之。
HCH_009_115_000026	上既行，奴申等召辛，辛懼，謀欲出降，棄馬逾城而走。
HCH_009_115_000027	奴申等遣人追及之，斬於省門。
HCH_009_115_000028	汴民以上親出師，日聽捷報，且以二相持重，幸以無事。
HCH_009_115_000029	俄聞軍敗衛州，蒼黃走歸德，民大恐，以為不救。
HCH_009_115_000030	時汴京內外不通，米升銀二兩。
HCH_009_115_000031	百姓糧盡，殍者相望，縉紳士女多行乞於市，至有自食其妻子者，至於諸皮器物皆煮食之，貴家第宅、市樓肆館皆撤以爨。
HCH_009_115_000032	及歸德遣使迎兩宮，人情益不安，於是民間有立荊王監國以城歸順之議，而二相皆不知也。
HCH_009_115_000033	天興二年正月丙寅，省令史許安國詣講議所言：「古者有大疑，謀及卿士，謀及庶人。今事勢如此，可集百官及僧道士庶，問保社稷、活生靈之計。」
HCH_009_115_000034	左司都事元好問以安國之言白奴申，奴申曰：「此論甚佳，可與副樞議之。」
HCH_009_115_000035	副樞亦以安國之言為然。
HCH_009_115_000036	好問曰：「自車駕出京，今二十日許，又遣使迎兩宮。民間洶洶，皆謂國家欲棄京城，相公何以處之？」
HCH_009_115_000037	阿不曰：「吾二人惟有一死耳。」
HCH_009_115_000038	好問曰：「死不難，誠能安社稷、救生靈，死而可也。如其不然，徒欲一身飽五十紅衲軍，亦謂之死耶？」
HCH_009_115_000039	阿不款語曰：「今日惟吾二人，何言不可。」
HCH_009_115_000040	好問乃曰：「聞中外人言，欲立二王監國，以全兩宮與皇族耳。」
HCH_009_115_000041	阿不曰：「我知之矣，我知之矣。」
HCH_009_115_000042	即命召京城官民。
HCH_009_115_000043	明日皆聚省中，諭以事勢危急當如之何。
HCH_009_115_000044	有父老七人陳詞云云，二相命好問受其詞。
HCH_009_115_000045	白之奴申，顧曰：「亦為此事也。」
HCH_009_115_000046	且問副樞「此事謀議今幾日矣」？
HCH_009_115_000047	阿不屈指曰：「七日矣。」
HCH_009_115_000048	奴申曰：「歸德使未去，慎勿泄。」
HCH_009_115_000049	或曰是時週邊不解，如在陷阱，議者欲推立荊王以城出降，是亦《春秋》紀季入齊之義，況北兵中已有曹王也。
HCH_009_115_000050	眾憤二人無策，但曰死守而已。
HCH_009_115_000051	忽聞召京城士庶計事，奴申拱立無語，獨阿不反復申諭：「國家至此無可奈何，凡有可行當共議之」，且繼以涕泣。
HCH_009_115_000052	明日戊辰，西面元帥崔立與其党孛術魯長哥、韓鐸、藥安國等為變，率甲卒二百橫刀入省中，拔劍指二相曰：「京城危困已極，二公坐視百姓餓死，恬不為慮，何也？」
HCH_009_115_000053	二相大駭，曰：「汝輩有事，當好議之，何遽如是。」
HCH_009_115_000054	立麾其党先殺阿不，次殺奴申及左司郎中納合德輝等，余見《崔立傳》。
