HCH_010_008_000001	景宗孝成康靖皇帝，諱賢，字賢寧，小字明扆。
HCH_010_008_000002	世宗皇帝第二子，母曰懷節皇后蕭氏。
HCH_010_008_000003	察割之亂，帝甫四歲。
HCH_010_008_000004	穆宗即位，養永興宮。
HCH_010_008_000005	即長，穆宗酗酒怠政。
HCH_010_008_000006	帝一日與韓匡嗣語及時事，耶律賢適止之。
HCH_010_008_000007	帝悟，不復言。
HCH_010_008_000008	應歷十九年春二月戊辰，入見，穆宗曰：「吾兒已成人，可付以政。」
HCH_010_008_000009	己巳，穆宗遇弒，帝率飛龍使女裏、侍中蕭思溫、南院樞密使高勛率甲騎千人馳赴。
HCH_010_008_000010	黎明，至行在，哭之慟。
HCH_010_008_000011	群臣勸進，遂即皇帝位於柩前。
HCH_010_008_000012	百官上尊號曰天贊皇帝，大赦，改元保寧。
HCH_010_008_000013	以殿前都點檢耶律夷臘、右皮室詳穩蕭烏裏只宿衛不嚴，斬之。
HCH_010_008_000014	三月丙戌，入上京，以蕭思溫為北院樞密使。
HCH_010_008_000015	太平王罨撒葛亡入沙沱。
HCH_010_008_000016	己丑，夷離畢粘木袞以陰附罨撒葛伏誅。
HCH_010_008_000017	癸巳，罨撒葛入朝。
HCH_010_008_000018	甲午，以北院樞密使蕭思溫兼北府宰相。
HCH_010_008_000019	己亥，南院樞密使高勛封秦王。
HCH_010_008_000020	夏四月戊申朔，進封太平王罨撒葛為齊王，改封趙王喜隱為宋王，封隆先為平王，稍為吳王，道隱為蜀王，必攝為越王，敵烈為冀王，宛為衛王。
HCH_010_008_000021	五月戊寅，立貴妃蕭氏為皇后。
HCH_010_008_000022	丙申，射柳祈雨。
HCH_010_008_000023	有司請以帝生日為天清節，從之。
HCH_010_008_000024	壬寅，漢遣李匡弼、劉繼文、李元素等來賀。
HCH_010_008_000025	冬十月，東幸瑽潭。
HCH_010_008_000026	十一月甲辰朔，行柴冊禮，祠木葉山，駐蹕鶴谷。
HCH_010_008_000027	乙巳，蕭思溫封魏王，北院大王屋質加於越。
HCH_010_008_000028	二年春正月丁未，如潢河。
HCH_010_008_000029	夏四月，幸東京，致奠於讓國皇帝及世宗廟。
HCH_010_008_000030	五月癸丑，西幸。
HCH_010_008_000031	乙卯，次盤道嶺，盜殺北院樞密使蕭思溫。
HCH_010_008_000032	六月，還上京。
HCH_010_008_000033	秋七月，以右皮室詳穩賢適為北院樞密使。
HCH_010_008_000034	九月辛丑，得國舅蕭海只及海裏殺蕭思溫狀，皆伏誅，流其弟神睹於黃龍府。
HCH_010_008_000035	冬十二月庚午，漢遣使來貢。
HCH_010_008_000036	三年春正月甲寅，右夷離畢奚底遣人獻敵烈俘，詔賜有功將士。
HCH_010_008_000037	庚申，置登聞鼓院。
HCH_010_008_000038	辛酉，南京統軍使魏國公韓匡美封鄴王。
HCH_010_008_000039	二月癸酉，東幸。
HCH_010_008_000040	壬午，遣鐸遏使阿薩蘭回鶻。
HCH_010_008_000041	己丑，以青牛白馬祭天地。
HCH_010_008_000042	三月丁未，以飛龍使女裏為契丹行宮都部署。
HCH_010_008_000043	夏四月丁卯，世宗妃啜裏及蒲哥厭魅，賜死。
HCH_010_008_000044	己卯，祠木葉山，行再生禮。
HCH_010_008_000045	丙戌，至自東幸。
HCH_010_008_000046	戊子，蕭神睹伏誅。
HCH_010_008_000047	六月丙子，漢遣使問起居，自是繼月而至。
HCH_010_008_000048	丁丑，回鶻遣使來貢。
HCH_010_008_000049	秋七月辛丑，以北院樞密使賢適為西北路招討使。
HCH_010_008_000050	八月甲戌，如秋山。
HCH_010_008_000051	辛卯，祭皇兄吼墓，追冊為皇太子，謚莊聖。
HCH_010_008_000052	九月乙巳，賜傅父侍中達裏叠、太保楚補、太保婆兒、保母回室、押雅等戶口、牛羊有差。
HCH_010_008_000053	又以潛邸給使者為撻馬部，置官掌之。
HCH_010_008_000054	壬子，幸歸化州。
HCH_010_008_000055	甲寅，如南京。
HCH_010_008_000056	冬十月己巳，以黑白羊祀神。
HCH_010_008_000057	癸未，漢遣使來貢。
HCH_010_008_000058	丙戌，鼻骨德、吐谷渾來貢。
HCH_010_008_000059	十一月庚子，臚朐河於越延尼裏等率戶四百五十來附，乞隸宮籍。
HCH_010_008_000060	詔留其戶，分隸敦睦、積慶、永興三宮，優賜遣之。
HCH_010_008_000061	十二月癸酉，以青牛白馬祭天地。
HCH_010_008_000062	己丑，皇子隆緒生。
HCH_010_008_000063	是冬，駐蹕金川。
HCH_010_008_000064	四年春二月癸亥，漢以皇子生，遣使來賀。
HCH_010_008_000065	閏月戊申，齊王罨撒葛薨。
HCH_010_008_000066	三月庚申朔，追冊為皇太叔。
HCH_010_008_000067	夏四月庚寅朔，追封蕭思溫為楚國王。
HCH_010_008_000068	是夏，駐蹕冰井。
HCH_010_008_000069	秋七月，如云州。
HCH_010_008_000070	丁丑，鼻骨德來貢。
HCH_010_008_000071	冬十月丁亥朔，如南京。
HCH_010_008_000072	十二月甲午，詔內外官上封事。
HCH_010_008_000073	五年春正月甲子，惕隱休哥伐党項，破之，以俘獲之數來上。
HCH_010_008_000074	漢遣使來貢。
HCH_010_008_000075	庚午，禦五鳳樓觀燈。
HCH_010_008_000076	二月丁亥，近侍實魯裏誤觸神纛，法論死，杖釋之。
HCH_010_008_000077	壬辰，越王必攝獻党項俘獲之數。
HCH_010_008_000078	戊申，以青牛白馬祭天地。
HCH_010_008_000079	辛亥，幸新城。
HCH_010_008_000080	三月乙卯朔，復幸新城。
HCH_010_008_000081	追封皇后祖胡母裏為韓王，贈伯胡魯古兼政事令，尼古只兼侍中。
HCH_010_008_000082	夏四月丙申，白氣晝見。
HCH_010_008_000083	五月癸亥，於越屋質薨，輟朝三日。
HCH_010_008_000084	辛未，女直侵邊，殺都監達裏叠、拽剌斡裏魯，驅掠邊民牛馬。
HCH_010_008_000085	己卯，阿薩蘭回鶻來貢。
HCH_010_008_000086	六月庚寅，女直宰相及夷離堇來朝。
HCH_010_008_000087	丙申，漢遣人以宋事來告。
HCH_010_008_000088	秋七月庚辰，以保大軍節度使耶律斜裏底為中臺省左相。
HCH_010_008_000089	是月，駐蹕燕子城。
HCH_010_008_000090	九月壬子，鼻骨德部長曷魯撻覽來貢。
HCH_010_008_000091	冬十月丁酉，如南京。
HCH_010_008_000092	十一月辛亥朔，始獲應歷逆黨近侍小哥、花哥、辛古等，誅之。
HCH_010_008_000093	十二月戊戌，漢將改元，遣使稟命。
HCH_010_008_000094	是月，如歸化州。
HCH_010_008_000095	六年春正月癸未，幸南京。
HCH_010_008_000096	三月，宋遣使請和，以涿州刺史耶律昌朮加侍中與宋議和。
HCH_010_008_000097	夏四月，宋王喜隱坐謀反廢。
HCH_010_008_000098	秋七月丁未朔，閤門使酌古加檢校太尉兼御史大夫，男海裏以告喜隱事，遙授隴州防禦使。
HCH_010_008_000099	庚申，獵於平地松林。
HCH_010_008_000100	冬十月乙亥朔，還上京。
HCH_010_008_000101	十二月戊子，以沙門照敏為三京諸道僧尼都總管，加兼侍中。
HCH_010_008_000102	七年春正月甲戌朔，宋遣使來賀。
HCH_010_008_000103	壬寅，望祠木葉山。
HCH_010_008_000104	二月癸亥，漢雁門節度使劉繼文來朝。
HCH_010_008_000105	貢方物。
HCH_010_008_000106	丙寅，以青牛白馬祭天地。
HCH_010_008_000107	三月壬午，耶律速撒等獻党項俘，分賜群臣。
HCH_010_008_000108	夏四月，遣郎君矧思使宋。
HCH_010_008_000109	己酉，祠木葉山。
HCH_010_008_000110	辛亥，射柳祈雨。
HCH_010_008_000111	如頻蹕澱清暑。
HCH_010_008_000112	五月丙戌，祭神姑。
HCH_010_008_000113	秋七月，黃龍府衛將燕頗殺都監張琚以叛，遣敞史耶律曷裏必討之。
HCH_010_008_000114	九月，敗燕頗於治河，遣其弟安摶追之。
HCH_010_008_000115	燕頗走保兀惹城，安摶乃還，以餘黨千餘戶城通州。
HCH_010_008_000116	是秋，至自頻蹕澱。
HCH_010_008_000117	冬十月，鉤魚土河。
HCH_010_008_000118	八年春正月癸酉，宋遣使來聘。
HCH_010_008_000119	二月壬寅，諭史館學士，書皇后言亦稱「朕」暨「予」，著為定式。
HCH_010_008_000120	三月辛未，遣五使廉問四方鰥寡孤獨及貧乏失職者，振之。
HCH_010_008_000121	夏六月，以西南面招討使耶律斜軫為北院大王。
HCH_010_008_000122	秋七月丙寅朔，寧王只沒妻安只伏誅，只沒、高勛等除名。
HCH_010_008_000123	辛未，宋遣使來賀天清節。
HCH_010_008_000124	八月癸卯，漢遣使言天清節設無遮會，飯僧祝釐。
HCH_010_008_000125	丁未，如秋山。
HCH_010_008_000126	己酉，漢以宋事來告。
HCH_010_008_000127	是月，女直侵貴德州東境。
HCH_010_008_000128	九月己巳，謁懷陵。
HCH_010_008_000129	辛未，東京統軍使察鄰、詳穩涸奏女直襲歸州五寨，剽掠而去。
HCH_010_008_000130	乙亥，鼻骨德來貢。
HCH_010_008_000131	壬午，漢為宋人所侵，遣使求援，命南府宰相耶律沙、冀王敵烈赴之。
HCH_010_008_000132	戊子，漢以宋師壓境，遣駙馬都尉盧俊來告。
HCH_010_008_000133	冬十月辛丑，漢以遼師退宋軍來謝。
HCH_010_008_000134	十一月丙子，宋主匡胤殂，其弟炅自立，遣使來告。
HCH_010_008_000135	辛卯，遣郎君王六、撻馬涅木古等使宋吊慰。
HCH_010_008_000136	十二月壬寅，遣蕭只古、馬哲賀宋即位。
HCH_010_008_000137	丁未，漢以宋軍復至掠其軍儲來告。
HCH_010_008_000138	且乞賜糧為助。
HCH_010_008_000139	戊午，詔南京復禮部貢院。
HCH_010_008_000140	是月，轄戛斯國遣使來貢。
