HCH_010_014_000001	十六年春正月乙丑，如長濼。
HCH_010_014_000002	二月庚子，夏國遣使來貢。
HCH_010_014_000003	丙午，以監門衛上將軍耶律喜羅為中臺省左相。
HCH_010_014_000004	三月甲子，女直遣使來貢。
HCH_010_014_000005	乙亥，鼻骨德酋長來貢。
HCH_010_014_000006	夏四月癸卯，振崇德宮所隸州縣民之被水者。
HCH_010_014_000007	丁未，罷民輸官俸，給自內帑。
HCH_010_014_000008	己酉，祈雨。
HCH_010_014_000009	乙卯，如木葉山。
HCH_010_014_000010	五月甲子，祭白馬神。
HCH_010_014_000011	丁卯，祠木葉山，告來歲南伐。
HCH_010_014_000012	庚辰，鐵驪來貢。
HCH_010_014_000013	乙酉，還上京。
HCH_010_014_000014	婦人年逾九十者賜物。
HCH_010_014_000015	六月戊子朔，致奠於祖、懷二陵。
HCH_010_014_000016	是月，清暑炭山。
HCH_010_014_000017	秋七月丁巳朔，錄囚，聽政。
HCH_010_014_000018	八月丁亥朔，東幸。
HCH_010_014_000019	九月丁巳朔，駐蹕得勝口。
HCH_010_014_000020	冬十一月，遣使冊高麗國王誦。
HCH_010_014_000021	十二月丙戌朔，宋國王休哥薨，輟朝五日。
HCH_010_014_000022	進封皇弟恒王隆慶為梁國王、南京留守，鄭王隆祐為吳國王。
HCH_010_014_000023	是年，放進士楊又玄等二人。
HCH_010_014_000024	十七年春正月乙卯朔，如長春宮。
HCH_010_014_000025	夏四月，如炭山清暑。
HCH_010_014_000026	六月，兀惹烏昭慶來。
HCH_010_014_000027	秋七月，以伐宋詔諭諸道。
HCH_010_014_000028	九月庚辰朔，幸南京。
HCH_010_014_000029	乙亥，南伐。
HCH_010_014_000030	癸卯，射鬼箭。
HCH_010_014_000031	北院樞密使魏王耶律斜軫薨。
HCH_010_014_000032	以韓德讓兼知北院樞密使事。
HCH_010_014_000033	冬十月癸酉，攻遂城，不克，遣蕭繼遠攻狼山鎮石砦，破之。
HCH_010_014_000034	次瀛州，與宋軍戰，擒其將康昭裔、宋順，獲兵仗、器甲無算。
HCH_010_014_000035	進攻樂壽縣，拔之。
HCH_010_014_000036	次遂城，敵眾臨水以拒，縱騎兵突之，殺戮殆盡。
HCH_010_014_000037	是年，放進士初錫等四人及第。
HCH_010_014_000038	十八年春正月，還次南京，賞有功將士，罰不用命者。
HCH_010_014_000039	詔諸軍各還本道，二月，幸延芳澱。
HCH_010_014_000040	夏四月己未，駐蹕於清泉澱。
HCH_010_014_000041	五月丁酉，清暑炭山。
HCH_010_014_000042	六月，阻卜叛酋鶻碾之弟鐵剌不率部眾來附，鶻碾無所歸，遂降，詔誅之。
HCH_010_014_000043	秋七月，駐蹕於湯泉。
HCH_010_014_000044	九月乙亥朔，駐蹕黑河。
HCH_010_014_000045	冬十一月甲戌朔，授西平王李繼遷子德昭朔方軍節度使。
HCH_010_014_000046	十二月，回鶻來貢。
HCH_010_014_000047	是年，放進士南承保等三人及第。
HCH_010_014_000048	十九年春正月辛巳，以祗候郎君班詳穩觀音為奚六部大王。
HCH_010_014_000049	甲申，回鶻進梵僧名醫。
HCH_010_014_000050	三月乙亥，夏國遣李文貴來貢。
HCH_010_014_000051	乙酉，西南面招討司奏党項捷。
HCH_010_014_000052	壬辰，皇后蕭氏以罪降為貴妃。
HCH_010_014_000053	賜大丞相韓德讓名德昌。
HCH_010_014_000054	夏四月乙巳，幸吳國王隆祐第視疾。
HCH_010_014_000055	丙午，問安皇太后。
HCH_010_014_000056	五月癸酉，清暑炭山。
HCH_010_014_000057	丙戌，冊蕭氏為齊天皇后。
HCH_010_014_000058	庚寅，以千拽剌詳穩耶律王奴為乙室大王。
HCH_010_014_000059	辛卯，以青牛白馬祭天地。
HCH_010_014_000060	六月乙巳，以所俘宋將康昭裔為昭順軍節度使。
HCH_010_014_000061	戊午，夏國奏下宋恒、環、慶等三州，賜詔褒之。
HCH_010_014_000062	秋七月丙戌，以東京統軍使耶律奴瓜為南府宰相。
HCH_010_014_000063	八月庚戌，達盧骨部來貢。
HCH_010_014_000064	九月己巳朔，問安皇太后。
HCH_010_014_000065	戊子，駐蹕昌平。
HCH_010_014_000066	庚寅，西南面招討司奏討吐谷渾捷。
HCH_010_014_000067	辛卯，幸南京。
HCH_010_014_000068	冬十月己亥，南伐。
HCH_010_014_000069	壬寅，次鹽溝。
HCH_010_014_000070	徙封吳國王隆祐為楚國王，留守京師。
HCH_010_014_000071	丁未，梁國王隆慶統先鋒軍以進。
HCH_010_014_000072	辛亥，射鬼箭。
HCH_010_014_000073	壬子，以青牛白馬祭天地。
HCH_010_014_000074	甲寅，遼軍與宋兵戰於遂城，敗之。
HCH_010_014_000075	庚申，以黑白羊祭天地。
HCH_010_014_000076	丙寅，次滿城，以泥淖班師。
HCH_010_014_000077	十一月庚午，射鬼箭。
HCH_010_014_000078	丙子，宋兵出淤口、益津關來侵，偵候謀窪、虞人招古擊敗之。
HCH_010_014_000079	己卯，觀漁儒門濼。
HCH_010_014_000080	閏月己酉，鼻骨德來貢。
HCH_010_014_000081	己未，減關市稅。
HCH_010_014_000082	十二月庚辰，免南京、平州租稅。
HCH_010_014_000083	二十年春正月庚子，如延芳澱。
HCH_010_014_000084	癸丑，東方五色虹見。
HCH_010_014_000085	詔安撫西南面向化諸部。
HCH_010_014_000086	甲寅，夏國遣使貢馬、駝。
HCH_010_014_000087	辛酉，女直宰相夷離底來貢。
HCH_010_014_000088	二月丁丑，女直遣其子來朝。
HCH_010_014_000089	高麗遣使賀伐宋捷。
HCH_010_014_000090	三月甲寅，遣北府宰相蕭繼遠等南伐。
HCH_010_014_000091	壬戌，駐蹕鴛鴦濼。
HCH_010_014_000092	夏四月丙寅朔，文班太保達裏底敗宋兵於梁門。
