HCH_010_019_000001	十年春正月辛亥朔，宋遣梁適、張從一、富弼、趙日宣來賀。
HCH_010_019_000002	甲子，復遣吳育、馮戴來賀永壽節。
HCH_010_019_000003	二月庚辰朔，詔蒲盧毛朵部歸曷蘇館戶之沒入者使復業。
HCH_010_019_000004	甲申，北樞密院言，南、北二王府及諸部節度侍衛祗候郎君，皆出族帳，既免與民戍邊，其祗候事，請亦得以部曲代行。
HCH_010_019_000005	詔從其請。
HCH_010_019_000006	夏四月，詔罷修鴨淥江浮梁及漢兵屯戍之役。
HCH_010_019_000007	又以東京留守蕭撒八言，馳東京擊鞠之禁。
HCH_010_019_000008	六月戊寅朔，以蕭寧、耶律坦、崔禹稱、馬世良、耶律仁先、劉六符充賀宋生辰使副；耶律庶成、趙成、耶律烈、張旦充來歲賀宋正旦使副。
HCH_010_019_000009	秋七月壬戌，詔諸職官私取官物者，以正盜論。
HCH_010_019_000010	諸敢以先朝已斷事相告言者，罪之。
HCH_010_019_000011	諸帳郎君等於禁地射鹿，決三百，不征償；小將軍決二百以下；及百姓犯者，罪同郎君論。
HCH_010_019_000012	八月丙戌，以醫者鄧延貞治詳穩蕭留寧疾驗，贈其父母官以獎之。
HCH_010_019_000013	九月辛亥，朝皇太后。
HCH_010_019_000014	國舅留寧薨。
HCH_010_019_000015	庚申，皇太后射獲熊，上進酒為壽。
HCH_010_019_000016	癸亥，上獵馬孟山，草木蒙密，恐獵者誤射傷人，命耶律迪姑各書姓名於矢以誌之。
HCH_010_019_000017	丙寅，夏國獻宋俘。
HCH_010_019_000018	以石硬砦太保郭三避虎不射，免官。
HCH_010_019_000019	冬十月丙戌，詔東京留守蕭孝忠察官吏有廉幹清強者，具以名聞。
HCH_010_019_000020	庚寅，以女直太師臺押為曷蘇館都大王。
HCH_010_019_000021	辛卯，以皇子胡盧斡裏生，北宰相、駙馬撒八寧迎上至其第宴飲，上命衛士與漢人角觝為樂。
HCH_010_019_000022	壬辰，復飲皇太后殿，以皇子生，肆赦。
HCH_010_019_000023	夕，復引公主、駙馬及內族大臣入寢殿劇飲。
HCH_010_019_000024	甲午，幸中京。
HCH_010_019_000025	庚子，以駙馬都尉蕭忽列為國舅詳穩。
HCH_010_019_000026	十一月丙辰，回鶻遣使來貢。
HCH_010_019_000027	十二月丙子朔，宋遣劉沆、王整來賀應聖節。
HCH_010_019_000028	乙未，置撻朮不姑酋長。
HCH_010_019_000029	以胡撻剌為平章事。
HCH_010_019_000030	上聞宋設關河，治壕塹，恐為邊患，與南、北樞密吳國王蕭孝穆、趙國王蕭貫寧謀取宋舊割關南十縣地，遂遣蕭英、劉六符使宋。
HCH_010_019_000031	庚寅，宋遣張沔、侯宗亮、薛申、侍其浚、施昌言、潘永照來賀永壽節及來歲正旦。
HCH_010_019_000032	以宣政殿學士楊佶為吏部尚書、判順義軍節度使事。
HCH_010_019_000033	丁酉，議伐宋，詔諭諸道。
HCH_010_019_000034	十一年春正月戊申，奉迎皇太后於內殿。
HCH_010_019_000035	庚戌，遣南院宣徽使蕭特末、翰林學士劉六符使宋，取晉陽及瓦橋以南十縣地；且問興師伐夏及沿邊疏浚水澤、增益兵戍之故。
HCH_010_019_000036	二月壬寅，如鴛鴦濼。
HCH_010_019_000037	夏四月甲戌朔，頒南征賞罰令。
HCH_010_019_000038	六月乙亥，宋遣富弼、張茂實奉書來聘，以書答之。
HCH_010_019_000039	壬午，禦含涼殿，放進士王寔等六十四人。
HCH_010_019_000040	禁氈、銀鬻入宋。
HCH_010_019_000041	秋七月壬寅朔，詔盜易官馬者減死論。
HCH_010_019_000042	外路官勤瘁正直者，考滿代；不治事者即易之。
HCH_010_019_000043	八月丙申，宋復遣富弼、張茂實奉書來聘，乞增歲幣銀絹，以書答之。
HCH_010_019_000044	九月壬寅，遣北院樞密副使耶律仁先、漢人行宮副部署劉六符使宋約和。
HCH_010_019_000045	是時，富弼為上言，大意謂遼與宋和，坐獲歲幣，則利在國家，臣下無與；與宋交兵，則利在臣下，害在國家。
HCH_010_019_000046	上感其言，和好始定。
HCH_010_019_000047	閏月癸未，耶律仁先遣人報，宋歲增銀、絹十萬兩、匹，文書稱貢，送至白溝；帝喜，宴群臣於昭慶殿。
HCH_010_019_000048	是日，振恤三父族之貧者。
HCH_010_019_000049	辛卯，仁先、劉六符還，進宋國誓書。
HCH_010_019_000050	冬十一月丁亥，群臣加上尊號曰聰文聖武英略神功睿哲仁孝皇帝，冊皇后蕭氏曰貞懿宣慈崇聖皇后。
HCH_010_019_000051	太赦。
HCH_010_019_000052	梁王洪基進封燕國王。
HCH_010_019_000053	十二月癸卯，朝皇太后。
HCH_010_019_000054	甲辰，封皇太弟重元子涅魯古為安定郡王。
HCH_010_019_000055	己酉，以宣獻皇后忌日，上與皇太后素服，飯僧於延壽、憫忠、三學三寺。
HCH_010_019_000056	辛亥，詔蠲預備伐宋諸部租稅一年。
HCH_010_019_000057	壬子，以吐渾、党項多鬻馬夏國，詔謹邊防。
