HCH_010_038_000001	東京遼陽府，本朝鮮之地。
HCH_010_038_000002	周武王釋箕子囚，去之朝鮮，因以封之。
HCH_010_038_000003	作八條之教，尚禮義，富農桑，外戶不閉，人不爲盜。
HCH_010_038_000004	傳四十餘世。
HCH_010_038_000005	燕屬真番、朝鮮，始置吏、築障。
HCH_010_038_000006	秦屬遼東外徼。
HCH_010_038_000007	漢初，燕人滿王故空地。
HCH_010_038_000008	武帝元封三年，定朝鮮爲真番、臨屯、樂浪、玄菟四郡。
HCH_010_038_000009	後漢出入青、幽二州，遼東、玄菟二郡，沿革不常。
HCH_010_038_000010	漢末爲公孫度所據，傳子康；孫淵，自稱燕王，建元紹漢，魏滅之。
HCH_010_038_000011	晉陷高麗，後歸慕容垂；子寶，以勾麗王安爲平州牧居之。
HCH_010_038_000012	元魏太武遣使至其所居平壤城，遼東京本此。
HCH_010_038_000013	唐高宗平高麗，於此置安東都護府；後爲渤海大氏所有。
HCH_010_038_000014	大氏始保挹婁之東牟山。
HCH_010_038_000015	武后萬歲通天中，爲契丹盡忠所逼，有乞乞仲象者，度遼水自固，武后封爲震國公。
HCH_010_038_000016	傳子祚榮，建都邑，自稱震王，併吞海北，地方五千里，兵數十萬。
HCH_010_038_000017	中宗賜所都曰忽汗州，封渤海郡王。
HCH_010_038_000018	十有二世至彝震，僭號改元，擬建宮闕，有五京、十五府、六十二州，爲遼東盛國。
HCH_010_038_000019	忽汗州即故平壤城也，號中京顯德府。
HCH_010_038_000020	<一>太祖建國，攻渤海，撥忽汗城，俘其王大諲譔，以爲東丹王國，立太子圖欲爲人皇王以主之。
HCH_010_038_000021	神冊四年，葺遼陽故城，以渤海、漢戶建東平郡，爲防禦州。
HCH_010_038_000022	<二>天顯三年，遷東丹國民居之，升爲南京。
HCH_010_038_000023	城名天福，<三>高三丈，有樓櫓，幅員三十里。
HCH_010_038_000024	八門：東曰迎陽，東南曰韶陽，南曰龍原，西南曰顯德，西曰大順，西北曰大遼，北曰懷遠，東北曰安遠。
HCH_010_038_000025	宮城在東北隅，高三丈，具敵樓，南爲三門，壯以樓觀，四隅有角樓，相去各二里。
HCH_010_038_000026	宮牆北有讓國皇帝御容殿。
HCH_010_038_000027	大內建二殿，不置宮嬪，唯以內省使副、判官守之。
HCH_010_038_000028	大東丹國新建南京碑銘，在宮門之南。
HCH_010_038_000029	外城謂之漢城，分南北市，中爲看樓；晨集南市，夕集北市。
HCH_010_038_000030	街西有金德寺；大悲寺；駙馬寺，鐵幡竿在焉；趙頭陀寺；留守衙；戶部司；軍巡院，歸化營軍千餘人，河、朔亡命，皆籍於此。
HCH_010_038_000031	東至北烏魯虎克四百里，南至海邊鐵山八百六十里，西至望平縣海口三百六十里，北至挹婁縣、範河二百七十里。
HCH_010_038_000032	東、西、南三面抱海。
HCH_010_038_000033	遼河出東北山口爲範河，西南流爲大口，入於海；東梁河自東山西流，與渾河合爲小口，會遼河入於海，又名太子河，亦曰大梁水；渾河在東梁、範河之間；沙河出東南山西北流，徑蓋州入於海。
HCH_010_038_000034	有蒲河；清河；水，亦曰泥河，又曰芋濼，水多芋之草；駐蹕山，唐太宗征高麗，駐蹕其巔數日，勒石紀功焉，俗稱手山，山巔平石之上有掌指之狀，泉出其中，取之不竭。
HCH_010_038_000035	又有明王山、白石山亦曰橫山。
HCH_010_038_000036	天顯十三年，改南京爲東京，府曰遼陽。
HCH_010_038_000037	戶四萬六百四。
HCH_010_038_000038	轄州、府、軍、城八十七。
HCH_010_038_000039	<四>統縣九：遼陽縣。
HCH_010_038_000040	本渤海國金德縣地。
HCH_010_038_000041	漢水縣，高麗改爲勾麗縣，渤海爲常樂縣。
HCH_010_038_000042	戶一千五百。
HCH_010_038_000043	仙鄉縣。
