HCH_010_063_000001	天開於子，地闢於丑，人生於寅。
HCH_010_063_000002	天地人之初，一焉耳矣。
HCH_010_063_000003	天動也，有恆度；地靜也，有恆形；人動靜無方，居止靡常。
HCH_010_063_000004	天主流行，地主蓄泄，二氣無往而弗達，亦惟人之所在而畀付焉。
HCH_010_063_000005	庖犧氏降，炎帝氏、黃帝氏子孫眾多，王畿之封建有限，王政之布濩無窮，故君四方者，多二帝子孫，而自服土中者本同出也。
HCH_010_063_000006	考之宇文周之書，遼本炎帝之後，而耶律儼稱遼為軒轅後。
HCH_010_063_000007	儼志晚出，盍從周書。
HCH_010_063_000008	蓋炎帝之裔曰葛烏菟者，世雄朔陲，後為冒頓可汗所襲，保鮮卑山以居，號鮮卑氏。
HCH_010_063_000009	既而慕容燕破之，析其部曰宇文，曰庫莫奚，曰契丹。
HCH_010_063_000010	契丹之名，昉見于此。
HCH_010_063_000011	隋、唐之際，契丹之君號大賀氏。
HCH_010_063_000012	武后遣將擊潰其眾，大賀氏微，別部長過折代之。
HCH_010_063_000013	過折尋滅，迭剌部長涅里立迪輦組里為阻午可汗，更號遙輦氏。
HCH_010_063_000014	唐賜國姓，曰李懷秀。
HCH_010_063_000015	既而懷秀叛唐，更封楷落為王。
HCH_010_063_000016	而涅里之後曰耨里思者，左右懷秀。
HCH_010_063_000017	楷落至于屈戍幾百年，國勢復振。
HCH_010_063_000018	至耨里思之孫曰阿保機，功業勃興，號世里氏，是為遼太祖。
HCH_010_063_000019	於是世里氏與大賀、遙輦號「三耶律」。
HCH_010_063_000020	自時厥後，國日益大。
HCH_010_063_000021	起唐季，涉五代、宋，二百餘年。
HCH_010_063_000022	名隨代遷，字傳音轉，此其言語文字之相通，可考而知者也。
HCH_010_063_000023	其所不可知者，有若奇首可汗、胡剌可汗、蘇可汗、昭古可汗，皆遼之先，而世次不可考矣。
HCH_010_063_000024	摭其可知者，作遼世表。
HCH_010_063_000025	契丹先世。
HCH_010_063_000026	冒頓可汗以兵襲東胡，滅之。
HCH_010_063_000027	餘衆保鮮卑山，因號鮮卑。
HCH_010_063_000028	青龍中，部長比能稍桀驁，為幽州剌史王雄所害，散徙潢水之南，黃龍之北。
HCH_010_063_000029	鮮卑葛烏菟之後曰普回。
HCH_010_063_000030	普回有子莫那，自陰山南徙，始居遼西。
HCH_010_063_000031	九世為慕容晃所滅，鮮卑眾散為宇文氏，或為庫莫奚，或為契丹。
HCH_010_063_000032	契丹國在庫莫奚東，異族同類，東部鮮卑之別支也，至是始自號契丹。
HCH_010_063_000033	為慕容氏所破，俱竄松漠之間。
HCH_010_063_000034	道武帝登國間，大破之，遂與庫莫奚分背。
HCH_010_063_000035	經數十年，稍滋蔓，有部落於和龍之北數百里。
HCH_010_063_000036	太武帝太平真君以來，歲致名馬。
HCH_010_063_000037	獻文時，使莫弗紇何辰來獻，始班諸國末，欣服。
HCH_010_063_000038	萬丹部、何大何部、伏弗郁部、羽陵部、日連部、匹絜部、黎部吐六于部以名馬文皮來貢，得交市于和龍、密雲之間。
HCH_010_063_000039	太和三年，高句麗與蠕蠕謀取地豆于以分之，契丹懼，莫弗賀勿于率其部落車三千乘、眾萬餘口內附，止於白狼水東。
HCH_010_063_000040	天保四年九月，契丹犯塞，文宣帝親討之，至平州，乃趨長壍。
HCH_010_063_000041	司徒潘相樂率精騎五千，自東道趨青山；安德王韓軌帥騎四千東斷走路。
HCH_010_063_000042	帝親踰山嶺奮擊，虜男女十餘萬，雜畜數十萬。
HCH_010_063_000043	相樂又於青山大破別部，所虜生口分置諸州。
HCH_010_063_000044	復為突厥所逼，又以萬家寄處高麗境內。
HCH_010_063_000045	開皇四年，率諸莫弗賀來謁。
HCH_010_063_000046	五年，悉衆款塞，高祖納之，聽居故地。
HCH_010_063_000047	六年，諸部相攻不止，又與突厥相侵，高祖使使諭解之。
HCH_010_063_000048	別部出伏等違高麗，率眾內附，置於渴奚那頡之北。
HCH_010_063_000049	開皇末，別部四千餘戶違突厥來降，高祖給糧遣還；固辭不去，部落漸眾。
HCH_010_063_000050	遂北徙，逐水草，當遼西正北二百里，依紇臣水而居。
HCH_010_063_000051	東西亙五百里，南北三百里，分為十部，兵多者三千，少者千餘。
HCH_010_063_000052	有征伐，酋帥相與議之，興兵則合符契。
HCH_010_063_000053	突厥沙鉢略可汗遣吐屯潘垤統之，契丹殺吐屯。
HCH_010_063_000054	大業七年，貢方物。
HCH_010_063_000055	契丹地直京師東北五千里而贏，東距高麗，西奚，南營州，北靺鞨、室韋，阻冷陘山以自固。
HCH_010_063_000056	射獵居處無常。
HCH_010_063_000057	其君大賀氏有勝兵四萬，析八部，臣于突厥，以為俟斤。
HCH_010_063_000058	凡調發攻戰，則諸部畢會，獵則部得自行。
HCH_010_063_000059	與奚不平，每鬬不利，輒遁保鮮卑山。
HCH_010_063_000060	武德初，大帥孫敖曹與靺鞨長突地稽俱來朝。
HCH_010_063_000061	二年，入犯平州境。
HCH_010_063_000062	六年，君長咄羅獻名馬、豐貂。
HCH_010_063_000063	貞觀二年，摩會來降，突厥請以梁師都易契丹，太宗曰：「契丹、突厥不同類，師都唐編戶，我將擒之，不可易降者。」
HCH_010_063_000064	三年，摩會入朝，賜鼓纛，由是有常貢。
HCH_010_063_000065	帝伐高麗，悉發契丹、奚首領從軍。
HCH_010_063_000066	還過營州，以窟哥為左武衞將軍。
HCH_010_063_000067	大帥辱紇主據曲率眾來歸，即其部為玄州，以據曲為刺史，隸營州都督府。
HCH_010_063_000068	窟哥舉部內屬，乃置松漠都督府，以窟哥為都督，封無極男，賜姓李氏。
HCH_010_063_000069	以達稽部為峭落州，紇便部為彈汗州，獨活部為無逢州，芬問部羽陵州，突便部為日連州，芮奚部為徒河州，墜斤部為萬丹州，伏部為匹黎、赤山二州，俱隸松漠府，以辱紇主為刺史。
HCH_010_063_000070	窟哥死，與奚叛，行軍總管阿史德樞賓執松漠都督阿不固，獻于東都。
HCH_010_063_000071	窟哥二孫：曰枯莫離，彈汗州刺史、歸順郡王；曰盡忠，松漠都督。
HCH_010_063_000072	敖曹曾孫曰萬榮，歸誠州刺史。
HCH_010_063_000073	時營州都督趙文翽數侵侮其下，盡忠等怨望，與萬榮共舉兵，殺文翽，據營州，自號「無上可汗」，推萬榮為帥。
HCH_010_063_000074	不二旬，眾數萬，攻崇州，執擊討副使許欽寂。
HCH_010_063_000075	武后怒，詔將軍曹仁師等二十八將擊之，更號萬榮曰「萬斬」，盡忠曰「盡滅」。
HCH_010_063_000076	戰西硤石黃獐谷，王師敗績。
HCH_010_063_000077	進攻平州，不克。
HCH_010_063_000078	武后益發兵擊契丹。
HCH_010_063_000079	萬榮夜襲檀州，清邊道副總管張九節拒戰，萬榮敗走。
HCH_010_063_000080	俄盡忠死，突厥默啜襲破其部。
HCH_010_063_000081	萬榮收散兵，復振。
HCH_010_063_000082	別將駱務整、何阿小入冀州，殺刺史陸寶積，掠數千人。
HCH_010_063_000083	武后聞盡忠死，詔夏官尚書王孝傑等率兵十七萬討萬榮，戰東硤石，敗績，孝傑死之，萬榮進屠幽州。
HCH_010_063_000084	又詔御史大夫婁師德等率兵二十萬擊之，萬榮乘銳，鼓行而南，殘瀛州屬縣。
HCH_010_063_000085	神兵道總管楊玄基率奚掩擊，大破萬榮，執何阿小，別將李楷固、駱務整降。
HCH_010_063_000086	萬榮委軍走，玄基與奚四面合擊，萬榮眾潰，東走。
HCH_010_063_000087	張九節設三伏待之。
HCH_010_063_000088	萬榮窮蹙，與家奴輕騎走潞河東，憊甚，臥林下。
HCH_010_063_000089	奴斬其首以獻，九節傳東都。
HCH_010_063_000090	契丹餘眾不能立，遂附突厥。
HCH_010_063_000091	開元二年，盡忠從父弟失活率部落歸唐。
HCH_010_063_000092	過折，本契丹部長，為松漠府衙官，斬可突于及屈列歸唐。
HCH_010_063_000093	幽州節度使張守珪立之，封北平郡王。
HCH_010_063_000094	是年，可突于餘黨泥禮弒過折，屠其家，一子剌乾走安東，拜左驍衞將軍。
HCH_010_063_000095	自此，契丹中衰，大賀氏附庸於奚王，以通于唐，朝貢歲至。
HCH_010_063_000096	至德、寶應間再至，大曆中十三至，貞元九年、十年、十一年三至，元和中七至，太和、開成間四至。
HCH_010_063_000097	泥禮，耶律儼遼史書為涅里，陳大任書為雅里，蓋遼太祖之始祖也。
HCH_010_063_000098	李懷秀，唐賜姓名，契丹名迪輦俎里，本八部大帥。
HCH_010_063_000099	天寶四年降唐，拜松漠都督。
HCH_010_063_000100	安祿山表請討契丹，懷秀發兵十萬，與祿山戰潢水南，祿山大敗，自是與祿山兵連不解。
HCH_010_063_000101	耶律儼紀云，太祖四代祖耨里思為迭剌部夷離菫，遺將只里姑、括里，大敗范陽安祿山于潢水，適當懷秀之世。
HCH_010_063_000102	則懷秀固遙輦氏之首君，為阻午可汗明矣。
HCH_010_063_000103	楷落，以唐封恭仁王，代松漠都督，遂稱契丹王。
HCH_010_063_000104	其後寖大，貞元四年，犯北邊，幽州以聞。
HCH_010_063_000105	自祿山反，河北割據，道隔不通，世次不可悉考。
HCH_010_063_000106	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
