HCH_010_067_000001	漢外戚有新室之患，晉宗室有八王之難。
HCH_010_067_000002	遼史耶律、蕭氏十居八九，宗室、外戚，勢分力敵，相為唇齒，以翰邦家。
HCH_010_067_000003	是或一道。
HCH_010_067_000004	然以是而興，亦以是而亡，又其法之弊也。
HCH_010_067_000005	契丹外戚，其先曰二審密氏、曰拔里、曰乙室已。
HCH_010_067_000006	至遼太祖，娶述律氏。
HCH_010_067_000007	述律，本回鶻糯思之後。
HCH_010_067_000008	大同元年，太宗自汴將還，留外戚小漢為汴州節度使，賜姓名曰蕭翰，以從中國之俗，由是拔裏、乙室已、述律三族皆為蕭姓。
HCH_010_067_000009	拔裏二房，曰大父、小父；乙室已亦二房，曰大翁、小翁；世宗以舅氏塔列葛為國舅別部。
HCH_010_067_000010	三族世預北宰相之選，自太祖神冊二年命阿骨只始也。
HCH_010_067_000011	聖宗合拔裏、乙室已二國舅帳為一，與別部為二。
HCH_010_067_000012	此遼外戚之始末也。
HCH_010_067_000013	作《外戚表》。
HCH_010_067_000014	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
