HCH_010_078_000001	耶律夷臘葛，字蘇散，本宮分人檢校太師合魯子之。
HCH_010_078_000002	應歷初，以父任入侍。
HCH_010_078_000003	數歲，始為殿前都點檢。
HCH_010_078_000004	時上新即位，疑諸王有異志，引夷臘葛為布衣交，一切機密事必與之謀，遷寄班都知，賜宮戶。
HCH_010_078_000005	時上酗酒，數以細故殺人。
HCH_010_078_000006	有監雉者因傷雉而亡，獲之欲誅，夷臘葛諫曰：「是罪不應死。」
HCH_010_078_000007	帝竟殺之，以屍付夷臘葛曰：「收汝故人！」
HCH_010_078_000008	夷臘葛終不為止。
HCH_010_078_000009	復有監鹿詳穩亡一鹿，下獄當死，夷臘葛又諫曰：「人命至重，豈可為一獸殺之？」
HCH_010_078_000010	良久，得免。
HCH_010_078_000011	遼法，麚歧角者，惟天子得射。
HCH_010_078_000012	會秋獵，善為鹿鳴者呼一麚至，命夷臘葛射，應弦而踣。
HCH_010_078_000013	上大悅，賜金、銀各百兩，名馬百匹，及黑山東抹真之地。
HCH_010_078_000014	後穆宗被弒，坐守衛不嚴，被誅。
HCH_010_078_000015	蕭海璃，字寅的哂，其先遙輦氏時為本部夷離堇。
HCH_010_078_000016	父塔列，天顯間為本部令穩。
HCH_010_078_000017	海璃貌魁偉，膂力過人。
HCH_010_078_000018	天祿間，娶明王安端女藹因翁主。
HCH_010_078_000019	應歷初，察割亂，藹因連坐，繼娶嘲瑰翁主。
HCH_010_078_000020	上以近戚，嘉其勤篤，命預北府宰相選。
HCH_010_078_000021	頃之，總知軍國事。
HCH_010_078_000022	時諸王多坐反逆，海璃為人廉謹，達政體，每被命按獄，多得其情，人無冤者，由是知名。
HCH_010_078_000023	漢主劉承鈞每遣使入貢，必別致幣物，詔許受之。
HCH_010_078_000024	年五十卒，帝湣悼，輟朝二日。
HCH_010_078_000025	蕭護思，字延寧，世為北院吏，累遷御史中丞，總典群牧部籍。
HCH_010_078_000026	應歷初，遷左客省使。
HCH_010_078_000027	未幾，拜御史大夫。
HCH_010_078_000028	時諸王多坐事繫獄，上以護思有才幹，詔窮治，稱旨，改北院樞密使，仍命世預宰相選。
HCH_010_078_000029	護思辭曰：「臣子孫賢否未知，得一客省使足矣。」
HCH_010_078_000030	從之。
HCH_010_078_000031	上晚歲酗酒，用刑多濫，護思居要地，齪齪自保，未嘗一言匡救，議者以是少之。
HCH_010_078_000032	年五十七卒。
HCH_010_078_000033	蕭思溫，小字寅古，宰相敵魯之族弟忽沒裏之子。
HCH_010_078_000034	通書史。
HCH_010_078_000035	太宗時為奚禿裏太尉，尚燕國公主，為群牧都林牙。
HCH_010_078_000036	思溫在軍中，握齱修邊幅，僚佐皆言非將帥才。
HCH_010_078_000037	尋為南京留守。
HCH_010_078_000038	初，周人攻揚州，上遣思溫躡其後，憚暑不敢進，拔緣邊數城而還。
HCH_010_078_000039	後周師來侵，圍馮母鎮，勢甚張。
HCH_010_078_000040	思溫請益兵，帝報曰：「敵來，則與統軍司並兵拒之；敵去，則務農作，勿勞士馬。」
HCH_010_078_000041	會敵入束城，我軍退渡滹沱而屯。
HCH_010_078_000042	思溫勒兵徐行，周軍數日不動。
HCH_010_078_000043	思溫與諸將議曰：「敵眾而銳，戰不利則有後患。不如頓兵以老其師，躡而擊之，可以必勝。」
HCH_010_078_000044	諸將從之。
HCH_010_078_000045	遂與統軍司兵會，飾他說請濟師。
HCH_010_078_000046	周人引退，思溫亦還。
HCH_010_078_000047	已而周主復北侵，與其將傅元卿、李崇進等分道並進，圍瀛州，陷益津、瓦橋、淤口三關，垂迫固安。
HCH_010_078_000048	思溫不知計所出，但雲車駕旦夕至。
HCH_010_078_000049	麾下士奮躍請戰，不從。
HCH_010_078_000050	已而陷易、瀛、莫等州，京畿人皆震駭，往往遁入西山。
