HCH_010_099_000001	蕭巖壽，乙室部人。
HCH_010_099_000002	性剛直尚氣，仕重熙末。
HCH_010_099_000003	道宗即位，皇太后屢稱其賢，由是進用。
HCH_010_099_000004	上出獵較，巖壽典其事，未嘗高下於心，帝益重之。
HCH_010_099_000005	歷文班太保、同知樞密院事。
HCH_010_099_000006	咸雍四年，從耶律仁先伐阻卜，破之，有詔留屯，亡歸者眾，由是鐫兩官。
HCH_010_099_000007	十年，討敵烈部有功，為其部節度使。
HCH_010_099_000008	大康元年，同知南院宣徽使事，遷北面林牙。
HCH_010_099_000009	密奏乙辛以皇太子知國政，心不自安，與張孝傑數相過從，恐有陰謀，動搖太子。
HCH_010_099_000010	上悟，出乙辛為中京留守。
HCH_010_099_000011	會乙辛生日，上遣近臣耶律白斯本賜物為壽，乙辛因私屬白上：「臣見奸人在朝，陛下孤危。身雖在外，竊用寒心。」
HCH_010_099_000012	白斯本還，以聞。
HCH_010_099_000013	上遣人賜乙辛車，諭曰：「無慮弗用，行將召矣。」
HCH_010_099_000014	由是反疑巖壽，出為順義軍節度使。
HCH_010_099_000015	乙辛復入為樞密使，流巖壽於烏隗路，終身拘作。
HCH_010_099_000016	巖壽雖竄逐，恒以社稷為憂，時人為之語曰：「以狼牧羊，何能久長！」
HCH_010_099_000017	三年，乙辛誣巖壽與謀廢立事，執還殺之，年四十九。
HCH_010_099_000018	乾統間，贈同中書門下平章事，繪像宜福殿。
HCH_010_099_000019	巖壽廉直，面折廷諍，多與乙辛忤，故及於難。
HCH_010_099_000020	耶律撒剌，字堇隱，南院大王磨魯古之孫。
HCH_010_099_000021	性忠直沈厚。
HCH_010_099_000022	清寧初，累遷西南面招討使，以治稱。
HCH_010_099_000023	咸雍九年，改北院大王。
HCH_010_099_000024	未幾，為契丹行宮都部署。
HCH_010_099_000025	大康二年，耶律乙辛為中京留守，詔百官廷議，欲復召之，群臣無敢正言。
HCH_010_099_000026	撒剌獨奏曰：「蕭巖壽言乙辛有罪，不可為樞臣，故陛下出之；今復召，恐天下生疑。」
HCH_010_099_000027	進諫者三，不納，左右為之震悚。
HCH_010_099_000028	乙辛復為樞密使，見撒剌，讓曰：「與君無憾，何獨異議？」
HCH_010_099_000029	撒剌曰：「此社稷計，何憾之有！」
HCH_010_099_000030	乙辛誣撒剌與速撒同謀廢立，詔按無跡，出為始平軍節度使。
HCH_010_099_000031	及蕭訛都斡誣首，竟遣使殺之。
HCH_010_099_000032	乾統間，追封漆水郡王，繪像宜福殿，仍追贈三子官爵。
HCH_010_099_000033	蕭速撒，字禿魯堇，突呂不部人。
HCH_010_099_000034	性沈毅。
HCH_010_099_000035	重熙間，累遷右護衛太保。
HCH_010_099_000036	蒲奴裏叛，從耶律義先往討，執首亂陶得裏以歸。
HCH_010_099_000037	清寧中，歷北面林牙、彰國軍節度使，入為北院樞密副使。
HCH_010_099_000038	咸雍十年，經略西南邊，撤宋堡障，戍以皮室軍，上嘉之。
HCH_010_099_000039	大康二年，知北院樞密使事。
HCH_010_099_000040	耶律乙辛權寵方盛，附麗者多至通顯，速撒未嘗造門。
HCH_010_099_000041	乙辛銜之，誣構速撒首謀廢立。
HCH_010_099_000042	按之無驗，出為上京留守。
HCH_010_099_000043	乙辛復令蕭訛都斡以前事誣告，上怒，不復加訊，遣使殺之。
HCH_010_099_000044	時方盛暑，屍諸原野，容色不變，烏鵲不敢近。
HCH_010_099_000045	乾統間，追封蘭陵郡王，繪像宜福殿。
HCH_010_099_000046	耶律撻不也，字撒班，系出季父房。
HCH_010_099_000047	父高家，仕至林牙，重熙間破夏人於金肅軍有功，優加賞賚。
HCH_010_099_000048	撻不也清寧中補牌印郎君，累遷永興宮使。
HCH_010_099_000049	九年，平重元之亂，以功知點檢司事，賜平亂功臣，為懷德軍節度使。
HCH_010_099_000050	咸雍五年，遷遙輦克。
HCH_010_099_000051	大康三年，授北院宣徽使。
HCH_010_099_000052	耶律乙辛謀害太子，撻不也知其奸，欲殺乙辛及蕭特裏得、蕭十三等。
HCH_010_099_000053	乙辛知之，令其黨誣構撻不也與廢立事，殺之。
HCH_010_099_000054	乾統間，追封漆水郡王，繪像宜福殿。
HCH_010_099_000055	蕭撻不也，字斡裏端，國舅郡王高九之孫。
HCH_010_099_000056	性剛直。
HCH_010_099_000057	咸雍中，補祗候郎君。
HCH_010_099_000058	大康元年，為彰湣宮使，尚趙國公主，拜駙馬都尉。
HCH_010_099_000059	三年，改同知漢人行宮都部署。
HCH_010_099_000060	與北院宣徽使耶律撻不也善，乙辛嫉之，令人誣告謀廢立事。
HCH_010_099_000061	不勝搒掠，誣伏。
HCH_010_099_000062	上引問，昏聵不能自陳，遂見殺。
HCH_010_099_000063	乾統間，追封蘭陵郡王，繪像宜福殿。
HCH_010_099_000064	蕭忽古，字阿斯憐，性忠直，趫捷有力。
HCH_010_099_000065	甫冠，補禁軍。
HCH_010_099_000066	咸雍初，從招討使耶律趙三討番部之違命者。
HCH_010_099_000067	及請降，來介有能躍駝峰而上者，以儇捷相詫。
HCH_010_099_000068	趙三問左右誰能此，忽古被重鎧而出，手不及峰，一躍而上，使者大駭。
HCH_010_099_000069	趙三以女妻之。
HCH_010_099_000070	帝聞，召為護衛。
HCH_010_099_000071	時北院樞密使耶律乙辛以狡佞得幸，肆行凶暴。
HCH_010_099_000072	忽古伏於橋下，伺其過，欲殺之。
HCH_010_099_000073	俄以暴雨壞橋，不果。
HCH_010_099_000074	後又欲殺於獵所，為親友所沮。
HCH_010_099_000075	大康三年，復欲殺乙辛及蕭得裏特等，乙辛知而械系之。
HCH_010_099_000076	考劾不服，流於邊。
HCH_010_099_000077	及太子廢徙於上京，召忽古至，殺之。
HCH_010_099_000078	乾統初，追贈龍虎衛上將軍。
HCH_010_099_000079	耶律石柳，字酬宛，六院部人。
HCH_010_099_000080	祖獨攧，南院大王。
HCH_010_099_000081	父安十，統軍副使。
HCH_010_099_000082	石柳性剛直，有經世誌。
HCH_010_099_000083	始為牌印郎君。
HCH_010_099_000084	大康初，為夷離畢郎君。
HCH_010_099_000085	時樞密使耶律乙辛誣殺皇后，謀廢太子，斥忠賢，進奸黨，石柳惡其所為，乙辛覺之。
HCH_010_099_000086	太子既廢，以石柳附太子，流鎮州。
HCH_010_099_000087	天祚即位，召為御史中丞。
HCH_010_099_000088	時方治乙辛黨，有司不以為意。
HCH_010_099_000089	石柳上書曰：臣前為奸臣所陷，斥竄邊郡。
HCH_010_099_000090	幸蒙召用，不敢隱默。
HCH_010_099_000091	恩賞明則賢者勸，刑罰當則奸人消。
HCH_010_099_000092	二者既舉，天下不勞而治。
HCH_010_099_000093	臣見耶律乙辛身出寒微，位居樞要，竊權肆惡，不勝名狀。
HCH_010_099_000094	蔽先帝之明，誣陷順聖，構害忠讜，敗國罔上，自古所無。
HCH_010_099_000095	賴廟社之休，陛下獲纂成業，積年之冤，一旦洗雪。
HCH_010_099_000096	正陛下英斷，克成孝道之秋。
HCH_010_099_000097	如蕭得裏特實乙辛之黨，耶律合魯亦不為早辨，賴陛下之明，遂正其事。
HCH_010_099_000098	臣見陛下多疑，故有司顧望，不切推問。
HCH_010_099_000099	乙辛在先帝朝，權寵無比。
HCH_010_099_000100	先帝若以順考為實，則乙辛為功臣，陛下豈得立耶？
HCH_010_099_000101	先帝黜逐嬖後，詔陛下在左右，是亦悔前非也。
HCH_010_099_000102	陛下詎可忘父讎不報，寬逆黨不誅？
HCH_010_099_000103	今靈骨未獲，而求之不切。
HCH_010_099_000104	《傳》曰，聖人之德，無加於孝。
HCH_010_099_000105	昔唐德宗因亂失母，思慕悲傷，孝道益著。
HCH_010_099_000106	周公誅飛廉、惡來，天下大悅。
HCH_010_099_000107	今逆黨未除，大冤不報，上無以慰順考之靈，下無以釋天下之憤。
HCH_010_099_000108	怨氣上結，水旱為沴。
HCH_010_099_000109	臣願陛下下明詔，求順考之瘞所，盡收逆黨以正邦憲，快四方忠義之心，昭國家賞罰之用，然後致治之道可得而舉矣。
HCH_010_099_000110	謹別錄順聖升遐及乙辛等事，昧死以聞。
HCH_010_099_000111	書奏不報，聞者莫不嘆惋。
HCH_010_099_000112	乾統中，遙授靜江軍節度使，卒。
HCH_010_099_000113	子馬哥，同中書門下平章事。
HCH_010_099_000114	論曰：《易》言「履霜，堅冰至」，謹始也。
HCH_010_099_000115	使道宗能從巖壽、撒剌之諫，後何得而誣，太子何得而廢哉？
HCH_010_099_000116	速撒、撻不也以忠言見殺，國欲無亂，得乎？
HCH_010_099_000117	石柳之書，亦幸出於乙辛既敗之後，獲行其說。
HCH_010_099_000118	有國家者，可不知人哉！
HCH_010_099_000119	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
