HCH_010_111_000001	蕭餘里也，字訛都碗，國舅阿剌次子。
HCH_010_111_000002	便佞滑稽，善女工。
HCH_010_111_000003	重熙間，以外戚進。
HCH_010_111_000004	清寧初，補祗候郎君，尚鄭國公主，拜駙馬都尉，累遷南面林牙。
HCH_010_111_000005	以父阿剌為蕭革所譖，出餘里也為奉先軍節度使。
HCH_010_111_000006	十年冬，召為北面林牙。
HCH_010_111_000007	咸雍中，會有告餘里也與族人術哲謀害耶律乙辛，按無狀，出為寧遠軍節度使。
HCH_010_111_000008	自後餘里也揣乙辛意，傾心事之，薦為國舅詳穩。
HCH_010_111_000009	大康初，封遼西郡王。
HCH_010_111_000010	時乙辛擅恣，凡不附己者出之，乃引餘里也為北府宰相，兼知契丹行宮都部署事。
HCH_010_111_000011	及乙辛謀構皇太子，餘里也多助成之，遂知北院樞密事，賜推誠協贊功臣。
HCH_010_111_000012	以女侄妻乙辛子綏也，恃勢橫肆，至有無君之語，朝野側目。
HCH_010_111_000013	帝出乙辛知南院大王事，坐與乙辛黨，以天平軍節度使歸第。
HCH_010_111_000014	尋拜西北路招討使。
HCH_010_111_000015	以母憂去官，卒。
HCH_010_111_000016	耶律合魯，字胡都堇，六院舍利古直之後。
HCH_010_111_000017	柔佞喜茍合。
HCH_010_111_000018	仕清寧初。
HCH_010_111_000019	時乙辛引用群小，合魯附之，遂見委任，俄擢南面林牙。
HCH_010_111_000020	乙辛譖皇太子，殺忠直，合魯多預其謀。
HCH_010_111_000021	弟吾也亦黨乙辛，時號「二賊」。
HCH_010_111_000022	乙辛薦為北院大王，卒。
HCH_010_111_000023	吾也亦至南院大王。
HCH_010_111_000024	蕭得裏特，遙輦窪可汗宮分人。
HCH_010_111_000025	善阿意順色。
HCH_010_111_000026	清寧初，乙辛用事，甚見引用，累遷北面林牙、同知北院宣徽使事。
HCH_010_111_000027	及皇太子廢，遣得裏特監送上京。
HCH_010_111_000028	得裏特促其行，不令下車，起居飲食數加陵侮，至則築圜堵囚之。
HCH_010_111_000029	大康中，遷西南招討使，歷順義軍節度使，轉國舅詳穩。
HCH_010_111_000030	壽隆五年，坐怨望，以老免死，闔門籍興聖宮，貶西北統軍司，卒。
HCH_010_111_000031	二子：得末、訛裏，乾統間以父與乙辛謀，伏誅。
HCH_010_111_000032	蕭訛都斡，國舅少父房之後。
HCH_010_111_000033	咸雍中，補牌印郎君。
