HCH_011_013_000001	范雲字彥龍，南鄉舞陰人，晉平北將軍汪六世孫也。
HCH_011_013_000002	年八歲，遇宋豫州刺史殷琰於塗，琰異之，要就席，雲風姿應對，傍若無人。
HCH_011_013_000003	琰令賦詩，操筆便就，坐者歎焉。
HCH_011_013_000004	嘗就親人袁照學，晝夜不怠。
HCH_011_013_000005	照撫其背曰：「卿精神秀朗而勤於學，卿相才也。」
HCH_011_013_000006	少機警，有識具，善屬文，便尺牘，下筆輒成，未嘗定藁，時人每疑其宿構。
HCH_011_013_000007	父抗，爲郢府參軍，雲隨父在府，時吳興沈約、新野庾杲之與抗同府，見而友之。
HCH_011_013_000008	起家郢州西曹書佐，轉法曹行參軍。
HCH_011_013_000009	俄而沈攸之舉兵圍郢城，抗時爲府長流，入城固守，留家屬居外。
HCH_011_013_000010	雲爲軍人所得，攸之召與語，聲色甚厲，雲容貌不變，徐自陳說。
HCH_011_013_000011	攸之乃笑曰：「卿定可兒，且出就舍。」
HCH_011_013_000012	明旦，又召令送書入城。
HCH_011_013_000013	城內或欲誅之，雲曰：「老母弱弟，懸命沈氏，若違其命，禍必及親，今日就戮，甘心如薺。」
HCH_011_013_000014	長史柳世隆素與雲善，乃免之。
HCH_011_013_000015	齊建元初，竟陵王子良爲會稽太守，雲始隨王，王未之知也。
HCH_011_013_000016	會游秦望，使人視刻石文，時莫能識，雲獨誦之，王悅，自是寵冠府朝。
HCH_011_013_000017	王爲丹陽尹，召爲主簿，深相親任。
HCH_011_013_000018	時進見齊高帝，值有獻白烏者，帝問此爲何瑞？
HCH_011_013_000019	雲位卑，最後答曰：「臣聞王者敬宗廟，則白烏至。」
HCH_011_013_000020	時謁廟始畢。
HCH_011_013_000021	帝曰：「卿言是也。感應之理，一至此乎！」
HCH_011_013_000022	轉補征北南郡王刑獄參軍事，領主簿如故，遷尚書殿中郎。
HCH_011_013_000023	子良爲司徒，又補記室參軍事，尋授通直散騎侍郎、領本州大中正。
HCH_011_013_000024	出爲零陵內史，在任潔己，省煩苛，去游費，百姓安之。
HCH_011_013_000025	明帝召還都，及至，拜散騎侍郎。
HCH_011_013_000026	復出爲始興內史。
HCH_011_013_000027	郡多豪猾大姓，二千石有不善者，謀共殺害，不則逐去之。
HCH_011_013_000028	邊帶蠻俚，尤多盜賊，前內史皆以兵刃自衛。
HCH_011_013_000029	雲入境，撫以恩德，罷亭候，商賈露宿，郡中稱爲神明。
HCH_011_013_000030	仍遷假節、建武將軍、平越中郎將、廣州刺史。
HCH_011_013_000031	初，雲與尚書僕射江祏善，祏姨弟徐藝爲曲江令，深以託雲。
HCH_011_013_000032	有譚儼者，縣之豪族，藝鞭之，儼以爲恥，詣京訴雲，雲坐徵還下獄，會赦免。
HCH_011_013_000033	永元二年，起爲國子博士。
HCH_011_013_000034	初，雲與高祖遇於齊竟陵王子良邸，又嘗接里閈，高祖深器之。
HCH_011_013_000035	及義兵至京邑，雲時在城內。
HCH_011_013_000036	東昏旣誅，侍中張稷使雲銜命出城，高祖因留之，便參帷幄，仍拜黃門侍郎，與沈約同心翊贊。
HCH_011_013_000037	俄遷大司馬諮議參軍、領錄事。
HCH_011_013_000038	梁臺建，遷侍中。
HCH_011_013_000039	時高祖納齊東昏余妃，頗妨政事，雲嘗以爲言，未之納也。
HCH_011_013_000040	後與王茂同入臥內，雲又諫曰：「昔漢祖居山東，貪財好色，及入關定秦，財帛無所取，婦女無所幸，范增以爲其志大故也。今明公始定天下，海內想望風聲，奈何襲昏亂之蹤，以女德爲累。」
HCH_011_013_000041	王茂因起拜曰：「范雲言是，公必以天下爲念，無宜留惜。」
HCH_011_013_000042	高祖默然。
HCH_011_013_000043	雲便疏令以余氏賚茂，高祖賢其意而許之。
HCH_011_013_000044	明日，賜雲、茂錢各百萬。
HCH_011_013_000045	天監元年，高祖受禪，柴燎於南郊，雲以侍中參乘。
HCH_011_013_000046	禮畢，高祖升輦，謂雲曰：「朕之今日，所謂懍乎若朽索之馭六馬。」
HCH_011_013_000047	雲對曰：「亦願陛下日慎一日。」
HCH_011_013_000048	高祖善之。
HCH_011_013_000049	是日，遷散騎常侍、吏部尚書；以佐命功封霄城縣侯，邑千戶。
HCH_011_013_000050	雲以舊恩見拔，超居佐命，盡誠翊亮，知無不爲。
HCH_011_013_000051	高祖亦推心任之，所奏多允。
