HCH_011_019_000001	宗夬字明敭，南陽涅陽人也，世居江陵。
HCH_011_019_000002	祖炳，宋時徵太子庶子不就，有高名。
HCH_011_019_000003	父繁，西中郎諮議參軍。
HCH_011_019_000004	夬少勤學，有局幹。
HCH_011_019_000005	弱冠，舉郢州秀才，歷臨川王常侍、驃騎行參軍。
HCH_011_019_000006	齊司徒竟陵王集學士于西邸，並見圖畫，夬亦預焉。
HCH_011_019_000007	永明中，與魏和親，敕夬與尚書殿中郎任昉同接魏使，皆時選也。
HCH_011_019_000008	武帝嫡孫南郡王居西州，以夬管書記，夬旣以筆札被知，亦以貞正見許，故任焉。
HCH_011_019_000009	俄而文惠太子薨，王爲皇太孫，夬仍管書記。
HCH_011_019_000010	及太孫卽位，多失德，夬頗自疏，得爲秣陵令，遷尚書都官郎。
HCH_011_019_000011	隆昌末，少帝見誅，寵舊多罹其禍，惟夬及傅昭以清正免。
HCH_011_019_000012	明帝卽位，以夬爲郢州治中，有名稱職，以父老去官還鄉里。
HCH_011_019_000013	南康王爲荊州刺史，引爲別駕。
HCH_011_019_000014	義師起，遷西中郎諮議參軍，別駕如故。
HCH_011_019_000015	時西土位望，惟夬與同郡樂藹、劉坦爲州人所推信，故領軍將軍蕭穎胄深相委仗，每事諮焉。
HCH_011_019_000016	高祖師發雍州，穎胄遣夬出自楊口，面稟經略，並護送軍資，高祖甚禮之。
HCH_011_019_000017	中興初，遷御史中丞，以父憂去職。
HCH_011_019_000018	起爲冠軍將軍、衛軍長史。
HCH_011_019_000019	天監元年，遷征虜長史、東海太守，將軍如故。
HCH_011_019_000020	二年，徵爲太子右衛率。
HCH_011_019_000021	是冬，遷五兵尚書，參掌大選。
HCH_011_019_000022	三年，卒，時年四十九。
HCH_011_019_000023	子曜卿嗣。
HCH_011_019_000024	夬從弟岳，有名行，州裏稱之，出於夬右。
HCH_011_019_000025	仕歷尚書庫部郎，郢州治中，北中郎錄事參軍事。
HCH_011_019_000026	劉坦，字德度，南陽安衆人也，晉鎮東將軍喬之七世孫。
HCH_011_019_000027	坦少爲從兄虯所知。
HCH_011_019_000028	齊建元初，爲南郡王國常侍，尋補孱陵令，遷南中郎錄事參軍，所居以幹濟稱。
HCH_011_019_000029	南康王爲荊州刺史，坦爲西中郎中兵參軍，領長流。
HCH_011_019_000030	義師起，遷諮議參軍。
HCH_011_019_000031	時輔國將軍楊公則爲湘州刺史，帥師赴夏口，西朝議行州事者，坦謂衆曰：「湘境人情，易擾難信。若專用武士，則百姓畏侵漁；若遣文人，則威略不振。必欲鎮靜一州城，軍民足食，則無逾老臣。先零之役，竊以自許。」
