HCH_011_043_000001	韋粲字長蒨，車騎將軍叡之孫，北徐州刺史放之子也。
HCH_011_043_000002	有父風，好學仗氣，身長八尺，容貌甚偉。
HCH_011_043_000003	初爲雲麾晉安王行參軍，俄署法曹，遷外兵參軍，兼中兵。
HCH_011_043_000004	時潁川庾仲容、吳郡張率，前輩知名，與粲同府，並忘年交好。
HCH_011_043_000005	及王遷鎮雍州，隨轉記室，兼中兵如故。
HCH_011_043_000006	王立爲皇太子，粲遷步兵校尉，入爲東宮領直，丁父憂去職。
HCH_011_043_000007	尋起爲招遠將軍，復爲領直。
HCH_011_043_000008	服闋，襲爵永昌縣侯，除安西湘東王諮議，累遷太子僕、左衛率，領直並如故。
HCH_011_043_000009	粲以舊恩，任寄綢密，雖居職屢徙，常留宿衛，頗擅威名，誕倨，不爲時輩所平。
HCH_011_043_000010	右衛朱异嘗於酒席厲色謂粲曰：「卿何得已作領軍面向人！」
HCH_011_043_000011	中大同十一年，遷通直散騎常侍，未拜，出爲持節、督衡州諸軍事、安遠將軍、衡州刺史。
HCH_011_043_000012	皇太子出餞新亭，執粲手曰：「與卿不爲久別。」
HCH_011_043_000013	太清元年，粲至州無幾，便表解職。
HCH_011_043_000014	二年，徵爲散騎常侍。
HCH_011_043_000015	粲還至廬陵，聞侯景作逆，便簡閱部下，得精卒五千，馬百匹，倍道赴援。
HCH_011_043_000016	至豫章，奉命報云「賊已出橫江」，粲卽就內史劉孝儀共謀之。
HCH_011_043_000017	孝儀曰：「必期如此，當有別敕。豈可輕信單使，妄相驚動，或恐不然。」
HCH_011_043_000018	時孝儀置酒，粲怒，以杯抵地曰：「賊已渡江，便逼宮闕，水陸俱斷，何暇有報；假令無敕，豈得自安？韋粲今日何情飲酒！」
HCH_011_043_000019	卽馳馬出，部分將發，會江州刺史當陽公大心遣使要粲，粲乃馳往見大心曰：「上游蕃鎮，江州去京最近，殿下情計，實宜在前；但中流任重，當須應接，不可闕鎮。今直且張聲勢，移鎮湓城，遣偏將賜隨，於事便足。」
HCH_011_043_000020	大心然之，遣中兵柳昕帥兵二千人隨粲。
HCH_011_043_000021	粲悉留家累於江州，以輕舸就路。
