HCH_012_006_000001	永樂元年春正月己卯朔，御奉天殿受朝賀，宴羣臣及屬國使。
HCH_012_006_000002	乙酉，享太廟。
HCH_012_006_000003	辛卯，大祀天地於南郊。
HCH_012_006_000004	復周王橚、齊王榑、代王桂、岷王楩舊封。
HCH_012_006_000005	以北平為北京。
HCH_012_006_000006	癸巳，保定侯孟善鎮遼東。
HCH_012_006_000007	丁酉，宋晟為平羌將軍，鎮甘肅。
HCH_012_006_000008	二月庚戌，設北京留守行後軍都督府、行部、國子監，改北平曰順天府。
HCH_012_006_000009	乙卯，遣御史分巡天下，為定制。
HCH_012_006_000010	己未，徙封寧王權於南昌。
HCH_012_006_000011	貽書鬼力赤可汗，許其遣使通好。
HCH_012_006_000012	癸亥，耕耤田。
HCH_012_006_000013	乙丑，遣使徵尚師哈立麻於烏斯藏。
HCH_012_006_000014	己巳，振北京六府饑。
HCH_012_006_000015	辛未，命法司五日一引奏罪囚。
HCH_012_006_000016	壬申，瘞戰地暴骨。
HCH_012_006_000017	甲戌，高陽王高煦備邊開平。
HCH_012_006_000018	三月庚辰，江陰侯吳高鎮大同。
HCH_012_006_000019	壬午，改北平行都司為大寧都司，徙保定，始以大寧地畀兀良哈。
HCH_012_006_000020	戊子，平江伯陳瑄、都督僉事宣信充總兵官，督海運，餉遼東、北京，歲以為常。
HCH_012_006_000021	甲午，振直隸、北京、山東、河南饑。
HCH_012_006_000022	夏四月丁未朔，安南胡𡗨乞襲陳氏封爵，遣使察實以聞。
HCH_012_006_000023	己酉，戶部尚書夏原吉治蘇、松、嘉、湖水患。
HCH_012_006_000024	辛未，岷王楩有罪，降其官屬。
HCH_012_006_000025	甲戌，襄城伯李濬鎮江西。
HCH_012_006_000026	五月丁丑，除天下荒田未墾者額稅。
HCH_012_006_000027	癸未，宥死罪以下，遞減一等。
HCH_012_006_000028	庚寅，捕山東蝗。
HCH_012_006_000029	丁酉，河南蝗，免今年夏稅。
HCH_012_006_000030	是月，再論靖難功，封駙馬都尉袁容等三人為侯，陳亨子懋等六人為伯。
HCH_012_006_000031	六月壬子，代王桂有罪，削其護衞。
HCH_012_006_000032	癸丑，遣給事中、御史分行天下，撫安軍民，有司奸貪者逮治。
HCH_012_006_000033	丁巳，改上高皇帝、高皇后尊諡。
HCH_012_006_000034	戊辰，武安侯鄭亨鎮宣府。
HCH_012_006_000035	秋七月庚寅，復貽書鬼力赤。
HCH_012_006_000036	八月己巳，發流罪以下墾北京田。
HCH_012_006_000037	甲戌，徙直隸蘇州等十郡、浙江等九省富民實北京。
HCH_012_006_000038	九月癸未，命寶源局鑄農器，給山東被兵窮民。
HCH_012_006_000039	庚寅，初遣中官馬彬使爪哇諸國。
HCH_012_006_000040	乙未，奪歷城侯盛庸爵，尋自殺。
HCH_012_006_000041	庚子，岷王楩有罪，削其護衞。
HCH_012_006_000042	冬十一月乙亥朔，頒曆於朝鮮諸國，著為令。
HCH_012_006_000043	壬辰，罷遣浚河民夫。
HCH_012_006_000044	甲午，北京地震。
