HCH_012_016_000001	武宗承天達道英肅睿哲昭德顯功弘文思孝毅皇帝，諱厚照，孝宗長子也。
HCH_012_016_000002	母孝康敬皇后。
HCH_012_016_000003	弘治五年，立為皇太子。
HCH_012_016_000004	性聰穎，好騎射。
HCH_012_016_000005	十八年五月，孝宗崩。
HCH_012_016_000006	壬寅，即皇帝位。
HCH_012_016_000007	以明年為正德元年，大赦天下，除弘治十六年以前逋賦。
HCH_012_016_000008	戊申，小王子犯宣府，總兵官張俊敗績。
HCH_012_016_000009	庚戌，太監苗逵監督軍務，保國公朱暉為征虜將軍，充總兵官，右都御史史琳提督軍務，禦之。
HCH_012_016_000010	秋八月甲寅，尊皇太后為太皇太后，皇后為皇太后。
HCH_012_016_000011	丙子，召朱暉等還。
HCH_012_016_000012	九月甲午，南京地震。
HCH_012_016_000013	丁酉，振陝西饑。
HCH_012_016_000014	冬十月丙辰，小王子犯甘肅。
HCH_012_016_000015	庚午，葬敬皇帝於泰陵。
HCH_012_016_000016	十一月甲申，御文華殿日講。
HCH_012_016_000017	是年，占城、安南入貢。
HCH_012_016_000018	正德元年春正月乙酉，享太廟。
HCH_012_016_000019	己丑，大祀天地於南郊。
HCH_012_016_000020	二月壬子，御經筵。
HCH_012_016_000021	乙丑，耕耤田。
HCH_012_016_000022	三月甲申，釋奠於先師孔子。
HCH_012_016_000023	夏五月丙申，減蘇、杭織造歲幣。
HCH_012_016_000024	六月辛酉，禁吏民奢靡。
HCH_012_016_000025	免陝西被災稅糧。
HCH_012_016_000026	是日，大風雨壞郊壇獸瓦。
HCH_012_016_000027	庚午，諭羣臣修省。
HCH_012_016_000028	秋八月乙卯，復遣內官南京織造。
HCH_012_016_000029	戊午，立皇后夏氏。
HCH_012_016_000030	冬十月丁巳，戶部尚書韓文帥廷臣請誅亂政內臣馬永成等八人，大學士劉健、李東陽、謝遷主之。
HCH_012_016_000031	戊午，韓文等再請，不聽。
HCH_012_016_000032	以劉瑾掌司禮監，丘聚、谷大用提督東、西廠，張永督十二團營兼神機營，魏彬督三千營，各據要地。
HCH_012_016_000033	劉健、李東陽、謝遷乞去，健、遷是日致仕。
HCH_012_016_000034	己未，東陽復乞去，不允。
HCH_012_016_000035	壬戌，吏部尚書焦芳兼文淵閣大學士，吏部侍郎王鏊兼翰林學士，入閣預機務。
HCH_012_016_000036	戊辰，停日講。
HCH_012_016_000037	十一月甲辰，罷韓文。
HCH_012_016_000038	十二月丁巳，命錦衣衞官點閱給事中。
HCH_012_016_000039	癸酉，除曲阜孔氏田賦。
HCH_012_016_000040	是年，哈密、烏斯藏入貢。
HCH_012_016_000041	二年春正月乙亥朔，日有食之。
HCH_012_016_000042	乙酉，大祀天地於南郊。
HCH_012_016_000043	閏月庚戌，杖給事中艾洪、呂翀、劉𦶜及南京給事中戴銑、御史薄彥徽等二十一人於闕下。
HCH_012_016_000044	二月戊戌，杖御史王良臣於午門，御史王時中荷校於都察院。
