HCH_012_021_000001	二十五年春正月丙辰，朝鮮使來請援。
HCH_012_021_000002	二月丙寅，復議征倭。
HCH_012_021_000003	丙子，前都督同知麻貴為備倭總兵官，統南北諸軍。
HCH_012_021_000004	三月乙巳，山東右參政楊鎬為僉都御史，經略朝鮮軍務。
HCH_012_021_000005	己未，兵部侍郎邢玠為尚書，總督薊、遼、保定軍務，經略禦倭。
HCH_012_021_000006	夏六月戊寅，皇極、中極、建極三殿災。
HCH_012_021_000007	癸未，罷修國史。
HCH_012_021_000008	秋七月癸巳，誡諭羣臣。
HCH_012_021_000009	丁酉，詔赦天下。
HCH_012_021_000010	是月，楊應龍叛，掠合江、綦江。
HCH_012_021_000011	八月丁丑，倭破朝鮮閑山，遂薄南原，副總兵楊元棄城走，倭逼王京。
HCH_012_021_000012	甲申，京師地震。
HCH_012_021_000013	九月壬辰，逮前兵部尚書石星下獄，論死。
HCH_012_021_000014	冬十月甲戌，安南黎惟潭篡立，欵關請罪，詔授安南都統使。
HCH_012_021_000015	是年，琉球入貢。
HCH_012_021_000016	二十六年春正月，官軍攻倭於蔚山，不克，楊鎬、麻貴奔王京。
HCH_012_021_000017	三月癸卯，賜趙秉忠等進士及第、出身有差。
HCH_012_021_000018	壬子，羣臣詣文華門疏請皇長子冠婚，不允。
HCH_012_021_000019	夏四月丁卯，遼東總兵官李如松出塞，遇伏戰死。
HCH_012_021_000020	壬申，京師旱，敕修省。
HCH_012_021_000021	六月丁巳，楊鎬罷。
HCH_012_021_000022	戊午，中官李敬採珠廣東。
HCH_012_021_000023	丙寅，張位罷。
HCH_012_021_000024	丙子，巡撫天津僉都御史萬世德經略朝鮮。
HCH_012_021_000025	秋七月丙戌，中官魯保鬻兩淮餘鹽。
HCH_012_021_000026	八月丁丑，京師地震。
HCH_012_021_000027	九月壬辰，免浙江被災田租。
HCH_012_021_000028	冬十月乙卯，總兵官劉綎、麻貴分道擊倭，敗之。
HCH_012_021_000029	董一元攻倭新寨，敗績。
HCH_012_021_000030	十一月戊戌，倭棄蔚山遁，官軍分道進擊。
HCH_012_021_000031	十二月，總兵官陳璘破倭於乙山，朝鮮平。
HCH_012_021_000032	是年，烏斯藏入貢。
HCH_012_021_000033	二十七年春二月壬子，分遣中官領浙江、福建、廣東市舶司。
HCH_012_021_000034	是月，貴州巡撫江東之遣兵討楊應龍，敗績。
HCH_012_021_000035	三月己亥，前兵部侍郎李化龍總督川、湖、貴州軍務，討楊應龍。
HCH_012_021_000036	夏四月甲戌，御午門，受倭俘。
HCH_012_021_000037	是月，臨清民變，焚稅使馬堂署，殺其參隨三十四人。
HCH_012_021_000038	閏月丙戌，以倭平，詔天下，除東征加派田賦。
HCH_012_021_000039	己丑，久旱，敕修省。
HCH_012_021_000040	丙申，以諸皇子婚，詔取太倉銀二千四百萬兩。
HCH_012_021_000041	戶部告匱，命嚴覈天下積儲。
HCH_012_021_000042	六月己亥，楊應龍陷綦江，參將房嘉寵、遊擊張良賢戰死。
HCH_012_021_000043	秋八月甲午，陝西狄道縣山崩。
HCH_012_021_000044	九月，土蠻犯錦州。
HCH_012_021_000045	冬十月壬午，振京城饑民。
HCH_012_021_000046	丙戌，以播州用兵，加四川、湖廣田賦。
HCH_012_021_000047	戊子，貴州宣慰使安疆臣有罪，詔討賊自贖。
HCH_012_021_000048	十一月己酉，免河南被災田租。
HCH_012_021_000049	癸酉，振畿輔及鳳陽等處饑。
HCH_012_021_000050	十二月丁丑，武昌、漢陽民變，擊傷稅使陳奉。
HCH_012_021_000051	戊子，振京師就食流民。
HCH_012_021_000052	是年，琉球入貢。
HCH_012_021_000053	二十八年春二月戊寅，京師地震。
HCH_012_021_000054	丙戌，李化龍帥師分八路進討播州。
HCH_012_021_000055	夏六月丁丑，克海龍囤，楊應龍自縊死，播州平。
HCH_012_021_000056	秋七月辛亥，旱，敕修省。
HCH_012_021_000057	八月辛未，慈慶宮成。
HCH_012_021_000058	丙子，罷朝鮮戍兵。
HCH_012_021_000059	九月甲寅，停刑。
HCH_012_021_000060	是秋，炒花犯遼東，副總兵解生等敗沒。
HCH_012_021_000061	冬十月辛未，貴州皮林苗叛，總兵官陳璘討之。
HCH_012_021_000062	丙子，雲南稅監楊榮開採阿瓦、孟密寶井。
HCH_012_021_000063	十二月乙未，御午門，受播州俘。
HCH_012_021_000064	是年，兩畿各省災傷，民饑盜起，內外羣臣交章請罷礦稅諸監，皆不聽。
HCH_012_021_000065	大西洋利瑪竇進方物。
HCH_012_021_000066	二十九年春正月壬子，以播州平，詔天下，蠲四川、貴州、湖廣、雲南加派田租逋賦，除官民詿誤罪。
HCH_012_021_000067	是月，皮林苗賊平。
HCH_012_021_000068	二月甲戌，振大同、宣府饑。
HCH_012_021_000069	三月乙卯，賜張以誠等進士及第、出身有差。
HCH_012_021_000070	是月，武昌民變，殺稅監陳奉參隨六人，焚巡撫公署。
HCH_012_021_000071	夏四月乙酉，徵陳奉還，以守備承天中官杜茂代之。
HCH_012_021_000072	五月，蘇州民變，殺織造中官孫隆參隨數人。
HCH_012_021_000073	六月，京師自去年六月不雨，至是月乙亥始雨。
HCH_012_021_000074	山東、山西、河南皆大旱。
HCH_012_021_000075	丁亥，法司請熱審，不報。
HCH_012_021_000076	是夏，振畿內饑。
HCH_012_021_000077	秋九月壬寅，河決開封、歸德。
HCH_012_021_000078	丁未，趙志皐卒。
HCH_012_021_000079	癸丑，振貴州饑。
HCH_012_021_000080	戊午，前禮部尚書沈鯉、朱賡並兼東閣大學士，預機務。
HCH_012_021_000081	冬十月己卯，立皇長子常洛為皇太子，封諸子常洵福王，常浩瑞王，常潤惠王，常瀛桂王。
HCH_012_021_000082	詔赦天下。
HCH_012_021_000083	壬辰，加上慈聖皇太后尊號。
HCH_012_021_000084	十二月辛未，詔復朵顏馬市。
HCH_012_021_000085	是年，琉球入貢。
HCH_012_021_000086	三十年春正月己未，以四方災異，敕修省。
HCH_012_021_000087	二月己卯，不豫，召大學士沈一貫於啟祥宮，命罷礦稅，停織造，釋逮繫，復建言諸臣職。
HCH_012_021_000088	翼日，疾瘳，寢前詔。
HCH_012_021_000089	甲申，重建乾清、坤寧宮。
HCH_012_021_000090	閏月丙申，復河套諸部貢市。
HCH_012_021_000091	戊午，河州黃河竭。
HCH_012_021_000092	三月甲申，騰越民變，殺稅監委官。
HCH_012_021_000093	夏四月辛丑，振順天、永平饑。
HCH_012_021_000094	五月乙亥，法司請熱審，不報。
HCH_012_021_000095	秋七月辛巳，邊餉缺，命嚴催積逋。
HCH_012_021_000096	是月，緬賊陷蠻莫宣撫司，宣撫思正奔騰越，賊追至，有司殺正以謝賊，始解。
HCH_012_021_000097	冬十月戊戌，振江北災。
HCH_012_021_000098	丙辰，停刑。
HCH_012_021_000099	是年，琉球、哈密入貢。
HCH_012_021_000100	三十一年春三月戊午，吏部奏天下郡守闕員，不報。
