HCH_012_024_000001	十一年春正月丁丑，洪承疇敗賊於梓潼，賊還走陝西。
HCH_012_024_000002	丁亥，裁南京冗官。
HCH_012_024_000003	二月甲辰，改河南巡按御史張任學為總兵官。
HCH_012_024_000004	三月戊寅，賀逢聖致仕。
HCH_012_024_000005	是月，李自成自洮州出番地，總兵官曹變蛟追破之，復入塞，走西和、禮縣。
HCH_012_024_000006	夏四月辛丑，張獻忠偽降於穀城，熊文燦受之。
HCH_012_024_000007	戊申，張至發致仕。
HCH_012_024_000008	己酉，熒惑逆行，諭廷臣修省。
HCH_012_024_000009	五月癸亥朔，策試考選官於中左門。
HCH_012_024_000010	六月癸巳，安民廠災，壞城垣，傷萬餘人。
HCH_012_024_000011	壬寅，孔貞運致仕。
HCH_012_024_000012	乙卯，兵部尚書楊嗣昌、戶部尚書程國祥、禮部侍郎方逢年、工部侍郎蔡國用俱禮部尚書，大理少卿范復粹為禮部侍郎，並兼東閣大學士，預機務。
HCH_012_024_000013	嗣昌仍掌兵部。
HCH_012_024_000014	是月，兩畿、山東、河南大旱蝗。
HCH_012_024_000015	秋七月乙丑，少詹事黃道周以論楊嗣昌奪情，謫按察司照磨。
HCH_012_024_000016	八月戊戌，以災異屢見，齋居永壽宮，諭廷臣修省。
HCH_012_024_000017	癸丑，傅冠致仕。
HCH_012_024_000018	戊午，停刑。
HCH_012_024_000019	流賊羅汝才等自陝州犯襄陽。
HCH_012_024_000020	九月，陝西、山西旱饑。
HCH_012_024_000021	辛巳，大清兵入牆子嶺，總督薊遼兵部侍郎吳阿衡死之。
HCH_012_024_000022	癸未，京師戒嚴。
HCH_012_024_000023	冬十月癸巳，盧象昇入援，召對於武英殿。
HCH_012_024_000024	甲午，括馬。
HCH_012_024_000025	盧象昇、高起潛分督援軍。
HCH_012_024_000026	是月，洪承疇、曹變蛟大破賊於潼關南原，李自成以數騎遁。
HCH_012_024_000027	十一月戊辰，大清兵克高陽，致仕大學士孫承宗死之。
HCH_012_024_000028	戊子，罷盧象昇，戴罪立功。
HCH_012_024_000029	劉宇亮自請視師，許之。
HCH_012_024_000030	是月，羅汝才降。
HCH_012_024_000031	十二月庚子，方逢年罷。
HCH_012_024_000032	盧象昇兵敗於鉅鹿，死之。
HCH_012_024_000033	戊申，孫傳庭為兵部侍郎督援軍，徵洪承疇入衞。
HCH_012_024_000034	是年，土魯番、琉球入貢。
HCH_012_024_000035	十二年春正月己未朔，以時事多艱，卻廷臣賀。
HCH_012_024_000036	庚申，大清兵入濟南，德王由樞被執，布政使張秉文等死之。
HCH_012_024_000037	戊辰，劉宇亮、孫傳庭會師十八萬於晉州，不敢進。
HCH_012_024_000038	丁丑，改洪承疇總督薊、遼，孫傳庭總督保定、山東、河北。
HCH_012_024_000039	二月乙未，劉宇亮罷。
HCH_012_024_000040	大清兵北歸。
HCH_012_024_000041	三月丙寅，出青山口。
HCH_012_024_000042	凡深入二千里，閱五月，下畿內、山東七十餘城。
HCH_012_024_000043	丙子，加上孝純皇太后諡，詔天下。
HCH_012_024_000044	夏四月戊申，程國祥致仕。
HCH_012_024_000045	是月，左良玉擊降賊首李萬慶。
HCH_012_024_000046	五月甲子，禮部侍郎姚明恭、張四知，兵部侍郎魏照乘，俱禮部尚書兼東閣大學士，預機務。
HCH_012_024_000047	乙丑，張獻忠叛於穀城，羅汝才等起應之，陷房縣。
HCH_012_024_000048	乙亥，削孫傳庭籍，尋逮下獄。
HCH_012_024_000049	六月，畿內、山東、河南、山西旱蝗。
HCH_012_024_000050	己酉，抽練各鎮精兵，復加徵練餉。
HCH_012_024_000051	秋七月壬申，右良玉討張獻忠，敗績於羅猴山，總兵官羅岱被執死之。
HCH_012_024_000052	熊文燦削籍，尋逮下獄。
HCH_012_024_000053	八月癸巳，詔誅封疆失事巡撫都御史顏繼祖，總兵官倪寵、祖寬，內臣鄧希詔、孫茂霖等三十三人，俱棄市。
HCH_012_024_000054	己亥，免唐縣等四十州縣去年田租之半。
HCH_012_024_000055	壬子，大學士楊嗣昌督師討賊，總督以下並聽節制。
HCH_012_024_000056	冬十月甲申朔，楊嗣昌誓師襄陽。
HCH_012_024_000057	甲午，左良玉為平賊將軍。
HCH_012_024_000058	丙申，欽定保民四事全書成，頒布天下。
