HCH_012_066_000001	皇帝冕服：洪武元年，學士陶安請制五冕。
HCH_012_066_000002	太祖曰：「此禮太繁。祭天地、宗廟，服袞冕。社稷等祀，服通天冠，絳紗袍。餘不用。」
HCH_012_066_000003	三年，更定正旦、冬至、聖節並服袞冕，祭社稷、先農、冊拜，亦如之。
HCH_012_066_000004	十六年，定袞冕之制。
HCH_012_066_000005	冕，前圓後方，玄表纁裡。
HCH_012_066_000006	前後各十二旒，旒五采，玉十二，珠五，採繅十有二就，就相去一寸。
HCH_012_066_000007	紅絲組為纓，黈纊充耳，玉簪導。
HCH_012_066_000008	袞，玄衣黃裳，十二章，日、月、星辰、山、龍、華蟲六章織於衣，宗彝、藻、火、粉米、黼、黻六章繡於裳。
HCH_012_066_000009	白羅大帶，紅裡。
HCH_012_066_000010	蔽膝隨裳色，繡龍、火、山文。
HCH_012_066_000011	玉革帶，玉佩。
HCH_012_066_000012	大綬六採，赤、黃、黑、白、縹、綠，小綬三，色同大綬。
HCH_012_066_000013	間施三玉環。
HCH_012_066_000014	白羅中單，黻領，青緣襈。
HCH_012_066_000015	黃襪黃舄，金飾。
HCH_012_066_000016	二十六年，更定袞冕十二章。
HCH_012_066_000017	冕版廣一尺二寸，長二尺四寸。
HCH_012_066_000018	冠上有復，玄表朱裡，餘如舊制。
HCH_012_066_000019	圭長一尺二寸。
HCH_012_066_000020	袞，玄衣纁裳，十二章如舊制。
HCH_012_066_000021	中單以素紗為之。
HCH_012_066_000022	紅羅蔽膝，上廣一尺，下廣二尺，長三尺，織火、龍、山三章。
HCH_012_066_000023	革帶佩玉，長三尺三寸。
HCH_012_066_000024	大帶素表朱裡，兩邊用緣，上以朱錦，下以綠錦。
HCH_012_066_000025	大綬，六採織成，純玄質五百首。
HCH_012_066_000026	小綬三，色同大綬。
HCH_012_066_000027	間織三玉環。
HCH_012_066_000028	朱襪，赤舄。
HCH_012_066_000029	永樂三年定，冕冠以皁紗為之，上復曰綖，桐板為質，衣之以綺，玄表朱裡，前圓後方。
HCH_012_066_000030	以玉衡維冠，玉簪貫紐，紐與冠武並系纓處，皆飾以金。
HCH_012_066_000031	綖以左右垂黈纊充耳，系以玄紞，承以白玉瑱朱紘。
HCH_012_066_000032	餘如舊制。
HCH_012_066_000033	玉圭長一尺二寸，剡其上，刻山四，以象四鎮之山，蓋周鎮圭之制，異於大圭不瑑者也。
HCH_012_066_000034	以黃綺約其下，別以囊韜之，金龍文。
HCH_012_066_000035	袞服十有二章。
HCH_012_066_000036	玄衣八章，日、月、龍在肩，星辰、山在背，火、華蟲、宗彝在袖，皆織成本色領褾襈裾。
HCH_012_066_000037	纁裳四章，織藻、粉米、黼、黻各二，前三幅，後四幅，前後不相屬，共腰，有闢積，本色綼裼。
HCH_012_066_000038	裳側有純謂之綼，裳下有純謂之裼，純者緣也。
HCH_012_066_000039	中單以素紗為之。
HCH_012_066_000040	青領褾襈裾，領織黻文十三。
HCH_012_066_000041	蔽膝隨裳色，四章，織藻、粉米、黼黻各二。
HCH_012_066_000042	本色緣，有紃，施於縫中。
HCH_012_066_000043	玉鉤二。
HCH_012_066_000044	玉佩二，各用玉珩一、瑀一、琚二、沖牙一、璜二；瑀下垂玉花一、玉滴二；瑑飾雲龍文描金。
HCH_012_066_000045	自珩而下系組五，貫以玉珠。
HCH_012_066_000046	行則沖牙、二滴與璜相觸有聲。
HCH_012_066_000047	金鉤二。
HCH_012_066_000048	有二小綬，六採纁質。
HCH_012_066_000049	大綬，六採纁質，三小綬，色同大綬。
HCH_012_066_000050	間施三玉環，龍文，皆織成。
HCH_012_066_000051	襪舄皆赤色，舄用黑絇純，以黃飾舄首。
HCH_012_066_000052	嘉靖八年，諭閣臣張璁：「袞冕有革帶，今何不用？」
HCH_012_066_000053	璁對曰：「按陳祥道《禮書》，古革帶、大帶，皆謂之鞶。革帶以纛佩韍，然後加以大帶，而笏搢於二帶之間。夫革帶前系韍，後系綬，左右系佩，自古冕弁恆用之。今惟不用革帶，以至前後佩服皆無所繫，遂附屬裳要之間，失古制矣。」
HCH_012_066_000054	帝曰：「冕服祀天地，享祖宗，若闕革帶，非齊明盛服之意。及觀《會典》載蔽膝用羅，上織火、山、龍三章，並大帶緣用錦，皆與今所服不合。卿可並革帶系蔽膝、佩、綬之式，詳考繪圖以進。」
HCH_012_066_000055	又云：「衣裳分上下服，而今衣恆掩裳。裳制如帷，而今兩幅。朕意衣但當與裳要下齊，而露裳之六章，何如？」
HCH_012_066_000056	已，又諭璁以變更祖制為疑。
HCH_012_066_000057	璁對曰：「臣考禮制，衣不掩裳，與聖意允合。夫衣六章，裳六章，義各有取，衣自不容掩裳。《大明集禮》及《會典》與古制不異。今衣八章，裳四章，故衣常掩裳，然於典籍無所準。內閣所藏圖注，蓋因官司織造，循習訛謬。今訂正之，乃復祖制，非有變更。」
HCH_012_066_000058	帝意乃決。
HCH_012_066_000059	因復諭璁曰：「衣有六章，古以繪，今當以織。朕命織染局考國初冕服，日月各徑五寸，當從之。裳六章，古用繡，亦當從之。古色用玄黃，取象天地。今裳用纁，於義無取，當從古。革帶即束帶，後當用玉，以佩綬系之於下。蔽膝隨裳色，其繡上龍下火，可不用山。卿與內閣諸臣同考之。」
HCH_012_066_000060	於是楊一清等詳議：「袞冕之服，自黃、虞以來，玄衣黃裳，為十二章。日、月、星辰、山、龍、華蟲，其序自上而下，為衣之六章；宗彝、藻、火、粉米、黼、黻，其序自下而上，為裳之六章。自周以後浸，變其制，或八章，或九章，已戾於古矣。我太祖皇帝復定為十二章之制，司造之官仍習舛訛，非製作之初意。伏乞聖斷不疑。」
HCH_012_066_000061	帝乃令擇吉更正其制。
HCH_012_066_000062	冠以圓匡烏紗冒之，旒綴七採玉珠十二，青纊充耳，綴玉珠二，餘如舊制。
HCH_012_066_000063	玄衣黃裳，衣裳各六章。
HCH_012_066_000064	洪武間舊制，日月徑五寸，裳前後連屬如帷，六章用繡。
HCH_012_066_000065	蔽膝隨裳色，羅為之，上繡龍一，下繡火三，系於革帶，大帶素表朱裡，上緣以朱，下以綠。
HCH_012_066_000066	革帶前用玉，其後無玉，以佩綬系而掩之。
HCH_012_066_000067	中單及圭，俱如永樂間制。
HCH_012_066_000068	朱襪，赤舄，黃條緣玄纓結。
HCH_012_066_000069	皇帝通天冠服：洪武元年定，郊廟、省牲，皇太子諸王冠婚、醮戒，則服通天冠、絳紗袍。
HCH_012_066_000070	冠加金博山，附蟬十二，首施珠翠，黑介幘，組纓，玉簪導。
HCH_012_066_000071	絳紗袍，深衣制。
HCH_012_066_000072	白紗內單，皁領褾襈裾。
HCH_012_066_000073	絳紗蔽膝，白假帶，方心曲領。
HCH_012_066_000074	白襪，赤舄。
HCH_012_066_000075	其革帶、佩綬，與袞服同。
HCH_012_066_000076	皇帝皮弁服：朔望視朝、降詔、降香、進表、四夷朝貢、外官朝覲、策士傳臚皆服之。
HCH_012_066_000077	嘉靖以後，祭太歲山川諸神亦服之。
HCH_012_066_000078	其制自洪武二十六年定。
HCH_012_066_000079	皮弁用烏紗冒之，前後各十二縫，每縫綴五采玉十二以為飾，玉簪導，紅組纓。
HCH_012_066_000080	其服絳紗衣，蔽膝隨衣色。
HCH_012_066_000081	白玉佩革帶。
HCH_012_066_000082	玉鉤苾，緋白大帶。
HCH_012_066_000083	白襪，黑舄。
HCH_012_066_000084	永樂三年定，皮弁如舊制，惟縫及冠武並貫簪系纓處，皆飾以金玉。
HCH_012_066_000085	圭長如冕服之圭，有脊，並雙植文。
HCH_012_066_000086	絳紗袍，本色領褾襈裾。
HCH_012_066_000087	紅裳，但不織章數。
HCH_012_066_000088	中單，紅領褾襈裾。
HCH_012_066_000089	餘俱如冕服內制。
HCH_012_066_000090	皇帝武弁服：明初親徵遣將服之。
HCH_012_066_000091	嘉靖八年諭閣臣張璁云：「《會典》紀親徵、類禡之祭，皆具武弁服。不可不備。」
HCH_012_066_000092	璁對：《周禮》有韋弁，謂以韎韋為弁，又以為衣裳。
HCH_012_066_000093	國朝視古損益，有皮弁之制。
HCH_012_066_000094	今武弁當如皮弁，但皮弁以黑紗冒之，武弁當以絳紗冒之。
HCH_012_066_000095	隨具圖以進。
HCH_012_066_000096	帝報曰：「覽圖有韠形，但無系處。冠制古象上尖，今皮弁則圓。朕惟上銳取其輕利，當如古制。又衣裳韠舄皆赤色，何謂？且佩綬俱無，於祭用之，可乎？」
HCH_012_066_000097	璁對：「自古服冕弁俱用革帶，以前系韍，後系綬。韋弁之韠，正系於革帶耳。武事尚威烈，故色純用赤。」
HCH_012_066_000098	帝復報璁：「冠服、衣裳、韠舄俱如古制，增革帶、佩綬及圭。」
