HCH_012_081_000001	錢幣之興，自九府圜法，歷代遵用。
HCH_012_081_000002	鈔始於唐之飛錢，宋之交會，金之交鈔。
HCH_012_081_000003	元世始終用鈔，錢幾廢矣。
HCH_012_081_000004	太祖初置寶源局於應天，鑄「大中通寶」錢，與歷代錢兼行。
HCH_012_081_000005	以四百文為一貫，四十文為一兩，四文為一錢。
HCH_012_081_000006	及平陳友諒，命江西行省置貨泉局，頒大中通寶錢，大小五等錢式。
HCH_012_081_000007	即位，頒「洪武通寶」錢，其制凡五等：曰：「當十」、「當五」、「當三」、「當二」、「當一」。
HCH_012_081_000008	「當十」錢重一兩，餘遞降至重一錢止。
HCH_012_081_000009	各行省皆設寶泉局，與寶源局並鑄，而嚴私鑄之禁。
HCH_012_081_000010	洪武四年改鑄大中、洪武通寶大錢為小錢。
HCH_012_081_000011	初，寶源局錢鑄「京」字於背，後多不鑄，民間無「京」字者不行，故改鑄小錢以便之。
HCH_012_081_000012	尋令私鑄錢作廢銅送官，償以錢。
HCH_012_081_000013	是時有司責民出銅，民毀器皿輸官，頗以為苦。
HCH_012_081_000014	而商賈沿元之舊習用鈔，多不便用錢。
HCH_012_081_000015	七年，帝乃設寶鈔提舉司。
HCH_012_081_000016	明年始詔中書省造大明寶鈔，命民間通行。
HCH_012_081_000017	以桑穰為料，其制方，高一尺，廣六寸，質青色，外為龍文花欄。
HCH_012_081_000018	橫題其額曰：「大明通行寶鈔」。
HCH_012_081_000019	其內上兩旁，復為篆文八字，曰：「大明寶鈔，天下通行」。
HCH_012_081_000020	中圖錢貫，十串為一貫。
HCH_012_081_000021	其下云「中書省奏準印造大明寶鈔與銅錢通行使用，偽造者斬，告捕者賞銀二十五兩，仍給犯人財產。」
HCH_012_081_000022	若五百文則畫錢文為五串，餘如其制而遞減之。
HCH_012_081_000023	其等凡六：曰一貫，曰五百文、四百文、三百文、二百文、一百文。
HCH_012_081_000024	每鈔一貫，準錢千文，銀一兩；四貫準黃金一兩。
HCH_012_081_000025	禁民間不得以金銀物貨交易，違者罪之；以金銀易鈔者聽。
HCH_012_081_000026	遂罷寶源、寶泉局。
HCH_012_081_000027	越二年，復設寶泉局，鑄小錢與鈔兼行，百文以下止用錢。
HCH_012_081_000028	商稅兼收錢鈔，錢三鈔七。
HCH_012_081_000029	十三年，以鈔用久昏爛，立倒鈔法，令所在置行用庫，許軍民商賈以昏鈔納庫易新鈔，量收工墨直。
HCH_012_081_000030	會中書省廢，乃以造鈔屬戶部，鑄錢屬工部，而改寶鈔文「中書省」為「戶部」，與舊鈔兼行。
HCH_012_081_000031	十六年，置戶部寶鈔廣源庫、廣惠庫；入則廣源掌之，出則廣惠掌之。
HCH_012_081_000032	在外衛所軍士，月鹽皆給鈔，各鹽場給工本鈔。
HCH_012_081_000033	十八年，天下有司官祿米皆給鈔，二貫五百文準米一石。
HCH_012_081_000034	二十二年詔更定錢式：生銅一斤，鑄小錢百六十，折二錢半之，「當三」至「當十」，準是為差。
HCH_012_081_000035	更造小鈔，自十文至五十文。
HCH_012_081_000036	二十四年諭榷稅官吏，凡鈔有字貫可辯者，不問爛損，即收受解京，抑勒與偽充者罪之。
HCH_012_081_000037	二十五年設寶鈔行用庫於東市，凡三庫，各給鈔三萬錠為鈔本，倒收舊鈔送內府。
HCH_012_081_000038	令大明寶鈔與歷代錢兼行，鈔一貫準錢千文，提舉司於三月內印造，十月內止，所造鈔送內府充賞賚。
HCH_012_081_000039	明年罷行用庫，又罷寶泉局。
HCH_012_081_000040	時兩浙、江西、閩、廣民重錢輕鈔，有以錢百六十文折鈔一貫者，由是物價翔貴，而鈔法益壞不行。
HCH_012_081_000041	三十年乃更申交易用金銀之禁。
HCH_012_081_000042	成祖初，犯者以奸惡論，惟置造首飾器皿，不在禁例。
HCH_012_081_000043	永樂二年詔犯者免死，徙家戍興州。
HCH_012_081_000044	陝西都司僉事張豫，坐抵易官鈔論戍。
HCH_012_081_000045	江夏民父死，以銀營葬具，當戍邊。
HCH_012_081_000046	帝以其迫於治葬，非玩法，特矜宥之。
HCH_012_081_000047	都御史陳瑛言：「比歲鈔法不通，皆緣朝廷出鈔太多，收斂無法，以致物重鈔輕。莫若暫行戶口食鹽法。天下人民不下千萬戶，官軍不下二百萬家，誠令計口納鈔食鹽，可收五千餘萬錠。」
HCH_012_081_000048	帝令戶部會羣臣議。
HCH_012_081_000049	大口月食鹽一斤，納鈔一貫，小口半之。
HCH_012_081_000050	從其議。
HCH_012_081_000051	設北京寶鈔提舉司，稅糧課程贓罰俱折收鈔，其直視洪武初減十之九。
HCH_012_081_000052	後又令鹽官納舊鈔支鹽，發南京抽分場積薪、龍江提舉司竹木鬻之軍民，收其鈔。
HCH_012_081_000053	應天歲辦蘆柴，徵鈔十之八。
HCH_012_081_000054	帝初即位，戶部尚書夏原吉請更鈔板篆文為「永樂」。
HCH_012_081_000055	帝命仍其舊。
HCH_012_081_000056	自後終明世皆用洪武年號云。
HCH_012_081_000057	仁宗監國，令犯笞杖者輸鈔。
HCH_012_081_000058	及即位，以鈔不行詢原吉。
HCH_012_081_000059	原吉言：「鈔多則輕，少則重。民間鈔不行，緣散多斂少，宜為法斂之。請市肆門攤諸稅，度量輕重，加其課程。鈔入官，官取昏軟者悉毀之。自今官鈔宜少出，民間得鈔難，則自然重矣。」
HCH_012_081_000060	乃下令曰：「所增門攤課程，鈔法通，即復舊，金銀布帛交易者，亦暫禁止。」
HCH_012_081_000061	然是時，民卒輕鈔。
HCH_012_081_000062	至宣德初，米一石用鈔五十貫，乃馳布帛米麥交易之禁。
HCH_012_081_000063	凡以金銀交易及匿貨增直者罰鈔，府縣衛所倉糧積至十年以上者，鹽糧悉收鈔，秋糧亦折鈔三分，門攤課鈔增五倍，塌房、店舍月納鈔五百貫，果園、驘車並令納鈔。
HCH_012_081_000064	戶部言民間交易，惟用金銀，鈔滯不行。
HCH_012_081_000065	乃益嚴其禁，交易用銀一錢者，罰鈔千貫，贓吏受銀一兩者，追鈔萬貫，更追免罪鈔如之。
HCH_012_081_000066	英宗即位，收賦有米麥折銀之令，遂減諸納鈔者，而以米銀錢當鈔，馳用銀之禁。
HCH_012_081_000067	朝野率皆用銀，其小者乃用錢，惟折官俸用鈔，鈔壅不行。
HCH_012_081_000068	十三年復申禁令，阻鈔者追一萬貫，全家戍邊。
HCH_012_081_000069	天順中，始馳其禁。
HCH_012_081_000070	憲宗令內外課程錢鈔兼收，官俸軍餉亦兼支錢鈔。
HCH_012_081_000071	是時鈔一貫不能直錢一文，而計鈔徵之民，則每貫徵銀二分五釐，民以大困。
HCH_012_081_000072	弘治元年，京城稅課司，順天、山東、河南戶口食鹽，俱收鈔，各鈔關俱錢鈔兼收。
HCH_012_081_000073	其後乃皆改折用銀。
HCH_012_081_000074	而洪武、永樂、宣德錢積不用，詔發之，令與歷代錢兼用。
HCH_012_081_000075	戶部請鼓鑄，乃復開局鑄錢。
HCH_012_081_000076	凡納贖收稅，歷代錢、制錢各收其半；無制錢即收舊錢，二以當一。
HCH_012_081_000077	制錢者，國朝錢也。
HCH_012_081_000078	舊制，工部所鑄錢入太倉、司鑰二庫；諸關稅錢亦入司鑰庫。
HCH_012_081_000079	共貯錢數千百萬，中官掌之，京衛軍秋糧取給焉，每七百當銀一兩。
HCH_012_081_000080	武宗之初，部臣請察覈侵蝕；又以錢當俸糧者，僅及銀數三之一，請於承運庫給銀。
HCH_012_081_000081	時中官方用事，皆不聽。
HCH_012_081_000082	已而司鑰庫太監龐鄶慄言：「自弘治間榷關折銀入承運庫，錢鈔缺乏，支放不給，請遵成化舊制，錢鈔兼收。」
HCH_012_081_000083	從之。
HCH_012_081_000084	正德三年，乙太倉積錢給官俸，十分為率，錢一銀九。
HCH_012_081_000085	又從太監張永言，發天財庫及戶部布政司庫錢，關給徵收，每七十文徵銀一錢，且申私鑄之禁。
HCH_012_081_000086	嘉靖四年，令宣課分司收稅，鈔一貫折銀三釐，錢七文折銀一分。
HCH_012_081_000087	是時鈔久不行，錢亦大壅，益專用銀矣。
HCH_012_081_000088	明初鑄洪武錢。
HCH_012_081_000089	成祖九年鑄永樂錢。
HCH_012_081_000090	宣德九年鑄宣德錢。
HCH_012_081_000091	弘治十六年以後，鑄弘治錢。
HCH_012_081_000092	至世宗嘉靖六年，大鑄嘉靖錢。
HCH_012_081_000093	每文重一錢三分，且補鑄累朝未鑄者。
HCH_012_081_000094	三十二年鑄洪武至正德九號錢，每號百萬錠，嘉靖錢千萬錠，一錠五千文。
HCH_012_081_000095	而稅課抽分諸廠，專收嘉靖錢。
HCH_012_081_000096	民患錢少，乃發內庫新舊錢八千一百萬文折給俸糧。
HCH_012_081_000097	又令通行歷代錢，有銷新舊錢及以銅造像制器者，罪比盜鑄。
HCH_012_081_000098	先是，民間行濫惡錢，率以三四十錢當銀一分。
HCH_012_081_000099	後益雜鉛錫，薄劣無形制，至以六七十文當銀一分。
HCH_012_081_000100	翦楮夾其中，不可辨。
HCH_012_081_000101	用給事中李用敬言，以制錢與前代雜錢相兼行，上品者俱七文當銀一分，餘視錢高下為三等，下者二十一文當銀一分；私造濫惡錢悉禁不行，犯者置之法。
HCH_012_081_000102	小錢行久，驟革之，民頗不便。
HCH_012_081_000103	又出內庫錢給文武官俸，不論新舊美惡，悉以七文折算。
HCH_012_081_000104	諸以俸錢市易者，亦悉以七文抑勒予民，民亦騷然。
HCH_012_081_000105	屬連歲大侵，四方流民就食京師，死者相枕藉。
HCH_012_081_000106	論者謂錢法不通使然。
HCH_012_081_000107	於是御史何廷鈺條奏，請許民用小錢，以六十文當銀一分。
HCH_012_081_000108	戶部執不從。
HCH_012_081_000109	廷鈺訐奏尚書方鈍及郎中劉爾牧。
HCH_012_081_000110	帝怒，斥爾牧，採廷鈺議，命從民便。
HCH_012_081_000111	且定嘉靖錢七文，洪武諸錢十文，前代錢三十文，當銀一分。
HCH_012_081_000112	然諸濫惡小錢，以初禁之嚴，雖奉旨間行，竟不復用，而民間競私鑄嘉靖通寶錢，與官錢並行焉。
HCH_012_081_000113	給事中殷正茂言：「兩京銅價大高，鑄錢得不償費。宜採雲南銅，運至岳州鼓鑄，費工本銀三十九萬，可得錢六萬五千萬文，直銀九十三萬餘兩，足以少佐國家之急。」
HCH_012_081_000114	戶部覆言：「雲南地僻事簡，即山鼓鑄為便。」
HCH_012_081_000115	乃敕巡撫以鹽課銀二萬兩為工本。
HCH_012_081_000116	未幾，巡撫王昺言費多入少，乞罷鑄。
HCH_012_081_000117	帝以小費不當惜，仍命行之。
HCH_012_081_000118	越數年，巡按王諍復言宜罷鑄。
HCH_012_081_000119	部議：「錢法壅滯者，由宣課司收稅以七文當一分。奸民乘機阻撓，錢多則惡濫相欺，錢少則增直罔利，故禁愈繁而錢愈滯。自今准折聽民便，不必定文數，而課稅及官俸且俱用銀。」
HCH_012_081_000120	乃罷雲南鑄錢，而從戶部議。
HCH_012_081_000121	時所鑄錢有金背，有火漆，有鏇邊。
HCH_012_081_000122	議者以鑄錢艱難，工匠勞費，革鏇車用鑢鐋。
HCH_012_081_000123	於是鑄工競雜鉛錫便剉治，而輪郭粗糲，色澤黯黲。
HCH_012_081_000124	奸偽仿效，盜鑄日滋，金背錢反阻不行。
HCH_012_081_000125	死罪日報，終不能止。
HCH_012_081_000126	帝患之，問大學士徐階。
HCH_012_081_000127	階陳五害，請停寶源局鑄錢，應支給錢者悉予銀。
HCH_012_081_000128	帝乃鞫治工匠侵料減工罪，而停鼓鑄。
HCH_012_081_000129	自後稅課徵銀而不徵錢。
HCH_012_081_000130	且民間止用制錢，不用古錢，而私鑄者多。
HCH_012_081_000131	隆慶初，錢法不行，兵部侍郎譚綸言：「欲富民，必重布帛菽粟而賤銀，欲賤銀，必制錢法以濟銀之不足。今錢惟布於天下，而不以輸於上，故其權在市井。請令民得以錢輸官，則錢法自通。」
HCH_012_081_000132	於是課稅銀三兩以下復收錢，民間交易一錢以下止許用錢。
HCH_012_081_000133	時錢八文折銀一分，禁民毋得任意低昂。
HCH_012_081_000134	直隸巡按楊家相請鑄大明通寶錢，不識年號。
HCH_012_081_000135	部議格不行。
HCH_012_081_000136	高拱再相，言：「錢法朝議夕更，迄無成說。小民恐今日得錢，而明日不用，是以愈更愈亂，愈禁愈疑。請一從民便，勿多為制以亂人耳目。」
HCH_012_081_000137	帝深然之。
HCH_012_081_000138	錢法復稍稍通矣。
HCH_012_081_000139	寶鈔不用垂百餘年，課程亦鮮有收鈔者，惟俸錢獨支鈔如故。
HCH_012_081_000140	四年始以新鑄隆慶錢給京官俸云。
HCH_012_081_000141	萬曆四年命戶工二部，準嘉靖錢式鑄「萬曆通寶」金背及火漆錢，一文重一錢二分五釐，又鑄鏇邊錢，一文重一錢三分，頒行天下，俸糧皆銀錢兼給。
HCH_012_081_000142	雲南巡按郭庭梧言：「國初京師有寶源局，各省有寶泉局，自嘉靖間省局停廢，民用告匱。滇中產銅，不行鼓鑄，而反以重價購海，非利也。」
HCH_012_081_000143	遂開局鑄錢。
HCH_012_081_000144	尋命十三布政司皆開局。
HCH_012_081_000145	採工部言，以五銖錢為準，用四火黃銅鑄金背，二火黃銅鑄火漆，粗惡者罪之。
HCH_012_081_000146	蓋以費多利少則私鑄自息也。
