HCH_012_126_000001	李文忠，字思本，小字保兒，盱眙人，太祖姊子也。
HCH_012_126_000002	年十二而母死，父貞攜之轉側亂軍中，瀕死者數矣。
HCH_012_126_000003	逾二年乃謁太祖於滁陽。
HCH_012_126_000004	太祖見保兒，喜甚，撫以為子，令從己姓。
HCH_012_126_000005	讀書穎敏如素習。
HCH_012_126_000006	年十九，以舍人將親軍，從援池州，破天完軍，驍勇冠諸將。
HCH_012_126_000007	別攻青陽、石埭、太平、旌德，皆下之。
HCH_012_126_000008	敗元院判阿魯灰於萬年街，復敗苗軍於於潛、昌化。
HCH_012_126_000009	進攻淳安，夜襲洪元帥，降其眾千餘，授帳前左副都指揮兼領元帥府事。
HCH_012_126_000010	尋會鄧愈、胡大海之師，取建德，以為嚴州府，守之。
HCH_012_126_000011	苗帥楊完者以苗、僚數萬水陸奄至。
HCH_012_126_000012	文忠將輕兵破其陸軍，取所馘首，浮巨筏上。
HCH_012_126_000013	水軍見之亦遁。
HCH_012_126_000014	完者復來犯，與鄧愈擊卻之。
HCH_012_126_000015	進克浦江，禁焚掠，示恩信。
HCH_012_126_000016	義門鄭氏避兵山谷，招之還，以兵護之。
HCH_012_126_000017	民大悅。
HCH_012_126_000018	完者死，其部將乞降，撫之，得三萬餘人。
HCH_012_126_000019	與胡大海拔諸暨。
HCH_012_126_000020	張士誠寇嚴州，禦之東門，使別將出小北門，間道襲其後，夾擊大破之。
HCH_012_126_000021	逾月，復來攻，又破之大浪灘，乘勝克分水。
HCH_012_126_000022	士誠遣將據三溪，復擊敗之，斬陸元帥，焚其壘。
HCH_012_126_000023	士誠自是不敢窺嚴州。
HCH_012_126_000024	進同僉行樞密院事。
HCH_012_126_000025	胡大海得漢將李明道、王漢二，送文忠所，釋而禮之，使招建昌守將王溥。
HCH_012_126_000026	溥降。
HCH_012_126_000027	苗將蔣英、劉震殺大海，以金華叛。
HCH_012_126_000028	文忠遣將擊走之，親撫定其眾。
HCH_012_126_000029	處州苗軍亦殺耿再成叛。
HCH_012_126_000030	文忠遣將屯縉雲以圖之。
HCH_012_126_000031	拜浙東行省左丞，總制嚴、衢、信、處、諸全軍事。
HCH_012_126_000032	吳兵十萬方急攻諸全，守將謝再興告急，遣同僉胡德濟往援。
HCH_012_126_000033	再興復請益兵，文忠兵少無以應。
HCH_012_126_000034	會太祖使邵榮討處州亂卒，文忠乃揚言徐右丞、邵平章將大軍刻日進。
HCH_012_126_000035	吳軍聞之懼，謀夜遁。
HCH_012_126_000036	德濟與再興帥死士夜半開門突擊，大破之，諸全遂完。
HCH_012_126_000037	明年，再興叛降於吳，以吳軍犯東陽。
HCH_012_126_000038	文忠與胡深迎戰於義烏，將千騎橫突其陣，大敗之。
HCH_012_126_000039	已，用深策去諸全五十里別築一城，以相掎角。
HCH_012_126_000040	士誠遣司徒李伯升以十六萬眾來攻，不克。
HCH_012_126_000041	逾年，復以二十萬眾攻新城。
HCH_012_126_000042	文忠帥硃亮祖等馳救，去新城十里而軍。
HCH_012_126_000043	德濟使人告賊勢盛，宜少駐以俟大軍。
HCH_012_126_000044	文忠曰：「兵在謀不在眾。」
HCH_012_126_000045	乃下令曰：「彼眾而驕，我少而銳，以銳遇驕，必克之矣。彼軍輜重山積，此天以富汝曹也。勉之。」
HCH_012_126_000046	會有白氣自東北來覆軍上，占之曰「必勝」。
HCH_012_126_000047	詰朝會戰，天大霧晦冥，文忠集諸將仰天誓曰：「國家之事在此一舉，文忠不敢愛死以後三軍。」
HCH_012_126_000048	乃使元帥徐大興、湯克明等將左軍，嚴德、王德等將右軍，而自以中軍當敵沖。
HCH_012_126_000049	會處州援兵亦至，奮前搏擊。
HCH_012_126_000050	霧稍開，文忠橫槊引鐵騎數十，乘高馳下，沖其中堅。
HCH_012_126_000051	敵以精騎圍文忠數重。
HCH_012_126_000052	文忠手所格殺甚眾，縱騎馳突，所向皆披靡。
HCH_012_126_000053	大軍乘之，城中兵亦鼓噪出，敵遂大潰。
HCH_012_126_000054	逐北數十里，斬首數萬級，溪水盡赤，獲將校六百，甲士三千，鎧仗芻粟收數日不盡，伯升僅以身免。
HCH_012_126_000055	捷聞，太祖大喜，召歸，宴勞彌日，賜禦衣名馬，遣還鎮。
