HCH_012_158_000001	黃宗載顧佐段民章敞吳訥魏驥魯穆耿九疇軒輗黃孔昭黃宗載，一名垕，字厚夫，豐城人。
HCH_012_158_000002	洪武三十年進士。
HCH_012_158_000003	授行人。
HCH_012_158_000004	奉使四方，未嘗受饋遺，累遷司正。
HCH_012_158_000005	永樂初，以薦為湖廣按察司僉事。
HCH_012_158_000006	巨奸宿猾多謫戍銅鼓、五開間，陰持官吏短長。
HCH_012_158_000007	宗載榜數其罪，曰：「不改，必置之法。」
HCH_012_158_000008	眾莫敢犯。
HCH_012_158_000009	武陵多戎籍，民家慮與為婚姻徭賦將累己。
HCH_012_158_000010	男女至年四十尚不婚。
HCH_012_158_000011	宗載以理諭之，皆解悟，一時婚者三百餘家。
HCH_012_158_000012	鄰邑效之，其俗遂變。
HCH_012_158_000013	征詣文淵閣修《永樂大典》。
HCH_012_158_000014	書成，受賜還任。
HCH_012_158_000015	董造海運巨艦數十艘，事辦而民不擾。
HCH_012_158_000016	車駕北征，征兵湖廣，使者貪暴失期。
HCH_012_158_000017	宗載坐不舉劾，謫楊青驛驛夫。
HCH_012_158_000018	尋起御史，出按交阯。
HCH_012_158_000019	時交阯新定，州縣官多用兩廣、雲南舉人及歲貢生員之願仕遠方者，皆不善撫字。
HCH_012_158_000020	宗載因言：「有司率不稱職。若俟九年黜陟，恐益廢弛。請任二年以上者，巡按御史及兩司核實舉按以聞。」
HCH_012_158_000021	帝是之。
HCH_012_158_000022	及歸，行李蕭然，不攜交阯一物。
HCH_012_158_000023	尚書黃福語人曰：「吾居此久，所接御史多矣，惟宗載知大體。」
HCH_012_158_000024	丁祖母憂，起復，改詹事府丞。
HCH_012_158_000025	洪熙元年擢行在吏部侍郎。
HCH_012_158_000026	少師蹇義領部事，宗載一輔以正。
HCH_012_158_000027	宣德元年奉命清軍浙江。
HCH_012_158_000028	三年督采木湖湘。
HCH_012_158_000029	英宗初，以侍郎羅汝敬巡撫陜西，坐事戴罪辦事。
HCH_012_158_000030	汝敬妄引詔書復職，而吏部不言，為御史所劾，宗載及尚書郭琎俱下獄。
HCH_012_158_000031	未幾，得釋，遷南京吏部尚書。
HCH_012_158_000032	居九年，乞休，章四上，乃許。
HCH_012_158_000033	九年七月卒於家，年七十九。
HCH_012_158_000034	宗載持廉守正，不矯不隨，學問文章俱負時望。
HCH_012_158_000035	公卿大夫齒德之盛，推宗載雲。
HCH_012_158_000036	顧佐，字禮卿，太康人。
HCH_012_158_000037	建文二年進士。
HCH_012_158_000038	除莊浪知縣。
HCH_012_158_000039	端陽日，守將集官僚校射。
HCH_012_158_000040	以佐文士，難之。
HCH_012_158_000041	持弓矢一發而中，守將大服。
HCH_012_158_000042	永樂初，入為御史。
HCH_012_158_000043	七年，成祖在北京，命吏部選御史之才者赴行在，佐預焉。
HCH_012_158_000044	奉命招慶遠蠻。
HCH_012_158_000045	督采木四川。
HCH_012_158_000046	從北征，巡視關隘。
HCH_012_158_000047	遷江西按察副使，召為應天尹。
HCH_012_158_000048	剛直不撓，吏民畏服，人比之包孝肅。
HCH_012_158_000049	北京建，改尹順天。
HCH_012_158_000050	權貴人多不便之，出為貴州按察使。
HCH_012_158_000051	洪熙元年召為通政使。
HCH_012_158_000052	宣德三年，都御史劉觀以貪被黜，大學士楊士奇、楊榮薦佐公廉有威，歷官並著風采，為京尹，政清弊革。
HCH_012_158_000053	帝喜，立擢右都御史，賜敕獎勉。
HCH_012_158_000054	命察諸御史不稱者黜之，御史有缺，舉送吏部補選。
