HCH_012_171_000001	王驥，字尚德，束鹿人。
HCH_012_171_000002	長身偉幹，便騎射，剛毅有膽，曉暢戎略。
HCH_012_171_000003	中永樂四年進士。
HCH_012_171_000004	為兵科給事中，使山西，奏免鹽池逋課二十餘萬，尋遷山西按察司副使。
HCH_012_171_000005	洪熙元年入為順天府尹。
HCH_012_171_000006	宣德初，擢兵部右侍郎，代顧佐署都察院。
HCH_012_171_000007	久之，署兵部尚書。
HCH_012_171_000008	九年命為真。
HCH_012_171_000009	正統元年奉詔議邊事，越五日未奏。
HCH_012_171_000010	帝怒，執驥與侍郎鄺埜下之獄。
HCH_012_171_000011	尋得釋。
HCH_012_171_000012	阿臺、朵兒只伯數寇甘、涼，邊將屢失利。
HCH_012_171_000013	侍郎柴車、徐晞，都御史曹翼相繼經理邊務，未能制。
HCH_012_171_000014	二年五月命驥往，許便宜行事。
HCH_012_171_000015	驥疾驅至軍，大會諸將，問「往時追敵魚兒海子，先退敗軍者誰」。
HCH_012_171_000016	僉曰「都指揮安敬」。
HCH_012_171_000017	驥先承密旨戮敬，遂縛敬斬轅門，並宣敕責都督蔣貴。
HCH_012_171_000018	諸將皆股慄。
HCH_012_171_000019	驥乃大閱將士，分兵畫地，使各自防禦，邊境肅然。
HCH_012_171_000020	閱軍甘、涼，汰三之一。
HCH_012_171_000021	定更番法，兵得休息而轉輸亦省。
HCH_012_171_000022	俄阿臺復入寇。
HCH_012_171_000023	帝以任禮為平羌將軍，蔣貴、趙安為副，驥督軍。
HCH_012_171_000024	三年春，偕諸將出塞，以貴為前鋒，而自與任禮帥大軍後繼，與貴約曰：「不捷，無相見也。」
HCH_012_171_000025	貴擊敵石城，敵走兀魯乃。
HCH_012_171_000026	貴帥輕騎二千五百人出鎮夷，間道兼行，三日夜及之。
HCH_012_171_000027	擒左丞脫羅，斬首三百餘，獲金銀印各一，駝馬兵甲千計。
HCH_012_171_000028	驥與禮自梧桐林至亦集乃，擒樞密、同知、僉院十五人，萬戶二人。
HCH_012_171_000029	降其部落，窮進至黑泉。
HCH_012_171_000030	而趙安等出昌寧，至刁力溝，亦擒右丞、達魯花赤三十人。
HCH_012_171_000031	分道夾擊，轉戰千餘里，朵兒只伯遠遁。
HCH_012_171_000032	論功，貴、禮皆封伯，而驥兼大理卿，支二俸。
HCH_012_171_000033	尋召還，理部事。
HCH_012_171_000034	久之，麓川之役起。
HCH_012_171_000035	麓川宣慰使思任發叛，數敗王師。
HCH_012_171_000036	黔國公沐晟討之，不利，道卒。
HCH_012_171_000037	以沐昂代。
HCH_012_171_000038	昂條上攻取策，征兵十二萬人。
HCH_012_171_000039	中官王振方用事，喜功名，以驥可屬，思大舉。
HCH_012_171_000040	驥亦欲自效。
HCH_012_171_000041	六年正月遂拜蔣貴平蠻將軍，李安、劉聚為副，而驥總督軍務，大發東南諸道兵十五萬討之。
HCH_012_171_000042	刑部侍郎何文淵、侍講劉球先後疏諫，不納。
HCH_012_171_000043	瀕行，賜驥、貴金兜鍪、細鎧、蟒繡緋衣、朱弓矢。
HCH_012_171_000044	驥請得以便宜從事。
HCH_012_171_000045	馳傳至雲南，部署諸將，遣參將冉保由東路趨孟定，大軍由中路至騰沖，分道夾擊。
HCH_012_171_000046	是年十一月，與貴以二萬人趨上江，圍其寨，五日不下。
HCH_012_171_000047	會大風，縱火焚柵，拔之，斬首五萬餘級。
HCH_012_171_000048	進自夾象石，渡下江，通高黎貢山道。
HCH_012_171_000049	閏月至騰沖，長驅抵杉木籠山。
HCH_012_171_000050	賊乘高據險，築七壘相救。
HCH_012_171_000051	驥遣參將宮聚、副將劉聚分左右翼緣嶺上，而自將中軍奮擊之，賊大潰，乘勝至馬鞍山。
HCH_012_171_000052	逾月，抵賊巢。
HCH_012_171_000053	山陡絕，深塹環之。
HCH_012_171_000054	東南面江，壁立不可上。
HCH_012_171_000055	驥遣前軍覘賊，敗其伏兵。
HCH_012_171_000056	賊更自間道立柵馬鞍山，出大軍後。
HCH_012_171_000057	驥戒軍中無動，而令都指揮方瑛以六千人突賊寨，斬首數百，復誘敗其象陣。
HCH_012_171_000058	會東路軍冉保等已合木邦、車裏、大侯諸土軍，破烏木弄、戛邦諸寨。
HCH_012_171_000059	遣別將守西峨渡，防賊軼，刻期與大軍會。
HCH_012_171_000060	驥乃督諸將環攻其七門，積薪縱火。
HCH_012_171_000061	風大作，賊焚死無算，溺江死者數萬人。
HCH_012_171_000062	思任發攜二子走孟養。
HCH_012_171_000063	獲其虎符、金牌、宣慰司印及所掠騰沖諸衛所印章三十有奇。
HCH_012_171_000064	犁其巢穴，留兵守之而還。
HCH_012_171_000065	明年四月遣偏師討維摩土司韋郎羅。
HCH_012_171_000066	郎羅走安南，俘其妻子。
HCH_012_171_000067	傳檄安南，縛之以獻。
HCH_012_171_000068	五月，師還。
HCH_012_171_000069	帝遣戶部侍郎王質賫羊酒迎勞，賜宴奉天門。
HCH_012_171_000070	封推誠宣力武臣、特進榮祿大夫、上柱國、靖遠伯，歲祿千二百石，世襲指揮同知，賜貂蟬冠玉帶。
HCH_012_171_000071	貴進侯，劉聚等遷賞有差。
HCH_012_171_000072	從征少卿李蕡，郎中侯琎、楊寧皆擢侍郎，士卒賜予加等。
HCH_012_171_000073	府庫為竭。
