HCH_012_196_000001	張璁，字秉用，永嘉人。
HCH_012_196_000002	舉於鄉，七試不第。
HCH_012_196_000003	將謁選，御史蕭鳴鳳善星術，語之曰：「從此三載成進士，又三載當驟貴。」
HCH_012_196_000004	璁乃歸。
HCH_012_196_000005	正德十六年登第，年四十七矣。
HCH_012_196_000006	世宗初踐阼，議追崇所生父興獻王。
HCH_012_196_000007	廷臣持之，議三上三卻。
HCH_012_196_000008	璁時在部觀政，以是年七月朔上疏曰：「孝子之至，莫大乎尊親。尊親之至，莫大乎以天下養。陛下嗣登大寶，即議追尊聖考以正其號，奉迎聖母以致其養，誠大孝也。廷議執漢定陶、宋濮王故事，謂為人後者為之子，不得顧私親。夫天下豈有無父母之國哉？《記》曰：「禮非天降，非地出，人情而已。』漢哀帝、宋英宗固定陶、濮王子，然成帝、仁宗皆預立為嗣，養之宮中，其為人後之義甚明。故師丹、司馬光之論行於彼一時則可。今武宗無嗣，大臣遵祖訓，以陛下倫序當立而迎立之。遺詔直曰『興獻王長子』，未嘗著為人後之義。則陛下之興，實所以承祖宗之統，與預立為嗣養之宮中者較然不同。議者謂孝廟德澤在人，不可無後。假令聖考尚存，嗣位今日，恐弟亦無後兄之義。且迎養聖母，以母之親也。稱皇叔母，則當以君臣禮見，恐子無臣母之義。《禮》『長子不得為人後』，聖考止生陛下一人，利天下而為人後，恐子無自絕其父母之義。故在陛下謂入繼祖後，而得不廢其尊親則可；謂為人後，以自絕其親則不可。夫統與嗣不同，非必父死子立也。漢文承惠帝後，則以弟繼；宣帝承昭帝後，則以兄孫繼。若必奪此父子之親，建彼父子之號，然後謂之繼統，則古有稱高伯祖、皇伯考者，皆不得謂之統乎？臣竊謂今日之禮，
HCH_012_196_000009	宜別立聖考廟於京師，使得隆尊親之孝，且使母以子貴，尊與父同，則聖考不失其為父，聖母不失其為母矣。
HCH_012_196_000010	帝方扼廷議，得璁疏大喜，曰：「此論出，吾父子獲全矣。」
HCH_012_196_000011	亟下廷臣議。
HCH_012_196_000012	廷臣大怪駭，交起擊之。
HCH_012_196_000013	禮官毛澄等執如初。
HCH_012_196_000014	會獻王妃至通州，聞尊稱禮未定，止不肯入。
HCH_012_196_000015	帝聞而泣，欲避位歸藩。
HCH_012_196_000016	璁乃著《大禮或問》上之，帝於是連駁禮官疏。
HCH_012_196_000017	廷臣不得已，合議尊孝宗曰「皇考」，興獻王曰「本生父興獻帝」，璁亦除南京刑部主事以去，追崇議且寢。
HCH_012_196_000018	至嘉靖三年正月，帝得桂萼疏心動，復下廷議。
HCH_012_196_000019	汪俊代毛澄為禮部，執如澄。
HCH_012_196_000020	璁乃復上疏曰：「陛下遵兄終弟及之訓，倫序當立。禮官不思陛下實入繼大統之君，而強比與為人後之例，絕獻帝天性之恩，蔑武宗相傳之統，致陛下父子、伯侄、兄弟名實俱紊。寧負天子，不敢忤權臣，此何心也？伏睹聖諭云：「興獻王獨生朕一人，既不得承緒，又不得徽稱，罔極之恩何由得報？』執政窺測上心，有見於推尊之重，故今日爭一帝字，明日爭一皇字。而陛下之心，亦日以不帝不皇為歉。既而加稱為帝，謂陛下心既慰矣，故留一皇字以覘陛下將來未盡之心，遂敢稱孝宗為皇考，稱興獻帝為本生父。父子之名既更，推崇之義安在？乃遽詔告天下，乘陛下不覺，陷以不孝。《禮》曰：「君子不奪人之親，亦不可奪親也。』陛下尊為萬乘，父子之親，人可得而奪之，又可容人之奪之乎？故今日之禮不在皇與不皇，惟在考與不考。若徒爭一皇字，則執政必姑以是塞今日之議，陛下亦姑以是滿今日之心，臣恐天下知禮者，必將非笑無已也。」與桂萼第二疏同上。帝益大喜，立召兩人赴京。命未達，兩人及黃宗明、黃綰復合疏力爭。及獻帝改稱「本生皇考」，閣臣以尊稱既定，請停召命，帝不得已從之。二人已在道，復馳疏曰：「禮官懼臣等面質，故先為此術，求遂其私。若不亟去本生之稱，天下後世終以陛下為孝宗之子，
