HCH_012_201_000001	陶琰王縝李充嗣吳廷舉方良永王爌王軏徐問張邦奇韓邦奇周金吳嶽陶琰，字廷信，絳州人。
HCH_012_201_000002	父銓，進士，陜西右參議。
HCH_012_201_000003	琰舉成化七年鄉試第一，十七年成進士，授刑部主事。
HCH_012_201_000004	弘治初，進員外郎。
HCH_012_201_000005	歷固原兵備副使。
HCH_012_201_000006	練士卒，廣芻粟。
HCH_012_201_000007	歷九年，部內晏如。
HCH_012_201_000008	遷福建按察使，浙江左布政使。
HCH_012_201_000009	正德初，以右副都御史巡撫河南，遷刑部右侍郎。
HCH_012_201_000010	陜西遊擊徐謙訐御史李高。
HCH_012_201_000011	謙故劉瑾黨，行厚賂，欲中高危法。
HCH_012_201_000012	琰往按，直高。
HCH_012_201_000013	瑾怒，假他事下琰詔獄，褫其職，又罰米四百石輸邊。
HCH_012_201_000014	瑾誅，起左副都御史，總督漕運兼巡撫準、揚諸府。
HCH_012_201_000015	六年，轉南京刑部侍郎。
HCH_012_201_000016	明年，賊劉七等將犯江南，王浩八又入衢州。
HCH_012_201_000017	進琰右都御史，巡視浙江。
HCH_012_201_000018	至則七等已滅，浩八聽撫。
HCH_012_201_000019	會寧、紹瀕海地颶風大作，居民漂沒萬數。
HCH_012_201_000020	琰出帑金振救，而大築蕭山至會稽堤五萬餘丈。
HCH_012_201_000021	奏設兵備道守要害，防浩八黨出沒，遣將擊斬其渠魁。
HCH_012_201_000022	遂城開化、常山、遂安、蘭溪，境內以靖。
HCH_012_201_000023	復命總督漕運，七疏乞歸。
HCH_012_201_000024	世宗嗣位，起故官。
HCH_012_201_000025	凡三督漕，軍民習其政，不嚴而肅。
HCH_012_201_000026	琰性清儉，飯惟一疏。
HCH_012_201_000027	每到官及罷去，行李止三竹笥。
HCH_012_201_000028	尋加戶部尚書。
HCH_012_201_000029	嘉靖元年召拜工部尚書。
HCH_012_201_000030	其冬，改南京兵部，加太子少保。
HCH_012_201_000031	未浹歲，屢引年乞體。
HCH_012_201_000032	加太子太保，乘傳歸，有司歲時存問。
HCH_012_201_000033	又九年卒，年八十有四。
HCH_012_201_000034	贈少保，謚恭介。
HCH_012_201_000035	子滋，以進士授行人。
HCH_012_201_000036	諫武宗南巡，杖闕下，謫國子學正。
HCH_012_201_000037	嘉靖初，歷兵部郎中。
HCH_012_201_000038	率同官伏闕爭「大禮」，再受杖，謫戍榆林。
