HCH_012_219_000001	張四維，字子維，蒲州人。
HCH_012_219_000002	嘉靖三十二年進士。
HCH_012_219_000003	改庶吉士，授編修。
HCH_012_219_000004	隆慶初，進右中允，直經筵，尋遷左諭德。
HCH_012_219_000005	四維倜儻有才智，明習時事。
HCH_012_219_000006	楊博、王崇古久歷邊陲，善談兵。
HCH_012_219_000007	四維，博同里而崇古姊子也，以故亦習知邊務。
HCH_012_219_000008	高拱深器之。
HCH_012_219_000009	拱掌吏部，超擢翰林學士。
HCH_012_219_000010	甫兩月，拜吏部右侍郎。
HCH_012_219_000011	俺答封貢議起，朝右持不決。
HCH_012_219_000012	四維為交關於拱，款事遂成。
HCH_012_219_000013	拱益才四維，四維亦干進不已，朝士頗有疾之者。
HCH_012_219_000014	御史郜永春視鹽河東，言鹽法之壞由勢要橫行，大商專利，指四維、崇古為勢要，四維父、崇古弟為大商。
HCH_012_219_000015	四維奏辨，因乞去。
HCH_012_219_000016	拱力護之，溫詔慰留焉。
HCH_012_219_000017	初，趙貞吉去位，拱欲援四維入閣，而殷士儋夤緣得之，諸人遂相搆。
HCH_012_219_000018	及御史趙應龍劾士儋，士儋未去，言路復有劾四維者。
HCH_012_219_000019	四維已進左侍郎，不得已引去，無何士儋亦去。
HCH_012_219_000020	東宮出閤，召四維充侍班官。
HCH_012_219_000021	給事中曹大埜言四維賄拱得召，四維馳疏辨，求罷。
HCH_012_219_000022	帝不許，趣入朝。
HCH_012_219_000023	未至而穆宗崩，拱罷政，張居正當國，復移疾歸。
HCH_012_219_000024	四維家素封，歲時餽問居正不絕。
HCH_012_219_000025	武清伯李偉，慈聖太后父也，故籍山西，四維結為援。
HCH_012_219_000026	萬曆二年復召掌詹事府。
HCH_012_219_000027	明年三月，居正請增置閣臣，引薦四維，馮保亦與善，遂以禮部尚書兼東閣大學士入贊機務。
HCH_012_219_000028	當是時，政事一決居正。
HCH_012_219_000029	居正無所推讓，視同列蔑如也。
HCH_012_219_000030	四維由居正進，謹事之，不敢相可否，隨其後，拜賜進官而已。
HCH_012_219_000031	居正卒，四維始當國。
HCH_012_219_000032	累加至少師、吏部尚書、中極殿大學士。
HCH_012_219_000033	初，四維曲事居正，積不能堪，擬旨不盡如居正意，居正亦漸惡之。
HCH_012_219_000034	既得政，知中外積苦居正，欲大收人心。
HCH_012_219_000035	會皇子生，頒詔天下，疏言：「今法紀修明，海宇寧謐，足稱治平。而文武諸臣，不達朝廷勵精本意，務為促急煩碎，致徵斂無藝，政令乖舛，中外囂然，喪其樂生之心。誠宜及此大慶，蕩滌煩苛，弘敷惠澤，俾四海烝黎，咸戴帝德，此固人心培國脈之要術也。」
HCH_012_219_000036	帝嘉納之。
HCH_012_219_000037	自是，朝政稍變，言路亦發舒，詆居正時事。
HCH_012_219_000038	於是居正黨大懼。
HCH_012_219_000039	王篆、曾省吾輩，厚結申時行以為助。
HCH_012_219_000040	而馮保欲因兩宮徽號封己為伯，惡四維持之。
HCH_012_219_000041	篆、省吾知之，厚賄保，數短四維；而使所善御史曹一夔劾吏部尚書王國光媚四維，拔其中表弟王謙為吏部主事。
HCH_012_219_000042	時行遂擬旨罷國光，並謫謙。
HCH_012_219_000043	四維以帝慰留，復起視事。
HCH_012_219_000044	命甫下，御史張問達復劾四維。
HCH_012_219_000045	四維窘，求保心腹徐爵、張大受賄保，保意稍解。
HCH_012_219_000046	時行乃謫問達於外，以安四維。
HCH_012_219_000047	四維以時行與謀也，卒銜之。
HCH_012_219_000048	已而中官張誠譖保，保眷大衰，四維乃授意門生李植輩發保奸狀。
HCH_012_219_000049	保及篆、省吾皆逐，朝事一大變。
HCH_012_219_000050	於是四維稍汲引海內正人為居正所沉抑者。
HCH_012_219_000051	雖未即盡登用，然力反前事，時望頗屬焉。
HCH_012_219_000052	雲南貢金後期，帝欲罪守土官，又詔取雲南舊貯礦銀二十萬，皆以四維言而止。
HCH_012_219_000053	尋以父喪歸。
HCH_012_219_000054	服將闋，卒。
HCH_012_219_000055	贈太師，諡文毅。
HCH_012_219_000056	子泰徵、甲徵皆四維柄政時舉進士。
HCH_012_219_000057	泰徵累官湖廣參政，甲徵工部郎中。
HCH_012_219_000058	馬自強，字體乾，同州人。
HCH_012_219_000059	嘉靖三十二年進士。
HCH_012_219_000060	改庶吉士，授檢討。
HCH_012_219_000061	隆慶中，歷洗馬，直經筵。
HCH_012_219_000062	遷國子祭酒，振飭學政，請寄不行。
HCH_012_219_000063	遷少詹事兼侍讀學士，掌翰林院。
HCH_012_219_000064	神宗為皇太子出閤，充講官。
HCH_012_219_000065	敷陳明切，遂受眷。
HCH_012_219_000066	及即位，自強已遷詹事，教習庶吉士，乃擢禮部右侍郎，為日講官。
HCH_012_219_000067	尋以左侍郎掌詹事府，直講如故。
HCH_012_219_000068	丁繼母憂歸。
HCH_012_219_000069	服闋，詔以故官協理詹事府。
HCH_012_219_000070	至則遷吏部左侍郎，仍直經筵。
HCH_012_219_000071	甫兩月，廷推禮部尚書。
HCH_012_219_000072	帝遣使詢居正尚書得兼講官否，居正言，事繁不得兼。
HCH_012_219_000073	乃用為尚書，罷日講，充經筵講官。
HCH_012_219_000074	禮官所掌，宗藩事最多，先後條例自相牴牾，黠吏得恣為奸利。
HCH_012_219_000075	自強擇其當者俾僚吏遵守，諸不可用者悉屏之。
HCH_012_219_000076	每藩府疏至，應時裁決，榜之部門，明示行止，吏無所牟利。
HCH_012_219_000077	龍虎山正一真人，隆慶時已降為提點，奪印敕。
HCH_012_219_000078	至是，張國祥求復故號，自強寢其奏。
HCH_012_219_000079	國祥乃重賄馮保固求復，自強力持不可，卒以中旨許之。
HCH_012_219_000080	初，俺答通貢市，賞有定額，後邊臣徇其求，額漸溢。
HCH_012_219_000081	自強請申故約，濫乞者勿與，歲省費不貲。
HCH_012_219_000082	世宗實錄成，加太子少保。
HCH_012_219_000083	六年三月，居正將歸葬父。
HCH_012_219_000084	念閣臣在鄉里者，高拱與己有深隙，殷士儋多奧援，或乘間以出，惟徐階老易與，擬薦之自代。
HCH_012_219_000085	已遣使報階，既念階前輩，己還，當位其下，乃請增置閣臣。
HCH_012_219_000086	帝即令居正推擇，遂以人望薦自強及所厚申時行。
HCH_012_219_000087	詔加自強太子太保兼文淵閣大學士，與時行並參機務。
HCH_012_219_000088	自強初以救吳中行、趙用賢忤居正，自分不敢望，及制下，人更以是多居正。
HCH_012_219_000089	時呂調陽、張四維先在閣。
HCH_012_219_000090	調陽衰，數寢疾不出，小事四維代擬旨，大事則馳報居正於江陵，聽其裁決。
HCH_012_219_000091	自強雖持正，亦不能有為，守位而已。
HCH_012_219_000092	已，居正還朝，調陽謝政，自強亦得疾卒。
HCH_012_219_000093	詔贈少保，諡文莊，遣行人護喪還。
HCH_012_219_000094	子怡，舉人，終參議；慥，進士，尚寶卿。
HCH_012_219_000095	關中人入閣者，自自強始。
HCH_012_219_000096	其後薛國觀繼之。
HCH_012_219_000097	終明世，惟二人。
HCH_012_219_000098	許國，字維楨，歙縣人。
HCH_012_219_000099	舉鄉試第一，登嘉靖四十四年進士。
HCH_012_219_000100	改庶吉士，授檢討。
HCH_012_219_000101	神宗為太子出閤，兼校書。
HCH_012_219_000102	及即位，進右贊善，充日講官。
HCH_012_219_000103	歷禮部左、右侍郎，改吏部，掌詹事府。
HCH_012_219_000104	十一年四月以禮部尚書兼東閣大學士入參機務。
HCH_012_219_000105	國與首輔申時行善。
HCH_012_219_000106	以丁此呂事與言者相攻，語侵吳中行、趙用賢，由是物議沸然。
HCH_012_219_000107	已而御史陳性學復摭前事劾國，時行右國，請薄罰性學。
HCH_012_219_000108	國再疏求去，力攻言者。
HCH_012_219_000109	帝命鴻臚宣諭，始起視事。
HCH_012_219_000110	南京給事中伍可受復劾國，帝為謫可受官。
HCH_012_219_000111	國復三疏乞休，語憤激，帝不允。
HCH_012_219_000112	性學旋出為廣東僉事。
HCH_012_219_000113	先是，帝考卜壽宮，加國太子太保，改文淵閣，以雲南功進太子太傅。
HCH_012_219_000114	國以父母未葬，乞歸襄事。
HCH_012_219_000115	帝不允，命其子代。
HCH_012_219_000116	御史馬象乾以劾中官張鯨獲罪，國懇救。
HCH_012_219_000117	帝為霽威受之。
HCH_012_219_000118	十七年，進士薛敷教劾吳時來，南京御史王麟趾、黃仁榮疏論臺規，辭皆侵國。
HCH_012_219_000119	國憤，連疏力詆，幷及主事饒伸。
HCH_012_219_000120	伸方攻大學士王錫爵，公議益不直國。
HCH_012_219_000121	國性木強，遇事輒發。
HCH_012_219_000122	數與言者為難，無大臣度，以故士論不附。
HCH_012_219_000123	明年秋，火落赤犯臨洮、鞏昌，西陲震動，帝召對輔臣暖閣。
HCH_012_219_000124	時行言款貢足恃，國謂渝盟犯順，桀驁已極，宜一大創之，不可復羈縻。
HCH_012_219_000125	帝心然國言，而時行為政不能奪。
HCH_012_219_000126	無何，給事中任讓論國庸鄙。
HCH_012_219_000127	國疏辨，帝奪讓俸。
HCH_012_219_000128	國、時行初無嫌。
HCH_012_219_000129	而時行適為國門生萬國欽所論，讓則時行門生也，故為其師報復云。
HCH_012_219_000130	福建守臣報日本結琉球入寇，國因言：「今四裔交犯，而中外小臣爭務攻擊，致大臣紛紛求去，誰復為國家任事者？請申諭諸臣，各修職業，毋恣胸臆。」
HCH_012_219_000131	帝遂下詔嚴禁。
HCH_012_219_000132	國始終忿疾言者如此。
HCH_012_219_000133	廷臣爭請冊立，得旨二十年春舉行。
HCH_012_219_000134	十九年秋，工部郎張有德以儀注請，帝怒奪俸。
HCH_012_219_000135	時行適在告，國與王家屏慮事中變，欲因而就之，引前旨力請。
HCH_012_219_000136	帝果不悅，責大臣不當與小臣比。
HCH_012_219_000137	國不自安，遂求去。
HCH_012_219_000138	疏五上，乃賜敕馳傳歸。
HCH_012_219_000139	踰一日，時行亦罷，而冊立竟停。
HCH_012_219_000140	人謂時行以論劾去，國以爭執去，為二相優劣焉。
HCH_012_219_000141	國在閣九年，廉慎自守，故累遭攻擊，不能被以汙名。
HCH_012_219_000142	卒，贈太保，諡文穆。
HCH_012_219_000143	趙志臯，字汝邁，蘭谿人。
HCH_012_219_000144	隆慶二年進士及第，授編修。
HCH_012_219_000145	萬曆初，進侍讀。
HCH_012_219_000146	張居正奪情，將廷杖吳中行、趙用賢。
HCH_012_219_000147	志臯偕張位、習孔教等疏救，格不上，則請以中行等疏宣付史館，居正恚。
HCH_012_219_000148	會星變考察京朝官，遂出志臯為廣東副使。
HCH_012_219_000149	居三年，再以京察謫其官。
HCH_012_219_000150	居正歿，言者交薦，起解州同知。
HCH_012_219_000151	旋改南京太僕丞，歷國子監司業、祭酒，再遷吏部右侍郎，並在南京。
HCH_012_219_000152	尋召為吏部左侍郎。
HCH_012_219_000153	十九年秋，申時行謝政，薦志臯及張位自代。
HCH_012_219_000154	遂進禮部尚書兼東閣大學士，入參機務。
HCH_012_219_000155	明年春，王家屏罷，王錫爵召未至，志臯暫居首輔。
HCH_012_219_000156	會寧夏變起，兵事多所咨決。
HCH_012_219_000157	主事岳元聲疏論錫爵，中言當事者變亂傾危，為主事諸壽賢、給事中許弘綱所駁。
HCH_012_219_000158	志臯再辨，帝皆不問。
HCH_012_219_000159	二十一年，錫爵還朝，明年五月遂歸，志臯始當國。
HCH_012_219_000160	遼東失事，詔褫巡撫韓取善職，逮副使馮時泰詔獄，而總兵官楊紹勳止下御史問。
HCH_012_219_000161	給事中吳文梓等論其失平，志臯亦言：「封疆被寇，武臣罪也。今寬紹勳而深罪文吏，武臣益恣，文吏益喪氣。」
HCH_012_219_000162	帝不從，時泰竟謫戍。
HCH_012_219_000163	皇太后誕辰，帝受賀畢，召見輔臣暖閣，志臯論宥御史彭應參。
HCH_012_219_000164	言官乞減織造，志臯等因合詞請。
HCH_012_219_000165	尋極論章奏留中之弊，請盡付諸曹議行。
HCH_012_219_000166	帝惡中官張誠黨霍文炳，以言官不舉發，貶黜者三十餘人。
HCH_012_219_000167	志臯等連疏諫，皆不納。
HCH_012_219_000168	累坐少傅，加太子太傅，改建極殿。
HCH_012_219_000169	時兩宮災，彗星見，日食九分有奇，三殿又災，連歲間變異迭出。
HCH_012_219_000170	志臯請下罪己詔，因累疏陳時政缺失。
HCH_012_219_000171	而其大者定國本、罷礦稅諸事，凡十一條。
HCH_012_219_000172	優詔報聞而已。
HCH_012_219_000173	皇長子年十六時，志臯嘗請舉冠婚禮。
HCH_012_219_000174	帝命禮官具儀。
HCH_012_219_000175	及儀上，不果行。
HCH_012_219_000176	二十六年三月，志臯等復以為言，終不允。
HCH_012_219_000177	張居正柄國，權震主。
HCH_012_219_000178	申時行繼之，勢猶盛。
HCH_012_219_000179	王錫爵性剛負氣，人亦畏之。
HCH_012_219_000180	志臯為首輔，年七十餘，耄矣，柔而懦，為朝士所輕，詬誶四起。
HCH_012_219_000181	其始為首輔也，值西華門災，御史趙文炳論之。
HCH_012_219_000182	無何，南京御史柳佐、給事中章守誠言，吏部郎顧憲成等空司而逐志臯，實激帝怒。
HCH_012_219_000183	已而給事中張濤、楊洵，御史冀體、況上進，南京評事龍起雷相繼披詆。
HCH_012_219_000184	而巡按御史吳崇禮劾其子兩淮運副鳳威，鳳威坐停俸。
HCH_012_219_000185	未幾，工部郎中岳元聲極言志臯宜放，給事中劉道亨詆尤力。
HCH_012_219_000186	志臯憤，言：「同一閣臣也，往日勢重而權有所歸，則相率附之以媒進。今日勢輕而權有所分，則相率擊之以博名。」
HCH_012_219_000187	因求退益切。
HCH_012_219_000188	帝慰諭之。
HCH_012_219_000189	初，日本封貢議起，石星力主之。
HCH_012_219_000190	志臯亦冀無事，相與應和。
