HCH_012_229_000001	劉臺傅應禎王用汲吳中行趙用賢艾穆沈思孝劉臺，字子畏，安福人。
HCH_012_229_000002	隆慶五年進士。
HCH_012_229_000003	授刑部主事。
HCH_012_229_000004	萬歷初，改御史。
HCH_012_229_000005	巡按遼東，坐誤奏捷，奉旨譙責。
HCH_012_229_000006	四年正月，臺上疏劾輔臣張居正，曰：臣聞進言者皆望陛下以堯、舜，而不聞責輔臣以臯、夔。
HCH_012_229_000007	何者？
HCH_012_229_000008	陛下有納諫之明，而輔臣無容言之量也。
HCH_012_229_000009	高皇帝鑒前代之失，不設丞相，事歸部院，勢不相攝，而職易稱。
HCH_012_229_000010	文皇帝始置內閣，參預機務。
HCH_012_229_000011	其時官階未峻，無專肆之萌。
HCH_012_229_000012	二百年來，即有擅作威福者，尚惴惴然避宰相之名而不敢居，以祖宗之法在也。
HCH_012_229_000013	乃大學士張居正偃然以相自處，自高拱被逐，擅威福者三四年矣。
HCH_012_229_000014	諫官因事論及，必曰：「吾守祖宗法。」
HCH_012_229_000015	臣請即以祖宗法正之。
HCH_012_229_000016	祖宗進退大臣以禮。
HCH_012_229_000017	先帝臨崩，居正托疾以逐拱，既又文致之王大臣獄。
HCH_012_229_000018	及正論籍籍，則抵拱書，令勿驚死。
HCH_012_229_000019	既迫逐以示威，又遺書以市德，徒使朝廷無禮於舊臣。
HCH_012_229_000020	祖宗之法若是乎？
HCH_012_229_000021	祖宗朝，非開國元勛，生不公，死不王。
HCH_012_229_000022	成國公朱希忠，生非有奇功也，居正違祖訓，贈以王爵。
HCH_012_229_000023	給事中陳吾德一言而外遷，郎中陳有年一爭而斥去。
HCH_012_229_000024	臣恐公侯之家，布賄厚施，緣例陳乞，將無底極。
HCH_012_229_000025	祖宗之法若是乎？
HCH_012_229_000026	祖宗朝，用內閣冢宰，必由廷推。
HCH_012_229_000027	今居正私薦用張四維、張瀚。
HCH_012_229_000028	四維在翰林，被論者數矣。
HCH_012_229_000029	其始去也，不任教習庶吉士也。
HCH_012_229_000030	四維之為人也，居正知之熟矣。
HCH_012_229_000031	知之而顧用之，夫亦以四維善機權，多憑藉，自念親老，旦暮不測，二三年間謀起復，任四維，其身後托乎？
HCH_012_229_000032	瀚生平無善狀。
HCH_012_229_000033	巡撫陜西，贓穢狼籍。
HCH_012_229_000034	及驟躇銓衡，唯諾若簿吏，官缺必請命居正。
HCH_012_229_000035	所指授者，非楚人親戚知識，則親戚所援引也；非宦楚受恩私故，則恩故之黨助也。
HCH_012_229_000036	瀚惟日取四方小吏，權其賄賂，而其他則徒擁虛名。
HCH_012_229_000037	聞居正貽南京都御史趙錦書，臺諫毋議及冢宰，則居正之脅制在朝言官，又可知矣。
HCH_012_229_000038	祖宗之法如是乎？
HCH_012_229_000039	祖宗朝，詔令不便，部臣猶訾閣擬之不審。
HCH_012_229_000040	今得一嚴旨，居正輒曰「我力調劑故止是」；得一溫旨，居正又曰「我力請而後得之」。
HCH_012_229_000041	由是畏居正者甚於畏陛下，感居正者甚於感陛下。
HCH_012_229_000042	威福自己，目無朝廷。
HCH_012_229_000043	祖宗之法若是乎？
HCH_012_229_000044	祖宗朝，一切政事，臺省奏陳，部院題覆，撫按奉行，未聞閣臣有舉劾也。
HCH_012_229_000045	居正定令，撫按考成章奏，每具二冊，一送內閣，一送六科。
HCH_012_229_000046	撫按延遲，則部臣糾之。
HCH_012_229_000047	六部隱蔽，則科臣糾之。
HCH_012_229_000048	六科隱蔽，則內閣糾之。
HCH_012_229_000049	夫部院分理國事，科臣封駁奏章，舉劾，其職也。
HCH_012_229_000050	閣臣銜列翰林，止備顧問，從容論思而已。
HCH_012_229_000051	居正創為是說，欲脅制科臣，拱手聽令。
HCH_012_229_000052	祖宗之法若是乎？
HCH_012_229_000053	至於按臣回道考察，茍非有大敗類者，常不舉行，蓋不欲重挫抑之。
HCH_012_229_000054	近日御史俞一貫以不聽指授，調之南京。
HCH_012_229_000055	由是巡方短氣，莫敢展布，所憚獨科臣耳。
HCH_012_229_000056	居正於科臣既啖之以遷轉之速，又恐之以考成之遲，誰肯舍其便利，甘彼齮龁，而盡死言事哉？
HCH_012_229_000057	往年趙參魯以諫遷，猶曰外任也；余懋學以諫罷，猶曰禁錮也；今傅應禎則謫戍矣，又以應禎故，而及徐貞明、喬巖、李禎矣。
HCH_012_229_000058	摧折言官，仇視正士。
HCH_012_229_000059	祖宗之法如是乎？
HCH_012_229_000060	至若為固寵計，則獻白蓮白燕，致詔旨責讓，傳笑四方矣。
HCH_012_229_000061	規利田宅，則誣遼王以重罪，而奪其府地，今武岡王又得罪矣。
HCH_012_229_000062	為子弟謀舉鄉試，則許御史舒鰲以京堂，布政施堯臣以巡撫矣。
HCH_012_229_000063	起大第於江陵，費至十萬，制擬宮禁，遣錦衣官校監治，鄉郡之脂膏盡矣。
HCH_012_229_000064	惡黃州生儒議其子弟幸售，則假縣令他事窮治無遺矣。
HCH_012_229_000065	編修李維楨偶談及其豪富，不旋踵即外斥矣。
HCH_012_229_000066	蓋居正之貪，不在文吏而在武臣，不在內地而在邊鄙。
HCH_012_229_000067	不然，輔政未幾，即富甲全楚，何由致之？
HCH_012_229_000068	宮室輿馬姬妾，奉禦同於王者，又何由致之？
HCH_012_229_000069	在朝臣工，莫不憤嘆，而無敢為陛下明言者，積威之劫也。
HCH_012_229_000070	臣舉進士，居正為總裁。
