HCH_012_235_000001	王汝訓余懋學張養蒙孟一脈何士晉王德完蔣允儀鄒維璉王汝訓，字古師，聊城人。
HCH_012_235_000002	隆慶五年進士。
HCH_012_235_000003	除元城知縣。
HCH_012_235_000004	萬歷初，入為刑部主事。
HCH_012_235_000005	改兵部，累遷光祿少卿。
HCH_012_235_000006	吏科都給事中海寧陳與郊者，大學士王錫爵門生，又附申時行，恣甚。
HCH_012_235_000007	汝訓抗疏數其罪，言：「與郊今日薦巡撫，明日薦監司。每疏一出，受賄狼籍。部曹吳正誌一發其奸，身投荒僥。吏部尚書楊巍亦嘗語侍郎趙煥，謂為小人。乞速罷譴。且科道以言為職，乃默默者顯，諤諤者絀。直犯乘輿，屢荷優容。稍涉當途，旋遭擯斥。言官不難於批鱗，而難於借劍，此何為也？天下惟公足以服人。今言者不論是非，被言者不論邪正，模棱兩可，曲事調停，而曰務存大體。是懲議論之紛紜，而反致政體之決裂也。乞特敕吏部，自後遷轉科道，毋惡異喜同，毋好諛醜正。」
HCH_012_235_000008	是時，巍以政府故，方厚與郊。
HCH_012_235_000009	聞汝訓言引己且刺之，大恚，言：「臣未嘗詆與郊。汝訓以寺臣攻言路，正決裂政體之大者。」
HCH_012_235_000010	乃調汝訓南京。
HCH_012_235_000011	頃之，御史王明復劾與郊，並及巍，詔奪明俸，擢與郊太常少卿。
HCH_012_235_000012	都人為之語曰：「欲京堂，須彈章。」
HCH_012_235_000013	與郊尋以憂去。
HCH_012_235_000014	後御史張應揚追劾其交通文選郎劉希孟，考選納賄，並免官。
HCH_012_235_000015	未幾，其子殺人論死，與郊悒悒卒。
HCH_012_235_000016	汝訓入為太常少卿。
HCH_012_235_000017	孟秋饗廟，帝不親行。
HCH_012_235_000018	汝訓極諫。
HCH_012_235_000019	帝慍甚，以其言直，不罪也。
HCH_012_235_000020	尋進太僕卿，調光祿。
HCH_012_235_000021	汝訓先為少卿，寺中歲費二十萬，至是濫增四萬有奇。
HCH_012_235_000022	汝訓據《會典》，請盡裁內府冗食，不許。
HCH_012_235_000023	二十二年，改左僉都御史。
HCH_012_235_000024	旋進右副都御史，巡撫浙江。
HCH_012_235_000025	汝訓性清介，方嚴疾惡。
HCH_012_235_000026	巡按御史南昌彭應參亦雅以強直名，相與力鋤豪右。
HCH_012_235_000027	烏程故尚書董份、祭酒範應期裏居不法，汝訓將繩之。
HCH_012_235_000028	適應參行部至，應期怨家千人遮道陳牒。
HCH_012_235_000029	應參持之急，檄烏程知縣張應望按之。
HCH_012_235_000030	應期自縊死，其妻吳氏詣闕訴冤。
HCH_012_235_000031	帝命逮應參、應望詔獄，革汝訓職，詰吏部都察院任用非人。
HCH_012_235_000032	尚書孫丕揚、都御史衷貞吉等引罪，且論救。
HCH_012_235_000033	帝意未釋，謫救應參者給事中喬胤等於外。
HCH_012_235_000034	言官訟汝訓、應參，亦及胤，帝愈怒。
HCH_012_235_000035	疏入，輒重胤譴，至除名，而謫應望戍煙瘴，應參為民。
HCH_012_235_000036	汝訓家居十五年，起南京刑部右侍郎。
HCH_012_235_000037	召改工部，署部事。
HCH_012_235_000038	初，礦稅興，以助大工為名。
HCH_012_235_000039	後悉輸內帑，不以供營繕。
HCH_012_235_000040	而四方采木之需多至千萬，費益不訾。
HCH_012_235_000041	汝訓屢請發帑佐工，皆不報。
HCH_012_235_000042	在部歲餘，力清夙弊。
HCH_012_235_000043	中官請乞，輒執奏不予，節冗費數萬。
HCH_012_235_000044	卒，贈工部尚書，謚恭介。
HCH_012_235_000045	余懋學，字行之，婺源人。
HCH_012_235_000046	隆慶二年進士。
HCH_012_235_000047	授撫州推官，擢南京戶科給事中。
HCH_012_235_000048	萬歷初，張居正當國，進《白燕白蓮頌》。
HCH_012_235_000049	懋學以帝方憂旱，下詔罪己，與百官圖修禳。
HCH_012_235_000050	而居正顧獻瑞，非大臣誼，抗疏論之。
HCH_012_235_000051	已，論南京守備太監申信不法，帝為罷信。
HCH_012_235_000052	久之，陳崇惇大、親謇諤、慎名器、戒紛更、防佞諛五事。
HCH_012_235_000053	時居正方務綜核，而懋學疏與之忤，斥為民，永不敘錄。
HCH_012_235_000054	居正死，起懋學故官，奏奪成國公朱希忠王爵，請召還光祿少卿嶽相、給事中魏時亮等十八人。
HCH_012_235_000055	帝俱報可。
HCH_012_235_000056	尋擢南京尚寶卿。
HCH_012_235_000057	十三年，御史李植、江東之等以言事忤執政。
HCH_012_235_000058	同官蔡系周、孫愈賢希執政指，紛然攻訐，懋學上言：諸臣之不能容植等，一則以科場不能無私，而惡植等之訐發；一則以往者常保留居正，而忌吳中行、沈思孝等之召用。
HCH_012_235_000059	二疑交於中，故百妒發於外也。
HCH_012_235_000060	夫威福自上，則主勢尊。
HCH_012_235_000061	植等三臣，陛下所親擢者也，乃舉朝臣工百計排之；假令政府欲用一人，諸臣敢力挫之乎？
HCH_012_235_000062	臣謹以臣工之十蠹為陛下言之。
HCH_012_235_000063	今執政大臣，一政之善，輒矜贊導之功，一事之失，輒諉挽回之難，是為誣上。
HCH_012_235_000064	其蠹一。
HCH_012_235_000065	進用一人，執政則曰我所註意也，冢宰則曰我所推轂也，選郎則曰我所登用也。
HCH_012_235_000066	受爵公朝，拜恩私室，是為招權。
HCH_012_235_000067	其蠹二。
HCH_012_235_000068	陛下天縱聖明，猶虛懷納諫。
HCH_012_235_000069	乃二三大僚，稍有規正，輒奮袂而起，惡聲相加，是為諱疾。
HCH_012_235_000070	其蠹三。
HCH_012_235_000071	中外臣工，率探政府意向，而不恤公論。
HCH_012_235_000072	論人則毀譽視其愛憎，行政則舉置徇其喜怒，是為承望。
HCH_012_235_000073	其蠹四。
HCH_012_235_000074	君子立身，和而不同。
HCH_012_235_000075	今當路意有所主，則群相附和，敢於抗天子，而難於違大臣，是為雷同。
HCH_012_235_000076	其蠹五。
HCH_012_235_000077	我國家諫無專官，今他曹稍有建白，不曰出位，則曰沽名，沮忠直之心，長壅蔽之漸，是為阻抑。
HCH_012_235_000078	其蠹六。
HCH_012_235_000079	自張居正蒙蔽主聰，道路以目，今余風未殄，欺罔日滋。
HCH_012_235_000080	如潘季馴之斥，大快人心，而猶累牘連章為之申雪，是為欺罔。
HCH_012_235_000081	其蠹七。
HCH_012_235_000082	近中外臣僚或大臣交攻，或言官相訐，始以自用之私，終之好勝之習。
HCH_012_235_000083	好勝不已，必致忿爭，忿爭不已，必致黨比。
HCH_012_235_000084	唐之牛、李，宋之洛、蜀，其初豈不由一言之相失哉？
HCH_012_235_000085	是為競勝。
HCH_012_235_000086	其蠹八。
HCH_012_235_000087	佞諛成風，日以浸甚。
HCH_012_235_000088	言及大臣，則等之伊、傅；言及邊帥，則擬以方、召；言及中官，則誇呂、張復出；言及外吏，則頌卓、魯重生。
HCH_012_235_000089	非藉結歡，即因邀賂，是為佞諛。
HCH_012_235_000090	其蠹九。
HCH_012_235_000091	國家設官，各有常職。
HCH_012_235_000092	近兩京大臣，務建白以為名高，侵職掌而聽民訟。
HCH_012_235_000093	長告訐之風，失具瞻之體，是為乖戾。
HCH_012_235_000094	其蠹十也。
HCH_012_235_000095	懋學夙以直節著稱，其摘季馴不無過當。
HCH_012_235_000096	然所言好勝之弊，必成朋黨，後果如其言。
HCH_012_235_000097	累遷南京戶部右侍郎，總理漕儲。
HCH_012_235_000098	疏白程任卿、江時之冤，二人遂得釋。
HCH_012_235_000099	二十一年，以拾遺論罷。
HCH_012_235_000100	卒，贈工部尚書。
HCH_012_235_000101	天啟初，追謚恭穆。
HCH_012_235_000102	張養蒙，字泰亨，澤州人。
HCH_012_235_000103	萬歷五年進士。
HCH_012_235_000104	選庶吉士，歷吏科左給事中。
HCH_012_235_000105	少負才名，明習天下事。
HCH_012_235_000106	居言職，慷慨好建白。
HCH_012_235_000107	以南北多水旱，條上治奸民、恤流民、愛富民三事，帝嘉納之。
HCH_012_235_000108	錦衣都指揮羅秀營僉書，兵部尚書王遴格不行，失歡權要而去，秀竟夤緣得之。
HCH_012_235_000109	養蒙疏發其狀，事具遴傳。
HCH_012_235_000110	御史高維崧等言事被謫，養蒙偕同官論救，復特疏訟之。
HCH_012_235_000111	忤旨，奪俸。
HCH_012_235_000112	尋遷工科都給事中。
HCH_012_235_000113	都御史潘季馴奏報河工，養蒙上言曰：「二十年來，河幾告患矣。當其決，隨議塞，當其淤，隨議浚，事竣輒論功。夫淤決則委之天災而不任其咎，浚塞則歸之人事而共蒙其賞。及報成未久，懼有後虞，急求謝事，而繼者復告患矣。其故皆由不久任也。夫官不久任，其弊有三：後先異時也，人己異見也，功罪難執也。請仿邊臣例，增秩久任，斯職守專而可責成功。」
HCH_012_235_000114	帝深然之。
HCH_012_235_000115	有詔潞安進綢二千四百匹。
HCH_012_235_000116	未幾，復命增五千。
HCH_012_235_000117	養蒙率同官力爭，且曰：「從來傳奉職造，具題者內臣，擬旨者閣臣，抄發者科臣。今徑下部，非祖制。」
HCH_012_235_000118	不從。
HCH_012_235_000119	出為河南右參政。
HCH_012_235_000120	尋召為太僕少卿，四遷左副都御史。
HCH_012_235_000121	二十四年，極諫時政闕失，言：邇來殿廷希禦，上下不交。
HCH_012_235_000122	或疑外臣不可盡信，或疑外事未可盡從。
HCH_012_235_000123	君臣相猜，政事積廢。
HCH_012_235_000124	致市猾得以揣意旨，左右得以播威權。
HCH_012_235_000125	惟利是聞，禍將胡底。
HCH_012_235_000126	謹以三輕二重之弊為陛下陳之。
HCH_012_235_000127	一、部院之體漸輕。
HCH_012_235_000128	或虛其位而不補，或用其人而不任。
HCH_012_235_000129	如冬官一曹，亞卿專署，已為異事，乃冢宰何官，數月虛位。
HCH_012_235_000130	法司議劉世延罪，竟爾留中，主事劉冠南疏入即發。
HCH_012_235_000131	何小臣聽而大臣不聽，單疏下而公疏不下哉！
HCH_012_235_000132	以至戶曹三疏諫開礦，臣院九疏催行取，皆置不報。
HCH_012_235_000133	議大事則十疏而九不行，遇廷推則十人而九不用。
HCH_012_235_000134	失大臣師表百僚，奈何輕之至此！
HCH_012_235_000135	一、科道之職漸輕。
HCH_012_235_000136	五科都給事中久虛不補，御史曹學程一系不釋，考選臺諫，屢請屢格，乃至服闋補任，亦皆廢閣。
HCH_012_235_000137	是不欲言路之充也。
HCH_012_235_000138	夫政無缺失，何憚人言。
HCH_012_235_000139	徒使唯諾風成，謇諤意絕，國是將何定乎？
HCH_012_235_000140	一、撫按之任漸輕。
HCH_012_235_000141	如開礦一事，撫按有言，鹹蒙切責。
HCH_012_235_000142	於是鄭一麟以千戶而妄劾李盛春。
HCH_012_235_000143	夫閽人、武弁得以制巡撫之命，紀綱不倒置乎？
HCH_012_235_000144	一珰得誌，諸珰效尤，撫按斂手，何有於監司？
HCH_012_235_000145	從此陛下之赤子將無人拊循矣。
HCH_012_235_000146	一、進獻之途漸重。
HCH_012_235_000147	下僚捐俸，儒士獻資，名為助工，實懷覬幸。
HCH_012_235_000148	甚者百戶王守仁以謀復世爵，妄構楚府，而使陛下恩薄於懿親；主簿張以述以求復舊秩，妄獻白鹿，而使陛下德損於玩物。
HCH_012_235_000149	部臣糾之不聽，言官糾之不聽，業已明示好惡，大開受獻之門。
HCH_012_235_000150	將見媚子宵人，投袂競起，今日獻靈瑞，明日貢珍奇，究使敗節文官、僨軍武帥，憑藉錢神，邀求故物，不至如嘉靖末年之濁亂不止也。
HCH_012_235_000151	一、內差之勢漸重。
HCH_012_235_000152	中使紛然四出，乞請之章無日不上，批答之旨無言不溫。
HCH_012_235_000153	左右藉武弁以營差，武弁藉左右以網利，共構狂言，誑惑天聽。
HCH_012_235_000154	陛下方厭外臣沮撓，謂欲辦家事，必賴家奴，於是有言無不立聽。
HCH_012_235_000155	豈武弁皆急君，而朝紳盡誤國乎？
HCH_012_235_000156	今奸宄實繁有徒。
HCH_012_235_000157	采礦不已，必及采珠；皇店不止，漸及皇莊。
HCH_012_235_000158	繼而營市舶，繼而復鎮守，內可以謀坐營，外可以謀監軍。
HCH_012_235_000159	正德敝風，其鑒不遠。
HCH_012_235_000160	凡此三輕二重，勢每相因。
HCH_012_235_000161	德與財不並立，中與外不兩勝，惟陛下早見而速圖之。
HCH_012_235_000162	不報。
HCH_012_235_000163	又明年六月，兩宮三殿繼災。
HCH_012_235_000164	養蒙復上疏曰：近日之災，前古未有。
HCH_012_235_000165	自非君臣交儆，痛革敝風，恐虛文相謾，大禍必至。
HCH_012_235_000166	臣請陛下躬謁郊廟以謝嚴譴，立禦便殿以通物情，早建國本以系人心。
HCH_012_235_000167	停銀礦、皇店之役，杜四海亂階；減宦官宮妾之刑，弭蕭墻隱禍。
HCH_012_235_000168	然此皆應天實事，猶非應天實心也。
HCH_012_235_000169	罪己不如正己，格事不如格心。
HCH_012_235_000170	陛下平日成心有四：一曰好逸。
HCH_012_235_000171	朝享倦於躬臨，章奏倦於省覽。
HCH_012_235_000172	古帝王乾健不息，似不如此。
HCH_012_235_000173	一曰好疑。
HCH_012_235_000174	疑及近侍，則左右莫必其生；疑及外庭，則僚采不安於位。
HCH_012_235_000175	究且謀以疑敗，奸以疑容。
HCH_012_235_000176	古帝王至誠馭物，似不如此。
HCH_012_235_000177	一曰好勝。
HCH_012_235_000178	奮厲威嚴以震群工，喜諂諛而惡鯁直，厭封駁而樂順從。
HCH_012_235_000179	古帝王予違汝弼，似不如此。
HCH_012_235_000180	一曰好貨。
HCH_012_235_000181	以聚斂為奉公，以投獻為盡節。
HCH_012_235_000182	古帝王四海為家，似不如此。
HCH_012_235_000183	願陛下戒此四者，亟圖更張，庶天意可回，國祚可保。
HCH_012_235_000184	帝亦不省。
HCH_012_235_000185	尋遷戶部右侍郎。
HCH_012_235_000186	時再用師朝鮮，命養蒙督餉。
HCH_012_235_000187	事寧，予一子官。
HCH_012_235_000188	三十年，尚書陳蕖稱疾乞罷。
HCH_012_235_000189	詔養蒙署事。
HCH_012_235_000190	會養蒙亦有疾在告，固辭。
HCH_012_235_000191	給事中夏子陽劾其托疾，遂罷歸。
HCH_012_235_000192	卒於家。
HCH_012_235_000193	天啟初，賜謚毅敏。
HCH_012_235_000194	孟一脈，字淑孔，東阿人。
HCH_012_235_000195	隆慶五年進士。
HCH_012_235_000196	為平遙知縣。
HCH_012_235_000197	以廉能擢南京御史。
HCH_012_235_000198	萬歷六年五月，上言：「近上兩宮徽號，覃恩內外，獨御史傅應禎、進士鄒元標、部郎艾穆、沈思孝，投荒萬里，遠絕親闈，非所以廣錫類溥仁施也。」
HCH_012_235_000199	疏入，忤張居正，黜為民。
HCH_012_235_000200	居正死，起故官，疏陳五事，言：近再選宮女至九十七人，急征一時，輦下甚擾。
HCH_012_235_000201	一也。
HCH_012_235_000202	中外章奏，宜下部臣議覆，閣臣擬旨，脫有不當，臺諫得糾駁之。
HCH_012_235_000203	今乃不任臣工，顓取宸斷，明旨一出，臣下莫敢犯顏。
HCH_012_235_000204	二也。
HCH_012_235_000205	士習邪正，系世道汙隆。
HCH_012_235_000206	今廉恥日喪，營求茍且。
HCH_012_235_000207	亟宜更化救弊，先實行而後才華。
HCH_012_235_000208	三也。
HCH_012_235_000209	東南財賦之區，靡於淫巧，民力竭矣，非陛下有以倡之乎？
HCH_012_235_000210	數年以來，禦用不給。
HCH_012_235_000211	今日取之光祿，明日取之太僕，浮梁之磁，南海之珠，玩好之奇，器用之巧，日新月異。
HCH_012_235_000212	遇聖節則有壽服，元宵則有燈服，端陽則有五毒吉服，年例則有歲進龍服。
HCH_012_235_000213	以至覃恩錫賚，小大畢沾；謁陵犒賜，耗費巨萬。
HCH_012_235_000214	錙銖取之，泥沙用之。
HCH_012_235_000215	於是民間習為麗侈，窮耳目之好，竭工藝之能，不知紀極。
HCH_012_235_000216	夫中人得十金，即足供終歲之用。
HCH_012_235_000217	今一物而常兼中人數家之產。
HCH_012_235_000218	或刻沈檀，鏤犀象，以珠寶金玉飾之。
HCH_012_235_000219	周鼎、商彜、秦鉈、漢鑒，皆搜求於海內。
HCH_012_235_000220	窮歲月之力，專一器之工；罄生平之資，取一盼之適。
HCH_012_235_000221	殊不知財賄易盡，嗜欲無窮。
HCH_012_235_000222	陛下誠能恭儉節約以先天下，禁彼浮淫，還之貞樸，則財用自裕，而風俗亦淳。
