HCH_012_296_000001	孝弟之行，雖曰天性，豈不賴有教化哉。
HCH_012_296_000002	自聖賢之道明，誼壁英君莫不汲汲以厚人倫、敦行義為正風俗之首務。
HCH_012_296_000003	旌勸之典，賁於閭閻，下逮委巷。
HCH_012_296_000004	布衣之氓、匹夫匹婦、兒童稚弱之微賤，行修於閨闥之中，而名顯於朝廷之上。
HCH_012_296_000005	觀其至性所激，感天地，動神明，水不能濡，火不能爇，猛獸不能害，山川不能阻，名留天壤，行卓古今，足以扶樹道教，敦厲末俗，綱常由之不泯，氣化賴以維持。
HCH_012_296_000006	是以君子尚之，王政先焉。
HCH_012_296_000007	至或刑政失平，復仇泄忿，或遭時不造，荒盜流離，誓九死以不回，冒白刃而弗顧。
HCH_012_296_000008	時則有司之辜，民牧之咎，為民上者，當為之惻然動念。
HCH_012_296_000009	故史氏誌忠孝義烈之行，如恐弗及，非徒以發側陋之幽光，亦以覘世變，昭法戒焉。
HCH_012_296_000010	明太祖詔舉孝弟力田之士，又令府州縣正官以禮遣孝廉士至京師。
HCH_012_296_000011	百官聞父母喪，不待報，得去官。
HCH_012_296_000012	割股臥冰，傷生有禁。
HCH_012_296_000013	其後遇國家覃恩海內，輒以詔書從事。
HCH_012_296_000014	有司上禮部請旌者，歲不乏人，多者十數。
HCH_012_296_000015	激勸之道，綦云備矣。
HCH_012_296_000016	實錄所載，莫可殫述，今采其尤者輯為傳。
HCH_012_296_000017	余援《唐書》例，臚其姓氏如左。
HCH_012_296_000018	其事親盡孝，或萬里尋親，或三年廬墓，或聞喪殞命，或負骨還鄉者，洪武時，則有麗水祝昆，上元徐真童、李某女，龍江衛丁歪頭，懷寧曹鏞、鏞妻王氏，徐州王僧兒，廣德姚觀壽，廣武衛陳禮關，桃源張註，江浦張二女勝奴，上海沈德，溧陽史以仁，丹徒唐川，邳州李英，北平東安王重，遵化張拾，保定顧仲禮，樂亭杜仁義妻韓氏，昌平劉驢兒，保定新城王興，祁陽郝安童，山東寧海姜瑜，汶上侯昱，孟縣李德，鞏縣給事中魏敏，登封王中，舞陽周炳，臨桂李文選。
HCH_012_296_000019	而鈞州張宗魯以瞽子有孝行，十七年被旌。
HCH_012_296_000020	永樂間，則有大興王萬僧奴，東光回滿住，金吾右衛何黑廝，金吾後衛包三，武功中衛蔣小保、周阿狗，錦州衛趙興祖，旗手衛周來保，大寧前衛滑中，保安衛徐宗賢，羽林前衛孫誌，漢府左護衛千戶許信男斌，江寧浦阿住、沈得安、嚴分保，上元馮添孫、邵佛定，上海沈氏妙蘭，儀真韓福緣，江陰衛徐佛保，府軍衛浦良兒，府軍後衛王保兒、潘醜兒，水軍右衛黃阿回，廣武衛百戶劉玉，蘇州衛張阿童，廣洋衛鄭小奴，大河衛朱阿金，興武衛張彥昇，龍江提舉司匠張貴、胡佛保、聶廣，永新左興兒，濟陽張思名，泰安張翼，肥城趙讓，安邑張普圓，永寧王仕能，陽武劉大，靈寶賀貳，鈞州袁節，膚施陳七兒，鳳翔梁準。
HCH_012_296_000021	洪熙間，則有江陰越鉉。
HCH_012_296_000022	宣德間，則有慶都邊靖，南樂康祥、楊鐸，內黃崔克昇，江寧張繼宗，定遠王絅，舒城錢敏，徐州衛張文友，歸德衛任貴，浮梁洪信文，堂邑趙巖，汶上馬威，翼城劉原真，太康順孫陳智，鈞州楊鼐，延安衛指揮王永、安嶽、李遇中。
HCH_012_296_000023	正統間，則有大興劉懷義，元城谷真，邢臺劉鏞，獻縣崔鑒，通州左衛總旗孫雄，昌黎侯顯，新樂孫禮，定興魏整，交河田畯，柏鄉張本，歸德楊敬，井陘畢鸞，永年楊忠，永清右衛穆弘，武驤左衛成貴，江寧顧昜，舒城吏部主事胡紀、御史王紹，廬江張政，武進胡長寧，徐州金暠、王豫，桐城檀郁，歸德衛呂仲和，麻城趙說，聊城裴俊，陵縣虎賁左衛經歷張讓，費縣葛子成，樂安孫整，冠縣陳勉，臨清賈貴，郯城郭秉，東平張琛，德州張泰，平陰王福緣，猗氏王約，高平王起孝、太僕丞王遂，介休楊智，興縣郭安，朔州衛吳順，杞縣高朗，太康軒茂良，鄭州邢恭，祥符李斌，鳳翔石玫，膚施劉友得、張信，邠州郭元，延安衛薛廣，蘭州吳仕坤。
HCH_012_296_000024	景泰間，則有成安張憲，威縣傅海，邳州岑義，鳳陽李忠，徐州朱環，宿州郭興、李寬，泗州衛蔡興，龍泉顧佛僧，龍遊常州通判徐珙，武昌衛吳綬，靖州衛方觀，鄆城李逵，朝城王禮，聊城朱舉，洛陽昌黎訓導閻禹錫。
HCH_012_296_000025	天順間，則有宛平龔然勝，遷安蔣盛，永清賈懋，任丘黃文，唐縣寇林、大寧指揮張英，平山衛房鎮，忠義衛總旗鐘通，潼關衛楊順通、順素，蒙城汪泉，六合胡琛，合肥高興、張俊，和州獲嘉知縣薛良，上元龍景華，杭州姚文、姚得，平湖夔州知府沈琮，金華宗祉，德州尹綸，東昌許通，臨汾續鳳，絳州陳璽，鄢陵解禮、順孫張縉，上蔡朱儉，同州侯智，醴泉張璉，西安前衛張軫，延安衛指揮柏英，太和楊寧，金齒衛徐訥。
