HCH_012_320_000001	朝鮮，箕子所封國也。
HCH_012_320_000002	漢以前曰朝鮮。
HCH_012_320_000003	始為燕人衞滿所據，漢武帝平之，置真番、臨屯、樂浪、玄菟四郡。
HCH_012_320_000004	漢末，有扶餘人高氏據其地，改國號曰高麗，又曰高句麗，居平壤，即樂浪也。
HCH_012_320_000005	已，為唐所破，東徙。
HCH_012_320_000006	後唐時，王建代高氏，兼併新羅、百濟地，徙居松岳，曰東京，而以平壤為西京。
HCH_012_320_000007	其國北鄰契丹，西則女直，南曰日本。
HCH_012_320_000008	元至元中，西京內屬，置東寧路總管府，盡慈嶺為界。
HCH_012_320_000009	明興，王高麗者王顓。
HCH_012_320_000010	太祖即位之元年遣使賜璽書。
HCH_012_320_000011	二年送還其國流人。
HCH_012_320_000012	顓表賀，貢方物，且請封。
HCH_012_320_000013	帝遣符璽郎偰斯齎詔及金印誥文封顓為高麗國王，賜曆及錦綺。
HCH_012_320_000014	其秋，顓遣總部尚書成惟得、千牛衞大將軍金甲兩上表謝，并賀天壽節，因請祭服制度，帝命工部製賜之。
HCH_012_320_000015	惟得等辭歸，帝從容問：「王居國何為？城郭修乎？兵甲利乎？宮室壯乎？」
HCH_012_320_000016	頓首言：「東海波臣，惟知崇信釋氏，他未遑也。」
HCH_012_320_000017	遂以書諭之曰：「古者王公設險，未嘗去兵。民以食為天，而國必有出政令之所。今有人民而無城郭，人將何依？武備不修，則威弛；地不耕，則民艱於食；且有居室，無廳事，無以示尊嚴。此數者朕甚不取。夫國之大事，在祀與戎。苟闕斯二者，而徒事佛求福，梁武之事，可為明鑑。王國北接契丹、女直，而南接倭，備禦之道，王其念之。」
HCH_012_320_000018	因賜之六經、四書、通鑑。
HCH_012_320_000019	自是貢獻數至，元旦及聖節皆遣使朝賀，歲以為常。
HCH_012_320_000020	三年正月命使往祀其國之山川。
HCH_012_320_000021	是歲頒科舉詔於高麗，顓表謝，貢方物，并納元所授金印。
HCH_012_320_000022	中書省言：「高麗貢使多齎私物入貨，宜征稅；又多攜中國物出境，禁之便。」
HCH_012_320_000023	俱不許。
HCH_012_320_000024	五年表請遣子弟入太學，帝曰：「入學固美事，但涉海遠，不欲者勿強。」
HCH_012_320_000025	貢使洪師範、鄭夢周等一百五十餘人來京，失風溺死者三十九人，師範與焉。
HCH_012_320_000026	帝憫之，遣元樞密使延安答里往諭入貢毋數。
HCH_012_320_000027	而顓復遣其門下贊成事姜仁裕來貢馬，其賀正旦使金湑等已先至，帝悉遣還。
HCH_012_320_000028	謂中書省臣曰：「高麗貢獻繁數，既困敝其民，而涉海復虞覆溺。宜遵古諸侯之禮，三年一聘。貢物惟所產，毋過侈。其明諭朕意。」
HCH_012_320_000029	六年，顓遣甲兩等貢馬五十匹，道亡其二，甲兩以聞。
HCH_012_320_000030	及進，以私馬足之。
HCH_012_320_000031	帝惡其不誠，卻之。
HCH_012_320_000032	七年遣監門護軍周誼、鄭庇等來貢，表請每歲一貢，貢道從陸，由定遼，毋涉海，其貢物稱「送太府監」。
HCH_012_320_000033	中書省言：「元時有太府監，本朝未嘗有，言涉不誠。」
HCH_012_320_000034	帝命卻其貢。
HCH_012_320_000035	是歲顓為權相李仁人所弒。
HCH_012_320_000036	顓無子，以寵臣辛肫之子禑為子，於是仁人立禑。
HCH_012_320_000037	八年，禑遣判宗簿事崔原來告哀，且言前有貢使金義殺朝使蔡斌，今嗣王禑已誅義，籍其家。
HCH_012_320_000038	帝疑其詐，拘原而遣使往祭弔。
HCH_012_320_000039	十年，使來請故王顓諡號，帝曰：「顓被殺已久，今始請諡，將假吾朝命，鎮撫其民，且掩其弒逆之跡，不可許。前所留使者，其遣之。」
HCH_012_320_000040	於是釋原歸。
HCH_012_320_000041	其夏，復遣周誼貢馬及方物，卻不受。
HCH_012_320_000042	冬，又遣使賀明年正旦。
HCH_012_320_000043	帝曰：「高麗王顓被弒，奸臣竊命，春秋之義，亂臣必誅，夫又何言。第前後使者皆稱嗣王所遣，中書宜遣人往問嗣王如何，政令安在。若政令如前，嗣王不為羈囚，則當依前王言，歲貢馬千匹，明年貢金百斤、銀萬兩、良馬百、細布萬，仍悉送還所拘遼東民，方見王位真而政令行，朕無惑已。否則弒君之賊，必討無赦。」
HCH_012_320_000044	十一年四月，禑復命誼來貢。
HCH_012_320_000045	十二年敕遼東守將潘敬、葉旺等謹飭邊備。
HCH_012_320_000046	其冬，禑遣李茂芳等來貢，以不如約卻之。
HCH_012_320_000047	十三年，遼東送高麗使誼至京師，帝敕敬等曰：「高麗弒君，又殺朝使，前堅請入貢又不如期，今遣誼來，以虛文飾詐，他日必為邊患。自今來者，其絕勿通。」
HCH_012_320_000048	因留誼於京師。
HCH_012_320_000049	十六年來貢，卻之，命禮部責其朝貢過期、陪臣侮慢之罪；誠欲聽約者，當以前五歲違約不貢之物幷至。
HCH_012_320_000050	十七年六月，禑遣司僕正崔涓、禮儀判書金進宜貢馬二千匹。
HCH_012_320_000051	且言金非地所產，願以馬代輸，餘皆如約。
HCH_012_320_000052	遼東守將唐勝宗為之請，帝許之。
HCH_012_320_000053	然請顓諡號，襲王爵，未允也。
HCH_012_320_000054	十八年正月，貢使至。
HCH_012_320_000055	帝諭禮臣曰：「高麗屢請約束，朕數不允，而其請不已，故索歲貢以試其誠偽，非以此為富也。今既聽命，宜損其貢數，今三年一朝，貢馬五十匹。至二十一年正旦乃貢。」
HCH_012_320_000056	七月，禑上表請襲爵，幷請故王諡。
HCH_012_320_000057	命封禑為高麗國王，賜故王顓諡恭愍。
HCH_012_320_000058	十九年二月遣使貢布萬匹、馬千匹。
HCH_012_320_000059	九月，表賀，貢方物。
HCH_012_320_000060	其後貢獻輒踰常額，且未嘗至三年也。
HCH_012_320_000061	冬，詔遣指揮僉事高家奴以綺布市馬於高麗。
HCH_012_320_000062	二十年三月，高家奴還，陳高麗表辭馬直，帝敕如數償之。
