HCH_012_330_000001	西番，即西羌，族種最多，自陝西曆四川、雲南西徼外皆是。
HCH_012_330_000002	其散處河、湟、洮、岷間者，為中國患尤劇。
HCH_012_330_000003	漢趙充國、張奐、段熲，唐哥舒翰，宋王韶之所經營，皆此地也。
HCH_012_330_000004	元封駙馬章古為寧濮郡王，鎮西寧，於河州設吐番宣慰司，以洮、岷、黎、雅諸州隸之，統治番眾。
HCH_012_330_000005	洪武二年，太祖定陝西，即遣官齎詔招諭，其酋長皆觀望。
HCH_012_330_000006	復遣員外郎許允德招之，乃多聽命。
HCH_012_330_000007	明年五月，吐蕃宣慰使何鎖南普等以元所授金銀牌印宣敕來上，會鄧愈克河州，遂詣軍前降。
HCH_012_330_000008	其鎮西武靖王卜納剌亦以吐蕃諸部來納款。
HCH_012_330_000009	冬，何鎖南普等入朝貢馬及方物。
HCH_012_330_000010	帝喜，賜襲衣。
HCH_012_330_000011	四年正月設河州衛，命為指揮同知，予世襲，知院朵兒只、汪家奴併為指揮僉事。
HCH_012_330_000012	設千戶所八，百戶所七，皆命其酋長為之。
HCH_012_330_000013	卜納剌等亦至京師，為靖南衛指揮同知，其儕桑加朵兒只為高昌衛指揮同知，皆帶刀侍衛。
HCH_012_330_000014	自是，番酋日至。
HCH_012_330_000015	尋以降人馬梅、汪瓦兒併為河州衛指揮僉事。
HCH_012_330_000016	又遣西寧州同知李喃哥等招撫其酋長，至者亦悉授官。
HCH_012_330_000017	乃改西寧州為衛，以喃哥為指揮。
HCH_012_330_000018	帝以西番產馬，與之互市，馬至漸多。
HCH_012_330_000019	而其所用之貨與中國異，自更鈔法後，馬至者少，患之。
HCH_012_330_000020	八年五月命中官趙成齎羅綺、綾絹並巴茶往河州市之，馬稍集，率厚其值以償。
HCH_012_330_000021	成又宣諭德意，番人感悅，相率詣闕謝恩。
HCH_012_330_000022	山後歸德等州西番諸部落皆以馬來市。
HCH_012_330_000023	十二年，洮州十八族番酋三副使等叛，據納麟七站之地。
HCH_012_330_000024	命征西將軍沐英等討之，又命李文忠往籌軍事。
HCH_012_330_000025	英等至洮州舊城，寇遁去，追斬其魁數人，盡獲畜產。
