HCH_013_012_000001	太祖洪武五年春正月癸丑，遣翰林院待制王褘齎詔諭雲南。
HCH_013_012_000002	雲南，古滇池地，南控交趾，北接吐蕃，西擁渚甸，東以曲靖為門戶，與蜀、黔錯壤，麗江、松潘、烏蠻、霑益，如犬牙然。
HCH_013_012_000003	戰國時，楚威王使將軍莊蹻將兵循江上，略巴蜀、黔中，西至滇池，以兵威定，屬楚。
HCH_013_012_000004	歸報，會秦擊楚，巴、黔道塞，遂以其眾王滇，變服從其俗以長之。
HCH_013_012_000005	漢武帝元狩元年，彩雲見南方，遣使跡之，起于洱河，因寘雲南郡，諭滇王入朝。
HCH_013_012_000006	宣帝遣王褒求金馬、碧鷄之神。
HCH_013_012_000007	蜀漢建興三年，諸葛亮南征雍闓，斬之，封其渠龍祐那為部長，賜姓張氏，漸去山林，徙居平地，建城邑，務農桑，諸部于是始有姓氏。
HCH_013_012_000008	隋開皇中，為史萬歲所破。
HCH_013_012_000009	唐武德、貞觀間，張氏弱，遜位蒙氏，號南詔。
HCH_013_012_000010	天寶七年，閣羅鳳反，敗節度使鮮于仲通西洱河。
HCH_013_012_000011	後段氏有其地。
HCH_013_012_000012	段氏之先，武威郡人，改國號大理。
HCH_013_012_000013	宋太祖立，王全斌下四川，請取大理，鑒唐之禍，以玉斧畫大渡河曰：「此外非吾有也。」
HCH_013_012_000014	由是雲南不被兵，段氏得長世焉。
HCH_013_012_000015	元世祖自臨洮過大渡河，經山谷二千里，至金沙江，乘革囊以濟，獲段興智，滅其國，乃以其子忽哥出為雲南王鎮之，仍錄段氏子姓守其土。
HCH_013_012_000016	忽哥死，封其子松山為梁王。
HCH_013_012_000017	至正時，把匝剌瓦爾密嗣位。
HCH_013_012_000018	明玉珍一攻之，不克。
HCH_013_012_000019	至是，上既平夏，乃遣使往諭之。
HCH_013_012_000020	六年冬十二月，詔使王褘被殺于雲南。
HCH_013_012_000021	褘初至雲南，見元梁王君臣，諭以奉版圖、歸職方。
HCH_013_012_000022	梁王不省，館于別室。
HCH_013_012_000023	數日，又曰：「子將命遠來，非為身謀。朝廷以雲南百萬生聚，不欲殲於鋒刃。曾不聞元綱解紐，陳友諒據荊湖，張士誠據吳會，陳友定據閩關，明玉珍據巴蜀，天兵下征，不四五年，悉膏斧鉞。惟爾元君北走以死，擴廓帖木兒之屬或降或竄，曾無用武之地。當是時，先服者賞，後至者誅。乃今自料，勇悍強獷，孰與陳、張？土地甲兵，孰與中國？天之所廢，誰能興之！不然，皇上遣一將軍，將龍驤百萬，會戰昆明池，爾猶魚遊父釜中，不亡何待！」
HCH_013_012_000024	梁君臣相顧駭服，頗有降意，改館禕，厚待之。
HCH_013_012_000025	會元太子自立於沙漠，遣使脫脫自西番徵糧雲南，謀連兵拒我。
HCH_013_012_000026	脫脫覘知梁王有二心，欲迫殺朝使，以固其意。
HCH_013_012_000027	梁王持兩可，不決，匿禕民間。
HCH_013_012_000028	脫脫聞之，誚梁王曰：「國家顛覆不能救，反欲附他人耶！」
HCH_013_012_000029	欲躍馬去。
HCH_013_012_000030	梁王不得已，出禕與脫脫相見。
