HCH_013_016_000001	太祖洪武三年夏四月，詔封皇子棣為燕王，太祖第四子也。
HCH_013_016_000002	十一年冬十二月，定諸王宮城制式。
HCH_013_016_000003	太祖曰：「除燕王宮殿仍元舊，諸王府營造不得引以為式。」
HCH_013_016_000004	二十三年春二月，命潁國公傅友德為將軍，聽燕王節制，征沙漠。
HCH_013_016_000005	初，燕王既之國，太祖欲諸王知軍旅，乃敕秦王、晉王、燕王督諸將分道北征。
HCH_013_016_000006	已而秦王、晉王師久不出，燕王率友德等北出，至迤都山，擒其將乃兒不花還。
HCH_013_016_000007	二十五年夏四月丙子，皇太子薨。
HCH_013_016_000008	皇太孫生而額顱稍偏，性聰穎，善讀書，然仁柔少斷。
HCH_013_016_000009	太祖每令賦詩，多不喜。
HCH_013_016_000010	一日，令之屬對，大不稱旨；復以命燕王，語乃佳。
HCH_013_016_000011	太祖常有意易儲，劉三吾曰：「若然，置秦、晉二王何地？」
HCH_013_016_000012	太祖乃止。
HCH_013_016_000013	二十八年，初，諸王封國時，太祖多擇名僧為傅，僧道衍知燕王當嗣大位，自言曰：「大王使臣得侍，奉一白帽與大王戴。」
HCH_013_016_000014	蓋白冠王，其文皇也。
HCH_013_016_000015	燕王遂乞道衍，得之。
HCH_013_016_000016	道衍至燕邸，薦鄞人袁珙相術。
HCH_013_016_000017	燕王使召之至，令使者與飲于酒肆。
HCH_013_016_000018	王服衛士服，偕衛士九人入肆沽。
HCH_013_016_000019	珙趨拜燕王前曰：「殿下何自輕如此？」
HCH_013_016_000020	燕王陽不省，曰：「吾輩皆護衛校士也。」
HCH_013_016_000021	珙不對。
HCH_013_016_000022	乃召入，詳叩之，珙稽首曰：「殿下異日太平天子也。」
HCH_013_016_000023	燕王恐人疑，乃佯以罪遣之。
HCH_013_016_000024	行至通州，既登舟，密召入邸。
HCH_013_016_000025	三十一年閏五月，太祖崩，建文皇帝即位，遺詔止諸王入臨會葬。
HCH_013_016_000026	燕王入，將至淮安。
HCH_013_016_000027	齊泰言於帝，令人齎敕使還國，燕王不悅。
HCH_013_016_000028	秋七月，帝命李景隆訊周王橚，逮至京，廢為庶人。
HCH_013_016_000029	燕王見周王被執，且齊泰、黃子澄用事，遂簡壯士為護衛，以勾逃軍為名，異人術士多就之。
HCH_013_016_000030	冬十月，熒惑守心。
HCH_013_016_000031	四川岳池教諭程濟通術數，上書言：「北方兵起，期在明年。」
HCH_013_016_000032	朝議以濟妄言，召入，將殺之。
HCH_013_016_000033	濟曰：「陛下幸囚臣，至期無兵，殺臣未晚也。」
HCH_013_016_000034	乃囚濟於獄。
HCH_013_016_000035	十一月，燕、齊有告變者，帝問黃子澄曰：「孰當先？」
HCH_013_016_000036	子澄曰：「燕王久稱病，日事練兵，且多置異人術士左右，此其機事已露，不可不急圖之。」
HCH_013_016_000037	復召齊泰問曰：「今欲圖燕，燕王素善用兵，北卒又勁，奈何？」
HCH_013_016_000038	泰對曰：「今北邊有寇警，以防邊為名，遣將戍開平，悉調燕藩護衛兵出塞，去其羽翼，乃可圖也。」
HCH_013_016_000039	從之。
HCH_013_016_000040	乃以工部侍郎張昺為北平左布政使，以謝貴為都指揮使，俾察燕王動靜，圖之。
HCH_013_016_000041	魏國公徐輝祖，燕王妃同產兄也，時以燕事密告之帝，大見信用，詔加太子太傅，與李景隆同掌六軍，協謀圖燕。
HCH_013_016_000042	建文元年春正月，燕王遣長史葛誠入奏事，帝密問燕邸事，誠具以實告。
HCH_013_016_000043	遣誠還燕，使為內應，至則燕王察其色異，心疑之。
HCH_013_016_000044	二月，燕王入覲，行皇道入，登陛不拜。
HCH_013_016_000045	監察御史曾鳳韶劾王不敬，帝曰：「至親勿問。」
HCH_013_016_000046	戶部侍卓敬密奏曰：「燕王智慮絕人，酷類先帝。夫北平者，強幹之地，金、元所由興也，宜徙封南昌以絕禍本。」
HCH_013_016_000047	帝覽奏，袖之。
HCH_013_016_000048	翼日曰：「燕王骨肉至親，何得及此。」
HCH_013_016_000049	敬曰：「隋文、楊廣非父子耶！」
HCH_013_016_000050	帝默然良久，曰：「卿休矣。」
HCH_013_016_000051	三月，燕王還國，帝以都督耿瓛掌北平都司事，都御史景清署北平布政司參議，皆使覘燕邸事，尋皆召還。
HCH_013_016_000052	又遣官為採訪使，分巡天下。
HCH_013_016_000053	都御史暴昭採訪北平，具以燕邸事密聞於朝，請為之備。
HCH_013_016_000054	北平按察司僉事湯宗上變，告按察使陳瑛受燕金，有異謀，逮瑛安置廣西。
HCH_013_016_000055	遂敕都督宋忠率兵三萬，及燕府護衛精銳，俱選隸忠麾下，屯開平，名備邊。
HCH_013_016_000056	仍命都督耿瓛練兵于山海關，徐凱練兵于臨清，密敕張昺、謝貴嚴為之備。
HCH_013_016_000057	又召燕番騎指揮關童等入京師。
HCH_013_016_000058	燕王歸國即托疾，久之，遂稱篤。
HCH_013_016_000059	夏四月，太祖小祥，燕王遣世子及其弟高煦、高燧入臨。
HCH_013_016_000060	或曰：「不宜偕往。」
HCH_013_016_000061	王曰：「令朝廷勿疑也。」
HCH_013_016_000062	及至京，齊泰請并留之。
HCH_013_016_000063	黃子澄曰：「不可。疑而備之，殆也，不若遣還。」
HCH_013_016_000064	世子兄弟，皆魏國公徐輝祖甥。
HCH_013_016_000065	輝祖察高煦有異志，密奏曰：「三甥中，獨高煦勇悍無賴，非但不忠，且叛父，他日必為大患。」
HCH_013_016_000066	帝以問輝祖弟增壽及駙馬王寧，皆庇之，乃悉遣歸國。
HCH_013_016_000067	高煦陰入輝祖廄，取其馬以行，輝祖使人追之，不及。
HCH_013_016_000068	初，世子入京，燕王大憂悔，暨歸，喜曰：「吾父子復得相聚，天贊我也。」
HCH_013_016_000069	已而燕兵起，高煦戮力為多。
HCH_013_016_000070	帝曰：「吾悔不用輝祖之言！」
HCH_013_016_000071	六月，燕山護衛百戶倪諒上變，告燕官校于諒、周鐸等陰事，逮繫至京，皆僇之。
HCH_013_016_000072	有詔責燕王。
HCH_013_016_000073	王乃佯狂稱疾，走呼市中，奪酒食，語多妄亂，或臥土壤，彌日不甦。
HCH_013_016_000074	張昺、謝貴入問疾，王盛夏圍爐搖顫曰：「寒甚。」
HCH_013_016_000075	宮中亦杖而行。
HCH_013_016_000076	朝廷稍信之。
HCH_013_016_000077	長史葛誠密告昺、貴曰：「燕王本無恙，公等勿懈。」
HCH_013_016_000078	會燕王使其護衛百戶鄧庸詣闕奏事，齊泰請執訊之，具言王將舉兵狀。
HCH_013_016_000079	齊泰即發符遣使，往逮燕府官屬，密令謝貴、張昺圖燕，使約長史葛誠、指揮盧振為內應。
HCH_013_016_000080	以北平都指揮張信為燕王舊所信任，密敕之，使執燕王。
HCH_013_016_000081	信受命，憂甚，不敢言。
HCH_013_016_000082	母疑問之，信以告。
HCH_013_016_000083	母驚曰：「不可。吾故聞燕王當有天下。王者不死，非汝所能擒也。」
HCH_013_016_000084	信益憂未決。
HCH_013_016_000085	亡何，敕使趣之，信艴然曰：「何太甚也！」
HCH_013_016_000086	乃往燕邸請見，不得入，乘婦人車，徑至門求見。
HCH_013_016_000087	乃召入，拜於床下。
HCH_013_016_000088	燕王佯為風疾，不能言。
HCH_013_016_000089	信曰：「殿下無爾也。有事，當以告臣。」
HCH_013_016_000090	燕王曰：「疾，非妄也。」
HCH_013_016_000091	信曰：「殿下不以情語臣，上擒王矣，當就執；如有意，勿諱臣。」
HCH_013_016_000092	燕王見其誠，下拜曰：「生我一家者子也！」
HCH_013_016_000093	乃召僧道衍至謀事。
HCH_013_016_000094	適暴風雨，簷瓦墮，燕王心惡之，色不懌。
HCH_013_016_000095	道衍以為祥。
HCH_013_016_000096	王謾駡：「和尚妄，烏得祥！」
HCH_013_016_000097	道衍曰：「殿下不聞乎？『飛龍在天，從以風雨』。瓦墜，天易黃屋耳！」
HCH_013_016_000098	王喜。
HCH_013_016_000099	有布政司吏奈亨、按察司吏李友直，密以疏草示燕王，因留匿邸中。
HCH_013_016_000100	燕王出其疏草，示護衛指揮張玉、朱能等曰：「此何為者？」
HCH_013_016_000101	遂令玉等帥壯士八百人入衛。
HCH_013_016_000102	貴等以在城七衛并屯田軍士圍王城，又以木柵斷端禮等門。
HCH_013_016_000103	未幾，削爵及逮官屬詔至。
HCH_013_016_000104	秋七月，謝貴、張昺督諸衛士皆甲，圍府第，索所逮諸官屬，飛矢入府內。
HCH_013_016_000105	燕王與張玉、朱能等謀曰：「彼軍士滿城市，吾兵甚寡，奈何？」
HCH_013_016_000106	朱能曰：「先擒殺謝貴、張昺，餘無能為也。」
HCH_013_016_000107	燕王曰：「是當計取之。今奸臣遣使來逮官屬，依所坐名收之。即令來使召昺、貴付所逮者，貴、昺必來，來則擒之，一壯士力耳。」
HCH_013_016_000108	壬申，王稱疾愈，御東殿，官僚入賀。
HCH_013_016_000109	燕王先伏壯士左右及端禮門內，遣人召貴、昺，不來。
HCH_013_016_000110	復遣官屬內官，以所就逮名往，乃至，衛士甚眾，及門，門者呵止之。
HCH_013_016_000111	貴、昺入，燕王曳杖坐，賜宴行酒，出瓜數器，曰：「適有進新瓜者，與卿等嘗之。」
HCH_013_016_000112	燕王自進片瓜，忽怒且詈曰：「今編戶齊民，兄弟宗族尚相恤，身為天子親屬，旦夕莫必其命。縣官待我如此，天下何事不可為乎？」
HCH_013_016_000113	擲瓜於地，護衛軍皆怒，前擒貴、昺，捽盧振、葛誠等下殿。
HCH_013_016_000114	王投杖起曰：「我何病，迫於若奸臣耳！」
HCH_013_016_000115	遂曳貴、昺等，皆斬之。
HCH_013_016_000116	貴、昺諸從人在外者尚未知，見貴、昺移時不出，各稍稍散去。
HCH_013_016_000117	圍王城將士聞貴、昺已被執，亦潰散。
HCH_013_016_000118	北平都指揮彭二聞變，急跨馬大呼市中，集兵千餘人，欲入端禮門，燕王遣健卒龐來興、丁勝格殺二，兵亦散。
HCH_013_016_000119	燕王乃命張玉等率兵乘夜出，攻奪九門，黎明，已克其八，唯西直門未下。
HCH_013_016_000120	王命指揮唐雲單騎往諭守者曰：「汝毋自苦！今朝廷已聽王自制一方矣，汝等亟下，後者誅。」
HCH_013_016_000121	眾聞言，皆散。
HCH_013_016_000122	乃下令安集軍民。
HCH_013_016_000123	三日，城中大定。
HCH_013_016_000124	都指揮使余瑱既與謝貴合謀不遂，乃走守居庸關，馬宣巷戰不勝，東走薊州。
HCH_013_016_000125	宋忠自開平率兵三萬至居庸關，不敢進，退保懷來。
HCH_013_016_000126	癸酉，燕王誓師，以誅齊泰、黃子澄為名，去建文年號，仍稱洪武三十二年。
HCH_013_016_000127	署官屬，以張玉、朱能、丘福為都指揮僉事，擢李友直為布政司參議，拜卒金忠為燕紀善。
HCH_013_016_000128	金忠，浙江鄞縣人，精于卜。
HCH_013_016_000129	燕師將起，召忠卜之，以大吉告，遂署為紀善，命侍帷幄，用其謀策。
HCH_013_016_000130	時布政司參議郭資、按察司副使墨麟、都指揮同知李濬、陳恭等皆降。
