HCH_013_040_000001	憲宗成化九年秋九月，土魯番速檀阿力王入哈密，掠王母併金印去。
HCH_013_040_000002	哈密，漢西域、唐伊州地也。
HCH_013_040_000003	漢武帝置酒泉、張掖、燉煌三郡，即令甘、涼、肅之境。
HCH_013_040_000004	又出玉門關通西域，置都護及戊己校尉，以斷單于右臂，則今之哈密云。
HCH_013_040_000005	晉為涼州牧張實所據。
HCH_013_040_000006	歷後魏，西域復通。
HCH_013_040_000007	隋煬帝因裴矩進《圖記》，躬度玉門關，置伊吾、且末鎮。
HCH_013_040_000008	唐隸隴右道，安氏之亂，盡沒吐番。
HCH_013_040_000009	地無水而常寒，多雪，雪銷乃得水。
HCH_013_040_000010	元封其裔勿納失里為威武王，居之。
HCH_013_040_000011	明初，高皇帝定陝西、甘肅諸鎮，嘉峪關以西置不問。
HCH_013_040_000012	永樂二年，安克帖木兒貢馬，詔封為忠順王，即其地置哈密衛。
HCH_013_040_000013	關以西衛七：曰哈密、安定、阿瑞、赤斤蒙古、曲先、罕東、罕東左，而哈密最西。
HCH_013_040_000014	東去肅州，西去土魯番各千五百里。
HCH_013_040_000015	北數百里抵瓦剌，以天山為界。
HCH_013_040_000016	授其目馬哈麻火只目等指揮，分居苦峪城，賜金印詔命，凡西域入貢，悉道哈密譯上，亦漢武遺意也。
HCH_013_040_000017	洪熙元年，哈密貢硫黃，上曰：「哈密既有硫黃，猝遇戰鬬，須有備。」
HCH_013_040_000018	敕邊吏知之。
HCH_013_040_000019	正統四年，瓦剌強，數侵哈密，哈密懼，稍持兩端。
HCH_013_040_000020	璽書諭毋背德，終不悛，至拘留漢人轉鬻，使至多暴橫。
HCH_013_040_000021	邊吏請責，詔曲貸之。
HCH_013_040_000022	而忠順王再傳為孛羅帖木兒，天順末，見弒，無子。
HCH_013_040_000023	王母弩溫答失力署國事，為癿加思蘭所破。
HCH_013_040_000024	成化二年，兵部奏：「王母以癿加思蘭侵掠，避居赤斤苦峪，今寇退，宜敕復還哈密。」
HCH_013_040_000025	乃以把塔木兒為右都督守哈密。
HCH_013_040_000026	把塔木兒本畏兀族，故忠義王外孫也。
HCH_013_040_000027	把塔木兒死，子罕慎嗣。
