HCH_013_058_000001	英宗天順六年春正月，毛里孩等入河套。
HCH_013_058_000002	是時，孛來稍衰，其大部毛里孩、阿羅出、少師猛克與孛來相仇殺，而立脫思為可汗。
HCH_013_058_000003	脫思，故小王子從兄也。
HCH_013_058_000004	於是毛里孩、阿羅出、孛羅忽三部始入河套。
HCH_013_058_000005	然以爭水草不相下，不能深入為寇。
HCH_013_058_000006	時遣人貢馬，頗通朶顏諸衞擾塞下。
HCH_013_058_000007	河套周圍三面阻黃河，土肥饒，可耕桑。
HCH_013_058_000008	密邇陝西榆林堡，東至山西偏頭關，西至寧夏鎮，東西可二千里；南至邊牆，北至黃河，遠者八九百里，近者二三百里。
HCH_013_058_000009	即周之朔方，秦之河南地，漢之定襄郡，赫連勃勃、趙元昊之所據以為國者也。
HCH_013_058_000010	唐三受降城在河套北黃河之外，元東勝州在受降城之東。
HCH_013_058_000011	國初，諸部遁河外，居漠北，延綏無事。
HCH_013_058_000012	正統以後，王驥等兵次甘肅，申明號令，河套以寧，然間亦渡河。
HCH_013_058_000013	繼而守將都督王順始築榆林城，創沿邊一帶營堡墩臺，累增至二十四所。
HCH_013_058_000014	歲調延安、綏德、慶陽三衞官軍分戍，而河南、陝西客兵助之，列營積糧，以遏要衝。
HCH_013_058_000015	景泰初，犯延慶，不敢深入。
HCH_013_058_000016	至是，阿羅出掠邊人以為嚮導，因知河套所在，不時出沒，遂為邊境門庭之害。
HCH_013_058_000017	憲宗成化元年冬十月，毛里孩寇陝西，都御史項忠及彰武伯楊信禦之，遁去。
HCH_013_058_000018	二年春三月，延綏紀功兵部郎中楊琚奏：「河套寇屢為邊患。近有百戶朱長，年七十餘，自幼熟遊河套，親與臣言：「套內地廣田腴，亦有鹽池海子，葭州等民多墩外種食。』正統間，有寧夏副總兵黃鑑奏，欲偏頭關、東勝關黃河西岸地名一顆樹起，至榆溝、速迷都六鎮、沙河海子、山火石腦兒、鹻石海子、回回墓、紅鹽池、百眼井、甜水井、黃河溝，至寧夏黑山嘴、馬營等處，共立十三城堡，七十三墩臺。東西七百餘里，實與偏頭關、寧夏相接，惟隔一黃河耳。當時議者以為地土平漫難據，已之。後總兵官石亨又奏，欲將延綏一帶營堡移徙直道。實為萬世防邊之長策也。」帝曰：「楊琚所奏移堡防邊，具有證據，其言有理，兵部即會官議處以聞。」
HCH_013_058_000019	六月，大學士李賢等奏：「河套與延綏接境，原非敵人巢穴。今毛里孩居處其中，出沒不常。苟欲安邊，必須大舉而後可。乞令兵部會官博議，進兵搜勦，務在盡絕。其總制將官與凡出兵事宜，俱預處請畫。又秋禾方熟，彼必入掠。而延綏鄜、慶、環縣一帶，宜推選武將一人，統步騎精兵萬人守禦，庶幾有備無患。」
HCH_013_058_000020	於是兵部尚書王復同孫繼宗等集議，以「大同總兵楊信舊鎮延綏，稔知地利，宜召還京，面受成算。其陝西、寧夏、延綏、甘、涼、大同、宣府鎮巡諸官，亦宜勅令整飭兵備，候期調發」。
HCH_013_058_000021	帝允所擬，遂召信還，以修武伯沈煜代之。
HCH_013_058_000022	乃敕陝西巡撫項忠、太監裴當、總兵楊信協謀征勦河套。
HCH_013_058_000023	三年春正月，毛里孩乞通貢，制曰：「無約而請和者，謀也。其令各邊謹備之。」
