HCH_013_077_000001	崇禎元年，延安饑，府谷民王嘉胤作亂，延安人張獻忠從之。
HCH_013_077_000002	獻忠陰謀多智，賊中號八大王。
HCH_013_077_000003	其部最強，旁掠延安諸郡邑。
HCH_013_077_000004	四年，張獻忠率衆二千人，就撫於三邊總督洪承疇。
HCH_013_077_000005	五年，獻忠復叛，隨賊首高迎祥、紫金梁等轉寇山西諸郡縣。
HCH_013_077_000006	七年，羣賊轉寇河南，張獻忠犯信陽、鄧州，遁入應山。
HCH_013_077_000007	洪承疇率諸將逐賊於河南，獻忠西奔商、雒，遁盩、鄠間，與延安賊李自成陷澄城，寇平涼、邠州。
HCH_013_077_000008	旋與羣賊出潼關，寇嵩、汝。
HCH_013_077_000009	八年正月，諸賊盡集宛、雒，張獻忠東走，掠廬、鳳、安慶。
HCH_013_077_000010	二月，與老回回西走商州，復至秦州。
HCH_013_077_000011	十一月，獻忠與羣賊自潼關出犯閿鄕、靈寶，東行。
HCH_013_077_000012	庚申，總兵祖寬大破獻忠於姑家廟。
HCH_013_077_000013	十二月，獻忠合諸賊圍廬州，分道陷巢縣、含山，遂陷和州。
HCH_013_077_000014	沿江下，犯江浦。
HCH_013_077_000015	九年正月，張獻忠合羣賊圍滁州，總理盧象昇大敗之，賊竄河南。
HCH_013_077_000016	十年，羣盜久擾河南無可掠，悉入楚，寇蘄、黃間。
HCH_013_077_000017	官軍敗獻忠於黃岡，獻忠復入江北，東掠至儀眞，揚州告急。
HCH_013_077_000018	獻忠尋西走入楚。
HCH_013_077_000019	十一年正月，總兵左良玉、陳洪範大破賊於鄖西，張獻忠請降。
HCH_013_077_000020	初，獻忠自良、涿譟而爲盜，洪範捕獲獻忠，異其貌而釋之。
HCH_013_077_000021	以是懷舊恩，乞降於洪範，請率所部殺賊自效。
HCH_013_077_000022	總理熊文燦承制撫之，獻忠請置家口於鄖西。
HCH_013_077_000023	文燦爲請於朝，詔貸其罪，立功自贖。
HCH_013_077_000024	獻忠乃率部曲數千，居白沙界山。
HCH_013_077_000025	獻忠狡而多計，羣盜每以爲的。
HCH_013_077_000026	其降也，自言能制鄖、襄、荊、承數百里內外無一賊。
HCH_013_077_000027	文燦每曲徇其請，益驕不奉法，屢檄從征不應。
HCH_013_077_000028	獻忠又求襄陽一郡，以屯其軍。
HCH_013_077_000029	文燦議餉二萬人，獻忠乞餉十萬人，文燦遷延不能應。
HCH_013_077_000030	十月，獻忠聲言寄家口於穀城，入據守之，分屯羣盜於四郊。
HCH_013_077_000031	十一月，羅汝才亦就撫，文燦安其衆於房、竹間，與民錯壤而處。
HCH_013_077_000032	遙與獻忠爲聲援，奪民禾而食，不奉縣官法，鄖、楚、偏、沅諸撫咸以爲憂。
HCH_013_077_000033	文燦剛而愎，又新有功而驕，皆不聽。
HCH_013_077_000034	鄖、襄人惴惴，恐禍至無日矣。
HCH_013_077_000035	十二年五月，張獻忠叛於穀城。
HCH_013_077_000036	初，賊首高迎祥旣誅，李自成困川西，羣盜失勢，獻忠連敗，精銳俱盡，始乞撫以緩誅，初無降意。
HCH_013_077_000037	及據穀城，潛勾諸賊爲掎角，遂復思叛去，舉人王秉貞爲之謀主。
HCH_013_077_000038	至是，遂殺穀城知縣阮之鈿以叛，羅汝才九營並起應之。
HCH_013_077_000039	獻忠脅御史林鳴球上書，求封於襄陽，鳴球不從，遂殺之。
HCH_013_077_000040	七月，熊文燦檄諸將進兵穀城，獻忠焚穀城西走，與羅汝才合。
HCH_013_077_000041	左良玉追賊於房縣西，賊設伏羅睺山，良玉兵度隘入伏中，賊四合圍之。
HCH_013_077_000042	突圍戰，敗績，一軍盡沒，良玉失其符印，僅收殘兵數百走回房縣。
HCH_013_077_000043	事聞，文燦、良玉供革職，殺賊自贖。
HCH_013_077_000044	九月，大學士楊嗣昌督師討賊。
HCH_013_077_000045	十月，至襄陽，逮熊文燦，論死。
HCH_013_077_000046	十三年二月，平賊將軍左良玉大破張獻忠於太平縣之瑪瑙山，斬首萬級。
HCH_013_077_000047	獻忠精銳俱盡，止驍騎千餘自隨，遁走興、歸山中。
HCH_013_077_000048	尋自鹽井竄興、房界上。
HCH_013_077_000049	左良玉屯興安、平利諸山，連營百里。
HCH_013_077_000050	諸軍憚山險，圍而不攻。
HCH_013_077_000051	賊伏深箐中，重賄山氓，市鹽芻米酪，山中人安之，反爲賊耳目，陰輸兵情於賊。
HCH_013_077_000052	獻忠得以休夏，收散亡，養夷傷。
HCH_013_077_000053	羣盜往往歸之，兵復振。
HCH_013_077_000054	時羅汝才、過天星七股賊盡入蜀。
HCH_013_077_000055	六月，獻忠自興、房走白羊山，入巫山隘。
HCH_013_077_000056	聞川兵躡之，益入深谷中，掩息旂鼓，轉入而西，不知所往。
HCH_013_077_000057	都司曹進功率兵入山偵賊，不見一人而還。
HCH_013_077_000058	七月，獻忠旣西，羅汝才屢爲官軍所敗，勢孤，率黨走合於獻忠，共謀渡川西。
HCH_013_077_000059	諸將賀人龍、李國奇、張應元、汪雲鳳、張奏凱等會師擊之，應元、雲鳳營於夔之土地嶺，待賀人龍兵，三檄不至。
HCH_013_077_000060	初，督師嗣昌以左良玉跋扈難制，而人龍屢破賊有功，請以人龍代良玉，佩將印。
HCH_013_077_000061	旣而以良玉瑪瑙山捷，度未可動，復奏留良玉，佩印如故，別加人龍總鎭銜，須後命。
HCH_013_077_000062	人龍初聞大將之拜，踴躍動三軍。
HCH_013_077_000063	旣報寢，乃鞅鞅。
HCH_013_077_000064	良玉知其故意，亦恨。
HCH_013_077_000065	當獻忠之遁伏興、歸也，千餘殘寇可盡，乃良玉以奪印懷慚，人龍復以歸印觖望，遂逡巡不復深入，致獻忠復熾，皆嗣昌失兩帥之心，玩寇故也。
HCH_013_077_000066	人龍屯開縣，每以餉乏爲辭，頓兵不進。
HCH_013_077_000067	癸亥，人龍兵譟而西歸。
HCH_013_077_000068	己巳，官軍敗績於土地嶺。
HCH_013_077_000069	時張應元、汪雲鳳所將楚兵五千，皆新募，未經行陣，待人龍兵久不至。
HCH_013_077_000070	獻忠知官軍無後繼，悉銳來攻。
HCH_013_077_000071	應元、雲鳳簡銳千人搏戰，晨至日中未決。
HCH_013_077_000072	賊分兵繞後山而下，突入營中，守營新兵皆譁，賊乘之，前後合圍。
HCH_013_077_000073	二將連兵死戰，應元中流矢，奮擊突圍出。
HCH_013_077_000074	賊方渡巴霧河，應元馳赴河上然礮，擊殺一賊帥衣緋者，賊不得渡。
HCH_013_077_000075	雲鳳苦戰久得脫，渴飲水斗餘，臥血凝臆而卒，兵多潰亡。
HCH_013_077_000076	九月，獻忠、汝才陷大昌。
HCH_013_077_000077	庚寅，屯夔城山背。
HCH_013_077_000078	賊行營輜重婦女甚衆，而諸軍多觀望不前，但尾賊後。
HCH_013_077_000079	所至關隘，防兵多遠遁，賊長驅直過。
HCH_013_077_000080	二賊合兵趨達州，謀西渡。
HCH_013_077_000081	丙午，賊渡河，遂入巴西。
HCH_013_077_000082	督師嗣昌命監軍萬元吉監諸軍西行，尾擊賊。
HCH_013_077_000083	十月壬戌，獻忠、汝才陷劍州。
HCH_013_077_000084	甲子，過劍閣，趨廣元，直走陽平關。
HCH_013_077_000085	從間道別出百丈山，將入漢中。
HCH_013_077_000086	總兵趙光遠守陽平甚嚴，賀人龍、李國奇復整兵而東。
HCH_013_077_000087	賊乃踰昭化走西川。
HCH_013_077_000088	丙寅，川兵追賊於劍州，敗績，賊擒四將以去。
HCH_013_077_000089	官軍轉戰於綿州，逐北至城下，賊渡綿河而西。
HCH_013_077_000090	十一月庚辰，督師監軍元吉大饗將士於保寧。
HCH_013_077_000091	以諸軍進止不一，立大帥以統之。
HCH_013_077_000092	以總兵猛如虎爲正總統，張應元爲副總統。
HCH_013_077_000093	癸未，發保寧，趨綿州，諸將分屯要害，元吉督諸軍自間道趨射洪，扼蓬溪以待之。
HCH_013_077_000094	癸卯，賊屯安岳，知大兵且至，宵遁走內江。
HCH_013_077_000095	乙巳，猛如虎至安岳，選驍騎逐賊。
HCH_013_077_000096	元吉與應元屯於安岳城下，以遏賊歸路。
HCH_013_077_000097	十二月己酉，賊走瀘州，賀人龍等以兵躡之。
HCH_013_077_000098	辛亥，賊陷瀘州。
HCH_013_077_000099	瀘州三隅皆陡絕臨江，止立石站一路可北走。
HCH_013_077_000100	賊旣走絕地，元吉謀以大兵自南搗其老營，伏兵旁塞險要，蹙賊北竄永州，逆而擊之，可以盡殲也。
HCH_013_077_000101	乙卯，元吉兵至立石站，賊營先移渡南溪，官軍隔水追之不及。
