HCH_015_016_000001	建官設職，興自炎昊，方乎隆周之冊，表乎盛漢之書。
HCH_015_016_000002	存改回沿，備於歷代，先賢往學，以之雕篆者眾矣。
HCH_015_016_000003	若夫胡廣舊儀，事惟簡撮，應劭官典，殆無遺恨。
HCH_015_016_000004	王朗奏議，屬霸國之初基；陳矯增曹，由軍事而補闕。
HCH_015_016_000005	今則有魏氏官儀、魚豢中外官也。
HCH_015_016_000006	山濤以意辯人，不□□□。
HCH_015_016_000007	荀勗欲去事煩，唯論并省。
HCH_015_016_000008	定制成文，本之晉令，後代承業，案為前准。
HCH_015_016_000009	肇域官品，區別階資，蔚宗選簿梗槩，欽明階次詳悉，虞通、劉寅因荀氏之作，矯舊增新，今古相校。
HCH_015_016_000010	齊受宋禪，事遵常典，既有司存，無所偏廢。
HCH_015_016_000011	其餘散在史注，多已筌拾，覽者易知，不重述也。
HCH_015_016_000012	〔相國〕。
HCH_015_016_000013	太宰。
HCH_015_016_000014	太傅。
HCH_015_016_000015	大司馬。
HCH_015_016_000016	大將軍。
HCH_015_016_000017	太尉。
HCH_015_016_000018	司徒。
HCH_015_016_000019	司空。
HCH_015_016_000020	特進。
HCH_015_016_000021	諸開府儀同三司。
HCH_015_016_000022	驃騎將軍。
HCH_015_016_000023	車騎將軍。
HCH_015_016_000024	衞將軍。
HCH_015_016_000025	鎮軍將軍。
HCH_015_016_000026	中軍將軍。
HCH_015_016_000027	撫軍將軍。
HCH_015_016_000028	四征將軍。
HCH_015_016_000029	四鎮將軍。
HCH_015_016_000030	四安將軍。
HCH_015_016_000031	四平將軍。
HCH_015_016_000032	左、右、前、後將軍。
HCH_015_016_000033	征虜將軍。
HCH_015_016_000034	四中郎將。
HCH_015_016_000035	冠軍將軍。
HCH_015_016_000036	輔國將軍。
HCH_015_016_000037	寧朔將軍。
HCH_015_016_000038	寧遠將軍。
HCH_015_016_000039	龍驤將軍。
HCH_015_016_000040	太常。
HCH_015_016_000041	光祿勳。
HCH_015_016_000042	衞尉。
HCH_015_016_000043	廷尉。
HCH_015_016_000044	大司農。
HCH_015_016_000045	少府。
HCH_015_016_000046	將作大匠。
HCH_015_016_000047	太僕。
HCH_015_016_000048	大鴻臚。
HCH_015_016_000049	宣德衞尉、少府、太僕。
HCH_015_016_000050	大長秋。
HCH_015_016_000051	錄尚書。
HCH_015_016_000052	尚書令。
HCH_015_016_000053	起部尚書。
HCH_015_016_000054	侍中祭酒。
HCH_015_016_000055	侍中。
HCH_015_016_000056	中書監一人，令一人，侍郎四人，通事舍人無員。
HCH_015_016_000057	祕書監一人，丞一人。
HCH_015_016_000058	郎。
HCH_015_016_000059	著作佐郎。
HCH_015_016_000060	御史中丞一人。
HCH_015_016_000061	謁者僕射一人。
HCH_015_016_000062	領軍將軍、中領軍。
HCH_015_016_000063	護軍將軍、中護軍。
HCH_015_016_000064	左右二衞將軍。
HCH_015_016_000065	驍騎將軍。
HCH_015_016_000066	游擊將軍。
HCH_015_016_000067	左右二中郎將。
HCH_015_016_000068	前軍將軍、後軍將軍、左軍將軍、右軍將軍，號四軍。
HCH_015_016_000069	屯騎、步兵、射聲、越騎、長水五校尉。
HCH_015_016_000070	虎賁中郎將。
HCH_015_016_000071	宂從僕射。
HCH_015_016_000072	羽林監。
HCH_015_016_000073	積射將軍。
HCH_015_016_000074	彊弩將軍。
HCH_015_016_000075	殿中將軍、員外殿中將軍。
HCH_015_016_000076	殿中司馬督。
HCH_015_016_000077	武衞將軍。
HCH_015_016_000078	武騎常侍。
HCH_015_016_000079	自二衞、四軍、五校已下，謂之「西省」，而散騎為「東省」。
HCH_015_016_000080	丹陽尹。
HCH_015_016_000081	太子太傅。
HCH_015_016_000082	州牧、刺史。
HCH_015_016_000083	護南蠻校尉。
HCH_015_016_000084	護三巴校尉。
HCH_015_016_000085	寧蠻校尉。
HCH_015_016_000086	平蠻校尉。
HCH_015_016_000087	鎮蠻校尉。
HCH_015_016_000088	護西戎校尉。
HCH_015_016_000089	護羌校尉。
HCH_015_016_000090	平越中郎將。
HCH_015_016_000091	郡太守、內史。
HCH_015_016_000092	縣令、相。
HCH_015_016_000093	鎮蠻護軍。
HCH_015_016_000094	安遠護軍。
HCH_015_016_000095	諸王師、友、文學各一人。
HCH_015_016_000096	國官郎中令、中尉、大農為三卿，左右常侍、侍郎，上軍、中軍、下軍三軍，典書、典祠、學官、典衞四令，食官、廄牧長、謁者以下。
HCH_015_016_000097	公侯置郎中令一卿。
HCH_015_016_000098	贊曰：百司分置，惟皇命職。
HCH_015_016_000099	雲師鳥紀，各有其式。
HCH_015_016_000100	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
