HCH_015_029_000001	呂安國，廣陵廣陵人也。
HCH_015_029_000002	宋大明末，安國以將領見任，隱重有幹局，爲劉勉所稱。
HCH_015_029_000003	泰始二年，勉征殷琰於壽春，安國以建威將軍爲勉軍副。
HCH_015_029_000004	衆軍擊破琰長史杜叔寶軍於橫塘，安國抄斷賊糧道，燒其運車，多所傷殺。
HCH_015_029_000005	琰衆奔退，勉遣安國追之，先至壽春。
HCH_015_029_000006	琰閉門自守，安國與輔國將軍垣閎屯據城南，於是衆軍繼至。
HCH_015_029_000007	安國勳第一，封彭澤縣男，未拜，明年，改封鍾武縣，加邑爲四百戶。
HCH_015_029_000008	累至寧朔將軍、義陽太守。
HCH_015_029_000009	四年，又改封湘南縣男。
HCH_015_029_000010	虜陷汝南，司州失守，以安國爲督司州諸軍事、寧朔將軍、司州刺史。
HCH_015_029_000011	六年，義陽立州治，仍領義陽太守。
HCH_015_029_000012	稍遷右軍將軍，假輔師將軍。
HCH_015_029_000013	元徽二年，爲晉熙王征虜司馬，輔師將軍如故。
HCH_015_029_000014	轉游擊將軍。
HCH_015_029_000015	三年，出爲持節、都督青兖冀三州緣淮前鋒諸軍事、輔師將軍、兖州刺史。
HCH_015_029_000016	明年，進號冠軍將軍，還爲游擊將軍，加散騎常侍、征虜將軍。
HCH_015_029_000017	沈攸之事起，太祖以安國爲湘州刺史，征虜將軍如故。
HCH_015_029_000018	先是王蘊罷州，南中郎將南陽王翽未之鎮，蘊寧朔長史庾佩玉權行州事，朝廷先遣南中郎將中兵參軍臨湘令韓幼宗領軍防州。
HCH_015_029_000019	沈攸之之難，二人各相疑阻，佩玉輙殺幼宗。
HCH_015_029_000020	平西將軍黃回至郢州，遣軍主任候伯行湘州事，又殺佩玉。
HCH_015_029_000021	候伯與回同衞將軍袁粲謀石頭事，回令候伯水軍乘舸往赴，會衆軍已至，不得入。
HCH_015_029_000022	太祖令安國至鎮，收候伯誅之。
HCH_015_029_000023	尋進號前將軍。
HCH_015_029_000024	建元元年，進爵，增邑六百戶。
HCH_015_029_000025	轉右衞將軍，加給事中。
HCH_015_029_000026	二年，虜寇邊，上遣安國出司州，安集民戶。
HCH_015_029_000027	詔曰：「郢、司之閒，流雜繁廣，宜竝加區判，定其隷屬。參詳兩州，事無專任，安國可蹔往經理。」
HCH_015_029_000028	以本官使持節、總荊郢諸軍北討事，屯義陽西關。
HCH_015_029_000029	虜未至，安國移屯沔口以俟應接。
HCH_015_029_000030	改封湘郷。
HCH_015_029_000031	世祖卽位，授使持節、散騎常侍、平西將軍、司州刺史，領義陽太守。
HCH_015_029_000032	永明二年，徙都督南兖兖徐青冀五州諸軍事、平北將軍、南兖州刺史，仍爲都督、湘州刺史。
HCH_015_029_000033	四年，湘川蠻動，安國督州兵討之。
HCH_015_029_000034	有疾，徵爲光祿大夫，加散騎常侍。
HCH_015_029_000035	安國欣有文授，謂其子曰：「汝後勿作褶驅使，單衣猶恨不稱，當爲朱衣官也。」
HCH_015_029_000036	上遣中書舍人茹法亮敕安國曰：「吾恒憂卿疾病，應有所須，勿致難也。」
HCH_015_029_000037	明年，遷都官尚書，領太子左率。
HCH_015_029_000038	六年，遷領軍將軍。
HCH_015_029_000039	安國累居將率，在朝以宿舊見遇。
HCH_015_029_000040	尋遷散騎常侍、金紫光祿大夫、兖州中正，給扶。
HCH_015_029_000041	上又敕茹法亮曰：「吾見呂安國疾狀，自不宜勞，且脚中旣恒惡，扶人至吾前，於禮望殊成有虧，吾難敕之。其人甚諱病，卿可作私意向，其若好差不復須扶人，依例入，幸勿牽勉。」
HCH_015_029_000042	八年，卒，年六十四。
HCH_015_029_000043	贈使持節、鎮北將軍、南兖州刺史，常侍如故。
HCH_015_029_000044	給鼓吹一部。
HCH_015_029_000045	諡肅侯。
HCH_015_029_000046	時舊將帥又有吳郡全景文，字弘達。
HCH_015_029_000047	少有氣力，與沈攸之同載出都，到奔牛埭，於岸上息，有人相之：「君等皆方伯人，行當富貴也。」
HCH_015_029_000048	景文謂攸之曰：「富貴或可一人耳，今言皆然，此殆妄言也。」
HCH_015_029_000049	景文仍得將領爲軍主。
HCH_015_029_000050	孝建初，爲竟陵王驃騎行參軍，以功封漢水侯。
HCH_015_029_000051	除員外郎，積射將軍。
HCH_015_029_000052	泰始二年，爲假節、寧朔將軍、冗從僕射、軍主。
HCH_015_029_000053	隨前將軍劉亮討破東賊於晉陵，除長水校尉，假輔國將軍。
HCH_015_029_000054	北討薛索兒於破釜，領水軍斷賊糧運。
HCH_015_029_000055	仍隨太祖於葛冢石梁，再戰皆有功。
HCH_015_029_000056	南賊相持未決，敕景文隷劉亮拒劉胡，攻圍力戰，身被數十創，除前軍將軍，封孝寧縣侯，邑六百戶。
HCH_015_029_000057	除寧朔將軍，游擊將軍，假輔師將軍，高平太守，鎮軍、安西二府司馬，驍騎將軍。
HCH_015_029_000058	元徽末，出爲南豫州刺史、歷陽太守，輔國將軍如故。
HCH_015_029_000059	遷征虜將軍、南琅邪濟陰二郡太守、軍主，尋加散騎常侍。
HCH_015_029_000060	建元元年，以不預佐命，國除，授南琅邪太守，常侍、將軍如故。
HCH_015_029_000061	遷光祿大夫，征虜將軍、臨川王征西司馬、南郡太守。
HCH_015_029_000062	還，累遷爲給事中，光祿大夫。
HCH_015_029_000063	永明九年，卒。
HCH_015_029_000064	周山圖字季寂，義興義郷人也。
HCH_015_029_000065	少貧微，傭書自業。
HCH_015_029_000066	有氣幹，爲吳郡晉陵防郡隊主。
HCH_015_029_000067	宋孝武伐太初，山圖豫勳，賜爵關中侯。
HCH_015_029_000068	兖州刺史沈僧榮鎮瑕丘，與山圖有舊，以爲己建武府參軍。
HCH_015_029_000069	竟陵王誕據廣陵反，僧榮遣山圖領二百人詣沈慶之受節度，事平論勳，爲中書舍人戴明寶所抑。
