HCH_015_038_000001	蕭景先，南蘭陵蘭陵人，太祖從子也。
HCH_015_038_000002	祖爰之，員外郎。
HCH_015_038_000003	父敬宗，始興王國中軍。
HCH_015_038_000004	景先少遭父喪，有至性，太祖嘉之。
HCH_015_038_000005	及從官京邑，常相提攜。
HCH_015_038_000006	解褐爲海陵王國上軍將軍，補建陵令，還爲新安王國侍郎，桂陽國右常侍。
HCH_015_038_000007	太祖鎮淮陰，景先以本官領軍主自隨，防衞城內，委以心腹。
HCH_015_038_000008	除後軍行參軍，邛縣令，員外郎。
HCH_015_038_000009	與世祖款暱，世祖爲廣興郡，啓太祖求景先同行，除世祖寧朔府司馬，自此常相隨逐。
HCH_015_038_000010	世祖爲鎮西長史，以景先爲鎮西長流參軍，除寧朔將軍，隨府轉撫軍中兵參軍，尋除諮議，領中兵如故。
HCH_015_038_000011	昇明初，爲世祖征虜府司馬，領新蔡太守，隨上鎮盆城。
HCH_015_038_000012	沈攸之事平，還都，除寧朔將軍，驍騎將軍，仍爲世祖撫軍中軍二府司馬，兼左衞將軍。
HCH_015_038_000013	建元元年，遷太子左衞率，封新吳縣伯，邑五百戶。
HCH_015_038_000014	景先本名道先，乃改避上諱。
HCH_015_038_000015	出爲持節、督司州軍事、寧朔將軍、司州刺史，領義陽太守。
HCH_015_038_000016	是冬，虜出淮、泗，增司部邊戍兵。
HCH_015_038_000017	義陽人謝天蓋與虜相構扇，景先言於督府，驃騎豫章王遣輔國將軍中兵參軍蕭惠朗二千人助景先。
HCH_015_038_000018	惠朗依山築城，斷塞關隘，討天蓋黨與。
HCH_015_038_000019	虜尋遣偽南部尚書頞跋屯汝南，洛州刺史昌黎王馮莎屯清丘。
HCH_015_038_000020	景先嚴備待敵。
HCH_015_038_000021	豫章王又遣寧朔將軍王僧炳、前軍將軍王應之、龍驤將軍莊明三千人屯義陽關外，爲聲援。
HCH_015_038_000022	虜退，進號輔國將軍。
HCH_015_038_000023	景先啓稱上德化之美。
HCH_015_038_000024	上答曰：「風淪俗敗，二十餘年，以吾當之，豈得頓掃。幸得數載盡力救蒼生者，必有功於萬物也。治天下者，雖聖人猶須良佐，汝等各各自竭，不憂不治也。」
HCH_015_038_000025	世祖卽位，徵爲侍中，領左軍將軍，尋兼領軍將軍。
HCH_015_038_000026	景先事上盡心，故恩寵特密。
HCH_015_038_000027	初西還，上坐景陽樓召景先語故舊，唯豫章王一人在席而已。
HCH_015_038_000028	轉中領軍。
HCH_015_038_000029	車駕射雉郊外行游，景先常甲仗從，廉察左右。
HCH_015_038_000030	尋進爵爲侯。
HCH_015_038_000031	領太子詹事，本官如故。
HCH_015_038_000032	遭母喪，詔超起爲領軍將軍。
HCH_015_038_000033	遷征虜將軍、丹陽尹。
HCH_015_038_000034	五年，荒人桓天生引蠻虜於雍州界上，司部以北，人情騷動。
HCH_015_038_000035	上以景先諳究司土，詔曰：「得雍州刺史張瓌啓事，蠻虜相扇，容或侵軼。蜂蠆有毒，宜時剿蕩。可遣征虜將軍丹陽尹景先總率步騎，直指義陽。可假節，司州諸軍皆受節度。」
HCH_015_038_000036	景先至鎮，屯軍城北，百姓乃安，牛酒來迎。
HCH_015_038_000037	軍未還，遇疾，遺言曰：「此度疾病，異於前後，自省必無起理。但夙荷深恩，今謬充戎寄，闇弱每事不稱，上慚慈旨。便長違聖世，悲哽不知所言。可爲作啓事，上謝至尊，粗申愚心。毅雖成長，素闕訓範。貞等幼稚，未有所識。方以仰累聖明，非殘息所能陳謝。自丁荼毒以來，妓妾已多分張，所餘醜猥數人，皆不似事。可以明月、佛女、桂支、佛兒、玉女、美玉上臺，美滿、豔華奉東宮。私馬有二十餘匹，牛數頭，可簡好者十匹、牛二頭上臺，馬五匹、牛一頭奉東宮，大司馬、司徒各奉二匹，驃騎、鎮軍各奉一匹。應私仗器，亦悉輸臺。六親多未得料理，可隨宜溫卹，微申素意。所賜宅曠大，恐非毅等所居，須喪服竟，可輸還臺。劉家前宅，久聞其貨，可合率市之，直若短少，啓官乞足。三處田勤，作自足供，衣食力少，更隨宜買麤猥奴婢充使。不須餘營生。周旋部曲還都，理應分張，其久舊勞勤者，應料理，隨宜啓聞乞恩。」
