HCH_015_053_000001	太祖承宋氏奢縱，風移百城，輔立幼主，思振民瘼。
HCH_015_053_000002	爲政未朞，擢山陰令傅琰爲益州刺史。
HCH_015_053_000003	乃捐華反樸，恭己南面，導民以躬，意存勿擾。
HCH_015_053_000004	以山陰大邑，獄訟繁滋，建元三年，別置獄丞，與建康爲比。
HCH_015_053_000005	永明繼運，垂心治術。
HCH_015_053_000006	杖威善斷，猶多漏網，長吏犯法，封刃行誅。
HCH_015_053_000007	郡縣居職，以三周爲小滿。
HCH_015_053_000008	水旱之災，輙加賑卹。
HCH_015_053_000009	明帝自在布衣，曉達吏事，君臨億兆，專務刀筆，未嘗枉法申恩，守宰以之肅震。
HCH_015_053_000010	永明之世，十許年中，百姓無雞鳴犬吠之警，都邑之盛，士女富逸，歌聲舞節，袨服華粧，桃花綠水之間，秋月春風之下，蓋以百數。
HCH_015_053_000011	及建武之興，虜難猋急，征役連歲，不遑啓居，軍國糜耗，從此衰矣。
HCH_015_053_000012	齊世善政著名表績無幾焉，位次遷升，非直止乎城邑。
HCH_015_053_000013	今取其清察有迹者，餘則隨以附焉。
HCH_015_053_000014	傅琰字季珪，北地靈州人也。
HCH_015_053_000015	祖邵，員外郎。
HCH_015_053_000016	父僧祐，安東錄事參軍。
HCH_015_053_000017	琰美姿儀，解褐寧蠻參軍，本州主簿，寧蠻功曹。
HCH_015_053_000018	宋永光元年，補諸暨武康令，廣威將軍，除尚書左民郎，又爲武康令，將軍如故。
HCH_015_053_000019	除吳興郡丞。
HCH_015_053_000020	泰始六年，遷山陰令。
HCH_015_053_000021	山陰，東土大縣，難爲長官，僧祐在縣有稱，琰尤明察，又著能名。
HCH_015_053_000022	其年爵新亭侯。
HCH_015_053_000023	元徽初，遷尚書右丞。
HCH_015_053_000024	遭母喪，居南岸，隣家失火，延燒琰屋，琰抱柩不動，隣人競來赴救，乃得俱全。
HCH_015_053_000025	琰股髀之閒，已被煙焰。
HCH_015_053_000026	服闋，除邵陵王左軍諮議，江夏王錄事參軍。
HCH_015_053_000027	太祖輔政，以山陰獄訟煩積，復以琰爲山陰令。
HCH_015_053_000028	賣針賣糖老姥爭團絲，來詣琰，琰不辨覈，縳團絲於柱鞭之，密視有鐵屑，乃罰賣糖者。
HCH_015_053_000029	二野父爭雞，琰各問「何以食雞」，一人云「粟」，一人云「豆」，乃破雞得粟，罪言豆者。
HCH_015_053_000030	縣內稱神明，無敢復爲偷盜。
HCH_015_053_000031	琰父子竝著奇績，江左鮮有。
HCH_015_053_000032	世云「諸傅有《治縣譜》，子孫相傳，不以示人」。
HCH_015_053_000033	昇明二年，太祖擢爲假節、督益寧二州軍事、建威將軍、益州刺史、宋寧太守。
HCH_015_053_000034	建元元年，進號寧朔將軍。
HCH_015_053_000035	四年，徵驍騎將軍，黃門郎。
HCH_015_053_000036	永明二年，遷建威將軍、安陸王北中郎長史，改寧朔將軍。
HCH_015_053_000037	明年，徙廬陵王安西長史、南郡內史，行荊州事。
HCH_015_053_000038	五年，卒。
HCH_015_053_000039	琰喪西還，有詔出臨。
HCH_015_053_000040	臨淮劉玄明亦有吏能，爲山陰令，大著名績。
