HCH_009_026_000000	大名府路，宋北京魏郡。
HCH_009_026_000001	府一，領刺郡三，縣二十，鎮二十二。
HCH_009_026_000002	貞祐二年十月置行尚書省。
HCH_009_026_000003	大名府，上，天雄軍。
HCH_009_026_000004	舊為散府，先置統軍司，天德二年罷，以其所轄民戶分隸旁近總管府。
HCH_009_026_000005	正隆二年升為總管府，附近十二猛安皆隸焉，兼漕河事。
HCH_009_026_000006	產皺、穀、絹、梨肉、櫻桃、煎木耳、硝。
HCH_009_026_000007	戶三十萬八千五百一十一。
HCH_009_026_000008	縣十、鎮十三：舊有柳林、侯固二鎮。
HCH_009_026_000009	元城有愜山、漕運禦河、屯氏河。
HCH_009_026_000010	鎮二安定、安賢。
HCH_009_026_000011	大名倚。
HCH_009_026_000012	鎮一冠氏有弇山、水沙河。
HCH_009_026_000013	鎮四普通、清水、博甯、桑橋。
HCH_009_026_000014	南樂鎮一南樂。
HCH_009_026_000015	館陶有漕運禦河。
HCH_009_026_000016	鎮一館陶。
HCH_009_026_000017	夏津有屯氏河、潤溝河。
HCH_009_026_000018	鎮一孫生。
HCH_009_026_000019	朝城鎮一韓張。
HCH_009_026_000020	清平有新渠金堤。
HCH_009_026_000021	鎮一清平。
HCH_009_026_000022	莘鎮一馬橋。
HCH_009_026_000023	恩州，中，刺史。
HCH_009_026_000024	宋清河郡軍事，治清河，今治曆亭。
HCH_009_026_000025	戶九萬九千一百一十九。
HCH_009_026_000026	縣四、鎮六：曆亭倚。
HCH_009_026_000027	有永濟渠，置河倉。
HCH_009_026_000028	鎮四漳南、新安樂、舊安樂、王杲。
HCH_009_026_000029	武城有永濟渠、沙河。
HCH_009_026_000030	鎮一武城。
HCH_009_026_000031	清河有永濟渠、漳渠。
HCH_009_026_000032	臨清有河倉。
HCH_009_026_000033	鎮一曹仁。
HCH_009_026_000034	濮州，下，刺史。
HCH_009_026_000035	宋濮陽郡。
HCH_009_026_000036	戶五萬二千九百四十八。
HCH_009_026_000037	縣二、鎮三：鄄城倚。
HCH_009_026_000038	有旄丘、陶丘、金堤。
HCH_009_026_000039	鎮二臨濮、雷澤、皆舊縣、貞元二年為鎮。
HCH_009_026_000040	范鎮一定安。
HCH_009_026_000041	開州，中，刺史。
HCH_009_026_000042	宋開德府澶淵郡鎮寧軍節度，降為澶州，皇統四年複更今名。
HCH_009_026_000043	戶三萬三千八百三十六。
HCH_009_026_000044	縣四、鎮一：濮陽倚。
HCH_009_026_000045	有衛陽山、鮒鰨山、黃河、淇河、瓠子口。
HCH_009_026_000046	清豐有廣陽山、黃河。
HCH_009_026_000047	觀城有泉源河。
HCH_009_026_000048	鎮一武鄉。
HCH_009_026_000049	長垣本隸南京，泰和八年以限河不便。
HCH_009_026_000050	來屬。
HCH_009_026_000051	河東北路。
HCH_009_026_000052	宋河東路，天會六年析河東為南、北路，各置兵馬都總管。
HCH_009_026_000053	府一，領節鎮三，刺郡九，縣三十九，鎮四十，堡十，寨八。
HCH_009_026_000054	太原府，上，武勇軍。
HCH_009_026_000055	宋太原郡河東軍節度，國初依舊為次府，複名并州太原郡河東軍總管府，置轉運司。
HCH_009_026_000056	有造墨場，煉銀洞、瑪瑙石。
