HCH_009_034_000000	貞元元年閏十二月，有司奏建社稷壇於上京。
HCH_009_034_000001	大定七年七月，又奏建壇於中都。
HCH_009_034_000002	社為制，其外四周為垣，南向開一神門，門三間。
HCH_009_034_000003	內又四周為垣，東西南北各開一神門，門三間，各列二十四戟。
HCH_009_034_000004	四隅連飾罘罳，無屋，于中稍南為壇位，令三方廣闊，一級四陛。
HCH_009_034_000005	以五色土各飾其方，中央覆以黃土，其廣五丈，高五尺。
HCH_009_034_000006	其主用白石，下廣二尺，剡其上，形如鐘，埋其半，壇南，栽栗以表之。
HCH_009_034_000007	近西為稷壇，如社壇之制而無石主。
HCH_009_034_000008	四濆門各五間，兩塾三門，門列十二戟。
HCH_009_034_000009	濆有角樓，樓之面皆隨方色飾之。
HCH_009_034_000010	饌幔四楹，在北濆門西，北向。
HCH_009_034_000011	神廚在西濆門外，南向。
HCH_009_034_000012	廨在南圍牆內，東西向。
HCH_009_034_000013	有望祭堂三楹，在其北，雨則於是堂望拜。
HCH_009_034_000014	堂之南北各為屋二楹，三獻及司徒致齋幕次也。
HCH_009_034_000015	堂下南北相向有齋舍二十楹。
HCH_009_034_000016	外門止一間，不施鴟尾。
HCH_009_034_000017	祭用春秋二仲月上戊日，樂用登歌，遣官行事。
HCH_009_034_000018	太尉一，司徒一，已上奏差。
HCH_009_034_000019	亞獻太常卿一，終獻光祿卿一，省差。
HCH_009_034_000020	太常卿一，光祿卿一，郊社令一，學士院官一，請禦署祝版。
HCH_009_034_000021	大樂令一，太官令二，監祭御史二，太常博士二，廩犧令一，奉禮郎一，協律郎二，司尊罍二，奉爵酒官一，太祝七，祝史四，盥洗官二，爵洗官二，執巾篚官四，齋郎四十八，贊者一，禮直官十，已上部差。
HCH_009_034_000022	守衛十二人，各衣其方色，其服官給。
HCH_009_034_000023	舉瘞四，衣皁，軍人內差，其衣自備。
HCH_009_034_000024	前三日質明，行事官受誓戒於尚書省、御史台，太常寺引眾官就位，禮直官贊：「揖。」
HCH_009_034_000025	對揖，訖，太尉誓曰：「某月某日上戊，祭於太社，各揚爾職。不恭其事，國有常刑。」
HCH_009_034_000026	讀訖，對拜，訖，退。
HCH_009_034_000027	凡與祭官散齋二日，致齋一日，已齋而闕者通攝行事，仍習禮于社宮。
HCH_009_034_000028	諸衛令率其屬，各以其方器服守衛社宮門。
HCH_009_034_000029	大樂工人俱清齋一宿。
HCH_009_034_000030	前三日，陳設局設祭官公卿已下次于齋房之內。
HCH_009_034_000031	及設饌幔四于社宮西神門之外，門南，西向。
HCH_009_034_000032	前二日，郊社令率其屬，掃除壇之上下。
HCH_009_034_000033	大樂令設樂於壇上。
HCH_009_034_000034	郊社令為瘞坎二於壬地，方深取足容物，南出陛。
HCH_009_034_000035	又設望瘞位於坎之北，南向。
HCH_009_034_000036	前一日，奉禮郎帥禮直官，設祭官分卿以下褥位於西神門之內道南，執事官于道北，每等異位，俱重行，東向，南上。
HCH_009_034_000037	設御史位二於壇下，一在太社東北，西向，一在太稷西北，東向，博士各在其北。
HCH_009_034_000038	設奉禮郎位於稷壇上西北，贊者一在北，東向。
HCH_009_034_000039	設協律郎位二于壇上東北隅，俱西向。
HCH_009_034_000040	設大樂令位於兩壇之間，南向。
HCH_009_034_000041	設獻官褥位於逐壇上神座前。
HCH_009_034_000042	設省牲位於西神門外。
HCH_009_034_000043	設牲榜於當門，黝牲二居前，又黝牲二少退二牲皆用黝，北上。
HCH_009_034_000044	設廩犧令位於牲東北，南向。
HCH_009_034_000045	設諸太祝位於牲西，各當牲後，祝史陪其後，具東向。
HCH_009_034_000046	設太常卿省牲位於前近南，北向。
HCH_009_034_000047	又設御史位於太常卿之東，北向。
HCH_009_034_000048	太常卿帥其屬，設酒樽之位。
HCH_009_034_000049	太樽二、著樽二、犧樽二、山罍二在壇上北隅，南向。
HCH_009_034_000050	象樽二、壺樽二、山罍二在壇下北陛之西，南向。
HCH_009_034_000051	後土氏象樽二、著樽二、山罍二在太社酒樽之西，俱東南上。
HCH_009_034_000052	設太稷、後稷酒樽於壇之上下，如太社、後土之儀。
HCH_009_034_000053	設洗位二於社壇西北，南向。
HCH_009_034_000054	罍在洗東，篚在洗西，北肆。
HCH_009_034_000055	司樽罍篚冪者，各位於其後。
HCH_009_034_000056	設玉帛之篚於壇上樽坫之所。
HCH_009_034_000057	設四座，各籩十、豆十、簠二、簋二、鉶三、槃一、俎三、坫四，內籩一、豆一、簠一、簋一、俎三各設於饌幔內。
HCH_009_034_000058	光祿卿率其屬，入實。
HCH_009_034_000059	籩之實，魚鱐、乾棗、形鹽、鹿脯、榛實、乾裛、桃、菱、芡、栗，以序為次。
HCH_009_034_000060	豆之實，芹菹、筍菹、葵菹、菁菹、韭菹、魚醢、兔醢、豚拍、鹿臡、醓醢以序為次。
HCH_009_034_000061	鉶實以羹，加芼滑。
HCH_009_034_000062	簠實以稻、粱、簋實以黍、稷、粱在稻前，稷在黍前。
HCH_009_034_000063	太官令入實樽罍以酒，各一樽實以玄酒。
HCH_009_034_000064	祭日未明五刻，郊社令升設太社太稷神座，各於壇上近南，北向。
HCH_009_034_000065	設後土氏神座於太社神座之左，後稷氏神座於太稷神座之左，俱東向。
HCH_009_034_000066	席皆以莞，加裀褥如幣之色。
HCH_009_034_000067	神位版各於座首。
HCH_009_034_000068	前一日，諸衛之屬禁斷行人。
HCH_009_034_000069	郊社令與其屬，以樽坫罍洗篚冪入設于位，司樽罍奉禮郎及執事者升自太社壇西陛以俟。
HCH_009_034_000070	其省牲器、視滌溉，並如郊廟儀。
HCH_009_034_000071	祭日未明十刻，太官令率宰人以鸞刀割牲，祝史以豆取毛血，各置於饌所，以盤取血置神座前，遂烹牲。
HCH_009_034_000072	未明三刻，諸祭官各服其服。
HCH_009_034_000073	郊社令、太官令入實玉幣樽罍。
HCH_009_034_000074	太官令帥進饌者實諸籩豆簠簋。
HCH_009_034_000075	未明一刻，奉禮郎、贊者先入就位。
HCH_009_034_000076	禮直官引光祿卿、御史、博士、諸太祝、祝史、司樽罍篚冪者入自西門，當太社壇北，重行南向東上立定，奉禮曰：「再拜。」
HCH_009_034_000077	贊者承傳，御史以下皆再拜，訖，司樽罍篚冪者皆就位。
HCH_009_034_000078	奉盤血祝史與太祝由西陛升壇，各於樽所立，祝史以俟瘞血，太祝以次取玉幣。
HCH_009_034_000079	大樂令帥工人入。
HCH_009_034_000080	禮直官各引祭官入，就位立定，奉禮曰：「眾官再拜。」
HCH_009_034_000081	贊者曰：「在位者皆再拜。」
HCH_009_034_000082	其先拜者不拜。
HCH_009_034_000083	禮直官進太尉之左曰：「有司謹具，請行事。」
HCH_009_034_000084	退復位。
HCH_009_034_000085	禮直官引光祿卿就瘞血所，又引祝史奉盤血降自西陛，至瘞位，光祿卿瘞血，訖，復位。
HCH_009_034_000086	祝史以盤還饌幔，以俟奉毛血豆。
HCH_009_034_000087	奉禮曰：「眾官再拜。」
HCH_009_034_000088	在位者皆再拜。
HCH_009_034_000089	諸太祝取玉幣於篚，各立於尊所。
HCH_009_034_000090	禮直官引太尉詣盥洗位。
HCH_009_034_000091	協律郎跪，俯伏，舉麾，樂作太簇宮《正甯之曲》。
HCH_009_034_000092	後盥洗同。
HCH_009_034_000093	至洗位南向立，樂止。
HCH_009_034_000094	搢笏，盥手、帨手訖，詣太社壇，樂作應鐘宮《嘉甯之曲》。
HCH_009_034_000095	後升壇同。
HCH_009_034_000096	升自北陛，樂止，南向立。
HCH_009_034_000097	太祝以玉帛西向授太尉，太尉受玉帛。
HCH_009_034_000098	禮神之玉奠於神前，瘞玉加於幣，配位不用玉。
HCH_009_034_000099	玉用兩圭有邸。
HCH_009_034_000100	盛以匣。
HCH_009_034_000101	瘞玉以玉石為之。
HCH_009_034_000102	帛用黑繒，長一丈八尺。
HCH_009_034_000103	樂作太簇宮《嘉甯之曲》，太稷同。
HCH_009_034_000104	禮直官引太尉進，南向跪奠於太社座前，俯伏，興。
