HCH_009_039_000000	《傳》曰：「王者功成作樂，治定制禮。」
HCH_009_039_000001	豈二帝三王之彌文哉！
HCH_009_039_000002	蓋有天下者，將一軌度、正民俗、合人神、和上下，舍禮樂何以焉。
HCH_009_039_000003	金初得宋，始有金石之樂，然而未盡其美也。
HCH_009_039_000004	及乎大定、明昌之際，日修月葺，粲然大備。
HCH_009_039_000005	其隸太常者，即郊廟、祀享、大宴、大朝會宮縣二舞是也。
HCH_009_039_000006	隸教坊者，則有鐃歌鼓吹，天子行幸鹵簿導引之樂也。
HCH_009_039_000007	有散樂。
HCH_009_039_000008	有渤海樂。
HCH_009_039_000009	有本國舊音，世宗嘗寫其意度為雅曲，史錄其一，其俚者弗載雲。
HCH_009_039_000010	凡大祀、中祀、天子受冊寶、禦樓肆赦、受外國使賀則用之。
HCH_009_039_000011	初，太宗取汴，得宋之儀章鐘磬樂虡，挈之以歸。
HCH_009_039_000012	皇統元年，熙宗加尊號，始就用宋樂，有司以鐘磬刻「晟」字者犯太宗諱，皆以黃紙封之。
HCH_009_039_000013	大定十四年，太常始議：「歷代之樂各自為名，今郊廟社稷所用宋樂器犯廟諱，宜皆刮去，更為制名。」
HCH_009_039_000014	於是，命禮部、學士院、太常寺撰名，乃取大樂與天地同和之義，名之曰「太和」。
HCH_009_039_000015	文、武二舞。
HCH_009_039_000016	皇統年間，定文舞曰《仁豐道洽之舞》，武舞曰《功成治定之舞》。
HCH_009_039_000017	《貞元儀》又改文舞曰《保大定功之舞》，武舞曰《萬國來同之舞》。
HCH_009_039_000018	大定十一年又有《四海會同之舞》，於是一代之制始備。
HCH_009_039_000019	明昌五年，詔用唐、宋故事，置所，講議禮樂。
HCH_009_039_000020	有司謂：「雅樂自周、漢以來止存大法，魏、晉而後更造律度，訖無定論。至後周保定中，得古玉鬥於地中，以造尺律，其後牛弘以為不可，止用蘇綽鐵尺，至隋亦用之。唐興，因隋樂不改，及黃巢之亂，樂縣散失，太常博士殷盈孫以周法鑄穀鐘、編鐘，處士蕭承訓等校石磐，合而奏之。至周顯德以黍定律，議者謂比唐樂高五律。宋初亦用王朴所制樂，時和峴以周顯德律音近哀思，乃依西京銅望臬、石尺重造十二管，取聲下王樸一律。景祐初，李照取黍累尺成律，以其聲猶高，更用太府布帛尺，遂下太常樂三律。皇祐中，阮逸、胡瑗改造止下一律，或謂其聲弇鬱不和，依舊用王朴樂。元豐間，楊傑參用李照鐘磬加四清聲，下王朴樂二律，以為新樂。元祐間，範鎮又造新律，下李照樂一律，而未用。至崇甯間，魏漢津以範鎮知舊樂之高，無法以下之，乃以時君指節為尺，其所造鐘磐即今所用樂是也。然以王樸所制聲高，屢命改作，李照乙太府尺制律，人習舊聽疑於太重。其後范鎮等論樂，複用李照所用太府尺、即周、隋所用鐵尺，牛弘等以謂近古合宜者也。今取見有樂，以唐初開元錢校其分寸亦同，則漢津所用指尺殆與周、隋、唐所用之尺同矣。漢津用李照、範鎮之說，而恥同之，故用時君指節為尺，使眾人不敢輕議。
HCH_009_039_000021	其尺雖為詭說，其制乃與古同，而清濁高下皆適中，非出於法數之外私意妄為者也。
HCH_009_039_000022	蓋今之鐘磬雖崇寧之所制，亦周、隋、唐之樂也。
HCH_009_039_000023	閱今所用樂律，聲調和平，無太高太下之失，可以久用。
HCH_009_039_000024	唯辰鐘、辰磬自昔數缺，宜補鑄辰鐘十五，辰磬二十一，通舊各為二十四虡。
