HCH_009_112_000000	完顏合達，名瞻，字景山。
HCH_009_112_000001	少長兵間，習弓馬，能得人死力。
HCH_009_112_000002	貞祐初，以親衛軍送岐國公主，充護衛。
HCH_009_112_000003	三年，授臨潢府推官，權元帥右監軍。
HCH_009_112_000004	時臨潢避遷，與全、慶兩州之民共壁平州。
HCH_009_112_000005	合達隸其經略使烏林答乞住，乞住以便宜授軍中都統，累遷提控，佩金符。
HCH_009_112_000006	未幾，會燕南諸帥將兵複中都城，行至平州遷安縣，臨潢、全慶兩軍變，殺乞住，擁合達還平州，推為帥，統乞住軍。
HCH_009_112_000007	合達以計誅首亂者數人。
HCH_009_112_000008	其年六月，北兵大將喊得不遣監戰提軍至平州城下，以州人黃裳入城招降，父老不從，合達引兵逆戰，知事勢不敵，以本軍降於陣。
HCH_009_112_000009	監戰以合達北上，留半發，令還守平州。
HCH_009_112_000010	已而，謀自拔歸，乃遣奉先縣令紇石烈布裏哥、北京教授蒲察胡裏安、右三部檢法蒲察蒲女涉海來報。
HCH_009_112_000011	四年十一月，合達果率所部及州民並海西南歸國。
HCH_009_112_000012	詔進官三階，升鎮南軍節度使，駐益都，與元帥蒙古綱相應接，充宣差都提控。
HCH_009_112_000013	十二月，大元兵徇地博興、樂安、壽光，東涉濰州之境，蒙古綱遣合達率兵屢戰于壽光、臨淄。
HCH_009_112_000014	興定元年正月，轉通遠軍節度使、兼鞏州管內觀察使。
HCH_009_112_000015	七月，改平西軍節度使、兼河州管內觀察使。
HCH_009_112_000016	二年正月，知延安府事、兼鄜延路兵馬都總管。
HCH_009_112_000017	三年正月，詔伐宋，以合達為元帥右都監。
HCH_009_112_000018	三月，破宋兵于梅林關，擒統領張時。
HCH_009_112_000019	又敗宋兵于馬嶺堡，獲馬百匹。
HCH_009_112_000020	又拔麻城縣，獲其令張倜、幹辦官郭守紀。
HCH_009_112_000021	四月，夏人犯通秦寨，合達出兵安塞堡，抵隆州，夏人自城中出步騎二千逆戰，進兵擊之，斬首數十級，俘十人，遂攻隆州，陷其西南隅，會日暮乃還。
HCH_009_112_000022	六月，行元帥府事于唐、鄧，上遣諭曰：「以卿才幹，故委卿，無使敵人侵軼，第固吾圉可也。」
HCH_009_112_000023	四年正月，複為元帥右都監，屯延安。
HCH_009_112_000024	十月，夏人攻綏德州，駐兵於拄天山。
HCH_009_112_000025	合達將兵擊之，別遣先鋒提控樊澤等各率所部分三道以進，畢會於山顛。
HCH_009_112_000026	見夏人數萬余傅山而陣，即縱兵分擊。
HCH_009_112_000027	澤先登，摧其左軍，諸將繼攻其右，敗之。
HCH_009_112_000028	五年五月，知延安府事，兼前職。
HCH_009_112_000029	上言：「諸軍官以屢徙，故往往不知所居地形迂直險易，緩急之際恐至敗事，自今乞勿徙。」
