HCH_009_129_000000	太史公有言：「法家嚴而少恩。」
HCH_009_129_000001	信哉斯言也。
HCH_009_129_000002	金法嚴密，律文雖因前代而增損之，大抵多准重典。
HCH_009_129_000003	熙宗迭興大獄，海陵翦滅宗室，鉤棘傅會，告奸上變者賞以不次。
HCH_009_129_000004	於是中外風俗一變，咸尚威虐以為事功，而讒賊作焉。
HCH_009_129_000005	流毒遠邇，慘矣。
HCH_009_129_000006	金史多闕逸，據其舊錄得二人焉。
HCH_009_129_000007	作《酷吏傳》。
HCH_009_129_000008	高閭山，澄州析木人。
HCH_009_129_000009	選充護衛，調順義軍節度副使，轉唐括、移剌都颭詳穩，改震武軍節度副使、曹王府尉，大名治中。
HCH_009_129_000010	遷汝州刺史，改單州。
HCH_009_129_000011	制禁不依法用杖決人者，閭山見之笑曰：「此亦難行。」
HCH_009_129_000012	是日，特用大杖杖死部民楊仙，坐削一官，解職。
HCH_009_129_000013	久之，降鳳翔治中，曆原州、濟州、泗州刺史，改鄭州防禦使，遷蒲與路節度使，移臨海軍、盤安軍、寧昌軍。
HCH_009_129_000014	貞祐二年，城破死之。
HCH_009_129_000015	蒲察合住，以吏起身，久為宣宗所信，聲勢烜赫，性複殘刻，人知其蠹國而莫敢言。
HCH_009_129_000016	其子充護衛，先逐出之。
HCH_009_129_000017	繼而合住為恆州刺史，需次近縣。
HCH_009_129_000018	後大兵入陝西，關中震動。
HCH_009_129_000019	或言合住赴恆州為北走計，朝廷命開封羈其親屬，合住出怨言曰：「殺卻我即太平矣。」
HCH_009_129_000020	尋為禦史所劾，初議笞贖，宰相以為悖理，斬於開封府門之下。
HCH_009_129_000021	故當時有宣朝三賊之目，謂王阿裏、蒲察咬住，合住其一也。
HCH_009_129_000022	興定中，駙馬僕散阿海之獄，京師宣勘七十余所，阿裏輩乘時起事以肆其毒，朝士惴惴莫克自保，惟獨吉文之在開封府幕，明其不反，竟不署字，阿海誅，文之亦無所問。
HCH_009_129_000023	咬住，正大初致仕，居睢陽，潰軍變，與其家皆被殺。
HCH_009_129_000024	初，宣宗喜刑罰，朝士往往被笞楚，至用刀杖決殺言者。
HCH_009_129_000025	高琪用事，威刑自恣。
HCH_009_129_000026	南渡之後，習以成風，雖士大夫亦為所移，如徒單右丞思忠好用麻椎擊人，號「麻椎相公」。
HCH_009_129_000027	李運使特立號「半截劍」，言其短小鋒利也。
HCH_009_129_000028	馮內翰璧號「馮劊」。
HCH_009_129_000029	雷淵為禦史，至蔡州得奸豪，杖殺五百人，號曰「雷半千」。
HCH_009_129_000030	又有完顏麻斤出，皆以酷聞，而合住、王阿裏、李渙之徒，胥吏中尤狡刻者也。
HCH_009_129_000031	世之有嗜欲者，何嘗不被其害哉。
HCH_009_129_000032	龍，天下之至神也，一有嗜欲，見制于人，故人君亦然。
HCH_009_129_000033	嗜欲不獨柔曼之傾意也，征伐、畋獵、土木、神仙，彼為佞者皆有以投其所好焉。
HCH_009_129_000034	金主內蠱聲色，外好大喜功，莫甚于熙宗、海陵，而章宗次之。
HCH_009_129_000035	《金史》自蕭肄至胥持國，得佞臣之尤者七人，皆被寵遇於三君之朝，以亡其身，以蠹其國，其禍皆始於此，可不戒哉。
HCH_009_129_000036	作《佞幸傳》。
HCH_009_129_000037	蕭肄，本奚人，有寵于熙宗，複諂事悼後，累官參知政事。
HCH_009_129_000038	皇統九年四月壬申夜，大風雨，雷電震壞寢殿鴟尾，有火自外入，燒內寢幃幔。
HCH_009_129_000039	帝徙別殿避之，欲下詔罪己。
HCH_009_129_000040	翰林學士張鈞視草。
HCH_009_129_000041	鈞意欲奉答天戒，當深自貶損，其文有曰：「惟德弗類，上幹天威」及「顧茲寡昧眇予小子」等語。
HCH_009_129_000042	肄譯奏曰：「弗類是大無道，寡者孤獨無親，昧則於人事弗曉，眇則目無所見，小子嬰孩之稱，此漢人托文字以詈主上也。」
HCH_009_129_000043	帝大怒，命衛士拽鈞下殿，榜之數百，不死。
HCH_009_129_000044	以手劍剺其口而醢之。
HCH_009_129_000045	賜肄通天犀帶。
HCH_009_129_000046	憑恃恩幸，倨視同列，遂與海陵有惡。
HCH_009_129_000047	及篡立，加大臣官爵，例加銀青光祿大夫。
HCH_009_129_000048	數日，召肄詰之曰：「學士張鈞何罪被誅，爾何功受賞？」
HCH_009_129_000049	肄不能對。
HCH_009_129_000050	海陵曰：「朕殺汝無難事，人或以我報私怨也。」
HCH_009_129_000051	於是，詔除名，放歸田裏，禁錮不得出百里外。
HCH_009_129_000052	張仲軻，幼名牛兒，市井無賴，說傳奇小說，雜以俳優詼諧語為業。
HCH_009_129_000053	海陵引之左右，以資戲笑。
HCH_009_129_000054	海陵封岐國王，以為書表，及即位，為秘書郎。
HCH_009_129_000055	海陵嘗對仲軻與妃嬪褻瀆，仲軻但稱死罪，不敢仰視。
HCH_009_129_000056	又嘗令仲軻倮形以觀之，侍臣往往令倮褫，雖徒單貞亦不免此。
HCH_009_129_000057	兵部侍郎完顏普連、大興少尹李惇皆以贓敗，海陵置之要近。
HCH_009_129_000058	伶人于慶兒官五品、大氏家奴王之彰為秘書郎。
HCH_009_129_000059	之彰睾珠偏僻，海陵親視之，不以為褻。
HCH_009_129_000060	唐括辯家奴和尚、烏帶家奴葛溫、葛魯，皆置宿衛，有僥倖至一品者。
HCH_009_129_000061	左右或無官職人，或以名呼之，即授以顯階，海陵語其人曰：「爾複能名之乎？」
HCH_009_129_000062	常置黃金茵褥間，喜之者令自取之，其濫賜如此。
