HCH_010_009_000000	九年春正月丙寅，女直遣使來貢。
HCH_010_009_000001	二月庚子，宋遣使致其先帝遺物。
HCH_010_009_000002	甲寅，以青牛白馬祭天地。
HCH_010_009_000003	三月癸亥，耶律沙、敵烈獻援漢之役所獲宋俘。
HCH_010_009_000004	戊辰，詔以粟二十萬斛助漢。
HCH_010_009_000005	夏五月庚午，漢遣使來謝，且以宋事來告。
HCH_010_009_000006	己丑，女直二十一人來請宰相、夷離堇之職，以次授之。
HCH_010_009_000007	六月丙辰，以宋王喜隱為西南面招討使。
HCH_010_009_000008	秋七月庚申朔，回鶻遣使來貢。
HCH_010_009_000009	甲子，宋遣使來聘。
HCH_010_009_000010	壬申，漢以宋侵來告。
HCH_010_009_000011	丙子，遣使助漢戰馬。
HCH_010_009_000012	八月，漢遣使進葡萄酒。
HCH_010_009_000013	冬十月甲子，耶律沙以党項降酋可醜、買友來見，賜詔撫諭。
HCH_010_009_000014	丁卯，以可醜為司徒，買友為太保，各賜物遣之。
HCH_010_009_000015	壬申，女直遣使來貢。
HCH_010_009_000016	乙酉，漢復遣使以宋事來告。
HCH_010_009_000017	十一月丁亥朔，司天奏日當食不虧。
HCH_010_009_000018	戊戌，吐谷渾叛入太原者四百餘戶，索而還之。
HCH_010_009_000019	癸卯，祠木葉山。
HCH_010_009_000020	乙巳，遣太保叠烈割等使宋。
HCH_010_009_000021	乙卯，漢復遣使以宋事來告。
HCH_010_009_000022	十二月戊辰，獵於近郊，以所獲祭天。
HCH_010_009_000023	十年春正月癸丑，如長濼。
HCH_010_009_000024	二月庚午，阿薩蘭回鶻來貢。
HCH_010_009_000025	三月庚寅，祭顯陵。
HCH_010_009_000026	夏四月丁卯，西幸。
HCH_010_009_000027	己巳，女直遣使來貢。
HCH_010_009_000028	五月癸卯，賜女裏死，遣人誅高勛等。
HCH_010_009_000029	六月己未，駐蹕沿柳湖。
HCH_010_009_000030	秋七月庚戌，享太祖廟。
HCH_010_009_000031	九月癸未朔，平王隆先子陳哥謀害其父，車裂以徇。
