HCH_010_015_000000	二十八年春正月辛亥朔，不受賀。
HCH_010_015_000001	甲寅，如乾陵。
HCH_010_015_000002	癸酉，奉安大行皇太后梓宮於乾州菆塗殿。
HCH_010_015_000003	二月丙戌，宋遣王隨、王儒等來吊祭。
HCH_010_015_000004	己亥，高麗遣魏守愚等來祭。
HCH_010_015_000005	是月，遣左龍虎衛上將軍蕭合卓饋大行皇太后遺物於宋，仍遣臨海軍節度使蕭虛列、左領軍衛上將軍張崇濟謝宋吊祭。
HCH_010_015_000006	三月癸卯，上大行皇太后謚為聖神宣獻皇后。
HCH_010_015_000007	是月，宋、高麗遣使來會葬。
HCH_010_015_000008	夏四月甲子，葬太后於乾陵。
HCH_010_015_000009	賜大丞相耶律德昌名曰隆運。
HCH_010_015_000010	庚午，賜宅及陪葬地。
HCH_010_015_000011	五月己卯朔，如中京。
HCH_010_015_000012	辛卯，清暑七金山。
HCH_010_015_000013	乙巳，西北路招討使蕭圖玉奏伐甘州回鶻，破蕭州，盡俘其民。
HCH_010_015_000014	詔修土隗口故城以實之。
HCH_010_015_000015	丙午，高麗西京留守康肇弒其主誦，擅立誦從兄詢，詔諸道繕甲兵，以備東征。
HCH_010_015_000016	秋八月戊申，振平州饑民。
HCH_010_015_000017	辛亥，幸中京。
HCH_010_015_000018	丙寅，謁顯、乾二陵。
HCH_010_015_000019	丁卯，自將伐高麗，遣使報宋。
HCH_010_015_000020	以皇弟楚國王隆祐留守京師，北府宰相、駙馬都尉蕭排押為都統，北面林牙僧奴為都監。
HCH_010_015_000021	九月乙酉，遣使冊西平王李德昭為夏國王。
HCH_010_015_000022	辛卯，遣樞密直學士高正、引進使韓杞宣問高麗王詢。
HCH_010_015_000023	冬十月丙午朔，女直進良馬萬匹，乞從征高麗，許之。
HCH_010_015_000024	王詢遣使奉表乞罷師，不許。
HCH_010_015_000025	十一月乙酉，大軍渡鴨淥江，康肇拒戰，敗之，退保銅州。
HCH_010_015_000026	丙戌，肇復出，右皮室詳穩耶律敵魯擒肇及副將李立，追殺數十里，獲所棄糧餉、鎧仗。
HCH_010_015_000027	戊子，銅、霍、貴、寧等州皆降。
HCH_010_015_000028	排押至奴古達嶺，遇敵兵，戰敗之。
HCH_010_015_000029	辛卯，王詢遣使上表請朝，許之。
HCH_010_015_000030	禁軍士俘掠。
HCH_010_015_000031	以政事舍人馬保佑為開京留守，安州團練使王八為副留守。
HCH_010_015_000032	遣太子太師乙凜將騎兵一千，送保佑等赴京。
HCH_010_015_000033	壬辰，守將卓思正殺遼使者韓喜孫等十人，領兵出拒，保佑等還。
HCH_010_015_000034	遣乙凜領兵擊之，思正遂奔西京。
HCH_010_015_000035	圍之，五日不克。
HCH_010_015_000036	駐蹕城西。
HCH_010_015_000037	高麗禮部郎中渤海陀失來降。
HCH_010_015_000038	庚子，遣排押、盆奴等攻開京，遇高麗兵，敗之。
HCH_010_015_000039	王詢棄城遁去，遂焚開京，至清江，還。
HCH_010_015_000040	二十九年春正月乙亥朔，班師，所降諸城復叛。
HCH_010_015_000041	至貴州南峻嶺谷，大雨連日，馬駝皆疲，甲仗多遺棄，霽乃得渡。
HCH_010_015_000042	己丑，次鴨淥江。
HCH_010_015_000043	庚寅，皇后及皇弟楚國王隆祐迎於來遠城。
HCH_010_015_000044	壬辰，詔罷諸軍。
HCH_010_015_000045	己亥，次東京。
HCH_010_015_000046	二月己酉，謁乾、顯二陵。
HCH_010_015_000047	戊午，所俘高麗人分置諸陵廟，餘賜內戚、大臣。
HCH_010_015_000048	三月己卯，大丞相晉國王耶律隆運薨。
HCH_010_015_000049	庚辰，皇弟楚國王隆祐權知北院樞密使事，樞密直學士高正為北院樞密副使。
HCH_010_015_000050	庚寅，南京、平州水，振之。
HCH_010_015_000051	己亥，以北院大王耶律室魯為北院樞密使，封韓王，北院郎君耶律世良為北院大王，前三司使劉慎行參知政事兼知南院樞密使事。
HCH_010_015_000052	夏四月，清暑老古堝。
HCH_010_015_000053	五月甲戌朔，詔已奏之事送所司附日曆。
HCH_010_015_000054	又詔帳族有罪，黥墨依諸部人例。
HCH_010_015_000055	乙未，以劉慎行為南院樞密使，南府宰相邢抱質知南院樞密使事。
HCH_010_015_000056	六月庚戌，升蔚州、利州為觀察使。
HCH_010_015_000057	乙卯，韓王耶律室魯薨。
