HCH_010_035_000000	漢武帝多行幸之事，置期門、佽飛、羽林之目，天子始有親軍。
HCH_010_035_000001	唐太宗加親、勛、翊、千牛之衛，布腹心之地，防衛密矣。
HCH_010_035_000002	遼太祖宗室盛強，分叠剌部為二，宮衛內虛，經營四方，未遑鳩集。
HCH_010_035_000003	皇后述律氏居守之際，摘蕃漢精銳為屬珊軍。
HCH_010_035_000004	太宗益選天下精甲，置諸爪牙為皮室軍。
HCH_010_035_000005	合騎五十萬，國威壯矣。
HCH_010_035_000006	大帳皮室軍：太宗置，凡三十萬騎。
HCH_010_035_000007	屬珊軍：地皇后屬，二十萬騎。
HCH_010_035_000008	宮衛騎軍太祖以叠剌部受禪，分本部為五院、六院，統以皇族，而親衛缺然。
HCH_010_035_000009	乃立斡魯朵法，裂州縣，割戶丁，以強幹弱支。
HCH_010_035_000010	詒謀嗣績，世建宮衛。
HCH_010_035_000011	入則居守，出則扈從，葬則因以守陵。
HCH_010_035_000012	有兵事，則五京、二州各提轄司傳檄而集，不待調發州縣、部族，十萬騎軍已立具矣。
HCH_010_035_000013	恩意親洽，兵甲犀利，教練完習。
HCH_010_035_000014	簡天下精銳，聚之腹心之中。
HCH_010_035_000015	懷舊者歲深，增新者世盛。
HCH_010_035_000016	此軍制之良者也。
HCH_010_035_000017	弘義宮：正丁一萬六千，蕃漢轉丁一萬四千，騎軍六千。
HCH_010_035_000018	長寧宮：正丁一萬四千，蕃漢轉丁一萬二千，騎軍五千。
HCH_010_035_000019	永興宮：正丁六千，蕃漢轉丁一萬四千，騎軍五千。
HCH_010_035_000020	積慶宮：正丁一萬，蕃漢轉丁一萬六千，騎軍八千。
HCH_010_035_000021	延昌宮：正丁二千，蕃漢轉丁六千，騎軍二千。
HCH_010_035_000022	彰湣宮：正丁一萬六千，蕃漢轉丁二萬，騎軍一萬。
HCH_010_035_000023	崇德宮：正丁一萬二千，蕃漢轉丁二萬，騎軍一萬。
HCH_010_035_000024	興聖宮：正丁二萬，蕃漢轉丁四萬，騎軍五千。
HCH_010_035_000025	延慶宮：正丁一萬四千，蕃漢轉丁二萬，騎軍一萬。
HCH_010_035_000026	太和宮：正丁二萬，蕃漢轉丁四萬，騎軍一萬五千。
HCH_010_035_000027	永昌宮：正丁一萬四千，蕃漢轉丁一萬，騎軍一萬。
HCH_010_035_000028	敦睦宮：正丁六千，蕃漢轉丁一萬，騎軍五千。
HCH_010_035_000029	文忠王府：正丁一萬，蕃漢轉丁一萬六千，騎兵一萬。
HCH_010_035_000030	十二宮一府，自上京至南京總要之地，各置提轄司，重地每宮皆置，內地一二而已。
