HCH_010_064_000000	帝官天下，王者家焉。
HCH_010_064_000001	至于親九族，敬五宗，其揆一也。
HCH_010_064_000002	三代以上，封建久長，故吳、魯、燕、蔡、衞、晉、鄭，太史遷既著世家，又列年表，不厭其詳。
HCH_010_064_000003	自漢以降，封建實亡，猶有其名，長世者登世家，自絕者置列傳，然王子侯猶可以年表也。
HCH_010_064_000004	班固以為文無實，併諸侯削年而表，世君子韙之。
HCH_010_064_000005	自魏以降，不帝不世，王侯身徙數封，朝不謀夕，於是列而傳之。
HCH_010_064_000006	功不足以垂法，罪不足以著戒，碌碌然，抑又甚焉。
HCH_010_064_000007	今摘其功罪傑然者列諸傳；敍親親之恩，敬長之義，而無他可書者，略表見之，為皇子表。
HCH_010_064_000008	肅祖四子：昭烈皇后蕭氏生，懿祖第二，見帝紀。
HCH_010_064_000009	洽昚，字牙新。
HCH_010_064_000010	第一。
HCH_010_064_000011	迭剌部夷離菫。
HCH_010_064_000012	有德行。
HCH_010_064_000013	分五石烈為七，六爪為十一。
HCH_010_064_000014	房在五院司。
HCH_010_064_000015	葛剌，字古昆。
HCH_010_064_000016	第三。
HCH_010_064_000017	舍利。
HCH_010_064_000018	早卒。
HCH_010_064_000019	房在六院司。
HCH_010_064_000020	洽禮，字敵輦。
HCH_010_064_000021	第四。
HCH_010_064_000022	舍利。
HCH_010_064_000023	房在六院司。
HCH_010_064_000024	懿祖四子：莊敬皇后蕭氏生，玄祖第三，見帝紀。
HCH_010_064_000025	叔剌。
HCH_010_064_000026	第一。
HCH_010_064_000027	舍利。
HCH_010_064_000028	早卒。
HCH_010_064_000029	帖剌，字痕得。
HCH_010_064_000030	第二。
HCH_010_064_000031	九任迭剌部夷離菫。
HCH_010_064_000032	卒年七十。
HCH_010_064_000033	六院司，呼為夷離菫房。
HCH_010_064_000034	褭古直，字巖母根。
HCH_010_064_000035	第四。
HCH_010_064_000036	舍利。
HCH_010_064_000037	善射。
HCH_010_064_000038	年幾冠，墮馬卒。
HCH_010_064_000039	六院司，呼為舍利房。
HCH_010_064_000040	玄祖四子：簡獻皇后蕭氏生，德祖第四，見帝紀。
HCH_010_064_000041	麻魯。
HCH_010_064_000042	第一。
HCH_010_064_000043	舍利。
HCH_010_064_000044	早卒。
HCH_010_064_000045	巖木，字敵輦。
HCH_010_064_000046	第二。
HCH_010_064_000047	重熙中，追封蜀國王。
HCH_010_064_000048	三為迭剌部夷離菫。
HCH_010_064_000049	身長八尺，多力，能裂䴥皮。
HCH_010_064_000050	語音如鐘，彌里本嶺去家數里，嘗登嶺呼其從，家人悉聞之。
HCH_010_064_000051	年四十五薨。
HCH_010_064_000052	二子：胡古只，末掇。
HCH_010_064_000053	其後即三父房之孟父。
HCH_010_064_000054	釋魯，字述瀾。
