HCH_010_066_000000	遼太祖建國，諸弟窺覦，含容誘掖，弗忍致辟，古聖人猶難之。
HCH_010_066_000001	雖其度量恢廓，然經國之慮遠矣。
HCH_010_066_000002	終遼之世，其出於橫帳、五院、六院之間者，大憝固有，元勛實多。
HCH_010_066_000003	不表見之，莫知源委。
HCH_010_066_000004	作《皇族表》。
HCH_010_066_000005	右係出肅祖昭烈皇帝。
HCH_010_066_000006	右係出懿祖莊敬皇帝。
HCH_010_066_000007	右係出玄祖簡獻皇帝。
HCH_010_066_000008	右係出德祖宣簡皇帝。
HCH_010_066_000009	右係出太祖天皇帝。
HCH_010_066_000010	右係出太宗孝武惠文皇帝。
HCH_010_066_000011	右係出景宗孝成康靖皇帝。
HCH_010_066_000012	右係出聖宗文武大孝宣皇帝。
HCH_010_066_000013	右係出興宗神聖孝章皇帝。
HCH_010_066_000014	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
