HCH_010_073_000000	耶律曷魯蕭敵魯耶律斜涅赤耶律欲穩耶律海裏耶律曷魯，字控溫，一字洪隱，叠剌部人。
HCH_010_073_000001	祖匣馬葛，簡憲皇帝兄。
HCH_010_073_000002	父偶思，遙輦時為本部夷離堇，曷魯其長子也。
HCH_010_073_000003	性質厚。
HCH_010_073_000004	在髫鬌，與太祖遊，從父釋魯奇之曰：「興我家者，必二兒也。」
HCH_010_073_000005	太祖既長，相與易裘馬為好，然曷魯事太祖彌謹。
HCH_010_073_000006	會滑哥弒其父釋魯，太祖顧曷魯曰：「滑哥弒父，料我必不能容，將反噬我。今彼歸罪臺哂為解，我姑與之。是賊吾不忘也！」
HCH_010_073_000007	自是曷魯常佩刀從太祖，以備不虞。
HCH_010_073_000008	居久之，曷魯父偶思病，召曷魯曰：「阿保機神略天授，汝率諸弟赤心事之。」
HCH_010_073_000009	已而太祖來問疾，偶思執其手曰：「爾命世奇才。吾兒曷魯者，他日可委以事，吾已諭之矣。」
HCH_010_073_000010	既而以諸子屬之。
HCH_010_073_000011	太祖為撻馬狘沙裏，參預部族事，曷魯領數騎召小黃室韋來附。
HCH_010_073_000012	太祖素有大志，而知曷魯賢，軍國事非曷魯議不行。
HCH_010_073_000013	會討越兀與烏古部，曷魯為前鋒，戰有功。
HCH_010_073_000014	及太祖為叠剌部夷離堇，討奚部，其長術裏逼險而壘，攻莫能下，命曷魯持一笴往諭之。
HCH_010_073_000015	既入，為所執。
HCH_010_073_000016	乃說奚曰：「契丹與奚言語相通，實一國也。我夷離堇於奚豈有夌轢之心哉？漢人殺我祖奚首，夷離堇怨次骨，日夜思報漢人。顧力單弱，使我求援於奚，傳矢以示信耳。夷離堇受命於天，撫下以德，故能有此眾也。今奚殺我，違天背德，不祥莫大焉。且兵連禍結，當自此始，豈爾國之利乎！」
HCH_010_073_000017	術裏感其言，乃降。
HCH_010_073_000018	太祖為於越，秉國政，欲命曷魯為叠剌部夷離堇。
HCH_010_073_000019	辭曰：「賊在君側，未敢遠去。」
HCH_010_073_000020	太祖討黑車子室韋，幽州劉仁恭遣養子趙霸率眾來救。
HCH_010_073_000021	曷魯伏兵桃山，俟霸眾過半而要之；與太祖合擊，斬獲甚眾，遂降室韋。
HCH_010_073_000022	太祖會李克用於雲州，時曷魯侍，克用顧而壯之曰：「偉男子為誰？」
HCH_010_073_000023	太祖曰：「吾族曷魯也。」
HCH_010_073_000024	會遙輦痕德堇可汗歿，群臣奉遺命請立太祖。
HCH_010_073_000025	太祖辭曰：「昔吾祖夷離堇雅裏嘗以不當立而辭，今若等復為是言，何歟？」
HCH_010_073_000026	曷魯進曰：「曩吾祖之辭，遺命弗及，符瑞未見，第為國人所推戴耳。今先君言猶在耳，天人所與，若合符契。天不可逆，人不可拂，而君命不可違也。」
HCH_010_073_000027	太祖曰：「遺命固然，汝焉知天道？」
HCH_010_073_000028	曷魯曰：「聞於越之生也，神光屬天，異香盈幄，夢受神誨，龍錫金佩。天道無私，必應有德。我國削弱，齮龁於鄰部日久，以故生聖人以興起之。可汗知天意，故有是命。且遙輦九營棋布，非無可立者；小大臣民屬心於越，天也。昔者於越伯父釋魯嘗曰：「吾猶蛇，兒猶龍也。』天時人事，幾不可失。」太祖猶未許。是夜，獨召曷魯責曰：「眾以遺命迫我。汝不明吾心，而亦俯隨耶？」曷魯曰：「在昔夷離堇雅裏雖推戴者眾，辭之而立阻午為可汗。相傳十餘世，君臣之分亂，紀綱之統隳。委質他國，若綴斿然。羽檄蜂午，民疲奔命。興王之運，實在今日。應天順人，以答顧命，不可失也。」太祖乃許。明日，即皇帝位，命曷魯總軍國事。時制度未講，國用未充，扈從未備，而諸弟剌葛等往往覬非望。太祖宮行營始置腹心部，選諸部豪健二千餘充之，以曷魯及蕭敵魯總焉。已而諸弟之亂作，太祖命曷魯總領軍事，討平之，以功為叠剌部夷離堇。時民更兵焚剽，日以抏敝，曷魯撫輯有方，畜牧益滋，民用富庶。乃討烏古部，破之。自是震懾，不敢復叛。乃請制朝儀、建元，率百官上尊號。太祖既備禮受冊，拜曷魯為阿魯敦於越。「阿魯敦」者，遼言盛名也。後太祖伐西南諸夷，數為前鋒。神冊二年，從逼幽州，與唐節度使周德威拒戰可汗州西，
HCH_010_073_000029	敗其軍，遂圍幽州，未下。
HCH_010_073_000030	太祖以時暑班師，留曷魯與盧國用守之。
HCH_010_073_000031	俄而救兵繼至，曷魯等以軍少無援，退。
HCH_010_073_000032	三年七月，皇都既成，燕群臣以落之。
HCH_010_073_000033	曷魯是月得疾薨，年四十七。
HCH_010_073_000034	既葬，賜名其阡宴答，山曰於越峪，詔立石紀功。
HCH_010_073_000035	清寧間，命立祠上京。
HCH_010_073_000036	初，曷魯病革，太祖臨視，問所欲言。
HCH_010_073_000037	曷魯曰：「陛下聖德寬仁，群生咸遂，帝業隆興。臣既蒙寵遇，雖瞑目無憾。惟析叠剌部議未決，願亟行之。」
HCH_010_073_000038	及薨，太祖流涕曰：「斯人若登三五載，吾謀蔑不濟矣！」
HCH_010_073_000039	後太祖二十一功臣，各有所擬，以曷魯為心雲。
HCH_010_073_000040	子惕剌、撒剌，俱不仕。
HCH_010_073_000041	論曰：曷魯以肺腑之親，任帷幄之寄，言如蓍龜，謀成戰勝，可謂算無遺策矣。
HCH_010_073_000042	其君臣相得之誠，庶吳漢之於光武歟？
HCH_010_073_000043	夫信其所可信，智也，太祖有焉。
HCH_010_073_000044	故曰：惟聖知聖，惟賢知賢，斯近之矣。
HCH_010_073_000045	蕭敵魯，字敵輦，其母為德祖女弟，而淳欽皇后又其女兄也。
HCH_010_073_000046	五世祖曰胡母裏，遙輦氏時嘗使唐，唐留之幽州。
HCH_010_073_000047	一夕，折關遁歸國，由是世為決獄官。
HCH_010_073_000048	敵魯性寬厚，膂力絕人，習軍旅事。
HCH_010_073_000049	太祖潛藩，日侍左右，凡征討必與行陣。
HCH_010_073_000050	既即位，敵魯與弟阿古只、耶律釋魯、耶律曷魯偕總宿衛。
HCH_010_073_000051	拜敵魯北府宰相，世其官。
HCH_010_073_000052	太祖征奚及討劉守光，敵魯略地海濱，殺獲甚眾。
HCH_010_073_000053	頃之，剌葛等作亂，潰而北走。
HCH_010_073_000054	敵魯率輕騎追之，兼晝夜行。
HCH_010_073_000055	至榆河，敗其黨，獲剌葛以獻。
HCH_010_073_000056	太祖嘉之，錫賚甚渥。
HCH_010_073_000057	後討西南夷，功居諸將先。
HCH_010_073_000058	神冊三年十二月卒。
HCH_010_073_000059	敵魯有膽略，聞敵所在即馳赴，親冒矢石，前後戰未嘗少恤，必勝乃止。
HCH_010_073_000060	以故在太祖功臣列，喻以手雲。
HCH_010_073_000061	弟阿古只。
HCH_010_073_000062	阿古只，字撒本。
HCH_010_073_000063	少卓越自放不羈。
HCH_010_073_000064	長驍勇善射，臨敵敢前。
HCH_010_073_000065	每射甲楯輒洞貫。
HCH_010_073_000066	太祖為於越時，以材勇充任使。
HCH_010_073_000067	既即位，與敵魯總腹心部。
HCH_010_073_000068	剌葛之亂也，淳欽皇后軍黑山，阻險自固。
HCH_010_073_000069	太祖方經略奚地，命阿古只統百騎往衛之。
HCH_010_073_000070	逆黨叠裏特、耶律滑哥素憚其勇略，相戒曰：「是不可犯也！」
HCH_010_073_000071	剌葛既北走，與敵魯追擒於榆河。
HCH_010_073_000072	神冊初元，討西南夷有功；徇山西諸郡縣，又下之，敗周德威軍。
HCH_010_073_000073	三年，以功拜北府宰相，世其職。
HCH_010_073_000074	天贊初，與王郁略地燕、趙，破磁窯鎮。
HCH_010_073_000075	太祖西征，悉諉以南面邊事。
HCH_010_073_000076	攻渤海，破扶餘城，獨將騎兵五百，敗老相軍三萬。
HCH_010_073_000077	渤海既平，改東丹國。
HCH_010_073_000078	頃之，已降郡縣復叛，盜賊蜂起。
HCH_010_073_000079	阿古只與康默記討之，所向披靡。
HCH_010_073_000080	會賊遊騎七千自鴨淥府來援，勢張甚。
HCH_010_073_000081	阿古只帥麾下精銳，直犯其鋒，一戰克之，斬馘三千餘，遂進軍破回跋城。
HCH_010_073_000082	以病卒。
HCH_010_073_000083	功臣中喻阿古只為耳雲。
HCH_010_073_000084	子安團，官至右皮室詳穩。
HCH_010_073_000085	耶律斜涅赤，字撒剌，六院部舍利古直之族。
HCH_010_073_000086	始字鐸碗，早隸太祖幕下，嘗有疾，賜樽酒飲而愈，遼言酒樽曰「撒剌」，故詔易字焉。
HCH_010_073_000087	太祖即位，掌腹心部。
HCH_010_073_000088	天贊初，分叠剌部為北、南院，斜涅赤為北院夷離堇。
HCH_010_073_000089	帝西徵至流沙，威聲大振，諸夷潰散，乃命斜涅赤撫集之。
HCH_010_073_000090	及討渤海，破扶餘城，斜涅赤從太子大元帥率眾夜圍忽汗城，大諲譔降。
HCH_010_073_000091	已而復叛，命諸將分地攻之。
HCH_010_073_000092	詰旦，斜涅赤感勵士伍，鼓噪登陴，敵震懾，莫敢禦，遂破之。
HCH_010_073_000093	天顯中卒，年七十，居佐命功臣之一。
HCH_010_073_000094	侄老古、頗德。
HCH_010_073_000095	老古，字撒懶，其母淳欽皇后姊也。
HCH_010_073_000096	老古幼養宮掖，既長，沈毅有勇略，隸太祖帳下。
HCH_010_073_000097	既即位，屢有戰功。
HCH_010_073_000098	剌葛之亂也，欲乘我不備為掩襲計，紿降。
HCH_010_073_000099	太祖將納之，命老古、耶律欲穩嚴號令，勒士卒，控轡以防其變。
HCH_010_073_000100	逆黨知有備，懼而遁。
HCH_010_073_000101	以功授右皮室詳穩，典宿衛。
HCH_010_073_000102	太祖侵燕、趙，遇唐兵雲碧店，老古恃勇輕敵，直犯其鋒。
HCH_010_073_000103	戰久之，被數創，歸營而卒。
HCH_010_073_000104	太祖深悼惜之，佐命功臣其一也。
HCH_010_073_000105	頗德，字兀古鄰。
HCH_010_073_000106	弱冠事太祖。
HCH_010_073_000107	天顯初，為左皮室詳穩，典宿衛，遷南院夷離堇，治有聲。
HCH_010_073_000108	石敬瑭破張敬達軍於太原北，時頗德勒兵為援，敬達遁。
HCH_010_073_000109	敬瑭追至晉安寨圍之，頗德領輕騎襲潞州，塞其餉道。
HCH_010_073_000110	唐諸將懼，殺敬達以降。
HCH_010_073_000111	會同初，改叠剌部夷離堇為大王，即拜頗德，既而加采訪使。
HCH_010_073_000112	舊制，肅祖以下宗室稱院，德祖宗室號三父房，稱橫帳，百官子弟及籍沒人稱著帳。
HCH_010_073_000113	耶律斜的言，橫帳班列，不可與北、南院並。
HCH_010_073_000114	太宗詔在廷議，皆曰然，乃詔橫帳班列居上。
HCH_010_073_000115	頗德奏曰：「臣伏見官制，北、南院大王品在惕隱上。今橫帳始圖爵位之高，願與北、南院參任；茲又恥與同列。夫橫帳與諸族皆臣也，班列奚以異？」
HCH_010_073_000116	帝乃諭百官曰：「朕所不知，卿等不宜面從。」
HCH_010_073_000117	詔仍舊制。
HCH_010_073_000118	其強直不撓如此。
HCH_010_073_000119	頗德狀貌秀偉，初，太祖見之曰：「是子風骨異常兒，必為國器。」
HCH_010_073_000120	後果然。
HCH_010_073_000121	卒年四十九。
